	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.A8.A084.01A.21R.A00Z.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.AR.A1AS.01A.11R.A12P.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.131YS.0626.SM.5EGKL	GTEX.12ZZX.1126.SM.5EGKB	GTEX.13PL6.2926.SM.5L3I2	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN
KIAA1456	30.56	7.34	54.72	118.43	0.78	1.57	0.73	11.04	5.54	31.22	30.78	57.89	215.77	348.71	186.4	175.07	559.28	329.84	166.73	348.71	567.1	67.59	0.0	0.46	205.5
KLHL13	191.67	32.36	30.34	277.2	15.68	2.12	1.71	10.08	154.42	76.71	34.26	309.83	738.29	1001.93	954.43	698.41	2468.49	2895.31	1023.0	1467.37	2148.82	343.89	0.0	0.3	75.64
L3MBTL4	16.39	6.06	44.57	42.11	7.69	3.63	12.36	26.67	13.83	28.86	7.63	36.53	152.28	194.36	217.27	94.01	559.28	51.35	211.31	251.48	493.56	94.01	0.0	0.45	63.45
LTK	3.89	1.1	5.15	7.46	1.77	1.55	0.72	12.27	1.01	2.03	0.75	5.54	10.79	13.93	10.96	5.92	35.25	12.83	18.56	25.91	13.72	5.68	0.0	0.66	3.35
MAP2	60.39	18.03	21.16	94.01	31.67	16.63	15.11	40.07	21.94	50.98	36.79	84.63	267.73	412.0	343.89	199.85	339.14	125.24	180.02	1111.82	591.22	54.72	0.0	0.56	54.33
MATN2	173.85	78.34	215.77	1059.11	212.78	12.09	27.25	660.68	76.17	318.57	75.11	825.0	2645.74	2701.35	2573.36	2335.28	13776.25	11909.94	8901.53	11745.96	7589.61	1111.82	0.0	0.39	1268.46
MICU3	15.45	7.75	9.48	34.02	9.06	1.6	1.39	10.31	1.36	18.97	8.32	25.91	135.24	134.3	116.78	69.52	265.87	142.01	119.26	163.28	159.9	24.81	0.0	0.36	20.11
MOB3B	45.21	15.22	16.51	94.01	5.36	6.11	4.74	52.82	23.59	48.18	12.64	72.01	244.57	275.28	232.94	217.27	384.34	191.67	258.57	253.23	463.65	88.26	0.0	0.27	118.43
MUCL1	2216726.5	636586.81	794671.01	919186.72	602247.76	80125.95	32540.65	1273174.62	1255646.43	900270.11	985160.01	554180.87	6935.54	77934.88	161367.56	253213.41	294926.33	292889.12	887875.81	38164.99	7130.55	1299926.74	0.0	0.22	9635979.21
NCK1	454.09	368.65	454.09	587.13	563.18	366.09	518.15	723.08	318.57	563.18	265.87	633.73	848.22	830.75	884.29	738.29	981.29	848.22	738.29	703.28	1794.29	603.67	0.0	0.78	743.43
NYNRIN	58.71	28.65	39.5	107.38	28.65	17.9	18.29	100.83	35.5	90.14	28.65	124.37	236.21	291.04	178.77	199.85	346.29	575.03	253.23	379.04	329.84	75.11	0.0	0.39	82.29
OGN	170.25	117.6	76.71	575.03	67.59	4.03	12.0	55.49	14.56	432.53	161.02	988.12	1208.34	2119.22	1023.0	2032.85	10014.87	17437.64	3303.0	848.22	1044.52	244.57	0.0	0.09	334.46
PCDHA3	10.0	41.52	18.16	51.71	8.51	36.53	5.36	9.7	0.35	11.21	1.64	12.09	34.26	18.16	45.21	43.02	120.94	54.33	44.89	98.04	48.18	6.57	0.0	0.1	1.41
PKD1L1	11.04	4.66	5.41	18.84	4.06	2.71	0.87	5.02	5.68	4.66	7.69	2.92	13.32	14.89	4.43	8.32	28.65	5.59	8.45	14.24	15.68	5.87	0.0	0.06	10.47
PLA2G4A	20.86	17.9	24.28	66.65	25.91	7.17	6.57	115.97	8.65	33.06	5.68	75.11	176.29	224.97	193.01	141.02	708.18	277.2	248.0	262.2	194.36	100.13	147.06	170.25	123.5
PNLDC1	5.59	2.66	10.16	4.17	0.71	1.19	0.0	22.92	0.0	1.93	0.38	1.95	27.44	18.29	16.88	9.06	144.01	19.97	4.5	22.75	17.77	7.69	0.0	0.13	11.38
PNPLA7	226.54	122.64	195.72	175.07	20.86	275.28	29.91	89.51	24.11	87.03	164.42	97.36	208.38	293.07	269.6	204.07	878.17	366.09	547.75	529.06	438.59	97.36	0.0	0.42	76.17
PRKCA	24.28	17.13	24.46	55.1	9.34	1.79	19.53	28.24	52.45	24.99	7.06	63.0	130.6	122.64	70.01	48.18	214.27	139.07	94.01	106.63	72.01	20.86	0.0	0.57	63.45
PRSS12	10.79	0.95	2.71	64.8	0.95	1.36	0.59	6.52	0.58	9.56	2.46	35.25	112.77	112.77	51.71	88.26	1104.13	312.0	371.22	403.5	199.85	61.68	0.0	0.13	312.0
PURG	7.22	1.93	2.1	2.73	0.66	0.58	1.51	1.99	0.0	6.94	2.56	6.31	6.62	3.29	8.71	11.04	17.0	28.86	2.97	5.59	11.73	6.06	0.0	0.05	1.75
PYROXD2	234.57	52.45	176.29	318.57	144.01	88.88	368.65	121.79	36.53	60.39	157.68	180.02	607.87	287.01	500.46	595.34	1378.57	713.11	748.61	753.83	629.35	376.41	0.0	0.57	21.47
RCAN1	529.06	896.64	279.14	2119.22	289.02	63.89	189.02	14971.21	532.74	567.1	651.58	2835.7	3690.52	4181.07	4358.66	2287.2	8778.97	4836.35	4671.57	3982.99	4869.99	1447.15	0.0	0.11	2271.4
RP11-664D7.4	19.39	0.26	0.93	3.69	10.71	0.22	0.0	7.22	0.0	5.02	0.0	15.22	7.88	49.91	16.15	23.59	88.88	45.21	31.45	53.95	94.67	0.0	0.0	0.0	13.03
RP11-690P14.4	3.44	0.0	1.46	2.48	0.36	0.31	0.33	3.76	0.0	0.0	0.35	0.79	5.02	3.79	1.83	1.55	5.68	4.35	2.43	1.28	2.68	0.51	0.0	0.16	0.67
SCN2B	3.32	0.84	0.59	17.77	0.55	0.0	0.23	1.41	0.0	9.7	2.29	22.59	76.17	57.08	65.26	55.49	124.37	131.51	54.33	142.01	204.07	3.76	0.0	0.0	42.41
SFRP1	1745.2	34.75	64.34	4152.18	17.9	8.0	10.63	102.97	638.15	466.88	19.25	1963.57	16496.96	10368.08	15934.98	8778.97	64632.75	22225.61	32994.92	39785.74	26986.43	12589.08	0.0	0.24	10733.74
SHC4	9.56	8.99	7.82	19.53	2.14	0.27	1.45	11.82	1.39	11.04	6.89	31.22	93.35	109.66	123.5	155.5	435.55	392.44	148.09	159.9	199.85	7.17	0.0	0.02	56.68
SLAIN1	111.99	0.4	25.17	69.52	79.45	0.36	0.0	115.97	46.84	18.43	3.59	90.14	198.47	217.27	420.68	368.65	796.86	460.44	228.13	476.71	295.11	201.25	0.0	0.29	162.14
SLC27A6	12.0	6.89	0.65	70.51	17.64	0.25	0.27	5.23	2.76	13.42	2.71	40.07	279.14	265.87	329.84	229.72	638.15	543.96	215.77	660.68	791.35	155.5	0.0	0.0	69.52
SLC7A3	1.71	0.0	2.29	68.07	0.0	0.23	0.26	1.11	0.0	13.83	0.58	19.68	150.17	92.7	52.82	126.12	343.89	532.74	84.63	215.77	476.71	32.13	0.0	0.0	0.96
SLC9B1	12.18	4.13	22.43	15.0	17.25	2.53	7.11	9.78	3.5	10.88	3.47	11.04	27.84	39.22	27.25	17.9	53.19	55.49	34.51	15.56	27.64	10.39	0.0	0.07	14.78
SNAP25	11.21	2.76	2.97	11.13	3.76	1.55	2.89	7.82	5.82	3.17	8.19	14.45	20.71	43.94	82.87	53.57	150.17	109.66	80.57	70.01	105.15	1.57	0.0	0.28	43.02
SSPN	108.14	132.44	96.01	287.01	60.82	6.31	63.0	218.79	38.95	148.09	27.84	336.79	693.58	974.5	551.56	638.15	1397.83	1870.53	1359.57	967.76	1259.69	518.15	0.0	0.17	249.73
SULT1C4	242.88	10.16	19.82	63.89	42.71	4.98	7.69	17.9	4.58	27.64	8.45	77.25	171.45	152.28	113.56	197.09	638.15	454.09	172.65	271.48	156.59	81.14	0.0	0.3	18.29
TEC	31.67	8.58	29.48	43.94	19.82	15.91	15.56	34.51	12.0	18.29	21.16	21.94	55.89	53.57	47.17	30.78	88.26	63.45	54.33	66.18	55.49	11.13	0.0	0.4	52.82
THNSL1	39.79	13.83	100.13	58.71	86.43	90.77	98.04	111.99	52.08	130.6	26.47	88.26	152.28	131.51	157.68	139.07	329.84	260.38	237.86	211.31	198.47	43.94	0.0	0.0	142.01
THSD7B	15.0	0.89	5.54	32.82	1.51	0.0	1.69	8.92	1.38	10.39	0.59	40.07	31.22	53.95	31.22	31.67	112.77	20.86	57.89	48.18	153.34	5.32	0.0	0.0	42.71
TNFRSF17	28.24	4.31	98.73	102.97	4.94	0.54	0.87	309.83	9.48	12.64	0.92	142.01	126.12	177.53	150.17	137.14	848.22	171.45	220.32	177.53	28.45	57.49	0.0	0.0	0.0
TP53TG3C	1.73	1.51	0.65	8.13	0.59	2.12	1.13	2.25	0.0	13.72	1.19	9.63	4.58	35.76	24.46	7.11	41.52	34.51	7.06	3.86	134.3	19.25	0.0	0.06	5.77
TRPC1	36.27	18.7	20.26	55.1	19.39	1.62	15.11	43.94	11.38	34.02	21.94	56.28	116.78	197.09	101.54	103.69	248.0	131.51	141.02	158.79	127.89	49.56	0.0	0.47	27.25
TSHZ2	39.22	14.78	25.54	120.94	22.75	1.19	5.15	45.53	13.83	45.53	6.06	141.02	336.79	463.65	417.77	336.79	612.11	884.29	269.6	301.33	656.11	100.13	0.0	0.32	46.84
ZNF189	529.06	293.07	241.19	336.79	108.14	152.28	190.34	299.25	231.32	318.57	316.37	387.02	483.38	521.76	518.15	476.71	733.19	551.56	521.76	346.29	563.18	249.73	0.0	0.12	100.13
ZNF215	1.93	7.75	50.27	16.51	3.0	0.92	3.41	27.05	4.21	7.46	8.92	24.46	34.75	15.0	17.9	15.0	117.6	33.54	31.67	36.01	16.03	4.03	0.0	0.37	0.09
ZNF711	58.71	69.52	110.43	67.59	105.15	1.23	5.59	121.79	113.56	143.01	11.04	94.01	232.94	267.73	264.03	187.71	713.11	532.74	307.69	299.25	169.07	57.89	0.0	0.37	48.52
