	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AC.A6IV.01A.12R.A33J.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSB.0726.SM.5N9GD
CYP26B1	6.89	22.92	1.5	73.03	20.86	65.72	18.43	27.64	152.28	7.28	65.72	0.2	135.24
DACT3	68.55	135.24	14.56	229.72	37.59	152.28	13.12	23.59	142.01	37.59	128.79	0.32	183.82
DCN	12676.65	9025.81	674.59	42346.82	6207.38	25005.23	1199.98	5006.93	28328.16	4268.94	24490.61	1.06	19214.73
DEPDC7	21.78	25.17	4.03	123.5	10.88	55.1	3.89	23.08	54.72	6.46	74.58	0.52	49.91
DLGAP4	753.83	1030.12	651.58	1304.15	1044.52	1359.57	1073.91	718.08	1191.69	1023.0	1697.45	0.6	1286.18
ECM2	417.77	444.72	15.11	1167.14	183.82	616.37	46.5	503.95	759.08	146.03	587.13	0.0	743.43
EFEMP2	825.0	872.1	368.65	2758.13	915.51	1259.69	199.85	1378.57	2417.67	616.37	1369.04	0.85	7589.61
EGFL6	16.63	37.32	7.46	70.01	17.64	57.08	1.38	2.03	75.11	2.71	55.49	0.32	20.26
ELFN2	0.0	0.39	0.0	21.63	0.0	3.86	0.0	0.0	1.1	0.0	3.2	0.04	3.2
EMILIN1	239.52	483.38	42.71	3081.75	201.25	896.64	68.55	295.11	1896.65	275.28	1322.37	1.04	2701.35
EMP3	454.09	563.18	400.71	2193.99	438.59	1745.2	299.25	915.51	2133.97	450.94	1216.75	0.85	2434.5
EXD1	1.58	0.0	0.0	0.35	0.61	2.73	0.28	0.0	2.05	0.31	2.73	0.0	3.2
EYA4	2.29	7.46	0.0	7.75	1.95	16.03	0.33	2.25	4.21	0.0	9.63	0.11	102.25
FAM101B	126.12	463.65	51.35	854.13	80.01	336.79	44.89	75.11	301.33	81.14	269.6	104.42	143.01
GDF6	5.63	2.12	0.59	14.56	1.35	13.03	0.0	0.41	6.78	1.38	13.03	0.06	97.36
GFPT2	181.28	248.0	11.64	629.35	96.68	314.17	30.34	47.17	409.15	61.68	591.22	0.53	738.29
GOLGA8H	1.07	2.18	0.0	12.18	0.38	7.0	1.33	3.56	14.35	1.07	8.45	0.38	26.67
GPR161	48.52	67.12	7.06	212.78	40.36	101.54	9.85	21.16	80.57	20.71	115.16	0.56	124.37
GPR173	12.45	15.22	2.25	43.32	11.64	42.11	3.2	7.82	58.71	7.63	54.72	0.64	158.79
GPR78	0.74	0.78	0.0	1.25	0.39	1.57	0.0	0.0	2.73	0.39	2.34	0.21	17.51
GRM2	4.7	19.97	0.99	10.96	3.23	7.28	8.78	5.32	8.85	3.66	10.31	0.23	5.77
HAS2	42.41	19.25	0.75	100.83	10.88	51.71	2.63	4.58	28.65	5.92	63.45	0.0	18.29
HEPH	136.19	158.79	39.22	934.76	127.89	343.89	19.97	36.53	260.38	79.45	426.57	114.36	463.65
HS3ST3A1	7.34	14.03	0.39	134.3	3.17	13.62	6.94	1.3	16.27	2.89	41.52	0.47	11.82
HSPB8	674.59	1378.57	25.17	480.04	57.89	2163.77	46.84	89.51	988.12	157.68	1127.35	0.57	1540.37
IL13	1.0	0.0	0.28	1.51	0.0	0.72	0.64	0.0	1.43	0.0	1.79	0.0	1.83
ITGA11	358.54	275.28	13.32	2451.44	309.83	511.0	22.43	88.88	1225.22	130.6	1199.98	0.49	723.08
ITGA5	825.0	1477.58	441.64	3303.0	764.36	1322.37	285.03	642.59	1721.16	521.76	1651.0	438.59	1397.83
KIAA1199	15.91	58.3	6.41	967.76	43.94	137.14	17.77	20.11	237.86	36.79	490.14	0.42	303.44
KIF5A	4.74	0.75	0.33	14.67	19.11	6.78	2.27	8.38	18.16	1.07	51.71	0.46	54.72
KRTAP2-3	0.0	0.0	0.52	3.17	0.0	4.28	0.0	0.0	0.0	0.0	2.66	0.09	19.11
LAMB1	1963.57	2032.85	339.14	5711.87	1066.48	2855.44	339.14	988.12	3372.43	603.67	2148.82	1.22	4419.52
LEPRE1	567.1	656.11	500.46	1794.29	470.14	902.89	486.75	476.71	1008.9	493.56	947.83	0.68	1183.45
LIF	37.85	28.04	14.24	77.25	15.8	100.83	5.73	20.11	58.71	22.59	327.56	0.0	497.0
LOXL2	392.44	620.67	128.79	3564.78	244.57	854.13	90.14	218.79	836.53	244.57	1066.48	0.56	2351.53
LUM	21617.82	19892.37	808.0	91404.92	10368.08	35363.15	1963.57	8778.97	45701.96	5403.7	41763.8	0.58	153724.82
MAB21L2	0.35	0.72	0.0	2.29	0.0	0.73	0.0	0.78	1.45	0.36	1.79	0.0	82.29
MAFF	68.55	166.73	103.69	305.55	92.7	277.2	31.67	320.8	346.29	148.09	361.04	0.0	638.15
MAP4K4	555.41	830.75	65.26	1769.57	511.0	1127.35	555.41	269.6	1044.52	260.38	961.07	191.67	988.12
METRNL	264.03	620.67	429.54	1216.75	334.46	540.19	265.87	543.96	1709.26	193.01	1242.34	293.07	2209.26
MFAP2	1191.69	1331.57	165.57	5711.87	529.06	2627.46	113.56	248.0	2701.35	473.41	2816.11	0.49	2451.44
MFAP5	571.05	934.76	72.01	6652.97	703.28	1295.13	118.43	325.29	2816.11	536.45	2075.59	0.28	2915.45
MMP19	195.72	182.55	32.13	507.46	90.14	279.14	30.78	123.5	503.95	52.45	339.14	0.36	583.07
MRC2	514.56	713.11	88.26	4481.23	521.76	1295.13	88.26	368.65	2061.24	277.2	1819.35	0.71	2485.67
MXRA8	2047.0	1883.54	6840.04	12853.63	1225.22	4123.49	363.56	1745.2	6294.04	780.44	6652.97	1.01	13123.73
MYO1B	633.73	1437.15	129.69	1991.0	450.94	1183.45	107.38	307.69	769.69	819.3	1151.06	0.58	1037.29
NAALADL1	61.68	106.63	27.25	229.72	56.28	151.22	21.63	105.15	262.2	78.34	220.32	0.54	361.04
NEUROD2	0.0	0.0	0.0	59.13	0.34	0.37	0.0	0.0	0.72	0.0	1.39	0.0	0.0
NHS	33.06	113.56	2.18	77.79	24.99	170.25	12.45	43.02	62.56	15.8	71.0	0.39	75.64
OLFML2B	684.02	995.0	162.14	2997.45	483.38	1745.2	136.19	392.44	1529.73	285.03	1844.76	0.6	4066.71
OXT	0.0	1.62	1.31	11.82	1.53	1.64	0.0	0.0	27.64	0.0	10.0	0.13	13.42
PCOLCE	1143.1	1991.0	473.41	5995.9	848.22	3257.52	343.89	825.0	4038.61	775.05	4239.45	0.87	6699.25
PDLIM7	511.0	954.43	420.68	3847.29	688.78	1350.18	420.68	518.15	2133.97	511.0	1806.78	381.68	3395.89
PPAPDC1A	145.02	299.25	7.06	1583.71	112.77	371.22	158.79	10.71	397.93	19.25	432.53	0.17	305.55
QPCT	163.28	147.06	31.0	353.59	96.01	236.21	36.01	63.89	368.65	108.14	460.44	0.61	2018.8
RAB6B	22.26	57.89	10.24	175.07	25.72	57.49	22.26	30.78	90.14	20.11	88.88	0.67	297.17
RCN3	521.76	836.53	119.26	2895.31	392.44	1216.75	748.61	314.17	2061.24	258.57	1529.73	1.11	3395.89
RFX8	11.47	39.5	0.71	103.69	3.29	48.52	0.0	8.25	39.22	4.78	47.17	0.39	43.02
RHOBTB2	228.13	211.31	285.03	339.14	264.03	507.46	156.59	305.55	323.03	172.65	559.28	0.3	417.77
RIMBP2	1.3	3.72	0.0	4.43	0.32	4.46	0.0	2.58	3.14	0.0	9.27	0.15	13.52
RP11-159D12.5	33.54	25.91	32.82	17.0	39.5	34.02	7.94	30.34	351.14	3.79	73.03	0.96	150.17
RP11-433C9.2	1.46	1.89	0.0	5.68	2.48	3.44	0.0	0.0	4.21	0.0	5.73	0.0	1.93
RP11-451M19.3	1.06	6.78	0.6	2.73	0.37	4.03	0.0	0.82	5.87	0.72	2.94	0.06	16.88
RP11-96O20.4	0.0	0.0	0.0	2.34	0.0	0.0	0.0	0.0	6.31	0.0	2.56	0.0	6.73
RRAGA	2133.97	2875.3	1832.01	2032.85	1857.6	2047.0	1662.49	1806.78	1832.01	2032.85	2287.2	0.61	1519.15
S100A3	6.52	39.22	20.11	60.82	8.85	24.81	10.24	2.97	59.13	12.55	45.53	0.0	53.19
SALL4	14.78	26.47	0.67	109.66	14.56	48.87	5.96	2.46	74.58	10.08	43.32	0.22	38.95
SCGB2A2	1318073.06	1788103.97	1751305.3	72213.45	2279047.19	13123.73	1668359.93	8805660.77	8078.22	1578364.61	1187913.85	0.0	0.0
SERPINE1	796.86	656.11	114.36	2148.82	295.11	551.56	42.41	229.72	1167.14	244.57	2537.92	154.42	1745.2
SERPINF1	2351.53	4123.49	571.05	15715.58	2287.2	7433.4	1037.29	3874.05	14461.21	1233.75	7803.01	0.8	14461.21
SGIP1	93.35	77.79	8.06	884.29	87.65	190.34	5.36	41.22	248.0	21.63	273.37	860.08	1369.04
SH3TC1	155.5	173.85	117.6	406.31	191.67	195.72	75.64	211.31	470.14	139.07	341.51	0.84	909.17
SLC38A5	47.5	75.64	5.92	1066.48	40.07	194.36	21.63	57.49	269.6	17.38	587.13	241.19	4736.79
SLC5A10	1.14	8.38	0.68	5.59	2.16	4.54	0.42	1.69	15.45	4.28	6.73	0.27	15.45
SPECC1	226.54	638.15	285.03	769.69	287.01	450.94	29.91	152.28	358.54	173.85	780.44	0.65	684.02
SPHK1	195.72	264.03	125.24	2061.24	161.02	435.55	53.57	118.43	775.05	88.26	571.05	0.73	713.11
TIMP2	3794.3	3146.52	934.76	17078.76	2468.49	7966.99	575.03	2485.67	9025.81	1407.55	8840.04	0.93	6887.62
TMEM229A	0.0	0.34	0.0	0.37	0.0	1.03	0.0	0.0	0.0	0.0	0.35	0.01	0.51
TMEM240	10.0	13.42	0.0	43.63	7.46	21.32	7.51	16.88	81.71	8.71	33.06	0.32	115.97
TNFSF9	7.57	9.7	1.41	74.58	4.58	32.13	5.96	6.06	14.45	7.28	32.82	239.52	18.16
TREM1	43.63	0.42	17.25	199.85	72.01	75.11	10.63	61.25	103.69	27.25	249.73	0.46	1936.53
TRO	102.25	66.18	107.38	226.54	58.71	135.24	12.45	43.02	202.66	24.46	129.69	0.78	780.44
TSPAN18	204.07	414.87	35.5	688.78	107.38	295.11	98.04	198.47	358.54	147.06	376.41	87.03	860.08
U82695.9	1.41	0.0	0.0	3.59	0.71	1.87	0.0	0.0	11.3	0.0	1.89	0.15	11.3
ZFPM2	55.89	52.82	2.43	190.34	28.65	86.43	10.08	35.76	93.35	20.11	82.29	0.34	264.03
