	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.CV.7183.01A.11R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XV7Q.2426.SM.4BRV8	TCGA.EM.A2P3.01A.11R.A206.07	TCGA.DJ.A3VD.01A.11R.A23N.07	TCGA.E8.A242.01A.21R.A16R.07	GTEX.12WSG.2126.SM.5EGJ7	GTEX.1313W.2826.SM.5P9G1
FAM200B	1963.57	2163.77	473.41	454.09	0.0	0.39	215.77	1397.83	808.0	1059.11	1605.83	2664.15
FAM229B	356.05	1119.56	50.63	85.22	0.0	0.28	205.5	660.68	438.59	567.1	2573.36	1781.89
FBXL5	2148.82	2104.58	748.61	647.07	0.0	0.72	392.44	995.0	896.64	1008.9	1304.15	1277.29
GLI4	579.04	647.07	73.54	140.04	0.0	0.82	95.34	215.77	251.48	189.02	503.95	785.88
GNPAT	947.83	764.36	432.53	389.72	0.0	0.54	429.54	624.99	599.49	567.1	1268.46	1304.15
IDH3B	2032.85	1950.0	1529.73	1617.0	0.0	1.08	1417.35	1794.29	1733.13	1685.71	2976.74	3280.18
IDNK	457.25	1001.93	109.66	43.32	0.0	0.23	62.56	193.01	181.28	202.66	470.14	381.68
IMMP1L	674.59	665.29	329.84	191.67	0.0	0.33	249.73	551.56	301.33	262.2	1159.07	1806.78
KDELR1	9673.69	12329.98	4239.45	5292.48	0.0	1.14	2004.85	4575.41	4419.52	5479.15	6561.36	4704.07
KRCC1	1551.09	941.27	389.72	265.87	0.0	0.34	132.44	813.63	759.08	612.11	2018.8	1322.37
LCTL	5.36	11.55	1.01	1.81	0.0	0.1	0.84	3.96	3.38	1.53	6.94	5.5
LRRC70	121.79	118.43	11.64	7.69	0.0	0.2	32.59	59.55	84.63	45.53	199.85	343.89
LYRM5	555.41	629.35	260.38	191.67	309.83	309.83	229.72	620.67	473.41	450.94	780.44	1191.69
MED29	995.0	1605.83	638.15	1001.93	0.0	0.57	438.59	796.86	738.29	896.64	1191.69	1322.37
MUC5B	5.923719433E7	3.066309426E7	1.41	5.32	0.0	0.0	0.1	0.0	0.79	2.51	19.68	1.07
NCK1	656.11	860.08	595.34	518.15	0.0	0.78	947.83	532.74	647.07	460.44	1088.92	981.29
NELFE	2451.44	2555.58	1662.49	1447.15	0.0	1.04	1794.29	1991.0	1674.06	2032.85	3716.2	2367.9
NGDN	1066.48	1111.82	450.94	503.95	0.0	0.91	503.95	954.43	775.05	713.11	1551.09	1487.87
NGFRAP1	10585.95	5711.87	3491.39	3639.7	0.0	1.0	1015.93	5219.6	3768.09	3124.78	7485.11	8658.09
NT5C3B	1870.53	1167.14	1073.91	974.5	0.0	0.99	336.79	1551.09	1159.07	1259.69	3614.55	2537.92
NUDT9	733.19	842.36	356.05	409.15	0.0	0.38	460.44	607.87	595.34	571.05	1331.57	1467.37
NUPR1	6471.02	2855.44	525.39	1233.75	0.0	0.99	249.73	5183.54	4575.41	5006.93	11189.6	13123.73
PARL	1059.11	1628.26	961.07	1407.55	0.0	0.95	518.15	1304.15	1008.9	1159.07	1662.49	2193.99
PHOSPHO2	94.01	155.5	26.67	15.0	0.0	0.01	24.11	103.69	79.45	82.29	199.85	314.17
PKD2L2	1.51	1.53	0.0	0.55	0.0	0.16	0.58	0.61	2.05	1.14	5.68	1.95
PPP5D1	80.01	70.01	4.86	1.0	0.0	0.0	3.92	37.85	23.59	25.35	127.0	154.42
PRPF8	4802.93	4903.87	3564.78	2047.0	0.0	1.23	3146.52	3955.48	4671.57	4450.27	6699.25	5517.27
PRR18	51.35	642.59	0.0	0.0	0.0	0.0	0.0	0.21	1.25	0.25	18.43	2.63
RP11-817J15.3	43.94	0.0	1.87	0.0	0.0	0.0	4.1	24.11	15.56	9.85	49.56	48.52
RPL5	73221.53	69271.73	29531.18	21768.19	32767.0	3443.31	19892.37	41475.31	31432.17	31432.17	89523.81	152662.96
RPS3A	141455.6	141455.6	48307.85	30361.44	73221.53	2032.85	43236.64	61571.56	51417.5	50011.46	138544.47	217400.14
RPS6	138544.47	87075.75	53973.86	61571.56	0.0	1.79	53230.77	74760.09	58250.19	56657.31	141455.6	229795.93
SEC14L4	5.92	46.84	0.0	0.84	0.0	0.0	1.64	2.39	1.43	1.85	15.91	20.56
SERF1B	1378.57	1697.45	483.38	409.15	0.0	0.51	679.29	1359.57	1233.75	1159.07	2720.15	2133.97
SHBG	31.0	37.32	5.06	3.41	0.0	0.01	4.58	16.03	14.56	7.63	42.41	20.56
SMIM11	674.59	780.44	226.54	173.85	0.0	0.52	202.66	559.28	529.06	476.71	743.43	1159.07
SMIM19	1844.76	2061.24	518.15	239.52	0.0	0.51	305.55	1617.0	909.17	1359.57	2255.7	1857.6
ST7	470.14	559.28	241.19	356.05	0.0	0.27	181.28	450.94	361.04	384.34	748.61	785.88
TDRD7	299.25	187.71	115.97	194.36	0.0	0.59	229.72	234.57	244.57	273.37	371.22	447.82
THAP7	1457.23	1369.04	316.37	361.04	0.0	0.45	281.09	961.07	780.44	872.1	1883.54	1583.71
TM2D3	1561.89	1628.26	376.41	361.04	0.0	0.85	503.95	1369.04	1030.12	1051.79	1870.53	1529.73
TMEM128	1143.1	1561.89	275.28	185.11	0.0	0.33	178.77	1023.0	808.0	708.18	1216.75	1096.5
TMEM88	967.76	325.29	43.63	69.03	0.0	0.16	100.13	248.0	264.03	121.79	808.0	896.64
TPT1	218912.29	197294.7	118127.7	107948.72	77396.54	2319.15	119776.72	149521.18	130165.62	143430.26	277089.94	263966.36
TUBE1	273.37	297.17	71.0	72.52	0.0	0.36	121.79	312.0	265.87	172.65	909.17	595.34
UBXN1	6079.61	6250.56	2367.9	2148.82	0.0	0.97	2502.97	5594.3	4869.99	5329.3	6607.01	5791.62
UQCRB	11112.3	10440.2	4802.93	6792.79	0.0	1.03	5292.48	8840.04	7433.4	7382.04	18689.27	17804.06
XK	16.51	68.55	15.91	4.58	0.0	0.2	10.39	8.78	6.21	5.23	13.52	56.68
ZFP82	121.79	215.77	6.31	16.39	0.0	0.2	5.54	103.69	66.65	47.84	194.36	1519.15
ZNF14	96.68	262.2	7.51	13.93	0.0	0.0	34.26	115.97	77.79	59.97	318.57	1208.34
ZNF155	131.51	297.17	17.13	47.17	0.0	0.36	22.59	148.09	65.26	86.43	186.4	187.71
ZNF253	414.87	503.95	18.43	22.75	0.0	0.24	11.55	193.01	113.56	92.05	316.37	256.78
ZNF567	96.01	217.27	28.24	43.02	0.0	0.39	9.06	133.36	127.0	87.65	206.94	291.04
