	GTEX.P4QT.0626.SM.3NMCP	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.XR.A8TD.01A.12R.A39D.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.XR.A8TF.01A.11R.A36F.07	TCGA.CG.4477.01A.01R.1157.13	TCGA.IN.8462.01A.11R.2343.13	TCGA.VQ.A8P5.01A.11R.A39E.31
HS6ST3	1.39	0.0	0.0	1.1	0.0	10.31	0.47	0.0	0.64	2.71	4.43
HTR1B	9.34	1.41	0.0	2.94	2.12	28.04	0.0	0.0	10.71	23.08	9.78
IFNE	105.89	0.0	0.0	0.39	0.74	66.18	0.0	0.0	17.9	26.28	9.48
IFT172	624.99	159.9	148.09	483.38	214.27	2468.49	67.59	244.57	753.83	708.18	718.08
IL17C	0.0	0.0	0.0	3.14	1.35	15.34	0.0	0.0	14.78	9.78	7.75
ISL1	81.14	0.0	0.0	0.0	1.46	20.26	0.0	0.0	18.84	55.89	98.04
ITGB6	406.31	39.79	1.11	58.3	25.35	1127.35	0.0	0.46	457.25	563.18	131.51
KCNE3	4769.75	63.0	133.36	105.15	84.04	1883.54	26.67	129.69	575.03	303.44	890.44
KCNN4	2255.7	31.9	3.63	138.1	99.43	2468.49	6.11	8.51	269.6	748.61	669.92
KIAA1644	25.54	0.0	0.39	5.41	4.58	18.43	0.0	0.0	8.99	8.78	12.09
KRT80	896.64	0.4	8.45	90.77	6.41	713.11	0.0	0.37	130.6	708.18	529.06
KRTAP3-2	2816.11	0.0	0.0	0.0	0.0	7.06	0.0	0.0	10.31	6.89	3.38
LFNG	1119.56	70.51	21.78	265.87	132.44	1819.35	53.57	13.93	348.71	1561.89	612.11
LHFPL3	5.77	0.49	0.0	1.95	2.27	21.47	0.0	1.17	2.76	11.13	5.32
LHX1	0.78	0.0	0.0	0.0	0.43	35.25	0.0	0.0	4.1	4.82	6.67
LHX5	3.11	0.0	0.0	0.0	0.37	8.45	0.0	0.0	1.0	1.13	32.59
LXN	473.41	29.27	43.63	323.03	105.15	808.0	26.1	37.05	447.82	775.05	395.18
MBOAT2	1936.53	6.94	7.82	81.14	29.91	669.92	5.82	7.63	934.76	728.11	99.43
MFSD4	133.36	13.22	16.51	58.71	14.89	1066.48	11.73	15.34	208.38	872.1	830.75
MGAT3	68.07	3.35	10.47	10.55	4.74	466.88	2.39	1.46	47.17	90.14	384.34
MIA	59.55	0.0	11.47	154.42	8.06	4181.07	9.48	0.0	318.57	53.57	22.1
MMP1	73.54	7.82	6.57	39.22	11.64	7032.37	1.07	30.34	5041.77	253.23	1781.89
MMP10	2.39	0.0	2.66	14.45	1.53	842.36	0.0	9.2	397.93	41.81	15.45
MPP3	217.27	12.93	43.63	79.45	49.91	314.17	3.89	18.97	105.15	223.41	124.37
MSLN	1909.85	0.88	0.0	166.73	11.82	8598.28	1.97	1.16	1030.12	289.02	113.56
MSLNL	3.29	0.0	0.0	0.0	0.0	12.27	0.0	0.0	3.76	7.69	10.71
MSX2	36.27	0.0	0.0	4.98	0.36	64.8	0.45	0.0	698.41	86.43	87.65
MUC21	38966.94	0.0	0.0	3.56	0.0	258.57	0.0	0.0	1350.18	10512.82	3.32
MUC5AC	4.102499906E7	0.0	0.0	16.27	0.0	4239.45	0.0	0.0	6426.31	42641.37	909.17
NDNF	58.71	1.2	3.82	21.01	5.92	309.83	1.43	1.08	42.71	59.55	15.68
NKX2-8	70.01	0.0	0.0	3.66	1.36	70.01	0.0	0.0	1.75	14.89	0.44
NMU	1369.04	0.0	0.0	4.43	2.32	429.54	0.0	0.0	237.86	403.5	842.36
NTF4	87.03	0.0	0.0	2.01	0.0	103.69	0.0	0.0	3.29	32.82	11.73
NTNG1	1.58	0.0	0.39	1.57	1.53	12.18	0.0	0.0	6.16	3.69	9.56
ONECUT3	1.773381898E7	0.0	0.0	0.75	0.0	55.49	0.0	0.73	47.17	113.56	3.96
OR7D2	1.07	0.42	0.0	0.4	0.0	32.82	0.0	0.0	42.41	3.79	5.68
OSBPL5	325.29	23.76	28.04	209.84	138.1	466.88	25.54	46.5	175.07	406.31	297.17
OVOL1	688.78	0.0	0.0	5.82	0.0	269.6	0.0	0.0	143.01	518.15	185.11
PAX8	163.28	44.25	21.94	28.04	39.79	376.41	2.03	5.87	1015.93	226.54	559.28
PCDHA4	1.58	0.0	0.0	8.32	0.39	31.0	0.0	0.38	1.95	7.28	7.11
PLEKHS1	156.59	0.0	0.97	12.83	1.87	921.88	0.0	0.0	392.44	44.57	819.3
PLK2	819.3	329.84	444.72	954.43	638.15	5791.62	262.2	244.57	503.95	915.51	525.39
PRSS33	67.59	0.0	0.33	1.1	0.0	23.59	0.0	0.0	7.51	9.63	16.75
PSCA	33224.42	6.94	11.91	78.89	9.56	5479.15	0.0	0.0	5517.27	21026.65	1651.0
PTPRR	3.63	0.84	1.03	11.47	1.13	547.75	2.78	0.77	54.72	183.82	71.0
PVRL4	1781.89	0.64	0.93	31.67	13.93	414.87	0.72	1.38	293.07	688.78	228.13
RAET1L	791.35	0.0	1.73	1.2	0.0	60.82	1.97	0.0	105.89	277.2	37.59
RHPN1	262.2	49.56	81.71	170.25	94.01	974.5	13.83	33.78	195.72	314.17	1359.57
RNF39	575.03	1.99	2.05	15.22	6.06	217.27	0.0	0.0	75.11	1322.37	66.18
S100A5	3.11	1.58	0.0	0.0	0.0	22.59	0.0	0.0	7.28	3.03	19.97
SBNO2	954.43	432.53	511.0	708.18	591.22	988.12	178.77	312.0	854.13	1350.18	878.17
SCEL	8363.13	0.0	0.0	16.27	1.73	366.09	0.0	0.0	432.53	1208.34	9.93
SCN2A	1.11	0.0	0.0	1.68	0.88	37.05	0.0	0.0	2.84	3.76	8.06
SCNN1A	5366.37	122.64	127.0	518.15	57.89	3515.68	52.82	108.14	1175.27	4450.27	5329.3
SERPINB5	4639.29	0.0	0.0	0.0	8.58	703.28	3.79	0.0	896.64	1111.82	244.57
SLC44A4	11992.79	0.53	10.88	420.68	21.78	3901.01	1.58	6.16	2645.74	2047.0	1529.73
SLC6A14	59.55	0.0	0.0	0.0	0.47	110.43	0.0	0.0	414.87	60.82	191.67
SLC6A20	241.19	1.2	0.0	43.32	3.17	441.64	0.0	0.39	253.23	414.87	88.26
SLCO4A1	638.15	1.38	11.3	39.5	195.72	1119.56	5.28	17.25	1143.1	703.28	808.0
SLITRK6	61.25	0.0	0.0	8.19	0.0	187.71	0.54	0.0	18.84	36.79	7.69
SLURP1	4903.87	0.0	0.0	0.0	0.0	79.45	0.0	0.0	211.31	7695.57	5.5
SOD3	1167.14	41.22	36.53	1104.13	559.28	26800.01	28.86	12.36	764.36	5995.9	555.41
SPATA18	151.22	4.06	3.76	140.04	124.37	285.03	5.68	3.38	53.95	65.26	23.93
SPINK13	0.0	0.0	0.0	0.0	0.0	66.18	0.0	0.0	12.36	208.38	15.56
SPINK7	12415.75	0.0	0.0	0.0	0.0	46.84	3.63	0.0	854.13	2303.12	6.06
SRMS	35.0	0.52	0.0	1.3	0.0	43.63	0.0	0.0	4.13	21.16	22.92
STX19	157.68	0.0	0.0	9.85	2.51	204.07	0.0	0.0	181.28	299.25	58.71
STX1A	423.61	64.34	47.84	301.33	140.04	723.08	36.79	123.5	163.28	432.53	325.29
TFAP2A	400.71	14.89	4.17	59.55	12.74	555.41	0.0	8.38	182.55	532.74	186.4
TLL2	13.12	0.0	0.87	4.94	0.54	54.33	1.19	0.54	17.25	29.48	17.25
TMEM173	748.61	170.25	136.19	921.88	417.77	2255.7	92.7	89.51	728.11	1477.58	1059.11
TMPRSS4	2573.36	0.0	0.78	36.53	3.76	2319.15	7.4	0.0	1044.52	2351.53	1313.23
TNNT1	91.41	7.11	0.0	11.91	43.32	954.43	0.0	4.24	80.57	68.07	392.44
TNS4	878.17	1.06	0.0	5.77	1.39	275.28	1.22	0.97	728.11	1119.56	651.58
TRAK1	1119.56	140.04	183.82	403.5	307.69	1457.23	208.38	267.73	629.35	1096.5	679.29
TRIM17	29.48	0.0	1.73	7.28	2.34	86.43	1.68	2.29	10.88	35.0	23.76
TSPAN1	23169.48	152.28	81.14	201.25	77.25	6887.62	145.02	77.25	5147.73	9673.69	1561.89
VILL	2367.9	18.43	11.04	176.29	46.5	647.07	9.27	9.85	480.04	1950.0	629.35
VSTM5	64.34	0.0	0.0	6.21	1.77	149.12	0.0	0.0	7.28	52.45	88.26
VWA2	149.12	0.0	0.26	9.78	0.95	148.09	1.22	0.0	92.7	67.59	166.73
WNT10A	199.85	0.82	0.69	42.71	14.56	429.54	0.97	0.74	98.04	50.63	70.01
ZNF860	52.82	0.0	0.39	1.91	0.42	46.18	1.01	0.0	20.26	48.87	43.02
