	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.KN.8425.01A.11R.2315.07	TCGA.KO.8410.01A.11R.2315.07	TCGA.KN.8423.01A.11R.2315.07	TCGA.B0.4699.01A.01R.1277.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.8678.01A.11R.2402.13	TCGA.D7.A4YY.01A.11R.A251.31
AVPR1A	4.94	559.28	967.76	3564.78	525.39	0.0	0.0	13.62	6.78
BCAS4	36.01	1617.0	1639.59	1322.37	819.3	0.0	0.28	180.02	130.6
BOLA3	759.08	1304.15	3190.46	1605.83	928.3	0.0	0.28	1001.93	1313.23
BPGM	813.63	4575.41	2758.13	1896.65	1909.85	518.15	215.77	295.11	320.8
BTG3	1977.24	612.11	2796.65	1498.22	1023.0	0.0	0.51	693.58	1350.18
C12orf44	842.36	1594.73	2367.9	2047.0	1340.84	0.0	0.45	1639.59	503.95
C16orf91	314.17	460.44	738.29	651.58	432.53	0.0	0.08	271.48	363.56
C20orf194	16.88	231.32	854.13	325.29	212.78	0.0	0.52	61.68	61.68
C9orf84	12.45	417.77	647.07	497.0	166.73	0.0	0.25	30.12	3.32
CA10	0.0	289.02	1487.87	329.84	43.32	0.0	0.13	0.0	0.53
CAPG	24490.61	12415.75	15180.22	9945.68	7433.4	0.0	0.29	1225.22	3982.99
CCDC134	111.21	363.56	616.37	866.07	242.88	0.0	0.1	181.28	72.01
CD5L	1.23	5.23	336.79	2.58	26.47	0.0	0.0	0.0	0.0
CECR1	204.07	769.69	5076.84	389.72	674.59	981.29	113.56	111.99	563.18
CHCHD7	713.11	1427.22	1923.14	1844.76	1023.0	0.0	0.65	915.51	412.0
CNGB1	115.97	3.99	76.71	114.36	1.69	0.0	0.06	20.86	0.0
CNPPD1	1551.09	4704.07	8658.09	4481.23	1447.15	0.0	0.25	866.07	1519.15
COX7A2L	1519.15	4298.64	7537.18	4268.94	2367.9	0.0	0.84	1769.57	1896.65
CPT1A	301.33	2537.92	4736.79	3060.45	728.11	417.77	220.32	896.64	1051.79
CR1L	0.0	830.75	2502.97	2956.17	114.36	0.0	0.06	0.66	4.9
CXorf27	0.0	1.71	7.51	4.39	0.0	0.0	0.0	0.0	0.0
CYC1	2682.69	10733.74	14561.8	14163.58	2956.17	0.0	1.03	3716.2	3820.7
DDB1	2178.83	5076.84	6164.49	4736.79	3039.3	0.0	0.91	3018.3	1331.57
DHRS2	37.05	28525.2	57051.4	32315.87	3168.41	0.0	0.01	928.3	113.56
DHRS7	1030.12	17681.08	36864.92	31650.8	14867.79	0.0	0.79	571.05	1487.87
DMRT2	0.8	6840.04	9088.59	9474.59	3491.39	0.0	0.39	2.27	0.87
DOCK10	267.73	518.15	2835.7	1051.79	316.37	0.0	0.46	59.13	128.79
DYNLT3	2682.69	1508.65	7382.04	3190.46	915.51	0.0	0.59	1001.93	698.41
EDARADD	1250.98	363.56	122.64	173.85	275.28	0.0	0.13	22.75	12.93
ENDOD1	1066.48	1216.75	1844.76	679.29	884.29	819.3	167.9	214.27	470.14
EPS8	31.0	3901.01	7081.29	9540.5	2335.28	0.0	0.78	368.65	1208.34
FAM13C	42.41	819.3	780.44	1781.89	417.77	0.0	0.0	21.01	19.97
FAM184B	0.39	251.48	299.25	392.44	86.43	0.0	0.06	0.0	0.0
FAM189A1	62.56	2.92	40.36	6.73	2.12	0.0	0.09	1.68	0.11
FAM63A	921.88	1806.78	1628.26	1769.57	854.13	0.0	0.38	191.67	353.59
FAM83F	7382.04	351.14	525.39	483.38	232.94	0.0	0.31	45.85	167.9
FGF14	186.4	209.84	3235.01	1857.6	102.97	0.0	0.09	38.12	80.01
FNIP2	122.64	1350.18	2367.9	3690.52	848.22	0.0	0.42	283.05	518.15
FOXI1	0.0	10368.08	13123.73	9673.69	6207.38	0.0	0.01	17.0	0.0
FRMPD4	0.0	52.45	3.53	9.63	15.8	0.0	0.0	0.39	0.0
GNAS	23330.64	46986.85	65990.84	52135.28	41763.8	15180.22	2240.11	20737.16	9945.68
GPR3	54.72	12.83	217.27	22.92	37.85	0.0	0.0	44.89	21.94
GRIP1	109.66	189.02	559.28	688.78	70.51	0.0	0.14	2.29	13.72
GULP1	24.99	947.83	2627.46	1073.91	563.18	0.0	0.56	46.5	769.69
HCAR3	13306.94	187.71	3515.68	1030.12	23.76	0.0	0.0	10.55	4.54
HERPUD1	769.69	6207.38	10659.59	9088.59	5366.37	0.0	0.67	1388.16	1175.27
HEY1	41.52	289.02	2193.99	2520.38	220.32	0.0	0.59	435.55	64.34
HS6ST3	0.0	395.18	420.68	813.63	99.43	0.0	0.0	0.55	0.0
IER3IP1	1059.11	2384.37	3614.55	2895.31	1359.57	0.0	0.71	1572.76	1709.26
IL18	38966.94	5913.33	11345.82	5555.65	559.28	0.0	0.56	40.93	547.75
IMMT	1313.23	2485.67	4937.99	2682.69	1617.0	0.0	0.65	1417.35	1477.58
INSIG2	651.58	532.74	3614.55	571.05	854.13	1313.23	371.22	460.44	447.82
ISCU	1073.91	11035.54	23169.48	16045.82	5219.6	0.0	0.93	1250.98	2119.22
ITGA6	928.3	2104.58	15392.14	2855.44	1709.26	0.0	0.78	5633.22	3515.68
ITGAV	172.65	1135.2	5255.91	1104.13	1111.82	293.07	65.72	521.76	915.51
ITGB7	1295.13	791.35	1015.93	1088.92	476.71	0.0	0.1	95.34	127.89
IYD	13.03	429.54	1832.01	133.36	14.35	0.0	0.01	5.06	212.78
KDELC2	103.69	902.89	1617.0	1662.49	595.34	0.0	0.46	341.51	255.0
KIAA0247	878.17	1477.58	1757.34	1350.18	1127.35	281.09	624.99	285.03	470.14
KIAA1737	629.35	1397.83	2119.22	1832.01	629.35	0.0	0.47	256.78	305.55
KLK1	5517.27	55107.99	17437.64	18689.27	23820.89	0.0	0.25	171.45	67.12
KLK4	169.07	2609.3	518.15	698.41	1159.07	0.0	0.04	164.42	4.06
KRT6C	2.7407585455E8	0.0	0.0	0.0	0.36	0.0	0.41	10.55	4.74
LETMD1	1073.91	2682.69	3491.39	4298.64	1819.35	878.17	1135.2	1378.57	860.08
LGI3	158.79	9.63	37.32	3.32	0.71	0.0	0.0	1.71	0.0
LIMCH1	1322.37	2451.44	6935.54	9088.59	1950.0	0.0	0.57	75.11	111.99
LIMS1	688.78	1127.35	6561.36	2133.97	2104.58	480.04	82.87	1359.57	961.07
LIMS3	13.72	43.32	543.96	173.85	25.54	0.0	0.0	0.0	2.81
LIMS3L	4.86	62.12	656.11	358.54	76.17	0.0	0.0	22.26	11.82
LMAN1	866.07	2664.15	7642.41	6426.31	1733.13	0.0	0.57	1313.23	1111.82
LPCAT3	1059.11	2875.3	3564.78	4095.0	2682.69	0.0	0.61	603.67	1806.78
LRFN5	41.22	457.25	325.29	633.73	9.48	0.0	0.24	0.96	0.79
LRRC52	6.11	33.54	112.77	102.25	9.48	0.0	0.0	0.49	0.0
LTK	9.56	220.32	961.07	76.71	97.36	0.0	0.66	28.86	15.68
MAB21L3	8901.53	117.6	395.18	486.75	226.54	0.0	0.13	13.42	3.69
MAP2	6294.04	647.07	878.17	890.44	656.11	0.0	0.56	447.82	7.88
ME3	1.73	1427.22	2485.67	1963.57	543.96	0.0	0.96	59.55	353.59
METRN	909.17	2018.8	3716.2	2997.45	684.02	0.0	0.67	748.61	836.53
MOB1B	89.51	921.88	1991.0	1977.24	612.11	0.0	0.46	136.19	180.02
MR1	180.02	1111.82	1605.83	1250.98	961.07	351.14	351.14	112.77	154.42
MRPS12	1015.93	2224.63	2720.15	2555.58	1175.27	0.0	0.39	890.44	713.11
MRPS5	872.1	1417.35	3467.27	2287.2	1191.69	0.0	0.75	1096.5	1286.18
MTFP1	567.1	1183.45	2682.69	2032.85	616.37	0.0	0.23	444.72	995.0
MTR	57.08	309.83	866.07	444.72	371.22	126.12	208.38	214.27	249.73
MTRNR2L12	363.56	3146.52	4736.79	2502.97	483.38	0.0	0.0	33.78	24.81
MTX2	1457.23	1350.18	2451.44	1397.83	961.07	0.0	0.0	941.27	708.18
NAP1L4	4268.94	7130.55	7130.55	4903.87	2367.9	2701.35	947.83	4419.52	2018.8
NCKAP5	131.51	208.38	336.79	447.82	60.82	0.0	0.0	9.27	5.59
NFAT5	249.73	371.22	878.17	567.1	1015.93	0.0	0.48	414.87	187.71
NFE2L2	8963.45	1819.35	6426.31	1437.15	2777.33	0.0	0.95	3690.52	2351.53
NKX2-4	0.0	0.0	0.39	2.53	0.0	0.0	0.0	0.0	0.0
NR0B2	3.41	753.83	2004.85	1447.15	403.5	0.0	0.0	9.93	305.55
NRG4	12.55	444.72	480.04	149.12	119.26	0.0	0.64	60.82	15.11
NXPH4	13215.02	52.82	1059.11	1143.1	165.57	0.0	0.56	51.71	7.94
OLIG1	7.82	785.88	1268.46	813.63	158.79	0.0	0.16	0.64	0.0
OR2C1	1.95	0.0	2.34	2.14	1.31	0.0	0.0	1.41	0.31
OR51T1	0.0	0.79	2.36	2.16	1.35	0.0	0.0	0.0	0.0
OXGR1	49.91	1066.48	1832.01	974.5	384.34	0.0	0.2	3.44	2.1
PABPC4L	0.0	117.6	229.72	186.4	118.43	0.0	0.08	4.86	5.23
PACRG	2.01	1733.13	1498.22	2255.7	1417.35	0.0	0.0	21.94	3.69
PCNXL4	163.28	2032.85	1923.14	3280.18	1498.22	0.0	0.34	334.46	470.14
PDE11A	0.0	89.51	299.25	106.63	62.12	0.0	0.0	4.39	3.63
PDP1	244.57	1963.57	2777.33	3928.15	961.07	693.58	92.05	332.14	327.56
PGPEP1L	4.35	0.8	56.28	1.1	0.68	0.0	0.0	0.72	0.0
PICALM	2591.27	10296.45	10296.45	7857.29	6426.31	0.0	0.52	2591.27	2573.36
PIM1	16960.78	1111.82	1769.57	2004.85	1066.48	954.43	327.56	460.44	423.61
PLCD4	217.27	190.34	406.31	75.11	231.32	0.0	0.36	47.5	18.7
PLEKHB2	884.29	5831.91	7695.57	4972.34	2720.15	0.0	0.47	1096.5	1540.37
PLEKHD1	0.89	127.89	435.55	73.03	158.79	0.0	0.12	9.34	0.77
PLLP	6121.9	10154.69	9606.86	4095.0	3190.46	0.0	0.4	102.97	651.58
PPTC7	559.28	395.18	764.36	521.76	412.0	0.0	0.16	361.04	283.05
PRDM4	417.77	1135.2	1709.26	2119.22	575.03	0.0	0.33	660.68	281.09
PRKG2	13.62	2.36	447.82	193.01	5.96	0.0	0.0	6.78	7.06
PSCA	450134.56	511.0	70727.3	10225.32	2.05	0.0	0.22	44.89	353.59
PSKH2	0.0	14.67	167.9	44.25	9.06	0.0	0.0	0.0	0.0
PTCHD4	1.5	189.02	540.19	50.27	129.69	0.0	0.0	3.76	0.32
RAB9A	1059.11	1322.37	2664.15	1540.37	1104.13	0.0	0.69	651.58	525.39
RHCG	4.336416418E7	32994.92	72715.74	46339.95	11584.24	0.0	0.65	25.91	9.93
RNF152	7.22	3018.3	3443.31	7911.95	595.34	0.0	0.54	52.82	164.42
RP11-234B24.6	2.66	17.64	11.13	4.74	3.38	0.0	0.04	0.73	3.38
RWDD4	387.02	1066.48	3168.41	830.75	599.49	0.0	0.26	470.14	483.38
SAT1	14561.8	20170.07	21026.65	28328.16	17804.06	10585.95	723.08	26431.04	11112.3
SATL1	20.26	42.71	73.54	68.55	36.79	0.0	0.0	15.91	14.14
SCN2A	0.28	51.71	181.28	32.36	37.59	0.0	0.12	1.75	1.0
SEC11C	1369.04	5555.65	17437.64	6745.86	3443.31	0.0	0.55	3768.09	866.07
SERPINB10	638.15	30.56	50.63	2.16	0.0	0.0	0.09	0.0	0.0
SERTM1	0.0	16.15	43.32	4.31	0.66	0.0	0.0	0.0	0.0
SH3TC1	1304.15	3395.89	1662.49	1159.07	1250.98	0.0	0.84	107.38	312.0
SLC20A1	1135.2	808.0	3443.31	890.44	1477.58	0.0	0.6	1135.2	547.75
SLC26A7	13.03	7081.29	19754.96	24660.96	1407.55	0.0	0.13	3.99	1.81
SLC35F3	3.03	95.34	86.43	21.16	50.27	0.0	0.04	0.91	0.6
SLC4A1	0.0	4450.27	23820.89	18178.19	1617.0	0.0	0.03	0.11	0.15
SLC5A4	0.93	4.86	10.0	6.26	4.1	0.0	0.13	0.79	0.39
SLC8A1	0.43	67.12	1242.34	152.28	90.14	0.0	0.24	55.1	65.72
SOWAHB	1662.49	381.68	551.56	454.09	289.02	0.0	0.0	1.01	29.27
SRSF5	7966.99	6294.04	10225.32	4736.79	8305.36	3491.39	2555.58	2997.45	3372.43
STAP1	2.1	4123.49	18178.19	9808.75	5255.91	0.0	0.12	3.23	1.77
STX18	466.88	1111.82	2777.33	1208.34	830.75	0.0	0.72	447.82	1119.56
SYT10	0.85	75.64	473.41	915.51	46.5	0.0	0.0	0.0	0.0
SYT14	0.0	13.32	42.71	31.9	1.35	0.0	0.18	0.0	1.08
SYTL5	49.91	28.65	830.75	511.0	26.67	0.0	0.01	18.97	0.64
TBATA	0.0	93.35	17.38	14.03	20.86	0.0	0.0	2.84	0.0
TBC1D24	36.27	921.88	1794.29	2061.24	387.02	83.45	73.03	223.41	148.09
TIMD4	5.77	1487.87	921.88	4639.29	567.1	0.0	0.0	0.0	3.96
TMEM101	988.12	1733.13	9151.82	3768.09	1313.23	0.0	0.14	423.61	674.59
TMEM156	28.86	11.3	497.0	14.67	40.64	0.0	0.37	2.81	11.13
TMEM175	283.05	1119.56	995.0	1037.29	587.13	0.0	0.8	264.03	629.35
TMEM215	0.0	0.39	264.03	3.96	1.0	0.0	0.01	0.0	0.0
TMEM51	1519.15	5219.6	3928.15	4937.99	2148.82	346.29	819.3	647.07	1359.57
TPST2	638.15	1096.5	5594.3	1561.89	928.3	0.0	0.71	256.78	397.93
TRAPPC6B	371.22	1104.13	1605.83	1073.91	842.36	0.0	0.53	264.03	246.28
TRHDE	9.41	195.72	665.29	507.46	3.76	0.0	0.04	0.0	1.89
TRIM50	1.85	8022.41	2976.74	638.15	490.14	0.0	0.01	0.0	0.0
TSPAN14	4010.71	1950.0	3124.78	4268.94	1651.0	961.07	1015.93	2573.36	1081.39
TSPAN7	19.39	4903.87	8078.22	9025.81	2777.33	0.0	0.67	58.3	35.5
TTC9	8479.89	409.15	1427.22	301.33	84.63	0.0	0.38	156.59	9.06
TWF1	3491.39	4769.75	5913.33	3768.09	4328.55	4671.57	921.88	1151.06	967.76
UBE2QL1	4.94	748.61	660.68	878.17	217.27	0.0	0.22	27.64	4.86
UNC80	1.19	61.68	417.77	81.14	6.73	0.0	0.04	2.51	0.0
USF2	1498.22	6337.83	5112.16	4937.99	4903.87	0.0	1.04	2209.26	1447.15
VAPA	10368.08	7081.29	9088.59	7331.05	4388.98	3018.3	1111.82	3372.43	3820.7
WNT16	105.89	0.41	258.57	178.77	0.69	0.0	0.29	109.66	2.39
ZNF555	81.71	127.89	267.73	100.83	180.02	82.87	43.32	55.89	33.06
ZSCAN5A	74.58	198.47	423.61	334.46	265.87	0.0	0.16	275.28	141.02
