	TCGA.CV.A6JO.01B.11R.A34R.07	TCGA.UF.A7JV.01A.11R.A34R.07	TCGA.A3.A6NL.01A.11R.A33J.07	TCGA.BP.4983.01A.01R.1334.07	TCGA.B0.4845.01A.01R.1277.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.43.6771.01A.11R.1820.07	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5721.11A.01R.1602.13
LENEP	0.0	0.0	4.86	3.06	1.46	5.92	4.46	0.0	0.0	0.0	0.0	0.0
LIPT1	63.0	66.18	214.27	84.63	190.34	212.78	151.22	0.0	0.0	49.91	132.44	176.29
LRRC48	25.54	19.11	279.14	42.41	363.56	220.32	251.48	0.0	0.0	23.59	40.36	73.54
LRRIQ1	0.0	8.06	18.97	5.73	24.46	41.22	12.18	0.0	0.0	3.38	8.38	5.36
MAGEH1	70.01	126.12	679.29	303.44	802.41	738.29	723.08	0.0	0.61	178.77	412.0	356.05
MAP2K7	417.77	450.94	567.1	363.56	603.67	444.72	743.43	0.0	0.85	242.88	525.39	435.55
MAPRE2	127.0	135.24	1477.58	1447.15	759.08	1467.37	791.35	149.12	100.13	173.85	1030.12	848.22
MED29	500.46	490.14	1023.0	884.29	1208.34	1183.45	1119.56	0.0	0.57	423.61	633.73	647.07
MED7	248.0	209.84	387.02	206.94	218.79	318.57	264.03	0.0	0.27	166.73	241.19	211.31
MFF	1030.12	1844.76	1674.06	1111.82	2061.24	1662.49	1832.01	0.0	1.07	1143.1	1259.69	1304.15
MID1	77.79	89.51	356.05	26.67	312.0	253.23	215.77	0.0	0.54	119.26	119.26	100.83
MRPS18A	1183.45	1096.5	1044.52	688.78	1037.29	1135.2	1378.57	0.0	0.37	1135.2	1757.34	2835.7
NDUFA10	2485.67	2255.7	2701.35	1936.53	2701.35	2573.36	2591.27	1639.59	1044.52	2555.58	3467.27	4010.71
NEK10	1.97	5.11	14.03	6.01	19.68	13.12	9.56	0.0	0.0	1.68	11.82	36.79
NFU1	988.12	941.27	1662.49	1583.71	1709.26	1651.0	2400.97	0.0	0.64	638.15	638.15	988.12
NRXN2	5.82	26.47	698.41	115.16	785.88	1216.75	660.68	0.0	0.23	7.82	11.13	15.8
NUDT14	409.15	813.63	1709.26	373.81	1369.04	1015.93	1331.57	0.0	0.3	460.44	796.86	1519.15
NUP35	232.94	187.71	228.13	199.85	409.15	255.0	429.54	0.0	0.0	165.57	223.41	228.13
OR10Q1	0.0	0.0	2.41	0.67	5.32	1.04	3.99	0.0	0.0	0.0	0.0	0.0
PCDHB4	2.36	6.31	74.58	7.4	113.56	122.64	81.71	0.0	0.3	5.63	29.27	10.55
PCM1	607.87	563.18	1583.71	748.61	1397.83	1733.13	1369.04	0.0	0.99	723.08	941.27	909.17
PGA3	6.62	10.79	43.94	2.48	220.32	53.95	500.46	0.0	0.21	2.71	2.339991475E7	2.276004283E7
PHC1	81.71	234.57	665.29	295.11	1322.37	669.92	665.29	0.0	0.8	239.52	269.6	325.29
PI4KA	514.56	595.34	836.53	660.68	808.0	902.89	638.15	0.0	1.04	571.05	981.29	718.08
PIH1D2	13.72	17.64	132.44	15.91	163.28	149.12	171.45	0.0	0.0	7.82	36.53	12.74
PLCXD3	0.0	0.45	9.34	2.05	4.35	40.36	3.35	0.0	0.17	0.0	38.67	55.89
PLXNB2	3665.02	3280.18	4607.24	2855.44	4704.07	4388.98	6935.54	0.0	1.2	3419.52	6037.61	5995.9
PPIAL4A	0.97	0.65	1.03	0.0	1.07	1.71	2.92	0.0	0.0	0.0	0.0	0.0
PPIAL4B	0.97	0.66	1.03	0.0	1.07	1.71	2.92	0.0	0.0	0.0	0.0	0.0
PPP1R7	1639.59	1233.75	1857.6	1594.73	1883.54	1769.57	2133.97	1073.91	571.05	1250.98	1870.53	1991.0
PRCP	738.29	693.58	2018.8	1119.56	1896.65	2895.31	2502.97	0.0	0.62	842.36	1044.52	848.22
PRPF6	1008.9	1651.0	1697.45	1119.56	1883.54	1757.34	1498.22	0.0	0.39	1322.37	1044.52	902.89
PTH2R	0.72	1.55	353.59	15.22	1159.07	612.11	376.41	0.0	0.0	0.0	6.06	0.0
RDH13	361.04	249.73	1104.13	698.41	651.58	1242.34	1175.27	0.0	0.58	555.41	559.28	532.74
RIBC1	11.04	14.45	99.43	33.06	111.99	100.83	80.01	0.0	0.0	3.69	15.34	25.54
RIC8B	105.89	106.63	173.85	163.28	281.09	305.55	262.2	0.0	0.0	67.59	123.5	59.55
RNF121	555.41	651.58	825.0	543.96	693.58	1242.34	713.11	332.14	185.11	486.75	493.56	351.14
RP11-162P23.2	0.0	0.0	0.0	0.0	2.86	4.46	4.74	0.0	0.0	0.0	0.0	0.0
RP11-20I23.1	6.67	11.47	55.1	0.0	114.36	15.0	44.89	0.0	0.0	7.82	21.78	0.0
RP11-382J12.1	4.06	0.46	26.67	12.0	55.89	9.2	36.53	0.0	0.15	0.96	0.31	0.93
RPL23A	31215.04	39237.98	43840.21	32540.65	61571.56	40341.14	68318.04	0.0	1.64	46662.28	60723.88	112532.89
SEC62	1199.98	974.5	2004.85	1096.5	3349.13	3690.52	2555.58	1127.35	743.43	1088.92	3768.09	5791.62
SFTPD	17.77	19.97	64.34	17.38	50.63	64.8	36.79	0.0	0.0	66.65	8.25	31.45
SLC16A2	54.72	182.55	214.27	96.01	316.37	303.44	253.23	0.0	0.58	209.84	115.97	89.51
SLC27A5	45.53	111.99	183.82	52.82	81.71	127.89	152.28	0.0	0.52	37.59	152.28	312.0
SNAPC1	153.34	205.5	206.94	132.44	145.02	144.01	194.36	0.0	0.36	127.89	61.25	34.26
SNED1	7.82	8.58	239.52	38.67	275.28	262.2	133.36	0.0	0.72	65.72	95.34	72.01
SPATA6L	44.57	63.45	84.63	28.45	84.63	72.01	98.04	0.0	0.41	22.43	62.12	127.0
STK16	438.59	591.22	921.88	830.75	902.89	915.51	1498.22	0.0	0.46	406.31	1044.52	1037.29
STK19	684.02	607.87	836.53	303.44	915.51	638.15	1111.82	0.0	0.87	759.08	395.18	447.82
STK25	1963.57	2591.27	3060.45	2271.4	2935.74	2777.33	3467.27	0.0	0.96	2701.35	2434.5	2682.69
TBC1D24	64.8	78.89	105.89	79.45	176.29	109.66	127.0	83.45	73.03	51.71	115.97	85.22
TCEA3	111.21	56.68	3716.2	228.13	3794.3	3564.78	5366.37	0.0	0.58	497.0	2178.83	2090.03
TEKT2	0.52	4.46	41.81	1.06	66.18	21.63	59.97	0.0	0.0	1.46	6.73	3.79
TESC	31.9	34.51	620.67	124.37	239.52	341.51	361.04	0.0	0.79	51.35	5791.62	6935.54
TMEM260	78.89	107.38	217.27	116.78	279.14	271.48	241.19	0.0	0.49	143.01	206.94	144.01
TRIM35	162.14	108.14	236.21	133.36	277.2	281.09	215.77	127.89	87.03	105.89	189.02	104.42
TRIM50	0.0	0.39	4.58	1.04	10.55	1.43	2.25	0.0	0.01	0.39	2682.69	5006.93
TTC23L	0.58	3.66	20.26	5.36	21.78	7.57	22.26	0.0	0.0	0.17	1.08	3.53
TUSC1	178.77	164.42	476.71	163.28	320.8	507.46	638.15	0.0	0.56	171.45	242.88	234.57
WDR35	17.51	55.1	163.28	63.0	189.02	241.19	130.6	0.0	0.11	52.08	64.34	75.11
WDSUB1	103.69	99.43	262.2	108.9	212.78	423.61	400.71	0.0	0.17	105.89	152.28	57.49
ZNF140	169.07	180.02	305.55	189.02	420.68	353.59	348.71	0.0	0.22	269.6	244.57	175.07
ZNF155	48.87	59.13	189.02	48.18	83.45	176.29	111.99	0.0	0.36	23.25	127.0	19.97
ZNF223	7.75	30.78	96.68	38.95	95.34	129.69	98.04	0.0	0.13	52.82	90.77	49.21
ZNF226	249.73	206.94	389.72	246.28	384.34	361.04	323.03	0.0	0.55	287.01	264.03	305.55
ZNF30	22.26	21.32	48.18	29.48	68.55	47.84	31.9	0.0	0.21	19.82	38.95	35.0
ZNF44	70.51	78.89	208.38	118.43	325.29	256.78	220.32	0.0	0.53	58.3	158.79	154.42
ZNF461	7.17	49.21	101.54	55.1	100.13	135.24	67.12	0.0	0.41	54.33	48.87	43.02
ZNF491	13.42	6.01	31.9	9.85	102.25	34.51	50.27	0.0	0.15	7.22	24.99	18.29
ZNF527	11.38	24.28	75.64	41.52	74.58	100.83	74.06	0.0	0.1	30.78	56.68	15.22
ZNF549	18.56	38.67	106.63	23.42	49.56	122.64	46.84	0.0	0.39	45.21	54.72	36.01
ZNF554	12.18	19.25	76.71	27.84	63.0	80.01	66.65	0.0	0.01	36.27	63.0	68.55
ZNF566	4.21	38.4	141.02	60.39	201.25	172.65	172.65	0.0	0.35	25.35	100.13	67.59
ZNF569	3.63	17.38	70.51	54.72	78.89	88.26	59.55	0.0	0.31	20.26	53.57	29.27
ZNF571	7.11	31.45	73.54	35.0	139.07	85.82	102.25	0.0	0.29	28.65	56.28	52.82
ZNF607	4.54	28.65	77.79	33.3	73.03	102.97	65.72	0.0	0.4	23.08	69.03	45.21
ZNF891	19.97	13.42	25.17	22.26	48.87	31.67	26.86	0.0	0.21	12.55	30.78	13.72
