	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.55.6986.11A.01R.1949.07	TCGA.44.3396.11A.01R.1758.07	GTEX.ZT9X.0326.SM.51MTE	GTEX.144GM.0126.SM.5Q5AX	GTEX.XBED.0826.SM.47JYC	TCGA.22.5472.01A.01R.1635.07	TCGA.22.5481.11A.01R.1949.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NG.01A.31R.A33R.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.HC.A76W.01A.11R.A33R.07
CCL17	10.24	107.38	444.72	1001.93	199.85	346.29	44.25	181.28	0.0	3.29	5.41	5.63	8.99
CCL18	44.57	7911.95	4802.93	17558.94	12943.04	48307.85	14561.8	3146.52	4.21	64.34	49.56	136.19	193.01
CCL3	8.78	842.36	217.27	915.51	16611.71	332.14	111.21	389.72	18.03	85.82	33.54	25.35	66.65
CCL3L1	5.41	127.0	26.1	187.71	3589.58	44.25	21.16	42.41	0.0	26.28	16.88	1.27	21.63
CCL4	6.73	674.59	500.46	928.3	19482.97	318.57	169.07	429.54	10.55	111.21	51.71	71.5	105.89
CCL4L1	5.15	182.55	84.04	420.68	9025.81	206.94	113.56	146.03	0.0	26.47	82.29	29.91	17.25
CCL4L2	4.24	130.6	117.6	262.2	6745.86	123.5	69.52	166.73	8.06	48.52	23.59	13.12	75.11
CCL7	0.0	7.69	13.12	612.11	454.09	58.3	11.38	3.26	1.53	2.46	2.01	0.0	3.2
CCL8	0.0	61.68	15.11	1487.87	1088.92	21.32	26.28	28.86	2.48	9.63	2.71	1.48	5.23
CD101	11.73	136.19	423.61	555.41	195.72	507.46	96.01	400.71	8.32	16.51	29.27	11.13	52.45
CD163	55.49	1135.2	3901.01	15715.58	7180.15	13399.51	1923.14	2193.99	24.11	156.59	70.01	90.14	256.78
CD163L1	15.45	44.25	137.14	193.01	107.38	59.13	46.84	57.08	0.48	34.75	1.22	13.22	22.59
CD1B	0.0	7.75	34.51	111.99	7.4	136.19	3.92	30.56	0.0	0.91	0.87	0.85	2.41
CD1C	0.0	105.89	148.09	878.17	128.79	221.86	78.34	234.57	0.84	29.06	11.55	10.39	26.67
CD1E	0.0	62.56	77.79	140.04	25.54	61.25	78.34	90.14	0.93	13.72	12.36	9.48	22.75
CD209	1.25	31.45	97.36	102.25	153.34	90.77	67.59	59.97	0.37	19.82	4.17	7.88	15.11
CD300C	2.46	175.07	368.65	1378.57	1044.52	941.27	75.64	267.73	1.41	10.39	6.21	7.88	10.47
CD47	1487.87	3168.41	3146.52	9088.59	5366.37	6381.92	2796.65	3690.52	2224.63	3901.01	1977.24	2555.58	2163.77
CD52	18.29	8363.13	18819.27	50011.46	10733.74	17681.08	3325.99	18304.63	80.01	381.68	312.0	432.53	642.59
CD53	37.59	1963.57	4575.41	26248.46	21617.82	13968.57	954.43	3124.78	43.63	264.03	175.07	204.07	368.65
CD68	429.54	8421.31	21026.65	66449.85	19618.49	51417.5	4575.41	14765.09	61.25	397.93	307.69	559.28	1388.16
CD84	0.34	108.14	209.84	454.09	178.77	713.11	77.25	138.1	2.58	12.93	8.85	20.11	32.59
CD86	4.31	224.97	521.76	890.44	551.56	1135.2	157.68	271.48	2.78	28.65	23.59	25.17	76.17
CHI3L2	15.91	1259.69	1225.22	6471.02	60723.88	1295.13	764.36	3168.41	16.63	214.27	21.94	21.01	43.63
CHIT1	0.65	135.24	1051.79	995.0	483.38	1066.48	47.5	1322.37	15.45	41.81	185.11	115.16	669.92
CLEC5A	0.0	45.21	141.02	1159.07	629.35	187.71	39.79	153.34	0.68	14.24	3.44	4.17	17.0
CLEC7A	12.27	497.0	759.08	6426.31	2061.24	1277.29	229.72	532.74	9.13	52.82	14.89	36.01	63.0
CSF1R	12.0	497.0	1313.23	7382.04	3874.05	1427.22	518.15	660.68	18.16	236.21	92.05	105.15	346.29
CSF2RA	183.82	110.43	332.14	928.3	361.04	575.03	57.49	195.72	4.28	23.08	13.93	11.3	24.99
CTD-3214H19.16	0.0	2.43	190.34	743.43	281.09	110.43	7.51	55.1	0.0	0.0	0.0	0.0	0.0
CTSS	1304.15	5831.91	12676.65	22380.2	14361.31	40904.3	2777.33	7230.1	35.0	454.09	155.5	312.0	587.13
CXCL16	1001.93	2573.36	5711.87	6381.92	11909.94	11664.82	1991.0	5366.37	457.25	698.41	802.41	642.59	819.3
DEFA1	0.0	64.8	392.44	595.34	4066.71	239.52	947.83	303.44	0.0	12.83	3.26	0.0	7.0
DEFA3	0.0	30.56	152.28	187.71	532.74	175.07	186.4	33.3	0.0	3.23	0.0	0.0	0.0
DEFA4	0.0	4.1	8.71	15.56	53.95	12.83	11.13	4.46	0.0	0.0	1.11	0.0	0.0
DLEU7	5.36	18.97	18.56	35.5	38.67	51.35	4.03	20.86	0.0	2.29	0.58	0.89	2.2
DNASE2	1242.34	1096.5	1709.26	2664.15	1242.34	2555.58	1183.45	1519.15	476.71	1081.39	878.17	934.76	791.35
DPH3	273.37	444.72	400.71	1023.0	518.15	490.14	215.77	400.71	169.07	231.32	183.82	172.65	182.55
ELANE	0.91	23.08	22.1	31.22	189.02	25.54	18.56	22.1	0.0	16.15	6.31	5.36	18.03
F13A1	10.39	195.72	1096.5	2384.37	435.55	1119.56	486.75	228.13	8.32	79.45	20.26	41.81	90.14
FCER1A	0.92	177.53	220.32	684.02	74.06	102.25	175.07	348.71	2.68	58.71	21.32	17.51	85.22
FCER1G	78.89	6207.38	10368.08	64186.29	93325.55	43840.21	3103.19	8901.53	65.72	532.74	392.44	450.94	1457.23
FCGR2A	16.88	1242.34	1721.16	12076.21	10225.32	3589.58	884.29	2303.12	21.63	201.25	76.71	87.65	414.87
FGD2	7.34	265.87	500.46	2119.22	603.67	669.92	167.9	356.05	3.29	42.11	10.88	38.4	66.18
FLVCR2	40.93	201.25	616.37	1540.37	591.22	1340.84	127.0	325.29	35.76	33.54	17.25	34.26	19.97
FOLR2	21.32	346.29	1008.9	743.43	409.15	674.59	503.95	486.75	5.28	115.97	64.8	117.6	318.57
FPR3	3.41	285.03	866.07	2976.74	525.39	1191.69	258.57	387.02	5.36	41.81	18.7	44.25	99.43
FYB	0.35	187.71	373.81	2047.0	638.15	518.15	191.67	209.84	2.16	33.3	14.78	43.02	45.21
GATA1	0.6	12.93	19.68	4.98	57.49	12.93	3.41	53.19	0.0	3.59	0.61	0.0	5.87
GLIPR2	72.52	1551.09	3124.78	11664.82	4481.23	2796.65	665.29	2434.5	1143.1	1519.15	1242.34	1519.15	1437.15
GPR34	2.46	87.03	303.44	674.59	85.82	723.08	77.79	81.71	1.13	51.35	29.48	36.27	75.64
HAVCR2	3.99	273.37	591.22	2682.69	819.3	1529.73	208.38	414.87	5.54	41.52	23.42	29.91	97.36
HLA-DQB2	3.06	269.6	1159.07	2032.85	314.17	995.0	463.65	647.07	2.01	79.45	14.45	42.11	215.77
ICAM4	1.83	265.87	177.53	493.56	19.82	53.19	242.88	297.17	0.0	8.13	3.92	1.99	12.18
IFI30	60.82	11992.79	26067.14	126606.21	66912.05	62865.33	8421.31	16843.62	183.82	1183.45	780.44	854.13	2777.33
IL1B	43.94	406.31	351.14	1216.75	13399.51	366.09	83.45	206.94	1.01	33.3	16.63	9.85	33.54
ITGAD	0.31	17.77	5.96	7.11	16.15	5.19	4.5	4.39	0.0	0.75	0.0	1.06	0.44
KCNA10	0.0	1.33	2.41	3.41	1.93	3.5	0.73	2.92	0.0	0.0	0.0	0.0	0.0
KCNAB2	112.77	571.05	1183.45	1159.07	1651.0	3018.3	325.29	848.22	49.21	140.04	84.04	86.43	173.85
LAIR1	8.32	1059.11	1923.14	10225.32	9344.14	6935.54	607.87	1369.04	20.71	126.12	82.29	110.43	220.32
LAPTM5	78.34	5441.3	12853.63	50709.61	21919.61	28723.62	2997.45	9025.81	95.34	753.83	392.44	480.04	1397.83
LHFPL2	139.07	387.02	796.86	1088.92	447.82	791.35	307.69	387.02	40.64	176.29	125.24	136.19	167.9
LILRA3	0.0	38.12	108.14	158.79	400.71	212.78	7.82	61.25	0.0	6.26	0.67	0.66	7.46
LILRA4	0.0	22.92	20.86	158.79	161.02	18.29	21.01	27.64	0.0	2.94	1.45	5.02	16.75
LILRB4	3.41	612.11	633.73	4210.15	4972.34	1119.56	314.17	753.83	13.12	52.45	63.0	62.56	182.55
LILRB5	1.87	80.01	199.85	131.51	134.3	177.53	92.7	111.99	1.73	22.59	1.85	15.68	31.22
LTA4H	1096.5	2758.13	5995.9	11584.24	6745.86	12502.12	2335.28	4937.99	902.89	1304.15	1208.34	1572.76	1806.78
LY86	3.08	567.1	947.83	4704.07	988.12	2351.53	208.38	612.11	6.62	66.18	48.18	58.3	205.5
LY96	5.54	483.38	679.29	5441.3	1685.71	2627.46	409.15	665.29	4.1	127.0	44.89	53.57	152.28
M6PR	2018.8	2240.11	2573.36	6337.83	4869.99	5329.3	2400.97	2796.65	1066.48	1896.65	1467.37	1628.26	1583.71
MAGEA9B	0.0	0.0	0.0	0.0	1.563278947E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MARCO	1.85	3325.99	9740.98	85876.94	118127.7	92040.7	1674.06	10440.2	1.35	24.46	7.63	6.84	76.71
MCOLN1	928.3	836.53	1216.75	2758.13	1359.57	1498.22	647.07	1127.35	438.59	463.65	389.72	470.14	551.56
MKNK1	480.04	791.35	1023.0	1806.78	1477.58	1081.39	819.3	896.64	420.68	660.68	231.32	389.72	500.46
MPEG1	5.82	363.56	647.07	2163.77	1417.35	1437.15	181.28	432.53	4.31	112.77	41.52	84.63	114.36
MPO	0.6	4.58	24.99	28.24	89.51	19.39	7.46	14.56	0.0	2.63	0.0	0.73	8.51
MR1	171.45	334.46	555.41	1268.46	607.87	1551.09	642.59	547.75	31.22	248.0	105.15	86.43	193.01
MRC1	0.0	57.89	1551.09	4704.07	587.13	5329.3	142.01	934.76	0.77	17.9	0.84	4.21	2.41
MRC1L1	8.51	665.29	1286.18	9740.98	368.65	11664.82	295.11	182.55	0.89	14.67	6.57	9.78	49.21
MS4A3	0.0	0.0	0.64	4.62	16.39	6.06	1.3	5.45	0.0	0.0	0.0	0.0	0.43
MS4A4A	12.0	728.11	1540.37	10959.3	1583.71	8598.28	551.56	947.83	11.91	104.42	34.26	76.71	187.71
MS4A6A	41.52	1313.23	2956.17	11345.82	1651.0	4450.27	1819.35	1794.29	27.84	334.46	171.45	221.86	718.08
MS4A6E	0.0	3.26	7.28	40.64	5.41	25.72	7.57	4.46	0.0	0.0	2.25	0.0	5.59
MSR1	6.78	1457.23	4543.8	7331.05	1819.35	14262.1	503.95	2075.59	8.45	65.72	30.34	60.39	198.47
NPL	201.25	400.71	507.46	2351.53	1359.57	2591.27	1044.52	703.28	49.91	76.71	41.81	98.73	140.04
OSBPL11	206.94	241.19	381.68	603.67	234.57	497.0	248.0	275.28	76.71	87.03	81.71	94.67	103.69
OSCAR	1.57	454.09	1457.23	9344.14	1977.24	6381.92	285.03	1508.65	7.82	37.32	12.45	18.84	77.25
OSM	6.06	91.41	75.64	251.48	1991.0	45.85	16.39	41.22	1.48	18.03	5.82	1.93	73.03
OSTM1	97.36	432.53	660.68	1216.75	603.67	842.36	341.51	473.41	329.84	264.03	237.86	271.48	256.78
OTOA	0.0	8.65	10.88	56.28	8.78	26.28	7.34	23.93	0.23	5.45	0.88	2.12	10.16
PF4	0.0	53.57	163.28	7.57	1044.52	107.38	28.24	152.28	0.0	0.0	0.0	0.0	1.43
PILRA	24.11	624.99	1407.55	5441.3	7280.4	4010.71	295.11	1088.92	50.27	211.31	45.53	84.04	265.87
PKD2L1	0.32	83.45	26.67	119.26	20.26	151.22	32.13	53.57	5.19	23.93	5.23	5.54	20.56
PLXNC1	4.86	224.97	265.87	303.44	353.59	226.54	109.66	137.14	9.06	37.85	12.83	25.17	63.0
PNPLA6	1001.93	1857.6	3325.99	7280.4	3742.05	2075.59	1268.46	2997.45	775.05	902.89	723.08	718.08	819.3
PRSS57	0.0	3.11	5.06	8.19	33.54	4.7	2.16	13.12	0.0	0.82	0.0	0.0	0.91
PRTN3	0.0	2.76	3.76	13.93	60.82	12.55	3.5	12.74	0.0	0.0	6.01	0.0	13.12
PTCRA	1.2	40.36	112.77	85.22	148.09	239.52	17.77	115.16	0.0	1.1	2.92	6.67	7.57
QSOX1	2935.74	3212.66	5555.65	7382.04	14867.79	5872.48	3060.45	6121.9	285.03	1447.15	423.61	507.46	1233.75
RETN	0.0	587.13	1583.71	23820.89	93325.55	2976.74	164.42	1191.69	0.0	13.62	1.66	2.43	62.12
RMDN3	890.44	1437.15	2018.8	1359.57	1059.11	2739.08	1088.92	1437.15	603.67	718.08	616.37	698.41	723.08
RNASE6	5.23	314.17	1111.82	1733.13	435.55	1167.14	400.71	591.22	7.4	205.5	73.03	93.35	295.11
RP4-576H24.4	0.0	6.11	3.86	37.59	11.04	29.06	0.0	3.26	0.0	0.0	0.0	0.0	0.0
SIGLEC1	2.48	318.57	476.71	4769.75	518.15	1806.78	159.9	265.87	0.88	12.0	7.0	14.78	23.25
SIGLEC14	0.0	141.02	457.25	728.11	1417.35	669.92	31.45	136.19	2.1	18.29	11.38	12.0	12.83
SIRPD	0.0	14.35	23.25	71.0	35.0	49.21	2.89	26.67	0.0	0.0	0.0	0.0	0.0
SLAMF8	54.33	253.23	830.75	3081.75	1519.15	2609.3	277.2	500.46	8.51	69.52	34.26	37.85	61.25
SLC11A1	16.27	1519.15	2537.92	2520.38	3124.78	4903.87	616.37	2287.2	24.99	65.26	59.97	17.51	89.51
SLC31A2	212.78	511.0	1697.45	2367.9	1322.37	3124.78	397.93	890.44	98.04	118.43	86.43	90.77	117.6
SNAI3	2.12	35.25	68.55	199.85	59.55	50.63	35.25	111.99	6.89	18.43	11.47	16.63	24.81
SNX3	2004.85	4388.98	4388.98	8479.89	4328.55	5479.15	3716.2	3901.01	1936.53	2720.15	2485.67	2816.11	3280.18
SPI1	14.14	1651.0	4066.71	18178.19	16611.71	5479.15	1073.91	3280.18	17.64	202.66	85.82	114.36	392.44
SPN	1.85	486.75	1143.1	2351.53	764.36	1457.23	162.14	947.83	7.63	47.84	31.67	37.85	50.27
STAB1	113.56	896.64	2148.82	7331.05	2163.77	1806.78	981.29	928.3	41.52	688.78	152.28	208.38	1051.79
STAC	0.0	143.01	255.0	2701.35	84.63	607.87	110.43	220.32	0.89	135.24	82.87	39.5	31.0
TBC1D2	260.38	1143.1	1304.15	2701.35	1023.0	2090.03	1030.12	1359.57	85.82	281.09	84.63	94.01	191.67
TBXAS1	19.39	591.22	1104.13	3847.29	1819.35	2956.17	297.17	909.17	341.51	275.28	215.77	423.61	423.61
TICAM2	61.68	92.05	85.82	231.32	101.54	98.73	32.82	72.01	24.63	62.12	48.18	31.67	67.12
TLR1	2.78	209.84	224.97	733.19	830.75	612.11	93.35	122.64	2.68	49.21	14.14	17.64	31.0
TLR6	3.03	40.07	46.5	108.9	92.05	51.71	14.45	27.44	4.39	12.27	2.48	5.45	7.22
TMEM150B	2.76	195.72	403.5	3742.05	620.67	921.88	135.24	329.84	0.0	9.85	3.2	2.81	14.24
TNF	5.68	70.51	23.76	23.76	441.64	14.56	11.73	41.81	0.0	13.62	2.61	4.58	4.03
TNFSF13B	8.19	193.01	283.05	1111.82	647.07	361.04	122.64	140.04	1.51	28.65	20.41	24.99	37.32
TREM1	1.57	2255.7	4210.15	17197.56	15824.9	5555.65	669.92	2835.7	1.25	19.97	0.33	3.41	40.07
TYROBP	86.43	9945.68	18431.96	141455.6	57448.23	36106.23	4769.75	16843.62	126.12	954.43	612.11	808.0	2682.69
VENTX	0.33	45.21	25.72	135.24	108.14	48.18	19.68	34.26	2.78	14.14	2.12	2.1	22.43
VSIG4	22.43	1709.26	6294.04	24660.96	2915.45	15285.81	890.44	3639.7	6.52	70.01	23.59	55.1	140.04
XAGE1A	0.0	5.59	4.7	292889.12	902.89	2976.74	31.67	43.94	0.0	0.0	0.0	0.0	1.43
XAGE1B	0.0	1.95	5.54	11664.82	2816.11	4.78	37.32	47.5	0.0	0.0	0.0	0.0	1.5
XAGE1C	0.0	1.66	4.9	43537.38	1225.22	0.0	33.78	42.11	0.0	0.0	0.0	0.0	1.46
XAGE1D	0.0	5.63	4.74	334117.42	748.61	2434.5	32.59	44.25	0.0	0.0	0.0	0.0	1.48
XAGE1E	0.0	4.03	4.58	431797.89	258.57	3928.15	30.12	43.02	0.0	0.0	0.0	0.0	1.43
ZEB2	23.93	995.0	1059.11	1857.6	1721.16	529.06	273.37	647.07	19.68	218.79	85.82	94.01	253.23
ZMYND15	33.54	112.77	256.78	175.07	400.71	356.05	77.25	204.07	37.59	65.26	32.36	37.59	62.56
