	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.R3.A69X.01A.22R.A30C.07	TCGA.UY.A8OC.01A.11R.A36F.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.BC.A10Z.11A.11R.A131.07	GTEX.147JS.1126.SM.5RQIW	GTEX.QEG4.1826.SM.4R1JN	GTEX.QESD.2026.SM.447BI	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07.1
DHTKD1	441.64	249.73	145.02	181.28	669.92	1199.98	878.17	2287.2	3395.89	3212.66	4123.49	3901.01	3039.3	353.59
DMGDH	8.58	3.66	6.84	18.7	403.5	1457.23	1498.22	5594.3	8778.97	7180.15	10883.59	10440.2	7589.61	0.31
ECHDC2	1051.79	947.83	1135.2	1286.18	4543.8	10585.95	11424.74	10084.54	15715.58	10808.41	9740.98	33922.56	27938.14	0.84
ECHDC3	41.52	21.78	15.45	29.7	1407.55	1208.34	1977.24	1175.27	1628.26	5219.6	5147.73	1651.0	2682.69	0.54
ECHS1	5954.47	5751.61	2645.74	3039.3	5329.3	10585.95	16045.82	32315.87	44145.15	57051.4	33922.56	25708.25	30999.42	0.33
EHHADH	63.45	271.48	58.71	98.73	624.99	2163.77	1896.65	8963.45	6079.61	5479.15	5995.9	8718.32	10512.82	0.0
EPHX2	54.33	117.6	14.89	190.34	872.1	3146.52	3928.15	7642.41	10659.59	8718.32	14461.21	11664.82	11504.21	0.19
ETFB	8134.41	3280.18	4066.71	2351.53	8305.36	16727.26	18178.19	19618.49	11992.79	28328.16	26614.89	13215.02	12943.04	0.62
ETNK2	642.59	291.04	204.07	148.09	105.89	2319.15	1794.29	5076.84	5954.47	5517.27	6652.97	4607.24	11909.94	0.66
EXOC3L4	665.29	55.89	3.66	8.65	1407.55	764.36	1529.73	2520.38	1030.12	713.11	3540.14	1819.35	2163.77	0.54
F11	0.0	0.0	0.0	0.85	1175.27	2739.08	3349.13	3589.58	2032.85	2915.45	15180.22	5006.93	8778.97	0.0
F13B	0.0	0.0	0.0	0.0	759.08	1628.26	1175.27	5479.15	4671.57	7749.1	7130.55	10585.95	9808.75	0.0
F7	0.0	2.41	0.99	16.39	1233.75	1991.0	1757.34	6426.31	7589.61	11345.82	11992.79	8305.36	5255.91	0.16
FAH	1832.01	791.35	915.51	470.14	3039.3	6121.9	8078.22	14262.1	6294.04	10585.95	9215.48	8718.32	8363.13	0.17
FAHD2A	1151.06	356.05	447.82	432.53	450.94	1745.2	1794.29	3257.52	2777.33	4869.99	4152.18	2758.13	3820.7	0.65
FETUB	3.79	0.0	0.65	0.0	486.75	2555.58	2319.15	23492.92	12853.63	14765.09	33455.53	23492.92	26614.89	0.0
FMO3	18.97	8.85	14.35	17.9	3794.3	7032.37	4419.52	34396.12	18950.18	21172.91	51062.33	60304.42	51775.15	0.43
FUOM	860.08	1073.91	256.78	733.19	3491.39	6207.38	6164.49	23492.92	17927.91	39237.98	18560.17	13492.72	18819.27	0.45
GALT	1313.23	334.46	607.87	543.96	2895.31	2895.31	2976.74	4181.07	4575.41	3820.7	3928.15	4903.87	4210.15	0.45
GAMT	819.3	162.14	102.25	353.59	8363.13	15180.22	18950.18	28328.16	44452.21	36106.23	29531.18	23009.42	23986.58	0.49
GCDH	348.71	395.18	603.67	320.8	500.46	1685.71	2032.85	2255.7	3716.2	7180.15	6745.86	3564.78	1977.24	0.13
GLS2	41.81	80.57	12.55	25.35	104.42	2627.46	3325.99	1721.16	4268.94	32315.87	26614.89	13123.73	9876.98	0.33
GLUD1	1051.79	2061.24	1697.45	1806.78	5183.54	5441.3	5672.41	18560.17	12589.08	21026.65	11992.79	27745.15	18560.17	0.88
GLYCTK	239.52	117.6	153.34	110.43	2018.8	5872.48	6607.01	7280.4	9673.69	11909.94	21026.65	16383.0	13215.02	0.55
GNMT	7.4	3.38	15.0	3.47	124.37	2133.97	6699.25	10368.08	21768.19	18431.96	51775.15	5711.87	23009.42	0.16
GRHPR	2997.45	1304.15	2104.58	1757.34	5751.61	13306.94	12076.21	21320.18	35118.87	43840.21	33224.42	28132.47	27363.16	98.73
GSTZ1	1487.87	309.83	381.68	297.17	599.49	2255.7	3901.01	9088.59	10084.54	15824.9	14561.8	7589.61	6079.61	0.0
HAAO	173.85	98.73	73.03	283.05	1487.87	6887.62	14867.79	14065.74	21320.18	24490.61	27553.49	21026.65	21617.82	0.35
HAGH	1572.76	1001.93	1066.48	995.0	2796.65	5711.87	3467.27	12415.75	18560.17	21026.65	14765.09	9215.48	12853.63	381.68
HAO2	2.05	0.0	0.0	0.43	26.86	3928.15	2047.0	10659.59	6337.83	2682.69	14561.8	15824.9	33688.23	0.0
HINT2	2976.74	902.89	1605.83	748.61	2645.74	4358.66	5255.91	6471.02	7130.55	12244.81	6250.56	6250.56	5831.91	0.29
HMGCL	1159.07	1059.11	769.69	890.44	1733.13	6471.02	6983.79	10014.87	11745.96	11035.54	14561.8	10368.08	9474.59	0.31
HOGA1	24.63	7.94	3.63	12.36	115.97	665.29	988.12	1794.29	1096.5	2434.5	3589.58	2032.85	2627.46	0.31
HPD	4.74	24.46	1.0	20.41	1350.18	25530.66	26986.43	44452.21	191899.64	741454.2	400098.69	334117.42	82378.63	0.36
HRSP12	703.28	624.99	460.44	358.54	4123.49	16843.62	20170.07	37901.36	29124.6	53230.77	39237.98	47974.16	49322.93	486.75
HSD17B10	5479.15	2209.26	2319.15	2032.85	2209.26	4328.55	6250.56	7433.4	6561.36	12853.63	8658.09	5292.48	6337.83	0.46
HSPB9	89.51	35.76	9.48	11.55	39.79	157.68	154.42	246.28	197.09	312.0	420.68	289.02	348.71	0.09
HYAL1	46.84	32.13	17.9	112.77	1617.0	2573.36	2895.31	2591.27	7642.41	4210.15	4298.64	2682.69	2645.74	0.43
IDNK	135.24	139.07	39.5	59.13	336.79	1030.12	764.36	2178.83	1378.57	1757.34	1991.0	1437.15	1769.57	0.23
ITIH1	3.26	1.83	0.0	1.3	13492.72	43840.21	44761.41	104271.56	55491.3	185362.8	360589.03	102125.66	58250.19	0.2
KHK	915.51	132.44	15.56	80.57	2555.58	8963.45	11745.96	35363.15	33455.53	59887.86	38697.77	20030.74	51062.33	0.15
KLC4	454.09	251.48	366.09	486.75	713.11	1781.89	1844.76	2119.22	1733.13	2591.27	3901.01	3515.68	3639.7	0.42
KLKB1	2.39	0.93	0.67	3.86	866.07	2075.59	2777.33	5329.3	4802.93	11664.82	13033.07	7180.15	9344.14	0.28
LCAT	371.22	119.26	178.77	384.34	224.97	4575.41	5366.37	17437.64	7803.01	13586.57	30999.42	16269.83	19618.49	1.11
LECT2	0.0	0.0	0.0	0.0	147.06	4038.61	563.18	32315.87	9740.98	25005.23	62431.08	41475.31	103551.29	0.0
LIME1	312.0	660.68	303.44	435.55	674.59	1819.35	2400.97	10512.82	4671.57	10225.32	13033.07	10585.95	10440.2	0.68
LIPC	5.96	53.95	6.57	44.57	497.0	2434.5	2555.58	20030.74	6935.54	14361.31	13033.07	17317.18	19082.0	0.0
MARC2	129.69	334.46	98.73	157.68	1781.89	2627.46	2796.65	5366.37	5112.16	4450.27	6840.04	6652.97	5872.48	0.74
MAT1A	2.39	4.24	0.0	1.73	3955.48	25179.16	18819.27	21320.18	49322.93	20170.07	182810.84	65082.31	45072.75	105.15
METTL7A	248.0	2645.74	84.04	1651.0	5041.77	8078.22	8598.28	14971.21	15499.21	13123.73	15934.98	16843.62	20451.65	1529.73
MGMT	514.56	514.56	981.29	733.19	1030.12	1806.78	1159.07	4575.41	4575.41	4239.45	5112.16	4769.75	1909.85	0.53
MIP	2.05	1.81	1.3	1.28	3.0	13.83	17.9	11.47	9.85	24.63	46.84	26.28	22.1	0.0
MLIP	1.79	3.96	36.79	3.44	248.0	429.54	358.54	1378.57	1037.29	825.0	4328.55	130.6	2739.08	0.34
MLXIPL	90.14	7.11	0.69	6.06	4481.23	3124.78	6516.03	1794.29	5633.22	8247.98	7280.4	10659.59	5872.48	0.32
MPST	1427.22	1572.76	1447.15	1417.35	5441.3	6294.04	9151.82	10959.3	10225.32	12160.22	19348.38	11827.67	11424.74	0.43
MST1	142.01	248.0	132.44	145.02	1936.53	14867.79	15824.9	9474.59	4575.41	8421.31	28328.16	5041.77	5041.77	1.0
MTHFD1	1697.45	848.22	1104.13	665.29	1397.83	6516.03	4937.99	7589.61	5403.7	8134.41	23169.48	10440.2	9025.81	0.57
MUT	246.28	314.17	253.23	226.54	540.19	1378.57	1757.34	3168.41	2209.26	3742.05	3742.05	2875.3	3168.41	0.0
NADK2	301.33	693.58	119.26	438.59	2119.22	2384.37	1806.78	5366.37	5147.73	4481.23	3419.52	9344.14	6887.62	532.74
NUDT6	127.89	67.59	85.82	73.03	126.12	400.71	279.14	703.28	743.43	624.99	718.08	785.88	934.76	0.07
NUDT7	105.15	73.54	22.92	66.65	353.59	1119.56	934.76	1605.83	866.07	616.37	1733.13	796.86	2104.58	0.06
OAF	854.13	674.59	551.56	884.29	5112.16	3212.66	4239.45	11035.54	11992.79	6607.01	14663.09	8191.0	10512.82	0.29
OXER1	18.03	17.9	18.29	47.5	172.65	679.29	785.88	555.41	1277.29	2018.8	1427.22	1639.59	3280.18	0.38
PANK1	113.56	85.82	32.59	53.95	493.56	808.0	507.46	1605.83	1794.29	1015.93	2163.77	2417.67	2468.49	0.0
PBLD	46.5	346.29	49.21	91.41	813.63	2163.77	2032.85	7081.29	5517.27	5219.6	10084.54	7695.57	10014.87	0.32
PCK2	1313.23	872.1	389.72	318.57	3820.7	6745.86	8479.89	20310.37	27553.49	48307.85	35609.13	30999.42	23820.89	0.0
PCTP	785.88	507.46	450.94	226.54	1111.82	1467.37	1639.59	1709.26	1832.01	2018.8	1963.57	2485.67	2434.5	0.45
PDXP	215.77	45.85	277.2	187.71	511.0	1023.0	1313.23	1457.23	1572.76	1427.22	1991.0	1651.0	3146.52	0.42
PEBP1	3419.52	4836.35	3847.29	5255.91	12764.83	30999.42	28328.16	54727.32	48307.85	60304.42	59887.86	57448.23	61571.56	16383.0
PECR	198.47	323.03	105.89	249.73	1359.57	1447.15	1540.37	4937.99	4298.64	4543.8	5555.65	4836.35	6471.02	0.09
PEMT	1540.37	447.82	420.68	571.05	665.29	2119.22	4328.55	9025.81	5112.16	6294.04	9808.75	7180.15	6792.79	0.72
PGRMC1	2319.15	1819.35	2485.67	2451.44	3395.89	7032.37	6250.56	13968.57	10296.45	15180.22	13399.51	12853.63	18052.61	0.74
PHYH	1757.34	1183.45	412.0	708.18	3443.31	5751.61	7180.15	17558.94	16496.96	28525.2	17197.56	20881.4	21026.65	0.34
PIPOX	10.31	17.25	7.82	19.53	3018.3	5112.16	5006.93	15392.14	10154.69	14163.58	19214.73	15180.22	14765.09	0.17
PLGLB1	12.83	12.27	43.32	49.91	1781.89	4123.49	2555.58	2720.15	1709.26	830.75	6792.79	3303.0	3060.45	0.46
PON1	0.0	0.0	1.97	0.0	8901.53	22225.61	15934.98	16383.0	100719.65	101420.22	153724.82	84109.6	133825.1	0.2
PQLC1	1277.29	591.22	941.27	1066.48	1757.34	2976.74	2701.35	1697.45	7857.29	2682.69	4123.49	2796.65	4298.64	0.74
PROC	16.15	99.43	193.01	29.27	5913.33	10296.45	14361.31	26800.01	49322.93	82378.63	38697.77	30151.71	25887.07	0.31
PRODH2	0.0	1.22	0.0	0.0	1167.14	2193.99	3190.46	9740.98	4671.57	7589.61	9344.14	18950.18	8658.09	0.0
PXMP2	775.05	444.72	373.81	309.83	947.83	4481.23	4972.34	11909.94	17317.18	21026.65	14461.21	8778.97	12589.08	0.06
RCL1	406.31	251.48	265.87	148.09	507.46	2816.11	2061.24	2591.27	3039.3	2573.36	3540.14	2935.74	3794.3	0.62
REEP6	5076.84	2537.92	176.29	215.77	3018.3	5441.3	9540.5	25005.23	52863.07	41188.81	30361.44	7230.1	12502.12	0.25
RGN	7.75	159.9	22.1	102.25	3874.05	4450.27	10883.59	12415.75	12764.83	17804.06	14867.79	17804.06	20030.74	0.52
RP11-10A14.4	26.67	18.43	0.0	7.69	91.41	82.87	80.57	314.17	346.29	126.12	988.12	493.56	466.88	0.0
RP11-422N16.3	0.0	0.0	0.0	0.0	1.81	16.39	3.14	7.4	113.56	6.67	133.36	9.7	12.0	0.0
RP4-583P15.14	118.43	234.57	135.24	81.71	769.69	3794.3	1883.54	6250.56	2367.9	9025.81	6337.83	8778.97	7537.18	0.0
RTP3	1.17	7.75	0.0	0.0	43.63	536.45	332.14	2664.15	1857.6	4298.64	2163.77	7032.37	5366.37	0.0
SARDH	38.4	34.02	19.82	23.42	748.61	1709.26	1529.73	4181.07	2855.44	4481.23	7230.1	4328.55	4123.49	0.34
SAT2	1594.73	1191.69	1407.55	1477.58	3039.3	8479.89	10659.59	9088.59	14065.74	13492.72	19618.49	14765.09	15934.98	0.92
SEC14L2	551.56	189.02	723.08	348.71	915.51	2303.12	1225.22	7230.1	6516.03	15934.98	9025.81	15934.98	13215.02	0.42
SERPINA5	13.32	7.34	182.55	10.71	10883.59	5954.47	5791.62	33224.42	35609.13	69753.56	36357.37	25354.3	40341.14	0.37
SFXN5	450.94	283.05	117.6	198.47	387.02	679.29	775.05	1008.9	1498.22	1051.79	1233.75	1268.46	2502.97	0.57
SLC16A2	53.57	76.17	75.11	429.54	599.49	791.35	555.41	1628.26	1286.18	2061.24	1769.57	1936.53	2104.58	0.58
SLC22A25	0.0	0.0	0.0	0.0	39.22	134.3	98.73	503.95	236.21	299.25	450.94	543.96	514.56	0.0
SLC25A15	71.5	107.38	50.98	54.33	500.46	583.07	295.11	551.56	2224.63	2777.33	785.88	529.06	738.29	0.0
SLC25A42	117.6	130.6	76.17	171.45	599.49	780.44	961.07	796.86	2032.85	1963.57	1991.0	1857.6	3349.13	0.4
SLC2A2	8.71	0.0	0.0	0.43	3982.99	4358.66	3564.78	36106.23	17437.64	15824.9	28923.41	22850.48	52863.07	0.05
SLC6A1	2.97	6.11	33.54	15.34	947.83	660.68	555.41	3081.75	13681.08	5366.37	3280.18	4328.55	6207.38	0.29
SOD1	16045.82	7695.57	5112.16	5183.54	9409.14	28525.2	33922.56	45701.96	35609.13	56657.31	64632.75	42054.3	44761.41	1.13
SPRYD4	226.54	241.19	159.9	208.38	312.0	1477.58	1551.09	1540.37	718.08	2240.11	3467.27	1008.9	1651.0	0.11
TAT	0.31	2.12	0.0	2.56	116.78	23330.64	6381.92	14065.74	16269.83	29124.6	27938.14	30572.63	42641.37	0.06
TMEM110	334.46	392.44	287.01	218.79	563.18	629.35	575.03	1135.2	947.83	995.0	1674.06	954.43	866.07	0.35
TMEM110-MUSTN1	177.53	154.42	41.22	68.07	314.17	182.55	205.5	346.29	237.86	447.82	808.0	387.02	346.29	0.48
TMEM220	144.01	96.68	25.72	100.83	934.76	1583.71	1487.87	3395.89	2609.3	6121.9	3372.43	3820.7	2758.13	0.37
TMEM56	37.05	80.57	4.31	36.01	540.19	890.44	872.1	1467.37	1936.53	961.07	2133.97	2018.8	4038.61	0.09
TMEM82	7.57	2.41	0.0	0.0	61.25	470.14	738.29	1769.57	1250.98	6121.9	4181.07	2240.11	2777.33	0.11
TST	1467.37	5076.84	397.93	728.11	5292.48	10440.2	9673.69	17437.64	9344.14	21172.91	23986.58	13872.08	11992.79	0.0
TTC38	187.71	343.89	158.79	361.04	3982.99	3303.0	3540.14	1857.6	4450.27	4328.55	8538.88	4575.41	3716.2	0.68
TTC39C	454.09	293.07	283.05	289.02	1745.2	1551.09	1159.07	1950.0	6294.04	7130.55	1909.85	2485.67	2018.8	0.72
UGT2B10	0.0	0.0	0.0	0.0	511.0	2935.74	2133.97	42346.82	10959.3	46339.95	18431.96	60304.42	54349.29	0.0
ZGPAT	656.11	703.28	902.89	775.05	476.71	1923.14	1936.53	5872.48	3589.58	6207.38	6207.38	6037.61	5403.7	0.95
