	GTEX.PWOO.1326.SM.48TCJ	TCGA.V1.A8WW.01A.11R.A37L.07	TCGA.YL.A9WH.01A.11R.A37L.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.VP.A872.01A.11R.A352.07	TCGA.HC.7232.01A.11R.2118.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.CH.5791.01A.11R.1580.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.HU.8608.01A.11R.2402.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.BR.8589.01A.11R.2402.13	TCGA.VQ.A91W.01A.11R.A414.31	GTEX.131XG.2026.SM.5GCN5
BBC3	253.23	171.45	155.5	108.14	101.54	104.42	126.12	199.85	115.16	497.0	642.59	435.55	420.68	81.14
BLM	231.32	31.0	38.12	24.63	27.64	9.41	24.99	24.63	22.26	262.2	105.15	224.97	161.02	17.0
BRCA2	47.84	16.63	37.32	6.06	13.52	3.69	3.89	19.68	2.16	316.37	181.28	195.72	144.01	16.75
BUB1	353.59	73.54	107.38	36.53	35.0	20.26	22.59	57.89	25.54	688.78	532.74	426.57	356.05	15.11
BUB1B	392.44	76.17	169.07	42.41	27.05	15.22	21.16	45.21	26.1	397.93	713.11	384.34	353.59	21.78
C17orf66	0.96	0.54	0.55	0.0	3.11	0.0	0.0	0.57	0.0	5.63	8.19	6.67	0.69	0.0
C19orf57	283.05	34.75	69.03	25.35	52.45	29.06	29.7	19.97	20.11	73.54	341.51	293.07	183.82	18.84
C2orf48	22.59	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0	11.13	3.14	8.0	6.16	0.0
CASC5	170.25	16.15	37.85	13.12	13.42	4.39	6.84	12.83	7.51	351.14	438.59	343.89	148.09	8.65
CCNA2	603.67	101.54	109.66	53.57	38.95	29.48	37.85	70.51	54.33	825.0	738.29	587.13	409.15	22.59
CCNF	211.31	60.39	127.89	31.0	70.51	49.91	46.84	59.13	40.64	373.81	295.11	202.66	234.57	23.59
CDC20	2032.85	163.28	303.44	134.3	153.34	53.57	52.45	143.01	167.9	1233.75	1651.0	638.15	403.5	31.9
CDC25A	231.32	29.7	62.12	37.85	17.25	28.45	27.64	26.86	23.93	323.03	204.07	229.72	175.07	12.09
CDC25C	198.47	29.48	45.21	21.47	23.59	6.78	7.82	17.77	21.16	102.25	260.38	118.43	103.69	6.73
CDC42EP1	2224.63	860.08	1819.35	896.64	2303.12	642.59	1199.98	802.41	1806.78	8078.22	5791.62	3039.3	6745.86	414.87
CDC45	563.18	72.01	161.02	126.12	59.55	76.17	85.22	45.21	40.07	514.56	647.07	463.65	305.55	9.7
CDC6	507.46	32.59	170.25	69.03	38.95	30.12	66.65	51.71	56.68	444.72	320.8	356.05	283.05	29.48
CDCA2	134.3	18.84	28.65	12.0	18.56	5.77	4.1	11.73	7.17	269.6	91.41	126.12	199.85	4.94
CDCA3	723.08	141.02	316.37	69.52	166.73	47.84	84.63	99.43	110.43	473.41	808.0	476.71	237.86	18.43
CDCA5	669.92	102.97	291.04	61.25	75.64	26.67	57.08	93.35	64.34	507.46	647.07	525.39	234.57	35.0
CDK1	1159.07	178.77	441.64	110.43	133.36	57.08	81.71	199.85	94.67	769.69	1143.1	854.13	748.61	79.45
CENPA	325.29	73.54	111.99	29.7	26.67	14.56	22.75	37.32	45.53	173.85	339.14	271.48	195.72	9.13
CENPF	503.95	105.15	137.14	55.1	71.5	31.0	32.36	117.6	51.35	660.68	521.76	500.46	713.11	26.1
CEP55	483.38	51.71	98.04	14.03	22.1	7.57	10.0	24.28	32.13	400.71	607.87	346.29	346.29	11.55
CHAF1B	127.0	75.11	167.9	61.25	77.79	72.52	61.25	96.68	77.79	191.67	417.77	217.27	194.36	61.25
CHEK1	497.0	91.41	156.59	66.65	81.71	45.53	74.06	74.06	80.57	551.56	371.22	651.58	423.61	47.5
CIT	140.04	41.22	61.25	41.81	17.9	20.11	12.09	22.26	15.34	341.51	376.41	389.72	332.14	19.11
CKAP2L	157.68	31.67	27.44	8.51	9.48	4.9	9.06	12.93	5.92	97.36	135.24	71.5	73.54	4.5
CKS2	4010.71	1350.18	2255.7	507.46	819.3	368.65	616.37	435.55	497.0	2255.7	4769.75	4066.71	2004.85	397.93
CYP2B6	551.56	1.77	0.36	0.0	2.23	0.0	0.37	0.75	0.0	3.38	6.62	15.22	17.25	0.0
DIAPH3	121.79	19.82	25.35	12.0	15.8	3.11	6.57	15.11	4.74	123.5	173.85	105.15	98.73	6.78
DLGAP5	307.69	63.45	61.68	31.45	22.26	9.27	15.34	28.04	20.11	371.22	384.34	125.24	262.2	4.94
DMC1	88.88	12.45	23.59	1.25	2.76	5.15	2.48	2.92	3.26	8.32	129.69	75.64	22.59	13.72
DNA2	109.66	47.84	73.54	45.85	50.27	11.3	41.22	36.27	15.91	358.54	309.83	346.29	285.03	9.13
DNMT3B	15.91	16.75	32.36	18.03	24.11	8.0	14.03	11.38	8.19	69.52	66.65	80.01	144.01	21.32
DNTTIP1	1073.91	825.0	890.44	616.37	1191.69	563.18	769.69	503.95	796.86	872.1	1605.83	1487.87	1037.29	769.69
DOK3	473.41	69.52	121.79	43.63	126.12	54.33	50.98	64.8	57.89	698.41	295.11	297.17	314.17	38.4
DPP9	1059.11	511.0	473.41	301.33	660.68	457.25	463.65	373.81	262.2	1437.15	1119.56	995.0	995.0	332.14
DSN1	536.45	114.36	309.83	158.79	255.0	139.07	162.14	253.23	131.51	483.38	718.08	713.11	397.93	88.88
DTL	177.53	32.36	49.21	10.08	10.96	9.13	21.94	26.47	18.16	260.38	376.41	232.94	175.07	16.03
DTX2	1001.93	366.09	336.79	329.84	791.35	327.56	463.65	318.57	563.18	1487.87	1674.06	1388.16	1844.76	101.54
DTYMK	1437.15	638.15	825.0	830.75	902.89	529.06	620.67	651.58	791.35	890.44	1447.15	1008.9	669.92	536.45
E2F1	307.69	120.1	301.33	52.08	94.67	43.63	81.71	55.89	69.03	429.54	796.86	633.73	295.11	34.75
E2F2	341.51	19.11	18.43	7.4	11.73	2.27	7.63	12.36	7.34	283.05	135.24	116.78	88.26	1.39
E2F7	39.22	6.36	16.15	6.06	5.02	2.66	3.82	18.16	3.69	114.36	111.99	96.01	48.52	1.57
E2F8	283.05	22.43	43.02	4.86	14.14	1.46	5.15	7.63	4.74	429.54	170.25	332.14	332.14	3.66
ECT2	688.78	212.78	371.22	136.19	211.31	97.36	135.24	307.69	122.64	1259.69	1883.54	1651.0	1151.06	127.89
EME1	105.89	39.5	62.56	23.76	32.36	16.03	19.97	19.97	13.62	145.02	248.0	134.3	128.79	17.13
ESPL1	186.4	26.47	39.22	18.03	18.29	9.48	7.82	12.83	10.71	249.73	201.25	195.72	159.9	5.23
EXO1	171.45	22.59	64.8	13.72	13.72	8.65	11.73	26.28	20.41	167.9	211.31	178.77	119.26	12.83
EXOC3L4	426.57	16.88	9.7	5.54	63.89	14.56	6.36	16.51	29.7	607.87	148.09	171.45	107.38	0.0
EZH2	463.65	139.07	189.02	59.13	97.36	54.72	73.03	98.73	64.8	674.59	460.44	460.44	547.75	63.89
FAM122B	473.41	397.93	571.05	381.68	395.18	339.14	368.65	420.68	239.52	575.03	1447.15	769.69	934.76	500.46
FAM24B	253.23	58.3	85.22	47.5	75.64	18.84	59.55	50.63	41.81	84.04	251.48	125.24	136.19	3.69
FAM49B	1081.39	397.93	728.11	318.57	511.0	432.53	366.09	497.0	371.22	2209.26	1175.27	1769.57	1572.76	334.46
FAM72D	85.82	11.21	19.97	7.11	9.56	6.94	5.77	12.83	2.2	120.1	99.43	111.99	60.82	4.98
FAM83D	201.25	133.36	251.48	155.5	392.44	190.34	81.14	120.1	96.68	202.66	723.08	656.11	346.29	15.45
FANCA	743.43	105.15	351.14	43.32	134.3	23.93	58.3	51.71	76.17	928.3	669.92	915.51	591.22	52.45
FOXM1	981.29	185.11	476.71	48.18	130.6	53.19	72.01	128.79	85.22	1304.15	1697.45	1104.13	1135.2	12.55
FOXP3	88.26	13.42	21.78	14.45	36.79	18.29	22.1	17.0	11.73	223.41	73.03	90.14	73.03	5.32
GAD1	2.81	77.25	31.67	31.67	180.02	46.84	26.67	42.41	20.41	273.37	547.75	289.02	1417.35	59.97
GEN1	151.22	33.54	46.5	30.78	32.82	20.26	23.42	41.22	19.53	194.36	178.77	126.12	183.82	34.51
GPRC5B	115.16	98.04	575.03	63.89	186.4	169.07	244.57	119.26	215.77	1617.0	2434.5	1427.22	1651.0	256.78
GTSE1	323.03	54.33	85.82	46.5	25.35	12.36	20.86	27.25	22.92	450.94	336.79	204.07	255.0	13.12
HELLS	271.48	63.0	204.07	32.82	33.3	19.11	44.25	59.13	31.67	947.83	866.07	764.36	529.06	62.12
HLA-F	5076.84	2075.59	1594.73	753.83	2271.4	656.11	1225.22	669.92	1551.09	7433.4	6792.79	3874.05	1407.55	177.53
HMMR	384.34	76.17	114.36	45.53	44.89	12.45	23.08	50.98	44.89	647.07	473.41	444.72	309.83	16.27
HSD3B7	563.18	329.84	723.08	255.0	348.71	591.22	289.02	187.71	234.57	1991.0	1397.83	934.76	748.61	234.57
ICAM1	299.25	1183.45	629.35	101.54	1066.48	297.17	447.82	514.56	642.59	6935.54	3467.27	2119.22	1605.83	100.83
IDO1	571.05	173.85	500.46	61.25	98.04	48.52	40.64	85.22	35.76	15180.22	3212.66	2148.82	139.07	172.65
IER5L	58.3	281.09	503.95	49.56	470.14	50.63	80.01	172.65	84.63	547.75	2255.7	1030.12	1242.34	94.67
IQGAP3	486.75	37.32	63.0	27.25	27.84	9.7	12.93	31.0	14.24	591.22	368.65	229.72	307.69	6.26
KIAA0101	1322.37	325.29	1388.16	171.45	269.6	73.03	152.28	156.59	185.11	1540.37	4268.94	3124.78	1794.29	0.0
KIF11	320.8	48.87	95.34	18.56	21.16	20.71	21.47	29.48	30.78	438.59	483.38	332.14	361.04	19.25
KIF14	46.18	7.4	15.22	4.74	2.84	2.97	2.58	7.4	2.36	135.24	64.8	74.58	178.77	5.45
KIF15	237.86	43.32	71.5	24.46	18.29	8.38	19.82	33.06	9.85	312.0	214.27	246.28	159.9	19.25
KIF18B	334.46	14.56	63.89	19.25	15.68	3.63	9.48	17.64	7.4	490.14	387.02	226.54	356.05	2.71
KIF20A	258.57	70.01	102.97	45.53	52.45	27.44	21.01	56.68	38.12	204.07	363.56	249.73	267.73	17.0
KIF2C	486.75	49.56	71.5	45.85	39.79	19.97	23.25	28.45	29.48	480.04	476.71	341.51	251.48	28.45
KIF4A	271.48	55.49	89.51	27.05	33.06	17.38	18.56	32.59	25.17	194.36	241.19	189.02	157.68	17.51
KIFC1	813.63	84.63	151.22	71.5	80.01	28.45	49.56	78.34	56.68	532.74	571.05	356.05	246.28	45.21
KNTC1	480.04	83.45	353.59	88.88	163.28	93.35	78.89	124.37	50.98	698.41	836.53	961.07	607.87	120.94
LMNB1	1857.6	236.21	435.55	124.37	120.94	103.69	147.06	231.32	129.69	2777.33	1388.16	1628.26	1331.57	123.5
MAD2L1	785.88	158.79	215.77	110.43	67.59	105.15	147.06	144.01	112.77	684.02	967.76	753.83	559.28	105.89
MCM10	120.94	16.39	57.49	15.34	5.73	3.41	9.85	6.67	4.13	163.28	231.32	147.06	86.43	5.96
MCM4	1167.14	232.94	723.08	187.71	177.53	152.28	211.31	205.5	177.53	2875.3	2351.53	1923.14	1477.58	336.79
MCM8	202.66	81.14	128.79	78.89	102.25	59.13	70.51	65.72	70.01	363.56	237.86	208.38	277.2	50.27
MELK	497.0	82.87	172.65	37.05	75.64	17.38	22.43	53.19	29.91	511.0	555.41	373.81	318.57	8.85
MLF1IP	426.57	92.05	387.02	120.94	147.06	82.29	138.1	185.11	99.43	351.14	785.88	447.82	460.44	44.25
MMP3	30.34	24.63	33.06	1.23	8.58	2.43	4.74	3.69	4.54	2468.49	318.57	77.79	1037.29	0.01
MMP9	395.18	214.27	228.13	68.07	157.68	35.5	148.09	137.14	171.45	432.53	1806.78	271.48	1561.89	37.85
MND1	244.57	39.79	71.5	18.7	36.01	11.3	18.56	28.65	22.92	258.57	144.01	170.25	159.9	23.76
MST1R	2047.0	63.89	17.25	26.1	221.86	8.51	20.71	21.01	14.14	1417.35	941.27	1111.82	603.67	21.32
MUSK	20.86	0.36	0.0	0.0	0.71	0.0	0.0	0.0	0.0	4.62	2.51	2.58	2.2	0.0
NCAPG	267.73	37.32	46.18	32.82	27.64	25.35	23.76	26.28	25.91	336.79	348.71	241.19	232.94	7.51
NCAPH	473.41	74.58	143.01	32.36	45.53	11.47	18.16	47.84	30.34	438.59	397.93	305.55	287.01	21.47
NEIL3	90.77	7.28	12.18	7.63	5.15	1.62	2.51	7.28	5.77	38.4	43.63	22.1	32.59	3.38
NEK2	432.53	63.89	85.22	12.74	26.1	11.3	16.51	78.89	30.78	178.77	483.38	185.11	156.59	15.45
NUF2	273.37	42.71	65.26	29.27	23.42	10.08	13.03	32.82	14.03	223.41	237.86	244.57	171.45	22.59
NUSAP1	896.64	149.12	450.94	126.12	77.25	58.71	81.14	126.12	104.42	753.83	1437.15	1208.34	660.68	43.02
OIP5	325.29	30.12	135.24	21.94	26.47	10.96	12.09	22.59	21.94	163.28	343.89	161.02	101.54	25.72
ORC6	325.29	89.51	206.94	32.59	52.08	27.64	31.0	23.42	21.94	356.05	379.04	371.22	199.85	17.0
PBK	518.15	31.67	74.06	22.43	26.67	14.67	10.0	14.78	20.71	395.18	420.68	325.29	460.44	15.45
PDLIM1	7749.1	1242.34	2047.0	684.02	2104.58	1191.69	1551.09	967.76	1605.83	3280.18	4181.07	3614.55	7966.99	836.53
PLA2G2A	834179.46	299043.36	311742.51	558035.51	558035.51	428815.23	513497.31	751804.53	565825.41	65990.84	606436.73	201440.3	176583.6	341.51
PLK1	1081.39	129.69	246.28	77.25	130.6	40.64	44.25	76.71	82.29	1059.11	642.59	642.59	769.69	24.99
PLK4	249.73	70.51	41.22	23.59	19.11	30.34	28.45	54.72	22.75	244.57	299.25	201.25	202.66	35.76
POC1A	490.14	139.07	183.82	48.52	120.1	44.89	63.45	96.68	63.0	262.2	363.56	273.37	169.07	39.5
POF1B	1651.0	59.97	68.07	3.17	34.02	16.39	10.79	18.97	11.91	182.55	426.57	264.03	384.34	0.74
POLQ	106.63	15.56	35.0	8.78	3.86	1.71	3.59	7.4	2.1	199.85	140.04	209.84	115.16	2.23
PRC1	1268.46	309.83	366.09	211.31	215.77	148.09	173.85	153.34	149.12	1044.52	830.75	1127.35	961.07	135.24
PTTG1	1781.89	346.29	400.71	115.97	214.27	60.82	115.16	147.06	232.94	1225.22	2555.58	1199.98	791.35	132.44
RACGAP1	713.11	148.09	384.34	120.1	119.26	87.65	91.41	153.34	94.67	693.58	928.3	954.43	785.88	155.5
RAD51	521.76	69.03	185.11	33.06	85.22	20.71	37.32	76.17	45.85	246.28	536.45	318.57	151.22	15.91
RAD51AP1	329.84	49.21	155.5	29.48	43.94	43.63	43.02	71.5	37.85	358.54	295.11	376.41	269.6	38.4
RDM1	71.5	20.86	35.25	7.0	15.45	0.47	2.78	10.96	6.06	47.17	98.04	37.05	62.56	0.0
RGS19	486.75	287.01	231.32	124.37	397.93	147.06	187.71	194.36	183.82	567.1	802.41	928.3	591.22	129.69
RHBDL2	802.41	31.45	104.42	52.45	173.85	4.54	43.02	69.03	116.78	45.21	435.55	100.13	242.88	22.75
RRM2	3212.66	301.33	559.28	198.47	202.66	63.0	74.58	195.72	125.24	3039.3	3589.58	2255.7	1304.15	20.26
RTKN2	72.52	11.91	28.24	19.39	13.22	8.13	8.78	21.01	12.45	38.95	69.03	66.65	48.52	9.27
SAMHD1	674.59	320.8	796.86	165.57	269.6	285.03	289.02	476.71	285.03	6516.03	2018.8	3955.48	2417.67	397.93
SGOL1	172.65	21.63	62.56	13.83	18.03	9.34	6.94	27.44	14.35	204.07	297.17	220.32	139.07	4.5
SGPP2	679.29	106.63	162.14	43.32	20.26	117.6	66.65	65.72	45.21	718.08	555.41	775.05	511.0	49.56
SKA1	204.07	25.91	42.11	9.13	9.56	3.92	14.89	12.45	17.51	144.01	209.84	96.68	146.03	10.39
SLC16A13	125.24	96.01	87.03	51.35	149.12	60.39	48.52	43.94	45.85	90.14	348.71	217.27	171.45	58.71
SLC7A5	909.17	271.48	255.0	29.7	217.27	30.34	77.79	61.68	76.17	2047.0	819.3	525.39	299.25	176.29
SLCO4A1	447.82	113.56	409.15	26.67	37.32	52.08	40.07	23.59	19.25	902.89	1745.2	1832.01	733.19	63.45
SMC4	947.83	258.57	316.37	139.07	198.47	135.24	173.85	314.17	146.03	2032.85	1605.83	1991.0	1037.29	144.01
SPAG5	995.0	239.52	314.17	119.26	211.31	57.49	85.82	127.89	75.11	708.18	819.3	567.1	660.68	54.33
SPC25	346.29	73.54	91.41	29.27	31.0	12.18	17.25	31.9	28.86	176.29	368.65	262.2	204.07	9.2
SUCNR1	14.89	2.2	18.56	0.31	5.5	3.79	1.46	6.62	3.86	136.19	48.87	40.07	18.29	4.98
TFRC	1639.59	265.87	486.75	299.25	215.77	246.28	248.0	368.65	175.07	2609.3	1388.16	1199.98	1508.65	215.77
TLDC2	490.14	17.13	22.92	7.34	18.16	7.88	2.61	11.38	3.17	181.28	128.79	92.7	67.59	7.94
TMEM143	173.85	71.0	128.79	57.08	124.37	105.89	70.01	80.57	64.8	297.17	253.23	269.6	316.37	82.87
TMEM62	780.44	575.03	591.22	332.14	647.07	126.12	262.2	507.46	403.5	1151.06	967.76	813.63	808.0	172.65
TONSL	256.78	92.05	182.55	66.65	70.01	57.49	75.64	51.71	47.17	412.0	460.44	303.44	412.0	49.56
TOP2A	1551.09	154.42	387.02	153.34	191.67	66.18	85.22	172.65	143.01	1225.22	2119.22	1167.14	1407.55	100.13
TPX2	890.44	135.24	237.86	68.07	91.41	36.79	49.21	83.45	62.56	909.17	1350.18	988.12	860.08	23.93
TROAP	753.83	143.01	285.03	46.18	109.66	16.88	26.28	71.0	61.25	470.14	1088.92	780.44	309.83	29.91
TSEN54	1225.22	896.64	698.41	466.88	1167.14	460.44	521.76	251.48	384.34	854.13	1857.6	1023.0	878.17	540.19
TTC13	366.09	116.78	198.47	122.64	135.24	120.94	115.97	125.24	111.99	540.19	429.54	497.0	329.84	137.14
TYMS	2178.83	312.0	373.81	173.85	123.5	120.1	228.13	206.94	183.82	3847.29	1104.13	981.29	1322.37	187.71
UBE2C	2739.08	417.77	629.35	145.02	255.0	80.01	135.24	133.36	155.5	1286.18	5255.91	4268.94	1233.75	36.79
UBE2T	1066.48	314.17	460.44	97.36	171.45	60.82	127.89	186.4	131.51	497.0	1037.29	728.11	466.88	113.56
WDR76	267.73	27.64	127.0	48.18	31.45	24.81	37.32	46.84	39.5	358.54	387.02	368.65	178.77	68.55
XKR9	229.72	22.43	40.64	10.96	4.24	13.12	3.35	7.75	15.56	167.9	107.38	18.97	15.0	1.3
XRCC2	60.82	13.32	34.75	14.56	6.46	8.65	11.13	11.55	5.23	129.69	120.94	82.87	81.14	18.84
