	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
GCN1L1	718.08	638.15	830.75	348.71	0.0	0.82
GDF1	1.62	0.39	0.75	0.45	0.0	0.17
GGTLC1	0.6	0.0	1.64	0.75	0.0	0.21
GLTPD2	5.45	0.0	4.94	3.66	0.0	0.2
GPR37L1	20.86	0.0	7.75	0.0	0.0	0.09
HES4	318.57	57.08	275.28	94.67	0.0	0.58
HHATL	4.86	1.08	6.01	2.07	0.0	0.0
HIST1H1C	10959.3	6337.83	16843.62	3325.99	0.0	0.74
HIST1H1T	7.0	8.32	8.92	1.14	0.0	0.0
HIST1H2AC	8840.04	3235.01	4736.79	703.28	0.0	0.41
HIST1H2AI	470.14	356.05	336.79	14.24	0.0	0.15
HIST1H2BD	7485.11	2609.3	5995.9	1733.13	0.0	0.0
HIST1H2BF	143.01	84.04	148.09	65.26	0.0	0.57
HIST1H2BK	12329.98	8247.98	10296.45	1697.45	0.0	1.03
HIST1H2BN	163.28	72.01	134.3	38.12	0.0	0.33
HIST1H2BO	69.52	53.57	72.01	4.66	0.0	0.36
HIST1H3D	981.29	246.28	674.59	29.27	0.0	0.65
HIST1H3H	902.89	423.61	599.49	40.93	0.0	0.32
HIST1H4H	3212.66	2148.82	1781.89	76.71	0.0	0.64
HIST2H2AA3	915.51	536.45	1001.93	120.94	0.0	0.06
HIST2H2AA4	22072.07	5441.3	19618.49	2935.74	0.0	0.0
HIST3H2BB	187.71	37.85	169.07	25.72	0.0	0.0
HPCAL1	954.43	547.75	860.08	688.78	0.0	0.67
HPS1	1151.06	620.67	769.69	642.59	0.0	0.68
HSPA5	12589.08	9876.98	17437.64	9279.58	6699.25	59.97
HYPK	77.79	82.29	165.57	97.36	0.0	0.21
IBA57	195.72	71.0	212.78	27.44	82.87	37.32
ICAM5	0.74	3.5	21.47	1.31	0.0	0.71
ILVBL	1167.14	896.64	1477.58	555.41	0.0	0.56
IMP4	1896.65	902.89	1662.49	1268.46	0.0	0.35
INO80C	583.07	277.2	555.41	379.04	0.0	0.42
JMJD4	616.37	361.04	738.29	255.0	0.0	0.0
JOSD2	575.03	435.55	1030.12	567.1	0.0	0.52
KCNK15	708.18	258.57	295.11	87.03	0.0	0.58
KREMEN1	148.09	144.01	198.47	76.71	0.0	0.79
LBP	88.26	2.16	25.54	12.74	0.0	0.37
LPPR3	229.72	151.22	23.08	13.32	136.19	146.03
MAMSTR	28.86	14.14	41.22	28.45	0.0	0.36
MAPK15	438.59	68.55	373.81	420.68	0.0	0.46
MCHR1	7.11	0.97	10.31	2.27	0.0	0.04
MEGT1	1.48	0.0	1.3	0.0	0.0	0.06
METTL1	961.07	629.35	1059.11	633.73	0.0	0.0
MGAT2	813.63	318.57	934.76	214.27	0.0	0.0
MMS19	1331.57	928.3	1233.75	915.51	0.0	0.87
MORN3	110.43	44.25	53.57	25.54	0.0	0.0
MRPL48	1159.07	796.86	688.78	961.07	0.0	0.25
MRPL54	2777.33	830.75	2451.44	1819.35	0.0	0.54
MRPS12	1331.57	595.34	1088.92	490.14	0.0	0.39
MSX1	103.69	32.82	84.63	33.78	0.0	0.29
NOP9	463.65	429.54	470.14	220.32	0.0	0.55
NOSIP	2075.59	703.28	1378.57	1167.14	0.0	0.8
NR0B1	0.33	0.0	0.69	0.0	0.0	0.0
NRSN2	1427.22	579.04	995.0	738.29	0.0	0.73
NTMT1	775.05	587.13	1208.34	629.35	0.0	0.54
NUPR1L	339.14	0.0	145.02	166.73	0.0	0.11
ORAI2	616.37	595.34	836.53	339.14	171.45	73.54
OTUB2	75.11	50.98	47.5	22.59	0.0	0.0
OVGP1	166.73	46.5	149.12	19.53	0.0	0.6
PCBP1	7081.29	5791.62	7966.99	7280.4	0.0	1.07
PDLIM4	819.3	258.57	1397.83	69.52	0.0	0.38
PDZD7	44.89	43.63	95.34	86.43	0.0	0.28
PFKM	470.14	139.07	616.37	178.77	0.0	0.83
PIGO	1059.11	595.34	718.08	656.11	0.0	0.29
PLEKHG5	147.06	57.49	277.2	117.6	0.0	0.66
PLEKHN1	156.59	37.32	76.71	70.01	0.0	0.67
PLXNB2	3103.19	2720.15	4836.35	2682.69	0.0	1.2
PNKP	813.63	339.14	1059.11	647.07	0.0	0.97
POLD4	4736.79	4181.07	7485.11	3874.05	0.0	0.91
PQLC1	981.29	353.59	583.07	543.96	0.0	0.74
RAB19	73.03	81.14	78.34	30.34	0.0	0.0
RGS14	567.1	376.41	830.75	647.07	0.0	0.56
RMND5B	854.13	642.59	860.08	708.18	0.0	0.47
RNF113A	616.37	246.28	503.95	373.81	0.0	0.59
RNF34	967.76	511.0	934.76	532.74	819.3	500.46
RP11-345J4.3	12.93	0.0	19.82	7.34	0.0	0.0
RPL36AL	10585.95	5112.16	8901.53	8658.09	0.0	1.01
RSG1	204.07	119.26	154.42	114.36	0.0	0.0
SCGB2A2	736332.6	845824.19	1600397.78	8805660.77	0.0	0.0
SERTAD1	457.25	205.5	397.93	285.03	0.0	0.16
SLC30A3	3.06	0.0	2.03	0.8	0.0	0.11
SLC37A2	934.76	56.68	239.52	110.43	0.0	0.23
SLC46A1	555.41	172.65	599.49	297.17	0.0	0.14
SLC5A2	23.59	6.67	6.57	9.06	0.0	0.23
SLC7A1	307.69	312.0	363.56	120.1	194.36	50.98
SOWAHB	77.25	13.22	105.15	41.81	0.0	0.0
SPATA18	387.02	120.1	285.03	265.87	0.0	0.0
SPATC1L	368.65	262.2	480.04	256.78	0.0	0.12
SYNGR1	412.0	85.82	764.36	244.57	0.0	0.67
TBC1D25	264.03	145.02	329.84	142.01	0.0	0.61
TCEB3B	0.32	0.0	0.35	0.0	0.0	0.0
TIMM23B	555.41	239.52	571.05	208.38	0.0	0.0
TMEM129	961.07	373.81	884.29	743.43	0.0	0.73
TMEM203	884.29	660.68	753.83	748.61	0.0	0.09
TMEM55B	848.22	514.56	769.69	633.73	0.0	0.85
TP73	59.13	47.84	38.67	13.62	0.0	0.0
TPH2	2.63	0.0	4.13	0.0	0.0	0.0
TPSG1	287.01	2.41	149.12	11.21	0.0	0.28
TRADD	540.19	381.68	476.71	441.64	0.0	0.74
UPK3B	49.21	3.29	30.12	6.26	0.0	0.0
VTI1B	3928.15	1883.54	2075.59	2555.58	0.0	0.75
VWA2	638.15	185.11	351.14	236.21	0.0	0.0
ZBTB22	420.68	291.04	555.41	454.09	0.0	0.25
ZDHHC24	476.71	249.73	397.93	256.78	0.0	0.39
ZFYVE27	470.14	271.48	540.19	414.87	0.0	0.75
ZHX1-C8ORF76	33.78	18.43	36.79	25.91	0.0	0.27
ZNF552	3491.39	1051.79	2796.65	514.56	0.0	0.27
ZNF622	954.43	525.39	1023.0	521.76	0.0	0.21
ZNF668	16.39	0.0	14.78	0.0	0.0	0.0
