	TCGA.AO.A12H.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.WYVS.1726.SM.3NMAY	GTEX.13FTY.2226.SM.5J1ND
C1QL4	0.37	0.41	0.34	0.34	0.0	2.14	1.17	1.17	6.01	25.54
C2CD3	221.86	275.28	153.34	173.85	262.2	480.04	329.84	329.84	669.92	842.36
C2orf40	15.0	83.45	13.62	5.23	44.57	2119.22	289.02	289.02	7180.15	5954.47
CAPN6	0.36	6.52	0.33	0.0	12.18	368.65	90.14	90.14	1540.37	748.61
CAPZA3	0.0	0.0	1.35	0.0	0.0	34.02	7.75	7.75	32.13	35.76
CCL28	146.03	384.34	86.43	149.12	40.64	2645.74	1268.46	1268.46	7485.11	3212.66
CD200R1L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	2.25
CDH17	0.33	0.75	0.3	0.0	1.01	2.76	3.69	3.69	10.16	9.06
CEP164	162.14	226.54	164.42	134.3	197.09	361.04	232.94	232.94	432.53	583.07
CFHR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48
CFI	92.05	249.73	70.01	72.01	193.01	928.3	753.83	753.83	748.61	1331.57
CFTR	0.0	0.78	0.0	0.0	1.04	25.54	8.65	8.65	21.47	47.5
CITED4	167.9	264.03	191.67	59.13	157.68	693.58	723.08	723.08	1923.14	2090.03
CLEC4F	2.16	16.75	2.01	1.01	5.41	17.77	7.46	7.46	58.71	89.51
CNTNAP3B	0.47	15.0	1.46	4.39	1.97	208.38	30.12	30.12	224.97	612.11
COL6A6	0.28	7.11	1.81	0.56	5.36	104.42	47.5	47.5	56.28	88.88
CPA5	0.0	1.89	0.29	0.0	0.0	7.4	10.16	10.16	9.27	73.54
CPB1	1155430.26	1715263.94	1116072.03	1026995.62	1108362.75	2468.49	14561.8	14561.8	35856.82	2.291835145E7
CREBBP	320.8	620.67	279.14	176.29	336.79	796.86	624.99	624.99	1030.12	1119.56
CRISP2	0.36	2.34	0.0	0.0	0.0	12.83	2.68	2.68	1.99	42.71
CRISP3	0.0	373.81	0.0	0.37	0.0	10.24	3.41	3.41	1.53	9215.48
CST5	1.79	59.13	0.0	29.7	79.45	0.0	6.06	6.06	176.29	118949.35
CTD-2105E13.6	0.0	0.0	0.0	0.0	0.0	2.36	0.47	0.47	1.3	20.71
CTD-2278I10.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25
CUX2	0.95	4.39	0.87	0.0	1.62	2.66	2.16	2.16	78.34	72.01
CX3CL1	95.34	134.3	202.66	54.33	90.77	4450.27	2758.13	2758.13	15180.22	10014.87
CYR61	1561.89	1477.58	429.54	642.59	703.28	4419.52	5366.37	5366.37	32092.64	30151.71
DDX3Y	0.0	0.0	0.0	0.0	0.0	1.17	0.87	0.87	2.58	0.43
DEFB1	1.58	769.69	2.16	97.36	1.6	2061.24	872.1	872.1	1977.24	9945.68
DSC1	0.0	3.92	0.0	0.0	0.59	24.28	8.78	8.78	65.26	29.06
DSG1	0.0	0.68	0.0	0.0	0.28	13.93	17.77	17.77	297.17	114.36
EDN3	0.0	1.53	0.0	0.0	1.36	136.19	142.01	142.01	175.07	444.72
EGR1	2047.0	921.88	139.07	36.27	507.46	7911.95	7280.4	7280.4	73730.83	25887.07
EGR2	42.71	67.12	18.29	4.17	53.57	603.67	348.71	348.71	3874.05	2367.9
EIF1AY	0.0	0.0	0.0	0.0	0.0	1.55	0.0	0.0	0.17	1.77
ELF5	0.37	45.21	0.0	21.63	4.94	1487.87	591.22	591.22	4328.55	656.11
EREG	0.0	0.39	1.28	1.57	1.06	2.84	1.55	1.55	9.34	334.46
ETV3L	0.34	1.17	0.0	0.0	0.34	8.78	0.36	0.36	75.11	11.91
FAM126A	26.1	106.63	27.44	14.03	55.1	435.55	366.09	366.09	915.51	713.11
FGF1	76.17	260.38	34.51	21.94	56.28	603.67	521.76	521.76	2163.77	1883.54
FIGF	1.08	1.23	3.26	0.0	4.94	368.65	224.97	224.97	1096.5	223.41
FMO2	5.96	57.89	0.82	3.82	65.72	1529.73	1519.15	1519.15	3614.55	1030.12
FOS	7589.61	1331.57	297.17	371.22	1286.18	19348.38	17197.56	17197.56	56657.31	129266.49
FOSB	253.23	75.64	32.13	6.94	61.25	1857.6	3614.55	3614.55	10368.08	16157.44
FOXB1	0.0	0.0	0.0	0.0	0.0	2.39	0.0	0.0	0.0	8.92
FREM1	0.71	29.48	6.57	0.0	9.2	173.85	253.23	253.23	1277.29	490.14
GABRP	1.5	42.11	0.73	19.11	39.5	3443.31	2004.85	2004.85	9409.14	4869.99
GBP1	156.59	406.31	127.0	76.17	406.31	1088.92	466.88	466.88	3018.3	5076.84
GBP6	0.32	4.9	0.92	2.12	1.68	16.15	13.03	13.03	75.64	21.16
GHRH	1.6	3.29	0.0	0.0	5.54	5.59	4.58	4.58	0.0	134.3
GLRA3	0.0	0.28	0.22	0.0	0.0	115.16	0.3	0.3	400.71	1498.22
GLYATL2	12.74	15.22	27.64	26.28	13.32	603.67	236.21	236.21	688.78	1909.85
GNLY	36.53	62.12	109.66	25.35	41.52	187.71	129.69	129.69	878.17	934.76
GPR110	0.33	1.51	0.3	1.2	0.33	71.5	45.21	45.21	152.28	194.36
GPR144	0.0	0.0	0.0	0.37	0.0	34.75	0.21	0.21	38.4	46.18
GRAMD3	103.69	497.0	96.01	69.03	132.44	1208.34	518.15	518.15	1936.53	1806.78
GRIA4	0.0	8.92	0.0	0.0	2.32	111.99	58.71	58.71	511.0	400.71
HMGCS2	1.99	2287.2	0.0	10.71	102.97	1030.12	603.67	603.67	11267.44	15075.35
HOXC12	0.71	2.32	0.66	0.65	0.0	1.0	0.0	0.0	0.0	285.03
HPSE2	1.39	0.41	0.34	0.33	0.72	71.0	16.63	16.63	376.41	120.1
ID4	122.64	90.14	24.46	3.86	54.72	1225.22	785.88	785.88	2976.74	16383.0
IL33	11.3	70.01	20.11	5.73	54.72	1313.23	1096.5	1096.5	2400.97	1175.27
ITIH2	0.22	176.29	0.49	0.2	0.85	98.04	3.08	3.08	251.48	896.64
ITM2A	256.78	381.68	293.07	52.45	466.88	3467.27	2271.4	2271.4	8718.32	3982.99
JAM2	136.19	157.68	76.71	47.5	100.13	830.75	591.22	591.22	1519.15	1250.98
JPH4	4.21	4.39	1.33	0.99	1.81	21.94	21.32	21.32	44.25	58.3
JUN	2485.67	1059.11	529.06	426.57	1023.0	5041.77	4123.49	4123.49	12244.81	20593.91
KCNH8	0.0	2.48	0.0	0.0	0.77	33.06	18.56	18.56	55.89	45.85
KIT	9.56	78.34	5.06	7.46	22.1	1583.71	1151.06	1151.06	5076.84	1909.85
KLF6	825.0	941.27	351.14	309.83	536.45	1709.26	4388.98	4388.98	3847.29	8479.89
KLHL13	5.92	53.95	7.94	19.82	25.17	435.55	287.01	287.01	2468.49	1407.55
KLHL33	0.36	0.4	0.33	0.0	0.72	4.98	7.28	7.28	18.16	10.16
KLK10	1.48	17.77	0.0	3.29	3.99	164.42	172.65	172.65	872.1	651.58
KLK11	0.0	0.83	3.56	0.99	5.28	149.12	34.26	34.26	1359.57	2047.0
KLK14	0.38	2.36	5.73	1.28	1.43	28.45	12.45	12.45	36.53	242.88
KLK8	1.81	15.45	0.0	0.0	5.41	329.84	291.04	291.04	392.44	769.69
KRT81	1.81	31.9	1.36	19.53	2.2	1015.93	77.25	77.25	153.34	5633.22
LCN2	0.0	39.79	35.5	17.0	31.45	493.56	339.14	339.14	1519.15	651.58
LELP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34
LGI1	0.0	0.0	0.31	0.0	0.34	5.19	2.25	2.25	7.46	34.02
LIPC	3.92	7.11	3.03	1.46	8.99	17.51	9.41	9.41	72.01	64.34
LRRC3B	0.0	2.16	4.5	0.0	0.27	25.35	13.03	13.03	146.03	108.14
MAML2	29.48	78.89	21.47	9.13	47.84	444.72	358.54	358.54	1023.0	647.07
MATN2	71.0	169.07	14.89	20.56	39.22	2271.4	1685.71	1685.71	13776.25	4010.71
MICAL3	78.34	201.25	47.84	75.64	165.57	642.59	432.53	432.53	860.08	1225.22
MSX2	48.87	202.66	8.92	51.71	55.49	248.0	234.57	234.57	291.04	1286.18
MUCL1	6.52	1477.58	3.92	61.25	251.48	70727.3	20881.4	20881.4	294926.33	524287.0
MYBPC1	0.41	4.1	0.0	0.71	58.71	733.19	19.97	19.97	5292.48	2163.77
MYL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	2.03
MYO1H	1.68	7.22	2.81	0.0	1.03	3.82	11.55	11.55	16.88	201.25
NCAM1	7.57	6.31	2.29	1.95	12.45	130.6	86.43	86.43	111.21	612.11
NCMAP	0.0	4.5	1.85	0.3	0.67	143.01	44.89	44.89	379.04	130.6
NEUROG2	0.0	5.77	0.0	0.0	0.6	16.75	2.48	2.48	165.57	79.45
NPCDR1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.02
NPY2R	2.41	0.28	0.0	0.0	0.0	50.63	11.91	11.91	108.14	299.25
NRG1	1.3	46.5	2.76	0.87	4.7	105.15	59.55	59.55	417.77	414.87
NTN4	1322.37	2451.44	125.24	1540.37	1605.83	3955.48	2520.38	2520.38	6381.92	26067.14
NXF2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.42
OR2T6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43
PHKG1	6.36	10.71	15.0	2.94	9.56	76.17	71.0	71.0	77.79	314.17
PIK3R1	291.04	612.11	113.56	412.0	688.78	2047.0	2133.97	2133.97	6792.79	7642.41
PKIA	5.41	50.27	5.36	0.35	9.85	146.03	55.89	55.89	420.68	248.0
PLAGL1	19.82	121.79	32.59	5.02	60.39	470.14	441.64	441.64	941.27	921.88
PLSCR5	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	2.61	1.25
PNMA3	1.5	2.89	0.73	0.0	1.16	10.08	10.47	10.47	7.06	19.82
PRKCQ	1.08	9.27	1.97	0.99	6.62	48.18	12.0	12.0	53.19	85.82
PROM1	0.39	23.59	1.68	142.01	5.73	1794.29	813.63	813.63	2645.74	1709.26
PTGS2	5.15	6.57	2.07	0.25	3.59	100.13	115.16	115.16	1529.73	295.11
PTPN21	42.11	83.45	34.02	31.45	35.76	376.41	348.71	348.71	555.41	1477.58
PTPRZ1	0.0	1.97	0.0	0.0	3.82	109.66	33.3	33.3	529.06	366.09
RALYL	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.0	0.0	70.51
RCAN1	175.07	587.13	180.02	175.07	248.0	2451.44	2777.33	2777.33	8778.97	9025.81
RGS2	148.09	246.28	84.04	14.89	95.34	2090.03	3039.3	3039.3	4328.55	17317.18
RNF186	0.0	0.79	0.0	0.0	0.36	39.5	23.25	23.25	42.41	12.18
ROPN1	0.0	4.94	0.0	0.0	0.0	182.55	96.01	96.01	753.83	115.16
RP11-817J15.3	0.0	2.36	0.0	0.0	2.48	101.54	17.51	17.51	206.94	392.44
RP11-998D10.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84
RSC1A1	0.0	0.0	0.0	0.0	0.0	0.0	29.48	29.48	5.32	202.66
SC5D	540.19	629.35	122.64	376.41	358.54	1104.13	703.28	703.28	1268.46	2468.49
SCN2A	1.28	7.4	0.0	0.26	0.96	32.59	9.06	9.06	132.44	124.37
SEMA3E	1.41	49.91	0.0	1.89	60.39	189.02	51.35	51.35	363.56	1044.52
SERPINB12	0.0	0.0	0.0	0.0	0.0	1.38	0.74	0.74	2.23	1.28
SFRP1	17.38	142.01	5.36	2.71	121.79	9474.59	5751.61	5751.61	64632.75	17681.08
SH3RF2	5.73	62.12	1.41	2.36	47.5	130.6	66.65	66.65	221.86	490.14
SHISA2	265.87	71.5	8.32	0.93	13.72	921.88	267.73	267.73	152.28	5711.87
SLC27A6	1.64	9.34	0.0	0.0	2.34	173.85	84.63	84.63	638.15	463.65
SLC34A2	0.0	12.0	1.62	17.9	9.41	1208.34	775.05	775.05	1437.15	432.53
SLC6A14	0.0	0.74	0.0	0.59	3.03	305.55	31.9	31.9	679.29	264.03
SLC7A3	0.64	4.94	0.89	0.0	2.01	34.75	32.36	32.36	343.89	197.09
SLFN12L	4.58	7.17	3.63	0.71	4.66	64.8	27.25	27.25	27.84	97.36
SMPX	0.0	0.0	0.0	0.0	0.0	4.13	0.0	0.0	3.99	1.95
SMYD1	0.0	12.09	0.0	0.0	1.25	190.34	108.14	108.14	114.36	289.02
SNCAIP	7.34	15.68	10.0	7.34	11.64	154.42	77.79	77.79	167.9	220.32
SOX10	0.0	24.28	0.0	0.0	9.41	1350.18	547.75	547.75	5633.22	2502.97
SPINK8	0.0	50.98	0.0	0.0	3.03	84.04	26.28	26.28	309.83	283.05
SSTR1	3.69	2.29	5.92	1.23	0.35	22.1	13.12	13.12	35.5	84.04
ST8SIA1	18.7	28.24	8.45	1.64	14.14	264.03	96.68	96.68	575.03	231.32
SULT1C3	0.0	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.13
SYNM	218.79	82.29	52.45	12.18	100.83	3589.58	3491.39	3491.39	6037.61	11504.21
TMEM71	12.93	21.94	17.64	3.5	24.99	201.25	83.45	83.45	842.36	403.5
TPRXL	0.4	2.81	0.71	0.0	2.53	2.89	8.32	8.32	29.7	35.0
TSHZ2	5.96	35.0	4.58	3.23	23.08	218.79	220.32	220.32	612.11	473.41
TSLP	0.34	3.41	0.62	0.0	1.03	68.55	30.56	30.56	69.03	148.09
TUBB2B	3.17	106.63	88.26	50.98	34.75	435.55	366.09	366.09	642.59	1135.2
VGLL1	1.75	6.62	2.25	1.28	3.17	371.22	149.12	149.12	387.02	395.18
WDR86	10.63	27.44	16.03	1.17	15.68	371.22	132.44	132.44	521.76	642.59
WIF1	0.0	3.41	0.0	0.0	2.03	96.68	40.36	40.36	314.17	1135.2
XAGE2	0.0	0.0	0.0	0.0	0.0	11.91	0.0	0.0	2.41	51.71
XAGE2B	0.0	0.0	0.0	0.0	0.0	11.91	0.0	0.0	2.29	41.52
ZBTB18	16.27	307.69	22.43	102.25	21.63	738.29	363.56	363.56	708.18	2255.7
ZC3H12A	115.16	131.51	153.34	75.11	94.01	327.56	351.14	351.14	571.05	1268.46
