	TCGA.GC.A3WC.11A.11R.A22U.07	TCGA.BT.A20R.11A.11R.A16R.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.13OVI.2126.SM.5KM3U	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13OVI.2426.SM.5KM4J	GTEX.13N11.1126.SM.5KM41
NAGK	3280.18	1331.57	2956.17	2178.83	1044.52	0.0	0.35	1369.04	2796.65
NDN	995.0	775.05	3515.68	4802.93	363.56	0.0	0.61	1498.22	2271.4
NDUFAF3	1529.73	1407.55	3690.52	3257.52	1286.18	0.0	0.62	2193.99	2591.27
NPDC1	1896.65	1572.76	13968.57	3257.52	669.92	0.0	1.07	1143.1	7485.11
ODF3B	420.68	229.72	6037.61	10014.87	157.68	0.0	0.58	454.09	1397.83
OGFOD2	255.0	107.38	547.75	780.44	237.86	0.0	0.24	164.42	271.48
PCED1A	486.75	186.4	1225.22	1051.79	157.68	0.0	1.0	186.4	679.29
PIGR	6471.02	0.95	5458222.35	1.271475112E7	1806.78	454.09	1685.71	2090.03	3.99
PLK5	1.99	1.31	72.01	78.34	2.36	0.0	0.13	1.27	37.85
PNKP	583.07	277.2	928.3	961.07	334.46	0.0	0.97	480.04	651.58
POP5	819.3	358.54	974.5	1233.75	583.07	0.0	0.04	454.09	947.83
PRICKLE4	287.01	30.12	647.07	414.87	82.87	0.0	0.73	101.54	497.0
PRR22	28.45	12.36	289.02	361.04	16.63	0.0	0.29	12.55	67.59
PYGO2	642.59	199.85	819.3	830.75	525.39	0.0	0.67	438.59	603.67
RAB38	84.63	44.89	80.01	178.77	5.92	0.0	0.52	70.01	144.01
RABL5	854.13	595.34	1950.0	2816.11	500.46	0.0	0.06	642.59	1733.13
RILPL2	947.83	356.05	2178.83	3235.01	521.76	0.0	0.59	1304.15	1651.0
RIOK2	532.74	336.79	363.56	438.59	275.28	0.0	0.21	152.28	633.73
RNASEH2A	307.69	156.59	314.17	412.0	221.86	0.0	0.01	146.03	486.75
RP11-139J15.7	0.0	0.88	11.47	15.91	0.0	0.0	0.0	0.0	7.75
RP11-160N1.10	5.02	0.0	7.69	0.0	0.0	0.0	0.0	0.0	6.62
RPS10-NUDT3	343.89	341.51	332.14	332.14	191.67	0.0	0.0	125.24	486.75
SCGB3A1	26.86	7.88	2326934.84	6.482288873E7	0.0	0.0	0.05	29.48	1540.37
SCN5A	10.71	7.06	53.57	96.68	2.12	0.0	0.22	3.47	30.34
SMARCAL1	392.44	155.5	432.53	521.76	217.27	0.0	0.0	181.28	291.04
SMUG1	679.29	327.56	890.44	1001.93	312.0	0.0	0.0	318.57	1183.45
SNRNP35	848.22	334.46	1259.69	1096.5	403.5	0.0	0.37	497.0	1594.73
SREK1IP1	493.56	339.14	511.0	327.56	119.26	0.0	0.27	258.57	656.11
SYMPK	1030.12	490.14	1447.15	1745.2	503.95	0.0	0.99	579.04	1313.23
TBCD	1427.22	842.36	2739.08	2997.45	748.61	0.0	0.88	848.22	1697.45
THSD1	115.97	25.54	387.02	92.05	47.84	0.0	0.38	107.38	426.57
TMEM101	693.58	295.11	3419.52	5872.48	460.44	0.0	0.14	295.11	2255.7
TMEM186	265.87	117.6	332.14	265.87	241.19	0.0	0.0	181.28	438.59
TMEM74B	21.63	6.16	73.03	65.26	11.3	0.0	0.51	17.9	102.25
TRAF2	297.17	115.97	356.05	332.14	171.45	0.0	0.49	141.02	253.23
TRMT112	4903.87	4419.52	7331.05	5672.41	4802.93	7180.15	444.72	5255.91	7857.29
TSPAN31	896.64	660.68	1378.57	1757.34	463.65	884.29	511.0	493.56	1551.09
UBE2Z	1259.69	890.44	1151.06	1561.89	995.0	1135.2	108.9	902.89	1519.15
UPF1	854.13	718.08	854.13	1216.75	466.88	0.0	0.97	483.38	995.0
UROC1	0.0	0.0	1.27	4.31	2.58	0.0	0.04	0.0	1.85
VPS16	603.67	387.02	954.43	791.35	395.18	0.0	0.93	346.29	1199.98
WDR16	7.88	0.45	2555.58	12076.21	0.85	0.0	0.0	12.18	18.43
YIPF7	2.36	1.31	2.46	4.24	0.0	0.0	0.0	1.39	2.92
ZBTB12	142.01	77.79	301.33	435.55	61.68	0.0	0.15	39.22	124.37
ZBTB48	612.11	209.84	808.0	698.41	358.54	0.0	0.72	293.07	684.02
ZC2HC1B	0.0	0.0	8.92	0.0	2.68	0.0	0.0	0.0	7.69
ZNF280B	5.15	3.96	38.4	76.17	14.24	0.0	0.15	9.2	48.18
ZNF319	135.24	49.56	159.9	228.13	183.82	0.0	0.19	147.06	208.38
ZNF691	301.33	78.34	450.94	387.02	149.12	0.0	0.0	134.3	438.59
ZSCAN4	0.42	0.0	89.51	102.97	0.56	0.0	0.09	0.16	4.31
ZSWIM8	2335.28	1268.46	3589.58	2271.4	1594.73	674.59	842.36	1883.54	3146.52
