	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7183.11A.01R.2016.07	TCGA.KL.8339.01A.11R.2315.07	TCGA.KL.8330.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.4395.01A.01R.1206.07	TCGA.49.4486.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.37.4133.01A.01R.1100.07	TCGA.37.4133.01A.01R.1100.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZC5H.2726.SM.5KLZW	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
DCAF5	490.14	149.12	836.53	813.63	738.29	791.35	934.76	656.11	563.18	890.44	435.55	426.57	567.1	547.75	96.68	105.15	0.0	237.86	283.05	0.73	122.64	122.64	647.07	785.88	476.71	796.86	647.07	620.67	432.53
FBXL7	1.46	8.25	147.06	101.54	108.9	90.77	63.45	60.82	63.45	104.42	14.03	13.62	8.0	18.16	12.27	7.82	0.0	19.11	9.7	0.52	14.03	14.03	67.12	81.14	76.71	221.86	25.17	22.1	23.25
HDAC4	62.56	25.17	463.65	466.88	490.14	325.29	289.02	325.29	208.38	486.75	45.21	21.78	24.46	47.5	44.57	6.26	0.0	99.43	24.28	0.52	31.45	31.45	226.54	312.0	152.28	974.5	109.66	111.99	92.05
IGFBP6	967.76	217.27	3443.31	3794.3	13492.72	8963.45	1757.34	1191.69	2555.58	796.86	4123.49	87.65	94.01	100.83	412.0	97.36	0.0	693.58	99.43	0.42	246.28	246.28	64632.75	5183.54	1359.57	30361.44	4671.57	1242.34	2609.3
ITGB1BP2	28.45	10.88	92.05	89.51	151.22	36.53	57.89	24.99	31.45	38.4	8.06	2.34	1.43	2.66	5.28	8.25	0.0	6.94	7.4	0.49	8.71	8.71	32.13	73.54	21.32	142.01	27.84	11.73	18.43
ITSN1	62.12	113.56	214.27	275.28	172.65	305.55	253.23	267.73	244.57	223.41	121.79	186.4	127.0	104.42	88.88	33.54	0.0	136.19	79.45	0.71	102.97	102.97	116.78	171.45	181.28	808.0	190.34	156.59	137.14
KCNH1	0.78	0.29	0.93	2.71	0.67	0.88	0.59	0.49	0.82	0.56	0.0	0.0	0.0	0.0	0.35	0.37	0.0	0.0	0.0	0.1	0.4	0.4	16.88	8.99	0.43	13.93	1.89	1.66	0.57
KLC1	2075.59	1015.93	3039.3	2835.7	3325.99	3039.3	3081.75	2777.33	2434.5	3589.58	947.83	297.17	1037.29	1111.82	194.36	258.57	0.0	629.35	1151.06	0.85	647.07	647.07	2163.77	1896.65	1268.46	3349.13	1340.84	1216.75	1617.0
KRT4	3.697379928E7	6.89	1.810644424E7	1545882.32	746611.43	6140819.49	2.276004283E7	3359929.59	1383603.33	3.109113511E7	951601.81	0.0	0.0	0.0	3.53	0.0	0.0	72.52	3.99	0.0	8538.88	8538.88	2.900905474E7	6357375.06	1.236706555E7	45072.75	2.213766823E7	1.887534821E7	2.10891839E7
KSR1	339.14	81.14	1540.37	1044.52	1127.35	967.76	1709.26	1583.71	713.11	1721.16	503.95	153.34	102.25	108.14	82.29	12.83	0.0	220.32	249.73	0.96	134.3	134.3	1331.57	1832.01	947.83	1806.78	967.76	825.0	738.29
LAT	37.59	251.48	435.55	435.55	543.96	417.77	323.03	447.82	444.72	432.53	53.57	28.24	47.5	103.69	18.7	7.06	0.0	90.14	52.82	0.79	198.47	198.47	76.17	75.64	93.35	1191.69	79.45	35.0	26.86
LRP1	660.68	536.45	3235.01	2645.74	2319.15	2915.45	2384.37	1583.71	1477.58	2956.17	381.68	106.63	414.87	318.57	90.14	30.12	775.05	738.29	299.25	105.15	435.55	435.55	2193.99	1883.54	1277.29	3768.09	1721.16	1059.11	1340.84
MRGPRF	53.57	41.22	669.92	358.54	995.0	403.5	242.88	54.33	371.22	656.11	29.27	3.96	2.46	9.7	0.79	0.82	0.0	21.63	23.59	0.6	28.45	28.45	112.77	72.52	84.04	454.09	112.77	59.13	49.21
NEURL1B	178.77	110.43	651.58	529.06	583.07	483.38	447.82	409.15	293.07	470.14	71.5	93.35	113.56	318.57	32.13	15.0	0.0	72.01	27.84	0.55	73.54	73.54	373.81	366.09	191.67	748.61	325.29	153.34	334.46
NFASC	43.94	8.25	529.06	497.0	483.38	297.17	483.38	316.37	256.78	753.83	198.47	17.9	13.72	18.56	10.96	2.43	0.0	7.22	14.78	0.57	142.01	142.01	1242.34	371.22	271.48	603.67	301.33	176.29	202.66
P2RX7	28.86	2.48	47.84	83.45	40.93	70.51	54.72	31.22	22.26	44.89	17.77	10.39	2.81	17.77	3.0	0.41	0.0	20.71	4.03	0.31	18.97	18.97	158.79	11.91	97.36	102.25	35.0	31.67	12.36
PCDHGA11	7.69	2.39	14.89	37.05	19.97	12.36	13.22	21.63	12.93	26.28	5.82	2.25	4.1	1.85	1.48	0.78	0.0	2.23	0.93	0.19	0.83	0.83	11.13	8.45	12.0	63.89	1.79	4.7	2.2
PCDHGA12	10.16	3.44	45.21	73.03	47.84	30.78	15.68	22.92	26.1	72.01	4.62	4.21	2.41	5.92	1.5	2.34	0.0	7.0	4.43	0.35	5.19	5.19	12.64	44.89	14.35	155.5	9.93	5.5	10.71
PCDHGA9	19.11	2.43	65.26	49.21	61.25	49.56	57.49	43.02	38.95	52.45	22.26	4.54	4.13	31.9	2.25	6.21	0.0	5.59	4.17	0.3	5.5	5.5	68.55	63.0	120.1	104.42	15.45	66.65	59.13
PCDHGC3	186.4	20.71	698.41	532.74	688.78	638.15	551.56	529.06	532.74	612.11	181.28	17.64	13.83	62.12	16.75	12.09	0.0	102.25	85.82	0.79	50.98	50.98	1331.57	1467.37	532.74	1427.22	283.05	444.72	532.74
PCDHGC4	3.86	2.12	15.68	23.25	18.29	11.91	16.63	13.52	6.78	13.22	1.89	0.35	0.38	1.14	0.39	0.0	0.0	1.14	0.77	0.0	0.0	0.0	7.22	5.02	1.41	25.35	2.32	2.27	0.59
RGMA	237.86	10.39	2133.97	974.5	1819.35	1350.18	1674.06	854.13	473.41	2796.65	511.0	1.99	5.23	7.88	11.21	2.76	0.0	7.63	78.34	0.69	189.02	189.02	4419.52	3716.2	1447.15	3443.31	2645.74	1923.14	1073.91
RP11-3B7.1	0.0	1.04	2.01	3.26	2.41	10.88	2.92	7.28	7.0	3.32	0.93	0.0	1.73	0.39	0.75	0.0	0.0	0.0	1.31	0.13	0.8	0.8	1.91	3.82	0.0	12.93	0.82	0.93	0.37
RRAD	414.87	743.43	9215.48	4836.35	6607.01	1540.37	2682.69	1551.09	1781.89	5183.54	718.08	80.01	98.04	99.43	59.13	241.19	0.0	599.49	88.26	0.48	72.01	72.01	21320.18	20451.65	5147.73	15607.02	5555.65	10440.2	6887.62
SH3PXD2A	244.57	142.01	819.3	759.08	583.07	764.36	902.89	743.43	466.88	1044.52	463.65	60.82	41.52	61.68	27.25	8.32	0.0	98.04	61.68	0.71	102.25	102.25	1388.16	738.29	769.69	1477.58	1378.57	723.08	1111.82
SH3RF3	52.82	17.51	167.9	134.3	208.38	105.89	61.25	115.16	145.02	95.34	13.03	10.96	7.75	19.25	4.98	12.27	0.0	33.06	37.05	0.57	17.38	17.38	113.56	167.9	61.68	248.0	37.05	76.71	116.78
SLC17A7	1.39	0.41	32.13	7.82	8.78	32.82	8.51	8.85	5.32	15.56	3.44	2.61	2.76	3.72	0.75	0.39	0.0	1.95	1.22	0.36	1.83	1.83	42.11	27.05	3.86	229.72	6.41	12.36	22.92
SLC36A1	47.84	20.86	154.42	223.41	153.34	128.79	154.42	126.12	107.38	131.51	32.59	25.35	26.28	42.41	10.39	5.11	0.0	74.06	18.43	0.39	41.22	41.22	118.43	139.07	110.43	139.07	83.45	120.94	106.63
SORCS2	59.97	3.82	61.68	124.37	177.53	111.99	87.65	108.14	67.12	164.42	23.25	8.32	46.18	20.71	3.66	1.93	0.0	17.38	63.0	0.0	1.01	1.01	198.47	39.22	92.05	249.73	31.45	127.89	61.68
SVIL	420.68	121.79	3901.01	2664.15	5076.84	2816.11	2148.82	2104.58	1685.71	3742.05	323.03	332.14	162.14	135.24	140.04	94.01	0.0	334.46	269.6	0.64	186.4	186.4	1605.83	2240.11	1199.98	6745.86	1605.83	1304.15	1044.52
SYNGAP1	105.89	73.54	406.31	432.53	312.0	414.87	312.0	251.48	228.13	316.37	45.85	52.82	55.1	69.52	20.86	7.17	0.0	66.18	29.7	0.77	47.84	47.84	146.03	201.25	141.02	320.8	93.35	73.54	63.45
TEX29	2.25	2.92	5.77	24.11	10.96	11.38	15.8	9.93	17.38	6.46	1.55	2.01	3.17	1.55	1.16	0.0	0.0	0.85	1.36	0.0	1.62	1.62	2.39	11.21	5.02	31.45	14.35	4.62	20.41
TRIM25	775.05	156.59	967.76	624.99	738.29	808.0	1023.0	1175.27	366.09	698.41	356.05	166.73	137.14	217.27	58.3	21.47	0.0	409.15	115.16	0.59	141.02	141.02	366.09	1073.91	507.46	1437.15	708.18	341.51	493.56
TRIM62	81.71	22.92	136.19	150.17	116.78	144.01	127.89	136.19	96.68	159.9	77.25	32.82	56.68	59.13	25.17	9.27	0.0	43.94	72.01	0.47	59.97	59.97	244.57	124.37	144.01	221.86	185.11	180.02	151.22
ZCCHC24	4.5	13.83	314.17	309.83	438.59	234.57	143.01	85.22	143.01	208.38	32.13	14.35	14.89	30.12	71.0	12.45	0.0	43.02	70.51	0.61	45.85	45.85	77.79	120.1	112.77	525.39	72.01	59.97	69.52
ZNF385D	17.0	7.75	108.9	68.55	187.71	77.25	35.0	39.5	63.89	49.21	5.73	7.11	0.71	8.13	1.5	1.95	0.0	10.71	2.05	0.07	2.46	2.46	35.76	52.82	34.75	974.5	40.64	14.14	34.75
