	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.IG.A4P3.01A.11R.A260.31	GTEX.WRHK.0426.SM.4MVOG	GTEX.11DXX.1026.SM.5H11E	TCGA.QK.A8ZB.01A.11R.A39I.07	TCGA.38.4625.01A.01R.1206.07	TCGA.IN.8462.01A.11R.2343.13
FAM25B	0.0	682276.92	9740.98	21.32	0.0	0.0	157.68	0.0	25.17
FAM25C	0.0	79022.82	2319.15	0.0	0.0	0.0	866.07	0.0	12.09
FAM25G	0.0	1116072.03	0.0	20.56	0.0	0.0	409.15	0.0	21.32
FAM83A	0.0	3359929.59	711250.37	4575.41	3.32	0.72	4358.66	1832.01	483.38
FBXL16	1.64	27745.15	2997.45	124.37	10.24	5.28	87.03	0.0	532.74
FGFBP1	1.06	4194303.0	767601.56	3614.55	8.78	3.5	6121.9	0.0	1721.16
FOXE1	0.0	402881.61	46986.85	684.02	0.71	0.64	175.07	0.0	77.25
FSCN1	429.54	72715.74	5791.62	7180.15	151.22	170.25	7280.4	0.0	5954.47
GALNT14	10.08	6079.61	748.61	656.11	19.25	25.35	273.37	0.0	87.03
GAST	0.0	1745.2	0.0	7.82	0.0	0.0	133.36	0.0	7.46
GBP6	0.53	9975791.32	1123834.93	7642.41	0.97	1.69	150.17	0.0	1183.45
GJB4	0.0	113315.62	2976.74	205.5	0.52	0.48	171.45	0.0	51.71
GPR110	0.55	123144.13	17437.64	1225.22	52.82	0.0	231.32	0.0	718.08
HAS3	45.53	251464.33	11827.67	2032.85	17.13	19.11	5183.54	201.25	323.03
HCAR2	5.87	84109.6	10225.32	1250.98	5.63	27.84	1331.57	0.0	154.42
HELT	0.0	34.51	0.0	0.38	0.0	0.0	0.77	0.0	3.86
HIST1H2AJ	0.0	1313.23	26.1	30.34	0.0	0.0	6.06	0.0	12.0
HIST1H2BI	0.0	120.1	0.0	38.4	0.0	0.0	0.0	0.0	16.27
HIST1H3C	0.0	18950.18	0.0	16.51	0.0	0.0	8.38	0.0	11.82
HIST1H3G	0.0	30151.71	0.0	25.72	0.0	0.0	4.13	0.0	314.17
HIST1H3I	0.0	285.03	0.0	10.71	0.0	0.0	0.0	0.0	12.09
HIST1H4H	140.04	5711.87	63.0	228.13	62.12	146.03	211.31	0.0	647.07
HIST2H3C	2.71	297.17	2.39	13.03	3.96	3.06	8.99	0.0	56.68
HIST3H2A	22.26	16045.82	660.68	358.54	66.18	17.38	229.72	0.0	106.63
HORMAD2	0.0	5.87	0.0	0.99	0.0	0.0	0.0	0.0	0.85
HOXB13	0.0	139508.13	24321.43	16.27	0.0	1.38	30.12	0.0	84.63
IFI27	2591.27	3383299.76	46339.95	16960.78	3018.3	2537.92	35856.82	0.0	18431.96
IFI6	540.19	394590.4	808.0	7081.29	616.37	591.22	9540.5	14361.31	36106.23
IFIH1	60.39	3589.58	209.84	379.04	78.34	123.5	336.79	0.0	239.52
IFIT1	902.89	20310.37	412.0	995.0	140.04	190.34	486.75	0.0	204.07
IFNE	0.0	1639.59	323.03	30.12	2.01	0.0	22.26	0.0	26.28
IFNK	0.0	159.9	0.0	3.66	0.0	0.0	0.0	0.0	1.58
IGFL1	0.0	7456151.83	492579.5	68.07	0.0	0.0	1757.34	0.0	323.03
IL22RA2	0.0	1127.35	115.16	10.47	0.0	0.0	5.59	0.0	5.06
ISG15	236.21	313910.86	1457.23	4268.94	514.56	500.46	2434.5	0.0	4328.55
ISL2	0.0	4298.64	890.44	76.71	92.05	35.0	15.68	0.0	36.53
ITGA2	13.42	21468.49	5292.48	603.67	73.03	52.08	312.0	139.07	366.09
IVL	0.0	7.49798696E7	4.247174256E7	7230.1	5.92	3.11	18560.17	0.0	1044.52
KCNN4	6.26	36106.23	780.44	59.97	53.95	24.81	486.75	0.0	748.61
KLK1	17.64	5517.27	934.76	155.5	39.5	14.03	68.07	0.0	53.57
KLK14	0.0	25530.66	237.86	6.89	3.0	1.04	242.88	0.0	21.47
KLK5	0.0	383800.28	3146.52	29.27	2.25	2.43	3257.52	0.0	132.44
KLK6	0.0	985160.01	8479.89	921.88	6.41	2.12	2591.27	0.0	603.67
KLK7	0.0	1196176.45	12502.12	633.73	7.11	1.27	4512.4	1286.18	480.04
KPNA7	0.0	3716.2	0.0	3.17	0.0	0.0	16.75	0.0	70.51
KREMEN2	0.59	5329.3	429.54	273.37	2.94	0.78	104.42	0.0	10.16
KRT13	0.0	6.69297277469E9	2.25424941211E9	1800541.22	1340.84	154.42	25354.3	0.0	132900.7
KRT14	0.0	7.4879730316E8	1.0530509404E8	77396.54	43.32	36.27	336441.4	0.0	2502.97
KRT16	0.0	2.5045913555E8	4282434.24	36106.23	12.27	9.93	158046.64	0.0	2075.59
KRT17	1.77	4953441.24	149521.18	21320.18	87.65	17.9	220434.95	0.0	11189.6
KRT23	8.65	96616.71	8305.36	54.72	3.56	9.13	3540.14	0.0	224.97
KRT6A	0.0	2.01760973986E9	2.41604469791E9	290865.98	41.81	32.59	233003.78	0.0	32540.65
KRT6B	0.0	9.677103146E8	3.449777448E7	21768.19	4.7	12.55	80125.95	0.0	2573.36
KRT6C	0.0	2.7407585455E8	2.578448588E7	5292.48	1.31	3.96	28132.47	0.0	2976.74
KRT73	0.0	15.0	3.72	2.16	0.0	0.0	2.63	0.0	0.64
KRT74	0.0	246.28	6.94	16.39	0.0	0.0	3.32	0.0	2.84
KRT75	0.0	127486.83	476.71	8.85	0.0	0.48	518.15	0.0	15.22
KRTAP2-3	0.0	1088.92	100.83	1.06	0.0	0.0	1.43	0.0	30.78
LEMD1	0.0	738.29	74.58	112.77	0.0	0.0	466.88	0.0	12.83
LIPH	1.55	37639.55	2835.7	51.71	17.9	2.27	114.36	40.93	1088.92
LMTK3	0.0	1819.35	316.37	119.26	3.72	4.82	162.14	46.84	153.34
LYPD3	1.99	9975791.32	8330662.65	57448.23	48.52	63.0	13306.94	0.0	4802.93
LYPD5	3.35	102125.66	1674.06	381.68	63.89	19.53	2240.11	0.0	361.04
MAGEB10	0.0	2.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MBD3L1	0.0	8.85	0.0	0.0	0.0	0.0	0.0	0.0	1.2
MYO3A	1.6	819.3	1.95	21.47	0.27	0.24	3.11	0.0	6.78
MYO6	73.54	9606.86	1487.87	318.57	173.85	153.34	642.59	872.1	1183.45
NDUFA4L2	403.5	327241.36	31650.8	7230.1	603.67	299.25	5041.77	0.0	2303.12
NKX1-2	0.0	1104.13	5.28	2.16	0.0	0.0	17.64	0.0	0.0
NXPH4	3.32	13215.02	429.54	406.31	1.79	4.54	444.72	0.0	22.59
OAS1	81.14	54349.29	4836.35	2061.24	98.04	86.43	1721.16	0.0	2627.46
OAS2	87.03	16960.78	1096.5	1359.57	68.07	62.56	764.36	0.0	1104.13
OASL	10.71	17927.91	107.38	193.01	5.11	15.11	423.61	0.0	1268.46
PDZD2	85.82	1135.2	224.97	119.26	101.54	42.41	190.34	0.0	121.79
PIP5KL1	4.74	1030.12	226.54	46.5	36.53	17.64	127.89	0.0	224.97
PKP1	28.24	3.003205688E7	2.49061716E7	19082.0	40.64	14.03	9474.59	0.0	1605.83
PLA2G2F	0.0	3303.0	22.75	7.0	2.68	0.96	205.5	0.0	9.56
PLA2G4E	13.22	167058.21	20881.4	239.52	0.33	0.65	738.29	0.0	10.24
PNPLA3	4.54	98.73	23.42	10.24	0.0	1.53	73.54	0.0	0.0
PPP1R3C	12244.81	539026.74	124863.17	332.14	1628.26	723.08	130.6	0.0	647.07
PRAC1	0.0	54349.29	3349.13	1.79	0.0	0.0	0.0	0.0	0.0
PYCARD	87.65	9740.98	5711.87	3124.78	190.34	253.23	2796.65	0.0	1199.98
RAB11FIP1	84.04	17437.64	1936.53	2018.8	830.75	142.01	1447.15	825.0	1794.29
RAET1E	9.13	309589.14	65082.31	271.48	3.11	3.66	373.81	0.0	141.02
RAET1G	6.06	17681.08	1208.34	237.86	0.0	4.82	351.14	0.0	139.07
RP11-155D18.14	0.0	75.64	0.0	11.38	0.0	0.0	16.63	0.0	0.0
RP11-352D3.2	0.0	6.01	0.0	1.99	0.0	0.0	0.72	0.0	0.0
RP11-683L23.1	1.62	71.0	65.72	19.11	0.0	3.96	15.8	0.0	14.78
S100A2	59.55	3.15251512E7	1739208.14	138544.47	18.97	44.57	68318.04	0.0	12244.81
S100A7	0.0	1.38765328462E9	9279.58	12589.08	0.0	20.71	135693.24	0.0	5255.91
S1PR5	2.71	67377.47	8963.45	813.63	0.77	3.11	251.48	0.0	21.01
SAMD9	38.67	40341.14	1447.15	1051.79	37.05	38.4	595.34	0.0	563.18
SEC14L2	22.26	10808.41	1073.91	228.13	176.29	94.01	441.64	0.0	262.2
SERPINB2	3.69	2691538.19	721179.07	4836.35	38.95	36.27	1806.78	0.0	1883.54
SERPINB3	0.0	7.2329051809E8	6.006411476E7	27553.49	5.5	4.74	3639.7	0.0	2367.9
SERPINB4	0.55	2.2261876945E8	3.962753695E7	8421.31	0.0	1.75	2163.77	0.0	327.56
SERPINB7	0.0	1364554.84	5219.6	368.65	1.79	1.64	1806.78	0.0	17.51
SHANK2	1.46	1225.22	197.09	106.63	381.68	50.63	153.34	0.0	172.65
SLC23A1	0.0	248.0	55.89	5.68	1.06	2.73	6.26	0.0	3.82
SLC38A5	17.38	25354.3	1583.71	167.9	117.6	111.99	3540.14	147.06	947.83
SLC5A1	7.94	23009.42	3303.0	64.34	0.91	2.89	325.29	0.0	44.89
SLITRK6	2.12	3349.13	301.33	55.49	16.39	8.13	246.28	0.0	36.79
SMC1B	0.0	21.78	0.0	5.5	0.0	0.0	1.2	0.0	2.58
SOX15	31.22	99333.0	5147.73	2777.33	99.43	224.97	1950.0	0.0	525.39
SOX7	260.38	331809.5	71219.26	463.65	63.89	159.9	363.56	61.25	271.48
SP8	0.0	2104.58	100.83	3.56	0.0	0.0	0.73	0.0	1.01
SPINK13	1.11	57.08	7.4	0.38	0.0	0.0	6.62	0.0	208.38
SPINK6	0.0	3576208.94	177811.84	2.84	3.38	2.16	3515.68	0.0	13.52
SPRR1B	0.0	1.90877512245E9	1.6988697324E8	105727.15	18.7	21.94	179048.63	0.0	40062.48
SPRR2A	0.0	1.0677509839E8	2.356267404E7	265802.39	62.56	21.16	80125.95	0.0	40904.3
SPRR2E	2.36	3.522264608E7	1645391.11	40904.3	22.43	14.03	40904.3	0.0	5791.62
SPRR3	0.0	1.58298451744E9	3.902977747E8	649962.87	3325.99	98.73	3325.99	0.0	117311.73
SSX3	0.0	13.72	0.0	1.43	0.0	0.0	0.0	0.0	0.0
STAT1	872.1	27938.14	872.1	4736.79	525.39	848.22	2119.22	0.0	1508.65
TENM2	1.03	4736.79	1001.93	115.16	1.87	0.2	769.69	0.0	13.72
TERT	0.0	228.13	3.29	8.06	0.0	0.0	1.22	0.0	8.71
TJP3	3.82	37121.34	2701.35	400.71	62.12	0.0	164.42	0.0	3235.01
TM7SF2	166.73	51417.5	7081.29	204.07	187.71	163.28	796.86	0.0	728.11
TMEM190	0.0	100.83	0.0	1.68	0.0	3.06	5.41	0.0	5.77
TMPRSS11D	0.0	2.802089981E7	6908781.2	7081.29	69.52	0.65	1437.15	0.0	490.14
TMPRSS11F	0.0	74760.09	10225.32	507.46	3.23	0.0	41.81	0.0	33.54
TNFSF9	21.47	26986.43	1794.29	358.54	2.71	6.31	341.51	190.34	248.0
TOR4A	17.25	4038.61	318.57	59.55	87.65	68.07	186.4	0.0	878.17
TP73	2.68	5633.22	1477.58	332.14	2.61	3.56	246.28	0.0	38.95
TRIM5	88.26	954.43	166.73	309.83	209.84	224.97	289.02	253.23	249.73
TRIM51	0.0	2.27	0.0	0.0	0.0	0.0	1.71	0.0	0.0
TRPV3	16.88	1639.59	28.65	18.29	11.21	4.21	693.58	0.0	40.93
UNC93A	0.0	46019.85	1697.45	20.86	1.91	0.0	195.72	0.0	39.79
VGLL1	0.0	6699.25	33.78	38.4	4.66	0.0	33.3	0.0	848.22
VSNL1	48.52	649962.87	122293.5	4038.61	10.16	12.74	915.51	0.0	371.22
WISP3	1.69	583.07	17.0	8.58	0.87	4.13	265.87	0.0	129.69
WNT10A	0.54	9740.98	2032.85	371.22	0.96	0.0	208.38	0.0	50.63
WNT10B	25.54	295.11	37.85	28.86	11.04	21.01	65.72	0.0	19.53
WNT7A	0.53	1572.76	0.0	11.64	0.0	0.0	70.51	11.21	18.43
ZNF217	105.15	1883.54	842.36	423.61	194.36	199.85	607.87	591.22	295.11
ZNF433	71.5	2287.2	403.5	46.84	83.45	63.0	35.76	0.0	93.35
ZNF492	0.54	36.27	4.98	10.96	0.61	2.07	3.38	0.0	2.29
ZNF683	4.98	3257.52	438.59	28.65	0.0	0.0	2.97	0.0	7.82
ZNF695	0.0	353.59	1.1	72.01	3.2	0.0	23.08	0.0	19.82
ZNF724P	2.58	114.36	12.18	21.47	0.45	1.91	9.93	0.0	25.17
ZNF730	1.07	48.18	4.7	20.41	0.29	0.26	4.46	0.0	4.54
ZNF812	3.26	66449.85	12764.83	397.93	17.51	5.59	232.94	0.0	204.07
