	GTEX.1399R.2226.SM.5P9JB	GTEX.139TS.1926.SM.5IJFO	GTEX.QDVN.1326.SM.48TZ3	GTEX.WEY5.1026.SM.4LMK9	GTEX.131XF.0926.SM.5BC69	GTEX.WHWD.1026.SM.4OORZ	GTEX.WRHK.0426.SM.4MVOG	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.FE.A232.01A.11R.A14Y.07
CELA2A	1.27	2.76	11.64	39.5	71.0	26.28	72.01	0.0	0.0	2924988.47
CLPS	3.35	8.71	24.99	169.07	189.02	99.43	190.34	0.0	0.0	5.6748223844E8
CNTNAP3	0.34	11.38	19.68	718.08	796.86	503.95	995.0	0.0	0.36	5.02
CNTNAP3B	1.28	19.39	44.57	358.54	1331.57	336.79	514.56	0.0	0.36	2.14
CPA1	1.48	9.13	20.26	81.71	123.5	64.8	195.72	0.0	0.33	1535204.12
CRLF2	0.58	1.25	1.53	2.76	6.78	1.99	3.23	0.0	0.07	16.51
CTRB1	2.39	6.01	15.8	94.67	85.82	71.0	126.12	0.0	0.0	59887.86
CTRB2	1.95	11.21	16.63	73.03	118.43	64.8	358.54	0.0	0.0	88905.42
CTRC	1.19	6.11	12.64	32.59	52.08	22.92	130.6	0.0	0.6	571.05
DAAM1	85.22	171.45	197.09	1268.46	2255.7	1023.0	1529.73	158.79	902.89	159.9
DDHD1	29.27	60.82	63.0	185.11	186.4	137.14	187.71	0.0	0.42	59.97
DESI2	169.07	291.04	269.6	429.54	551.56	420.68	842.36	0.0	0.36	299.25
DIRC3	0.8	7.0	8.85	38.4	39.22	28.86	42.71	0.0	0.47	25.54
DMRTA1	15.0	13.12	11.91	71.5	76.17	29.27	101.54	0.0	0.09	29.06
DNAJC13	289.02	327.56	332.14	547.75	674.59	536.45	748.61	0.0	0.73	368.65
ESRRG	0.84	7.0	3.96	136.19	180.02	94.67	183.82	0.0	0.0	17.0
ETAA1	50.27	79.45	93.35	186.4	283.05	144.01	332.14	0.0	0.2	121.79
EXOG	54.72	64.34	84.63	387.02	426.57	163.28	507.46	0.0	0.0	84.63
FNIP2	170.25	237.86	246.28	842.36	684.02	384.34	902.89	0.0	0.42	199.85
GCOM1	25.35	87.03	71.5	1819.35	1896.65	988.12	2319.15	0.0	0.13	1.04
GREB1L	0.0	0.03	2.39	92.05	115.16	29.27	148.09	0.0	0.43	43.32
HSPB3	0.61	25.35	22.59	1015.93	967.76	43.94	1081.39	0.0	0.18	4.13
ING2	318.57	397.93	356.05	791.35	1331.57	511.0	1159.07	0.0	0.21	368.65
IRS2	70.01	87.03	94.67	575.03	503.95	397.93	1617.0	0.0	0.38	145.02
KANK1	228.13	476.71	414.87	1467.37	1977.24	733.19	3742.05	135.24	78.34	1183.45
KCTD8	0.64	2.25	4.98	45.53	38.12	30.56	51.71	0.0	0.01	15.45
KDM3A	175.07	295.11	275.28	743.43	1350.18	674.59	1519.15	0.0	0.55	438.59
KIAA1432	38.95	90.77	94.67	435.55	463.65	267.73	748.61	0.0	0.64	119.26
KITLG	120.1	275.28	223.41	1427.22	2417.67	1073.91	2915.45	0.0	0.42	47.84
LBH	206.94	470.14	796.86	2915.45	2319.15	2004.85	5555.65	463.65	514.56	2451.44
LRIG3	186.4	429.54	486.75	466.88	532.74	454.09	947.83	0.0	0.66	802.41
MFSD6	406.31	607.87	521.76	1225.22	1605.83	890.44	1617.0	0.0	0.27	836.53
MITF	10.79	53.57	67.59	703.28	872.1	521.76	1151.06	0.0	0.36	141.02
MTHFD2L	149.12	94.67	122.64	279.14	339.14	195.72	454.09	0.0	0.4	241.19
MTMR2	231.32	269.6	309.83	507.46	656.11	603.67	703.28	0.0	0.48	209.84
NBPF15	54.72	167.9	176.29	620.67	902.89	693.58	651.58	0.0	0.85	473.41
NBPF9	130.6	289.02	144.01	708.18	1096.5	521.76	947.83	0.0	1.06	651.58
PCYT1B	0.13	2.27	7.34	181.28	33.06	43.63	119.26	0.0	0.07	0.6
PHTF2	50.98	96.01	110.43	194.36	281.09	193.01	223.41	0.0	0.36	97.36
PLA2G1B	3.76	11.3	24.63	91.41	94.01	76.71	191.67	0.0	0.0	14262.1
PNLIP	0.43	8.78	12.45	47.84	106.63	52.08	106.63	0.0	0.0	1.06632494645E9
RAB40A	0.47	5.68	7.22	43.94	68.07	19.11	32.13	0.0	0.04	7.11
RAB4A	967.76	1331.57	896.64	2664.15	2997.45	1417.35	2855.44	0.0	0.55	764.36
RHOBTB1	34.02	93.35	66.65	303.44	444.72	373.81	723.08	0.0	0.46	52.08
RIMS1	0.0	2.43	3.32	118.43	138.1	209.84	529.06	0.0	0.09	0.44
RP11-3B7.1	0.61	1.69	5.23	13.03	16.75	9.2	21.47	0.0	0.13	2.23
SCGB2B2	2.71	11.13	3.14	16.63	18.56	8.32	20.56	0.0	0.08	12.83
SERAC1	52.82	72.01	85.22	323.03	285.03	265.87	460.44	0.0	0.48	122.64
SGMS1	76.17	139.07	205.5	525.39	629.35	389.72	909.17	0.0	0.46	423.61
SMAD9	13.62	68.55	65.72	633.73	819.3	447.82	1001.93	0.0	0.29	191.67
SYCN	0.0	4.35	8.38	46.18	20.11	21.16	67.12	0.0	0.0	7881287.05
TCTEX1D4	1.5	6.31	7.69	24.99	26.86	22.92	50.27	0.0	0.11	13.22
TSEN15	175.07	253.23	307.69	1001.93	796.86	575.03	1340.84	0.0	0.42	454.09
UBAP2	316.37	529.06	414.87	860.08	872.1	493.56	1417.35	0.0	0.84	303.44
USHBP1	16.88	33.3	64.34	139.07	162.14	115.16	165.57	0.0	0.26	99.43
WBSCR17	11.55	28.45	37.59	571.05	329.84	287.01	486.75	0.0	0.59	37.59
YPEL1	9.41	25.91	26.67	128.79	249.73	81.71	194.36	0.0	0.24	72.01
ZNF221	1.51	3.53	4.86	34.02	41.52	24.46	35.76	0.0	0.1	16.51
ZNF439	80.57	102.97	28.04	189.02	307.69	90.77	187.71	0.0	0.53	113.56
ZNF628	69.52	84.63	108.9	195.72	199.85	166.73	191.67	0.0	0.44	158.79
ZZEF1	486.75	559.28	529.06	854.13	1199.98	563.18	1242.34	0.0	0.75	231.32
