	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.BH.A0DH.01A.11R.A084.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CR.6492.01A.12R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.93.A4JP.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.86.7711.01A.11R.2066.07	TCGA.33.4589.01A.01R.1443.07	TCGA.92.8065.01A.11R.2247.07	TCGA.52.7622.01A.11R.2125.07	GTEX.RWS6.1326.SM.47JXB	GTEX.P4PP.2026.SM.3P61N	GTEX.131XG.2026.SM.5GCN5	GTEX.13VXT.1626.SM.5IJES
LRP1	896.64	1242.34	4704.07	2255.7	521.76	1015.93	1519.15	775.05	2895.31	105.15	1674.06	417.77	5255.91	1923.14	954.43	6121.9	6792.79	3235.01
MTR	75.64	127.0	287.01	316.37	55.49	67.59	92.05	126.12	234.57	208.38	127.89	23.25	255.0	205.5	327.56	1127.35	303.44	532.74
NES	28.65	441.64	536.45	299.25	194.36	98.04	281.09	0.0	620.67	0.47	194.36	111.21	688.78	346.29	1477.58	438.59	1685.71	934.76
NIPAL2	154.42	500.46	1896.65	1896.65	140.04	361.04	514.56	0.0	647.07	0.55	336.79	58.71	1757.34	314.17	629.35	2209.26	307.69	1051.79
NMUR2	0.0	0.31	6.11	2.76	0.0	1.23	0.33	0.0	1.39	0.03	0.0	0.35	7.63	1.68	2.73	6.06	23.42	3.82
NPHP3	76.71	64.34	371.22	392.44	52.08	29.48	94.67	0.0	327.56	0.64	138.1	37.59	351.14	199.85	301.33	638.15	251.48	392.44
OR2A4	0.0	0.0	18.7	5.41	0.0	0.0	0.0	0.0	2.86	0.0	0.0	0.0	4.24	0.0	0.0	2.18	3.59	2.56
OR2C1	0.0	11.47	0.0	5.36	0.0	0.0	1.1	0.0	2.18	0.0	0.85	0.0	3.06	0.23	5.87	5.59	1.79	5.92
PARP15	15.45	3.96	80.01	125.24	9.41	2.41	13.52	0.0	130.6	0.78	17.9	4.1	165.57	118.43	24.28	84.63	6.73	28.86
PBOV1	0.0	0.34	1.16	1.17	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.67	0.59	0.0	0.49	0.0	0.43
PCDH10	0.32	0.68	9.85	52.45	0.0	3.79	0.36	0.0	7.75	0.01	0.65	0.0	334.46	5.41	88.26	22.59	50.27	5.59
PCDHA3	0.0	6.16	23.76	42.41	0.33	1.45	0.42	0.0	18.43	0.1	1.75	0.0	81.14	6.06	41.81	206.94	74.06	62.12
PCDHB2	3.92	14.89	55.1	201.25	0.48	3.53	70.01	0.0	73.54	0.42	14.03	6.52	260.38	55.89	40.36	248.0	403.5	164.42
PGPEP1	42.71	547.75	2682.69	2351.53	127.0	15.68	176.29	172.65	460.44	59.97	173.85	53.57	400.71	229.72	414.87	1111.82	497.0	836.53
PNPLA7	4.82	88.26	343.89	346.29	4.35	5.19	37.32	0.0	125.24	0.42	6.62	2.46	166.73	40.93	70.01	728.11	50.27	633.73
SCGB2A1	1.19	783730.52	2310861.52	2884719.27	0.0	0.0	12.83	0.0	172.65	0.0	3.29	0.0	334.46	2.34	1290947.48	19482.97	1204496.53	16727.26
SLITRK3	0.0	0.0	17.51	24.63	0.0	0.0	0.45	0.0	4.46	0.04	0.39	0.37	74.06	0.0	25.91	31.45	23.42	21.63
TECTA	1.79	1.71	4.1	5.92	1.16	1.1	3.2	0.0	14.56	0.18	0.91	0.53	14.24	3.35	6.31	10.0	7.34	17.13
TMEM132B	0.31	1.57	39.22	52.82	2.68	2.25	2.51	0.0	2.97	0.07	0.39	0.38	19.39	1.35	144.01	29.91	101.54	10.79
TRIM52	96.01	175.07	334.46	376.41	53.57	28.24	102.25	0.0	303.44	0.78	92.05	16.63	303.44	178.77	277.2	400.71	206.94	438.59
TSPAN32	1.81	13.83	170.25	395.18	17.77	2.68	7.63	0.0	127.89	0.39	11.91	8.13	341.51	51.71	187.71	301.33	53.19	122.64
TUBGCP6	224.97	138.1	934.76	1167.14	262.2	146.03	260.38	0.0	854.13	1.22	169.07	119.26	555.41	603.67	638.15	1457.23	521.76	1242.34
TXNRD3NB	0.0	0.97	1.85	4.39	0.0	0.0	0.78	0.0	1.35	0.0	0.0	0.0	4.35	0.65	1.85	2.84	1.64	3.72
USP30	115.97	273.37	309.83	389.72	114.36	72.52	190.34	0.0	223.41	0.21	153.34	106.63	285.03	175.07	277.2	518.15	258.57	287.01
WDTC1	346.29	466.88	860.08	842.36	185.11	327.56	583.07	0.0	785.88	0.62	412.0	142.01	836.53	486.75	529.06	1088.92	567.1	1030.12
ZC3H6	10.47	61.68	81.14	88.26	15.8	22.43	24.11	0.0	80.57	0.11	21.94	13.72	42.11	47.84	64.8	122.64	71.0	92.7
ZFP37	24.46	28.04	52.45	154.42	12.74	8.92	19.39	0.0	43.02	0.19	8.99	8.78	55.1	8.99	140.04	305.55	61.25	65.72
ZNF10	39.79	102.25	258.57	307.69	62.56	14.35	57.89	0.0	185.11	0.25	80.01	15.68	171.45	69.03	289.02	397.93	142.01	713.11
ZNF180	75.64	98.73	153.34	208.38	68.55	57.08	78.89	0.0	97.36	0.0	78.34	24.81	102.97	91.41	111.99	128.79	100.13	116.78
ZNF546	3.59	43.94	73.54	65.72	5.06	5.11	12.93	0.0	65.72	0.17	22.59	3.56	37.32	16.63	38.4	92.05	25.91	94.67
ZNF564	31.22	183.82	141.02	249.73	55.49	24.46	69.52	0.0	115.97	0.18	36.01	73.54	208.38	76.17	379.04	180.02	115.97	158.79
ZNF596	18.84	30.34	121.79	136.19	5.87	18.03	30.56	0.0	85.82	0.52	14.78	17.0	103.69	34.26	177.53	258.57	125.24	356.05
