	TCGA.W5.AA2X.01A.11R.A41I.07	GTEX.14C38.2626.SM.5RQI4	TCGA.YA.A8S7.01A.11R.A37K.07	TCGA.CC.A3MA.01A.11R.A213.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	TCGA.63.5128.01A.01R.1443.07	TCGA.BG.A0MK.01A.51R.A19W.07	TCGA.EO.A3AV.01A.12R.A19W.07
CREB3L3	72.01	23.76	1111.82	351.14	8963.45	4239.45	3794.3	1819.35	1572.76	0.0	0.0	4.94
CRP	3018.3	3.35	5954.47	2224.63	134755.94	17927.91	4038.61	23492.92	41475.31	0.0	0.0	0.0
CYP1A2	4.24	0.0	75.11	366.09	8421.31	6516.03	7803.01	65082.31	34158.52	0.0	0.0	0.0
CYP2A6	48.18	4.1	389.72	647.07	417089.23	116501.39	149521.18	59063.35	63302.6	1.5	10.31	0.0
CYP2C8	163.28	2.25	518.15	1001.93	334117.42	156954.93	114897.47	100719.65	74760.09	8.58	7.75	2.27
CYP2C9	124.37	3.14	587.13	961.07	459592.86	116501.39	100719.65	231394.29	79022.82	7.51	7.34	28.45
CYP2E1	1233.75	12.93	5872.48	9740.98	731246.37	411347.03	414208.18	3913423.01	531605.79	8.38	24.28	95.34
CYP3A4	36.01	3.86	1037.29	1909.85	971597.0	100719.65	142439.51	1108362.75	214407.12	1.04	0.0	3.06
CYP4A11	63.89	0.0	209.84	878.17	33224.42	69753.56	88291.3	96616.71	68793.23	0.89	1.99	0.0
CYP4A22	12.55	0.0	36.53	242.88	4239.45	14361.31	9279.58	14765.09	1015.93	0.0	0.39	0.0
CYP4F2	19.11	0.0	92.05	129.69	10154.69	4268.94	7695.57	9474.59	10368.08	17.77	0.57	0.0
CYP8B1	38.67	0.25	244.57	267.73	12502.12	41763.8	12160.22	50359.33	20030.74	1.11	5.23	0.32
DMGDH	22.26	3.06	189.02	130.6	3103.19	7280.4	5831.91	12764.83	10440.2	5.15	31.9	4.43
DPYS	78.34	5.28	633.73	381.68	18560.17	15934.98	27363.16	26800.01	23492.92	0.0	3.23	0.0
F11	72.01	0.0	164.42	187.71	3039.3	11345.82	16727.26	11345.82	3928.15	1.57	1.68	1.62
F13B	10.0	0.0	75.11	102.25	20170.07	9344.14	18052.61	23330.64	15392.14	0.0	0.0	0.0
F2	161.02	0.69	3325.99	1950.0	83528.61	311742.51	45701.96	767601.56	269512.87	0.0	9.41	0.42
F9	28.86	0.0	173.85	231.32	92040.7	76330.98	14561.8	63742.91	48307.85	0.0	0.0	0.0
FCN2	17.51	0.0	90.77	30.34	4575.41	10154.69	3443.31	13123.73	8363.13	3.79	1.1	0.0
FGA	1322.37	2.41	63302.6	30999.42	2201414.44	677564.08	226632.25	906531.99	1034138.94	57.89	0.0	0.0
FGL1	392.44	3.11	14065.74	2417.67	353168.2	360589.03	45072.75	248002.34	174152.51	4.1	15.8	536.45
FNDC4	87.65	87.03	1757.34	1096.5	1304.15	842.36	1051.79	656.11	802.41	134.3	97.36	43.02
G6PC	20.41	0.0	151.22	483.38	796.86	10883.59	6561.36	2796.65	7966.99	0.0	0.64	0.0
GC	193.01	2.2	2384.37	3372.43	932018.1	573724.06	207103.59	641014.63	499455.67	0.0	0.0	0.0
GDF2	4.35	0.0	16.15	29.91	329.84	381.68	202.66	698.41	947.83	0.0	0.0	0.0
GLYAT	23.76	0.0	151.22	291.04	13123.73	38966.94	77934.88	43236.64	29124.6	2.27	0.0	0.0
GPR88	0.71	0.68	142.01	3.66	603.67	275.28	157.68	493.56	157.68	1.69	0.38	0.36
GRIA3	6.01	15.45	246.28	8.78	1295.13	163.28	80.57	287.01	19.39	3.0	0.61	1.14
GSTA2	10.55	0.0	6983.79	84.04	71714.63	1883.54	140478.49	244588.0	27553.49	0.0	53.57	0.47
GYS2	4.82	0.69	78.89	53.57	2855.44	8598.28	6250.56	6294.04	17804.06	0.62	1.08	0.0
HAO1	15.56	0.0	743.43	351.14	20170.07	68318.04	56265.94	59474.18	32092.64	0.0	0.0	0.0
HAO2	24.28	5.11	110.43	312.0	11189.6	17927.91	17558.94	21919.61	21320.18	0.89	1.79	0.0
HFE2	12.36	0.28	1250.98	85.22	7331.05	6294.04	7537.18	25005.23	27745.15	1.17	0.36	0.0
HPR	46.84	5.32	1151.06	669.92	68318.04	4023444.33	21617.82	17078.76	900270.11	2.25	46.84	0.0
HPX	348.71	77.25	6337.83	5255.91	241220.67	811368.76	153724.82	2126426.15	2025714.3	18.03	74.58	3.17
HRG	80.57	0.0	1322.37	3820.7	296977.71	3134925.09	402881.61	2945333.38	794671.01	2.32	1.81	0.0
HSD17B6	42.11	106.63	1277.29	595.34	231394.29	156954.93	249727.34	202841.44	97288.74	21.78	9.06	20.86
IGFBP1	167.9	0.0	1143.1	624.99	24321.43	3665.02	8421.31	1639.59	9673.69	3.76	12.55	181.28
INS-IGF2	0.0	0.0	8.25	11.64	796.86	4869.99	1427.22	10808.41	11035.54	0.0	0.0	0.0
ITIH1	441.64	17.13	2047.0	2758.13	10883.59	72715.74	146444.06	131982.68	189257.69	0.0	5.19	0.44
ITIH2	100.13	0.71	6207.38	1519.15	169390.27	154794.07	39510.91	175363.84	262143.0	0.34	49.91	11.73
ITIH3	395.18	72.52	2609.3	1529.73	18052.61	77396.54	75280.1	60304.42	61999.83	2.46	12.0	10.55
ITIH4	988.12	253.23	8778.97	4639.29	36357.37	86474.27	54727.32	131982.68	191899.64	21.94	123.5	332.14
KLKB1	18.97	4.7	166.73	161.02	4181.07	10368.08	15180.22	13776.25	9945.68	0.0	9.13	6.78
KNG1	191.67	0.0	1950.0	2018.8	331809.5	271387.49	205673.01	542775.98	355624.68	1.2	3.66	3.26
LBP	190.34	15.0	28723.62	769.69	42346.82	22072.07	10585.95	41763.8	16269.83	23.42	23.42	79.45
LECT2	40.07	0.0	199.85	277.2	5913.33	9740.98	3955.48	13968.57	8718.32	4.82	1.06	0.0
MASP2	96.01	4.17	559.28	665.29	1477.58	11424.74	3564.78	16269.83	67377.47	3.56	6.01	0.0
MAT1A	116.78	3.59	1721.16	866.07	62865.33	54349.29	85283.74	121448.75	136637.07	194.36	60.39	228.13
MBL2	20.56	0.0	134.3	132.44	20737.16	2163.77	1529.73	24490.61	14262.1	0.0	0.0	0.0
MLXIPL	651.58	57.49	1081.39	511.0	1397.83	3982.99	8134.41	3515.68	7230.1	53.95	28.45	6.31
NAT2	15.91	0.0	77.79	63.0	3124.78	2976.74	11112.3	3982.99	1023.0	1.53	0.0	0.0
NAT8	15.11	0.0	271.48	100.13	624.99	3928.15	2047.0	1870.53	5112.16	2.18	7.0	5.45
NR1H4	41.22	15.11	1175.27	323.03	995.0	2148.82	4328.55	2163.77	2701.35	0.95	0.0	46.84
ORM1	3146.52	72.01	112532.89	42054.3	2748093.15	1131651.83	299043.36	716197.51	1600397.78	99.43	139.07	105.15
PDZK1	45.53	17.25	1628.26	190.34	1963.57	4769.75	4972.34	6207.38	2591.27	1.6	57.08	165.57
PLGLB2	72.01	40.36	525.39	356.05	47313.67	66912.05	15499.21	42641.37	66449.85	17.51	148.09	13.62
PON1	265.87	0.0	1286.18	921.88	153724.82	96616.71	84694.64	197294.7	92040.7	0.62	0.0	96.01
PRODH2	61.68	7.57	381.68	190.34	1313.23	3564.78	8658.09	8247.98	8901.53	0.0	0.0	17.51
RARRES2	5112.16	2956.17	26431.04	3190.46	12076.21	82951.62	21919.61	82378.63	69753.56	1963.57	2061.24	2271.4
RBP4	1216.75	181.28	11267.44	15392.14	254974.66	2654482.97	1739208.14	2767207.65	1221310.69	3.26	81.71	4.7
RBP5	135.24	379.04	1674.06	480.04	9151.82	13681.08	24153.43	38430.46	17804.06	33.06	146.03	97.36
SAA1	1259.69	49.56	229795.93	2335.28	280957.98	41763.8	17078.76	74760.09	131071.0	384.34	909.17	34635.37
SAA2	612.11	9.2	70238.75	1427.22	106462.55	16496.96	7382.04	60304.42	90146.51	110.43	493.56	11112.3
SAA4	246.28	4.82	1427.22	1216.75	411347.03	322736.12	74243.68	48982.22	66449.85	0.0	28.65	159.9
SERPINA1	9279.58	35118.87	368165.8	79022.82	1984025.69	1997825.68	546551.29	1452391.55	1171559.48	4239.45	11584.24	74760.09
SERPINA10	40.64	0.0	825.0	215.77	32540.65	14361.31	14971.21	15392.14	7130.55	0.57	0.74	0.39
SERPINA7	21.16	0.0	176.29	329.84	201440.3	77396.54	25354.3	55107.99	40062.48	0.0	0.0	0.0
SERPINC1	102.25	1.33	2739.08	3146.52	894051.48	985160.01	327241.36	2053992.24	2171106.91	0.62	8.51	2.97
SERPIND1	33.3	0.0	633.73	638.15	53601.03	64186.29	43537.38	265802.39	124863.17	20.56	7.28	0.27
SERPINF2	356.05	19.11	1529.73	1721.16	20170.07	41763.8	27553.49	79572.48	78476.96	175.07	79.45	73.54
SLC10A1	11.82	1.43	126.12	194.36	14461.21	45701.96	50011.46	66449.85	57051.4	0.38	0.89	0.0
SLC16A2	87.03	85.22	236.21	162.14	1359.57	3372.43	2537.92	3982.99	3742.05	65.72	73.03	14.45
SLC17A2	4.28	0.0	128.79	39.5	2739.08	1216.75	2400.97	1883.54	1909.85	0.0	0.0	0.0
SLC17A3	4.13	0.0	289.02	26.67	547.75	974.5	4152.18	384.34	1617.0	0.0	0.0	1.45
SLC22A25	3.89	0.0	15.56	4.43	264.03	346.29	503.95	301.33	287.01	1.99	0.0	0.0
SLC22A7	48.52	0.0	209.84	265.87	3443.31	5831.91	10808.41	16611.71	17317.18	0.0	0.0	0.0
SLC22A9	1.62	0.0	85.82	15.8	2271.4	753.83	514.56	1794.29	1844.76	0.0	0.0	0.8
SLC25A47	122.64	5.59	334.46	693.58	995.0	1304.15	9151.82	7857.29	177.53	1.75	3.86	0.0
SLC2A2	33.78	1.1	500.46	316.37	65082.31	13215.02	12676.65	41475.31	23820.89	0.0	0.0	0.0
SLC5A9	6.67	17.25	113.56	99.43	137.14	275.28	215.77	283.05	334.46	0.96	13.72	4.13
SLC7A9	7.17	12.93	143.01	35.25	842.36	194.36	460.44	819.3	1551.09	3.23	17.77	30.12
SLCO1B1	6.36	0.0	206.94	115.16	81244.48	17078.76	9344.14	23169.48	23492.92	2.18	0.0	0.0
SMLR1	6.01	0.0	37.32	43.32	1407.55	1781.89	3103.19	2075.59	1001.93	0.0	0.3	0.84
SPP2	24.46	4.24	151.22	429.54	26800.01	26800.01	17927.91	72213.45	20170.07	2.36	0.0	0.0
SULT2A1	104.42	0.0	785.88	1008.9	165904.25	26067.14	54349.29	19482.97	99333.0	0.0	0.0	0.0
SYPL2	5.23	7.57	94.01	23.08	155.5	185.11	74.58	142.01	32.82	1.66	9.41	3.47
TAT	41.22	5.5	555.41	373.81	7230.1	65990.84	23330.64	70727.3	70727.3	0.46	6.73	0.0
TDO2	69.03	241.19	4836.35	620.67	106462.55	53601.03	22380.2	56265.94	24660.96	82.29	39.5	7.22
TF	346.29	28.45	20451.65	9279.58	2039804.27	2068278.89	706337.4	4165330.83	8273118.55	132.44	17.9	119.26
TMBIM6	7642.41	12160.22	15075.35	6037.61	41475.31	42346.82	34396.12	49322.93	36864.92	8840.04	13033.07	8658.09
TMPRSS6	48.52	7.94	113.56	220.32	312.0	2956.17	4268.94	6207.38	5791.62	5.02	1.3	0.69
TTR	269.6	131.51	8538.88	6607.01	59063.35	313910.86	489177.0	875652.15	1196176.45	0.0	157.68	0.0
UGT1A3	11.82	0.0	120.94	36.01	4607.24	329.84	1111.82	3716.2	1561.89	0.0	0.0	0.0
UGT1A4	17.9	3.08	312.0	429.54	61146.25	24321.43	31650.8	307450.64	38697.77	15.91	1.99	0.0
UGT1A8	7.22	0.0	518.15	460.44	1345768.59	92680.9	41475.31	509950.32	23169.48	0.0	0.0	0.0
UGT1A9	0.0	0.0	392.44	16.27	3257.52	2224.63	1487.87	11424.74	3955.48	0.0	0.0	0.0
UGT2B10	20.11	0.0	147.06	131.51	21172.91	24832.5	38697.77	80683.28	19348.38	0.0	0.0	1.27
UGT2B11	1.99	0.0	53.57	2.01	19.68	161.02	239.52	35.76	24.11	0.0	0.0	0.0
UGT2B15	32.13	18.56	234.57	246.28	45386.27	42937.97	14663.09	52135.28	26431.04	0.42	0.55	47.84
UGT2B4	47.17	0.0	6607.01	536.45	336441.4	79022.82	116501.39	123144.13	29531.18	0.0	0.0	0.0
VTN	718.08	10.31	5329.3	14867.79	148488.36	400098.69	134755.94	958220.73	402881.61	5.11	5.11	0.82
