	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.VS.A8QH.01A.11R.A37O.07	TCGA.G4.6586.01A.11R.1774.07	TCGA.AA.3663.11A.01R.1723.07	GTEX.117XS.2226.SM.5GIE1	GTEX.13FH7.1526.SM.5J2N6	GTEX.T2IS.0526.SM.32QP9	GTEX.ZE7O.3026.SM.51MS4	GTEX.13QJ3.2726.SM.5SI6L	GTEX.UPK5.2126.SM.4JBJK	GTEX.11EI6.2426.SM.5PNVS
CPLX1	1.81	30.34	193.01	49.91	34.02	30.12	72.01	738.29	373.81	1127.35	406.31
CSMD2	0.6	2.34	2.48	5.19	5.11	2.27	0.0	17.77	17.51	18.03	29.06
CT45A2	0.0	0.0	0.0	0.0	0.0	0.0	3.449777448E7	39.79	0.0	0.0	0.0
CXXC5	218.79	819.3	1313.23	503.95	775.05	361.04	1369.04	1111.82	947.83	1963.57	1437.15
CYB5R3	5255.91	1651.0	5292.48	4937.99	5872.48	6337.83	7749.1	8191.0	7695.57	11992.79	6840.04
DCTN3	1819.35	1617.0	2104.58	1709.26	2351.53	2520.38	3235.01	2915.45	2875.3	2956.17	3303.0
DKK3	218.79	253.23	154.42	1340.84	2319.15	567.1	6079.61	8963.45	4802.93	1977.24	2682.69
DYNLT3	162.14	490.14	346.29	543.96	616.37	521.76	1008.9	1733.13	1104.13	1030.12	1119.56
EGFLAM	37.05	45.85	27.44	149.12	139.07	36.53	21.16	612.11	256.78	441.64	392.44
ENPP1	1.2	120.94	13.12	59.97	42.11	18.56	94.67	234.57	189.02	66.18	36.01
FAM110B	3.26	4.58	4.82	151.22	297.17	51.35	162.14	2935.74	808.0	583.07	1044.52
FAM155A	0.31	1.51	0.74	11.3	10.96	4.66	12.74	104.42	30.78	71.5	26.1
FAM188B	63.45	84.63	67.59	69.03	133.36	77.79	473.41	314.17	170.25	159.9	211.31
FLYWCH2	743.43	616.37	684.02	775.05	1151.06	514.56	1191.69	2075.59	1233.75	1477.58	1605.83
FOXS1	17.51	21.94	34.26	16.51	36.01	7.69	96.68	237.86	78.34	264.03	43.32
FRMD4A	356.05	92.7	67.59	480.04	540.19	293.07	1111.82	2133.97	420.68	624.99	2271.4
GCFC2	371.22	198.47	221.86	211.31	275.28	189.02	397.93	884.29	480.04	450.94	759.08
GLIS2	107.38	45.21	49.21	336.79	595.34	307.69	718.08	1662.49	775.05	1127.35	872.1
GLIS3	7.11	12.36	19.97	45.85	70.01	41.81	121.79	271.48	199.85	194.36	171.45
GP1BB	5.02	10.71	7.28	36.27	57.08	28.86	18.7	819.3	343.89	220.32	423.61
GP5	0.29	0.0	0.29	1.81	1.14	0.78	1.77	4.58	2.84	3.2	2.61
GPR116	21.47	32.36	49.21	157.68	137.14	62.56	2224.63	567.1	603.67	543.96	417.77
GPX8	181.28	60.39	27.05	186.4	435.55	191.67	108.14	947.83	854.13	961.07	384.34
GRB14	4.43	16.27	24.81	50.63	144.01	109.66	75.64	1832.01	187.71	253.23	1277.29
GULP1	15.91	85.82	7.11	336.79	674.59	185.11	647.07	2090.03	860.08	633.73	1008.9
GXYLT1	37.59	40.36	88.88	56.28	69.52	42.71	126.12	141.02	105.15	81.71	52.82
GXYLT2	26.67	3.92	44.57	82.87	182.55	13.52	218.79	928.3	423.61	312.0	511.0
HDGFRP3	392.44	34.75	21.47	444.72	571.05	642.59	518.15	1369.04	954.43	928.3	842.36
HEY2	4.39	3.92	15.34	34.75	67.59	19.53	128.79	215.77	98.04	435.55	126.12
HEYL	23.42	26.1	38.12	99.43	159.9	81.71	669.92	583.07	307.69	395.18	575.03
HIVEP1	224.97	256.78	142.01	226.54	228.13	153.34	265.87	420.68	368.65	285.03	201.25
HLTF	56.68	98.73	16.39	178.77	293.07	208.38	208.38	591.22	353.59	341.51	229.72
HMGCLL1	0.0	0.0	0.0	16.63	27.25	7.22	165.57	120.1	66.18	140.04	91.41
HSD17B14	96.01	28.45	72.52	145.02	162.14	74.06	616.37	769.69	457.25	860.08	679.29
HSD3B7	232.94	473.41	728.11	575.03	500.46	414.87	603.67	728.11	860.08	1359.57	759.08
HTRA3	629.35	211.31	170.25	780.44	1313.23	170.25	674.59	6037.61	2915.45	2915.45	5711.87
IGFBP7	4481.23	1583.71	1437.15	7749.1	11992.79	7695.57	5292.48	40062.48	17078.76	42641.37	17437.64
IL17D	381.68	211.31	155.5	197.09	253.23	48.87	223.41	961.07	583.07	397.93	769.69
ITGB8	66.18	63.0	58.71	64.8	74.58	28.24	90.14	1313.23	674.59	195.72	466.88
KCNJ8	29.27	18.03	45.85	295.11	264.03	163.28	295.11	753.83	409.15	521.76	607.87
KCNK12	0.3	1.01	0.58	4.31	3.47	0.67	2.92	10.39	6.36	2.43	5.63
KDELC1	75.11	36.01	57.08	102.97	102.97	61.68	67.59	198.47	107.38	202.66	132.44
KLHL14	0.3	0.0	0.0	4.24	1.77	1.38	4.5	38.12	11.91	50.27	9.27
LAPTM4A	5006.93	6426.31	3589.58	6250.56	6745.86	6294.04	7382.04	15715.58	9344.14	12076.21	5633.22
LSM3	264.03	366.09	384.34	260.38	353.59	395.18	346.29	656.11	414.87	486.75	507.46
LTBP3	819.3	587.13	703.28	1883.54	2485.67	1331.57	2520.38	9740.98	5751.61	4268.94	6337.83
LZTS1	7.34	7.34	17.9	22.43	33.54	19.25	42.11	241.19	150.17	159.9	193.01
MAPK10	82.29	18.7	3.92	226.54	327.56	77.79	587.13	1208.34	1151.06	941.27	1127.35
MED31	307.69	265.87	271.48	293.07	323.03	239.52	599.49	607.87	339.14	616.37	438.59
MEX3C	353.59	187.71	249.73	279.14	327.56	195.72	379.04	555.41	320.8	293.07	392.44
MTDH	698.41	616.37	540.19	759.08	860.08	878.17	723.08	1551.09	1183.45	1030.12	995.0
MTPN	536.45	599.49	371.22	928.3	1096.5	1159.07	1378.57	1909.85	1572.76	1427.22	1417.35
NCKAP5	11.55	2.94	0.56	15.45	13.62	2.05	392.44	65.72	31.22	49.91	23.42
NR2F1	30.56	50.27	164.42	241.19	334.46	99.43	967.76	2777.33	1923.14	3146.52	1745.2
PCDH17	10.24	9.41	11.04	30.78	40.07	10.47	191.67	356.05	127.0	158.79	211.31
PCDHGA9	4.1	1.16	1.93	43.02	56.28	37.85	108.14	161.02	109.66	115.16	95.34
PDE6D	656.11	363.56	532.74	529.06	718.08	529.06	819.3	941.27	536.45	954.43	703.28
PDP1	295.11	267.73	156.59	120.94	205.5	120.94	281.09	703.28	521.76	341.51	490.14
PEG10	0.35	6.46	0.0	289.02	476.71	56.28	387.02	3491.39	1191.69	1268.46	6935.54
PIGK	234.57	182.55	133.36	314.17	441.64	301.33	400.71	748.61	403.5	603.67	447.82
PKIA	28.86	5.96	4.82	75.11	214.27	56.68	1051.79	1015.93	551.56	441.64	587.13
PKNOX2	2.36	2.23	2.18	52.82	117.6	27.84	1447.15	483.38	258.57	297.17	356.05
PLEKHA5	381.68	228.13	140.04	279.14	248.0	123.5	497.0	1119.56	616.37	476.71	1044.52
PLEKHG1	5.87	102.25	44.89	84.63	80.01	43.94	190.34	325.29	189.02	155.5	127.89
PLXDC2	59.97	25.17	40.93	201.25	466.88	69.03	896.64	1639.59	1151.06	1127.35	1096.5
PLXNB3	271.48	8.58	72.01	575.03	651.58	273.37	325.29	1745.2	1008.9	460.44	2682.69
PON3	1.79	21.32	47.84	35.76	79.45	7.82	234.57	860.08	172.65	84.04	285.03
PPAP2B	232.94	129.69	269.6	1844.76	1233.75	967.76	4038.61	2997.45	2224.63	3257.52	2319.15
PRCP	1477.58	346.29	346.29	1175.27	1572.76	426.57	2895.31	4152.18	2976.74	4937.99	2591.27
PRICKLE1	40.36	3.06	6.89	72.52	167.9	82.29	258.57	825.0	275.28	348.71	392.44
PRKCQ	6.73	5.87	17.25	22.59	73.54	4.5	63.89	318.57	16.88	37.85	379.04
PRNP	3564.78	543.96	426.57	3928.15	2997.45	3124.78	2682.69	13776.25	5076.84	4388.98	7749.1
PRR3	209.84	114.36	285.03	177.53	141.02	155.5	204.07	529.06	497.0	312.0	323.03
RAB33B	54.72	68.07	60.39	82.87	111.21	81.14	165.57	460.44	265.87	204.07	246.28
RAB8B	102.25	47.17	96.68	194.36	285.03	133.36	555.41	684.02	647.07	651.58	497.0
RBBP9	127.0	87.03	97.36	147.06	157.68	140.04	318.57	511.0	368.65	358.54	381.68
RELN	1.17	0.0	0.0	50.63	76.71	19.97	27.05	1135.2	336.79	242.88	995.0
RNF2	271.48	191.67	36.53	167.9	211.31	218.79	246.28	486.75	441.64	228.13	466.88
RP11-162A12.2	1.77	0.0	8.58	10.79	6.89	9.63	10.08	54.33	12.09	22.92	23.42
RP11-446E24.4	0.0	0.0	0.0	3.41	1.89	0.0	0.0	8.19	4.66	3.0	1.2
S100A10	13872.08	35609.13	14163.58	8963.45	15075.35	7911.95	62431.08	95949.32	56265.94	68318.04	44452.21
SDK2	0.89	1.48	1.06	18.7	27.25	6.78	20.26	211.31	115.16	53.57	215.77
SKIL	149.12	176.29	92.7	167.9	256.78	94.67	543.96	674.59	447.82	435.55	287.01
SLC23A2	59.13	18.16	127.0	197.09	248.0	146.03	262.2	698.41	579.04	226.54	423.61
SLC30A5	559.28	595.34	591.22	571.05	521.76	500.46	974.5	995.0	802.41	743.43	579.04
SMG6	543.96	432.53	518.15	728.11	860.08	532.74	961.07	1651.0	1135.2	1183.45	1259.69
SNX16	119.26	89.51	91.41	141.02	148.09	120.94	256.78	343.89	194.36	271.48	332.14
SOD1	3742.05	7911.95	7857.29	6935.54	6561.36	6294.04	8078.22	12943.04	7331.05	10154.69	8247.98
SPAST	148.09	167.9	88.26	115.16	135.24	94.67	191.67	232.94	123.5	165.57	152.28
SRP14	8363.13	5255.91	7642.41	9344.14	10225.32	9151.82	11584.24	19482.97	16611.71	27553.49	12502.12
ST6GALNAC2	341.51	93.35	51.71	217.27	389.72	136.19	486.75	2701.35	1794.29	854.13	3564.78
SUMO2	6381.92	4704.07	6337.83	4543.8	6426.31	4481.23	5006.93	16611.71	8840.04	9740.98	10733.74
SYNPR	0.0	0.31	0.31	6.46	23.93	2.03	3.99	273.37	27.25	149.12	127.89
TCEAL5	0.0	0.71	0.0	39.79	61.25	33.54	4.5	234.57	129.69	156.59	185.11
THAP1	115.97	104.42	95.34	201.25	182.55	169.07	169.07	346.29	318.57	303.44	295.11
THSD7A	0.91	2.51	2.32	16.63	29.91	14.45	24.46	104.42	88.26	86.43	78.89
TIMP3	195.72	563.18	293.07	3325.99	4066.71	1896.65	17804.06	16727.26	14065.74	10225.32	9673.69
TMEM221	0.89	1.41	3.96	8.58	21.94	6.21	4.58	94.67	49.56	57.08	55.1
TMTC3	107.38	47.84	65.26	90.77	86.43	78.34	99.43	269.6	205.5	199.85	167.9
TTC36	0.0	3.38	0.0	7.06	13.42	6.52	5.68	84.04	17.38	0.0	47.84
TTYH1	2.41	19.68	18.97	149.12	267.73	96.68	14.35	2573.36	1242.34	1044.52	2645.74
TXNDC15	536.45	361.04	555.41	1044.52	1159.07	1066.48	1286.18	2739.08	1806.78	1936.53	1651.0
UPP2	0.0	0.0	2.12	0.49	1.69	0.28	0.0	7.4	3.72	3.96	5.32
USP6NL	137.14	236.21	114.36	143.01	177.53	123.5	166.73	371.22	229.72	153.34	244.57
VGLL3	31.67	9.41	7.11	71.0	118.43	118.43	289.02	679.29	371.22	323.03	403.5
WRB	178.77	387.02	616.37	521.76	775.05	547.75	1167.14	1015.93	860.08	941.27	1250.98
YTHDF3	262.2	389.72	258.57	490.14	339.14	417.77	420.68	1001.93	656.11	555.41	503.95
ZBTB41	49.21	32.82	52.82	55.89	88.26	45.53	78.89	176.29	138.1	107.38	102.25
ZC2HC1A	37.05	38.4	51.35	121.79	226.54	116.78	476.71	915.51	656.11	454.09	486.75
ZEB2	100.83	53.19	50.27	454.09	947.83	170.25	1685.71	5329.3	2682.69	3039.3	3060.45
ZFAND4	54.72	40.93	40.64	112.77	106.63	83.45	228.13	202.66	140.04	190.34	152.28
ZFP82	48.52	4.98	5.02	52.82	53.19	35.5	175.07	346.29	197.09	129.69	126.12
ZFP90	99.43	105.15	142.01	231.32	256.78	152.28	314.17	684.02	575.03	373.81	571.05
ZHX1	384.34	201.25	228.13	336.79	387.02	264.03	395.18	1119.56	934.76	769.69	860.08
ZMPSTE24	420.68	540.19	325.29	808.0	713.11	620.67	775.05	866.07	981.29	591.22	669.92
ZNF362	242.88	74.58	120.94	356.05	507.46	412.0	830.75	1233.75	1066.48	1135.2	890.44
ZNF462	120.1	71.5	4.7	120.94	191.67	85.82	90.14	463.65	368.65	287.01	361.04
ZNF568	38.95	5.02	7.88	68.07	122.64	77.25	265.87	480.04	242.88	217.27	305.55
