	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CZ.5470.01A.01R.1503.07	TCGA.BP.4790.01A.01R.1305.07	TCGA.BQ.5892.01A.11R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11WQC.0626.SM.5EQMF	GTEX.145LU.0526.SM.5O9AT	TCGA.51.4079.11A.01R.1758.07
KLK12	2343119.96	751804.53	0.0	0.0	2.51	0.0	0.09	0.0	0.0	2.39
LCA5L	19.11	90.14	86.43	62.56	161.02	0.0	0.0	57.89	24.28	14.24
LSM1	738.29	1199.98	1001.93	493.56	713.11	0.0	0.77	379.04	285.03	583.07
MAGOHB	423.61	603.67	813.63	211.31	289.02	0.0	0.27	176.29	256.78	267.73
MEA1	1883.54	1757.34	3349.13	1015.93	1498.22	0.0	0.54	728.11	743.43	1088.92
MED31	1286.18	703.28	412.0	275.28	476.71	0.0	0.42	212.78	253.23	285.03
MED8	1583.71	1088.92	819.3	603.67	555.41	0.0	0.52	583.07	460.44	665.29
MINOS1-NBL1	191.67	214.27	417.77	25.72	228.13	0.0	0.0	0.0	39.5	46.5
MPST	7911.95	8421.31	1991.0	616.37	3280.18	0.0	0.43	651.58	669.92	1295.13
MRPL13	1191.69	1073.91	1561.89	575.03	1037.29	0.0	0.37	271.48	260.38	376.41
MRPL22	764.36	947.83	2335.28	567.1	1583.71	0.0	0.79	447.82	490.14	703.28
MRPL46	486.75	764.36	819.3	381.68	1159.07	0.0	0.0	251.48	307.69	460.44
MRPL48	1081.39	1233.75	1498.22	738.29	679.29	0.0	0.25	271.48	371.22	521.76
MRPL51	3901.01	5219.6	4903.87	1697.45	2997.45	0.0	0.64	961.07	890.44	1674.06
MRPL53	1923.14	2090.03	2287.2	555.41	1697.45	0.0	0.6	435.55	1359.57	1225.22
MRPS18C	825.0	848.22	1407.55	583.07	884.29	0.0	0.26	463.65	521.76	669.92
MRPS23	1051.79	1191.69	2520.38	708.18	2163.77	0.0	0.08	329.84	559.28	819.3
MRPS9	329.84	703.28	651.58	432.53	688.78	0.0	0.06	205.5	275.28	371.22
MTCH2	2133.97	1977.24	3982.99	1397.83	1769.57	0.0	0.0	417.77	660.68	1111.82
NAT10	480.04	785.88	547.75	497.0	612.11	0.0	0.37	221.86	346.29	397.93
NDUFA12	2855.44	2240.11	5555.65	1233.75	2935.74	0.0	0.49	1127.35	1135.2	1540.37
NDUFA9	1104.13	1923.14	2627.46	995.0	2032.85	0.0	0.64	334.46	642.59	941.27
NDUFB3	3325.99	2193.99	3874.05	693.58	2400.97	0.0	0.24	679.29	713.11	928.3
NDUFC1	4038.61	5872.48	14461.21	2240.11	7857.29	0.0	0.78	1378.57	1498.22	2451.44
NTPCR	1605.83	2255.7	3564.78	1304.15	1662.49	1605.83	603.67	1183.45	624.99	1081.39
NUDT5	1529.73	1674.06	1350.18	860.08	934.76	0.0	0.4	473.41	575.03	830.75
ORMDL2	3018.3	1662.49	2148.82	493.56	1628.26	0.0	0.13	470.14	684.02	1191.69
PCSK5	974.5	612.11	356.05	170.25	193.01	0.0	0.49	287.01	84.63	162.14
PDCD5	2609.3	4358.66	4358.66	679.29	2133.97	0.0	1.17	1199.98	1331.57	1225.22
PDHB	1498.22	1697.45	1794.29	1151.06	1199.98	0.0	0.38	638.15	1030.12	1167.14
PDXK	3690.52	1963.57	2796.65	1540.37	1721.16	3103.19	271.48	2104.58	1023.0	2367.9
PDZD11	1936.53	1794.29	1721.16	967.76	1350.18	0.0	0.44	356.05	551.56	651.58
PET117	123.5	255.0	318.57	202.66	397.93	0.0	0.28	87.03	206.94	237.86
PGAP2	1313.23	1127.35	748.61	435.55	947.83	0.0	0.21	486.75	656.11	656.11
PLGRKT	1259.69	961.07	1037.29	476.71	679.29	0.0	0.39	101.54	164.42	332.14
POLR2K	660.68	1008.9	2133.97	1088.92	995.0	0.0	0.8	651.58	753.83	1119.56
POP4	1519.15	1870.53	2591.27	1369.04	2032.85	0.0	0.44	521.76	921.88	1233.75
PSMB1	6250.56	5366.37	9088.59	4123.49	4671.57	0.0	1.23	3325.99	4419.52	4268.94
PSMC3	2451.44	2956.17	4210.15	1977.24	2997.45	0.0	0.85	1295.13	1745.2	2384.37
PSMG1	1350.18	1605.83	775.05	514.56	624.99	1857.6	497.0	221.86	620.67	587.13
PTRHD1	1467.37	1909.85	1437.15	420.68	775.05	0.0	0.27	334.46	358.54	693.58
PTS	728.11	842.36	1001.93	236.21	529.06	0.0	0.77	194.36	277.2	339.14
RAB9A	1059.11	1001.93	1066.48	802.41	1233.75	0.0	0.69	620.67	1104.13	713.11
RGS14	3018.3	1662.49	4181.07	928.3	1832.01	0.0	0.56	297.17	567.1	262.2
RPP21	1023.0	1605.83	1529.73	392.44	860.08	0.0	0.54	376.41	395.18	974.5
S100A10	102125.66	67846.12	34158.52	7230.1	12943.04	0.0	1.14	5831.91	11909.94	21026.65
SARNP	2758.13	2701.35	2335.28	928.3	1167.14	0.0	0.91	1487.87	2032.85	1286.18
SF3B5	3280.18	6121.9	4123.49	1697.45	3212.66	0.0	0.69	842.36	1081.39	2609.3
SLIRP	4869.99	4543.8	5183.54	967.76	2976.74	0.0	0.68	642.59	1359.57	1794.29
SMPD2	466.88	1008.9	620.67	206.94	327.56	0.0	0.16	186.4	158.79	224.97
SNRPC	2417.67	2720.15	3742.05	1331.57	2032.85	0.0	0.45	532.74	954.43	1936.53
SNRPD2	9151.82	10733.74	10512.82	2148.82	6381.92	0.0	1.22	1697.45	2434.5	4450.27
SNRPF	1151.06	909.17	1104.13	183.82	500.46	0.0	0.54	295.11	343.89	486.75
SNX24	764.36	785.88	620.67	309.83	543.96	368.65	253.23	246.28	223.41	361.04
SOD1	8247.98	12244.81	14163.58	3280.18	7911.95	0.0	1.13	2555.58	2875.3	4181.07
SRD5A1	2434.5	4010.71	312.0	265.87	291.04	0.0	0.53	95.34	58.71	69.52
SRP19	1216.75	1331.57	2075.59	665.29	1359.57	0.0	0.55	1216.75	1551.09	1088.92
STON2	1883.54	1477.58	356.05	191.67	1037.29	0.0	0.67	703.28	144.01	83.45
TCHP	830.75	1143.1	165.57	176.29	353.59	289.02	158.79	251.48	269.6	214.27
TFB1M	607.87	638.15	309.83	162.14	277.2	0.0	0.26	92.05	152.28	163.28
TIMM23	1259.69	1350.18	1529.73	808.0	1250.98	0.0	0.38	500.46	616.37	802.41
TIMMDC1	1819.35	2591.27	2976.74	1295.13	1709.26	0.0	0.84	1605.83	1059.11	1268.46
TMEM126A	366.09	848.22	1259.69	551.56	915.51	0.0	0.4	329.84	392.44	579.04
TMEM141	4298.64	6983.79	4869.99	1322.37	3124.78	0.0	0.21	518.15	633.73	1572.76
TMEM261	647.07	1143.1	1540.37	392.44	624.99	0.0	0.46	232.94	265.87	543.96
TMPRSS11D	2.802089981E7	6908781.2	0.37	0.0	5.15	0.0	0.0	0.0	120.1	2.89
TMPRSS2	18431.96	7537.18	9.78	3.08	46.18	0.0	0.42	575.03	674.59	2573.36
TOMM5	2047.0	2434.5	4543.8	934.76	2351.53	0.0	0.77	1088.92	902.89	1143.1
TRAPPC2P1	698.41	358.54	620.67	273.37	395.18	0.0	0.42	318.57	327.56	438.59
TXN	61146.25	22380.2	17804.06	2319.15	8538.88	0.0	1.14	1909.85	1936.53	3901.01
USMG5	8718.32	11504.21	11664.82	2303.12	7695.57	0.0	1.06	2485.67	3235.01	4010.71
YARS2	291.04	503.95	624.99	264.03	387.02	0.0	0.04	153.34	244.57	138.1
YBX1	7642.41	10084.54	17681.08	9409.14	7695.57	0.0	1.31	7081.29	7032.37	9740.98
ZMAT5	688.78	656.11	1331.57	384.34	583.07	0.0	0.08	258.57	209.84	532.74
ZNHIT3	848.22	1427.22	1225.22	934.76	1447.15	0.0	0.27	412.0	536.45	583.07
