	TCGA.C8.A12L.01A.11R.A115.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.A8.A084.01A.21R.A00Z.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.131YS.0626.SM.5EGKL	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07	GTEX.13NYC.2626.SM.5K7VN
GPIHBP1	1.45	30.78	1.79	26.47	57.08	7.06	5.45	11.64	5.92	31.9	1088.92	518.15	796.86	830.75	1167.14	656.11	830.75	82.29	679.29	0.0	40.93
GPX7	205.5	387.02	155.5	146.03	248.0	185.11	332.14	202.66	133.36	223.41	435.55	392.44	279.14	277.2	198.47	323.03	277.2	563.18	571.05	0.0	120.94
HSD17B13	0.0	1.06	0.92	0.32	3.0	1.28	12.45	1.14	0.84	0.28	423.61	120.1	285.03	90.14	236.21	208.38	90.14	67.59	51.35	0.0	8.38
ILK	1183.45	2032.85	2163.77	2032.85	1733.13	1883.54	1051.79	2193.99	1662.49	2434.5	3060.45	2976.74	2835.7	2935.74	3467.27	3212.66	2935.74	4298.64	3325.99	0.0	934.76
INMT-FAM188B	3.08	0.0	7.4	0.0	13.72	0.0	15.11	0.0	10.16	0.0	42.11	30.78	34.26	53.57	0.0	39.22	53.57	17.9	28.65	0.0	6.16
KIF17	10.71	36.27	6.78	18.03	49.56	26.67	10.39	10.79	11.04	29.06	123.5	89.51	100.13	81.14	94.67	119.26	81.14	63.89	69.52	0.0	29.06
KLF13	387.02	607.87	435.55	1159.07	791.35	285.03	295.11	473.41	334.46	332.14	2178.83	1313.23	1498.22	1709.26	1359.57	1407.55	1709.26	493.56	1417.35	0.0	764.36
LDB2	102.25	295.11	96.68	175.07	361.04	211.31	108.14	271.48	77.79	115.16	1733.13	1369.04	1340.84	802.41	878.17	1457.23	802.41	802.41	470.14	0.0	187.71
LDLRAD2	28.45	191.67	80.01	182.55	199.85	180.02	22.1	105.15	131.51	429.54	723.08	279.14	480.04	599.49	536.45	312.0	599.49	186.4	124.37	0.0	51.71
LEP	0.2	0.57	1.66	9.93	72.52	1.11	6.41	0.62	0.17	0.0	5594.3	3768.09	3257.52	8778.97	7081.29	3103.19	8778.97	99.43	909.17	0.0	0.87
LYVE1	20.86	62.12	8.58	31.67	89.51	64.8	9.56	28.24	15.0	26.1	1467.37	688.78	1963.57	1844.76	2485.67	830.75	1844.76	346.29	866.07	0.0	55.89
MAP1LC3C	3.06	5.41	3.08	4.43	83.45	5.59	0.74	3.38	0.0	2.71	466.88	486.75	323.03	57.08	80.57	387.02	57.08	44.57	96.68	0.0	7.22
MCAM	802.41	1991.0	551.56	713.11	1143.1	1832.01	738.29	1467.37	674.59	748.61	9673.69	5366.37	6471.02	9215.48	7966.99	5791.62	9215.48	2193.99	2119.22	947.83	1417.35
MEOX1	9.13	23.25	5.92	42.41	237.86	4.82	18.03	11.64	5.45	7.46	813.63	825.0	587.13	457.25	525.39	1175.27	457.25	110.43	236.21	0.0	164.42
MFNG	66.18	194.36	39.5	163.28	214.27	159.9	53.19	226.54	58.71	71.5	536.45	583.07	563.18	351.14	563.18	660.68	351.14	118.43	529.06	0.0	163.28
MMP28	61.25	153.34	22.59	11.3	125.24	57.08	35.0	38.95	24.99	70.51	1023.0	486.75	575.03	748.61	1030.12	587.13	748.61	194.36	220.32	0.0	153.34
MMRN1	5.28	20.71	4.31	24.28	186.4	5.82	2.03	11.3	0.36	37.05	511.0	297.17	1216.75	376.41	518.15	518.15	376.41	162.14	591.22	0.0	172.65
MMRN2	114.36	371.22	109.66	189.02	536.45	212.78	119.26	190.34	103.69	217.27	2004.85	1709.26	1313.23	1378.57	1388.16	2193.99	1378.57	603.67	660.68	0.0	497.0
MRGPRF	47.17	132.44	44.57	21.01	172.65	124.37	6.01	93.35	28.04	66.18	466.88	299.25	343.89	423.61	470.14	567.1	423.61	172.65	454.09	0.0	53.95
MUC12	2.48	31.22	9.27	7.06	8.19	17.0	5.28	13.32	13.52	3.08	33.78	32.82	13.32	47.84	23.59	46.84	47.84	12.09	45.85	0.0	5.32
MUCL1	550352.86	2216726.5	636586.81	794671.01	919186.72	828417.36	602247.76	1273174.62	1255646.43	985160.01	11909.94	38164.99	12160.22	20881.4	209994.66	419990.32	20881.4	887875.81	1299926.74	0.0	9635979.21
MXRA7	2384.37	1427.22	967.76	351.14	1639.59	1685.71	466.88	1407.55	444.72	1477.58	4769.75	4210.15	5183.54	4388.98	4419.52	4512.4	4388.98	3060.45	3614.55	0.0	1051.79
MYADM	2075.59	2875.3	1561.89	1617.0	3820.7	2664.15	1950.0	3303.0	2935.74	2075.59	11112.3	2796.65	5751.61	5329.3	3768.09	5041.77	5329.3	4268.94	5006.93	1286.18	106.63
MYO1C	1594.73	1781.89	1674.06	1963.57	1757.34	1467.37	860.08	2193.99	1216.75	1277.29	4869.99	2835.7	3190.46	4836.35	5292.48	2915.45	4836.35	2468.49	1757.34	0.0	802.41
MYO7B	1.79	32.13	0.77	7.46	6.21	7.51	0.42	13.52	2.27	7.46	26.86	19.11	19.39	28.86	19.82	39.22	28.86	7.82	31.22	0.0	9.63
NDFIP1	669.92	884.29	819.3	1159.07	1477.58	728.11	1015.93	1191.69	647.07	1023.0	1617.0	1857.6	1950.0	1991.0	1477.58	1794.29	1991.0	1477.58	1896.65	0.0	514.56
NMUR1	0.6	1.39	0.29	4.66	7.82	2.56	0.92	4.21	2.25	0.91	85.22	49.91	137.14	169.07	45.53	120.1	169.07	23.76	24.63	0.0	3.29
PEMT	358.54	389.72	269.6	214.27	497.0	693.58	376.41	339.14	356.05	281.09	2133.97	1639.59	896.64	2193.99	6337.83	6887.62	2193.99	854.13	928.3	0.0	400.71
PLIN1	1.5	55.49	20.26	165.57	808.0	4.1	162.14	39.22	31.22	144.01	40062.48	13399.51	23009.42	22535.88	18689.27	11112.3	22535.88	1295.13	4639.29	0.0	33.54
PNPLA2	872.1	2004.85	4671.57	2855.44	2915.45	1870.53	1286.18	2148.82	1674.06	2502.97	16727.26	5006.93	8421.31	10959.3	16157.44	7857.29	10959.3	2997.45	4010.71	0.0	1437.15
PPA1	3325.99	5329.3	2997.45	4736.79	3325.99	2645.74	2193.99	5183.54	5872.48	3081.75	3742.05	5517.27	4481.23	5366.37	5112.16	5366.37	5366.37	3768.09	6792.79	0.0	3742.05
PPAP2B	599.49	1572.76	384.34	642.59	1388.16	928.3	563.18	1208.34	490.14	251.48	5672.41	3467.27	3018.3	2367.9	1806.78	2935.74	2367.9	2682.69	1857.6	0.0	435.55
PRELP	19.53	457.25	44.57	48.52	500.46	381.68	27.64	514.56	10.24	85.22	3419.52	1304.15	1066.48	1369.04	2319.15	848.22	1369.04	339.14	665.29	0.0	111.99
PSMB11	0.0	0.0	0.0	0.0	0.34	0.0	0.32	0.0	0.29	0.31	0.41	0.37	0.37	0.38	0.37	1.04	0.38	0.0	0.0	0.0	0.0
RARRES2	1066.48	2720.15	3395.89	878.17	2004.85	3303.0	285.03	3039.3	1721.16	2004.85	10014.87	3768.09	7857.29	10585.95	10225.32	5672.41	10585.95	7032.37	7749.1	0.0	2335.28
RGCC	312.0	1250.98	314.17	387.02	633.73	559.28	303.44	878.17	289.02	665.29	5183.54	1709.26	2777.33	2255.7	1572.76	1508.65	2255.7	1733.13	1498.22	0.0	204.07
RP11-603J24.9	0.0	0.0	0.0	54.72	0.0	0.0	0.0	0.0	0.0	49.21	100.13	226.54	249.73	0.0	0.0	187.71	0.0	0.0	0.0	0.0	0.0
RP11-664I21.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.63	4.5	2.32	10.24	0.0	5.41	10.24	2.18	0.0	0.0	1.48
RP11-830F9.6	0.41	7.94	1.41	4.03	8.13	0.42	8.65	2.56	0.68	2.39	40.64	20.26	27.64	20.71	13.22	27.84	20.71	7.28	20.71	0.0	4.24
S100A4	4543.8	3325.99	1896.65	1709.26	2895.31	8718.32	1561.89	6037.61	2193.99	3515.68	18560.17	16727.26	12676.65	13872.08	60723.88	15075.35	13872.08	9673.69	8479.89	0.0	8598.28
SCARB1	234.57	400.71	1175.27	647.07	842.36	457.25	1096.5	351.14	201.25	995.0	2047.0	1733.13	1059.11	1437.15	2209.26	2104.58	1437.15	1216.75	1277.29	0.0	339.14
SEL1L2	0.22	0.0	1.43	0.0	8.45	0.23	0.0	1.81	0.0	0.0	20.71	25.17	18.97	10.88	5.32	19.68	10.88	19.53	33.54	0.0	0.0
SERPING1	3146.52	4903.87	4769.75	2645.74	6887.62	9151.82	2855.44	12415.75	6207.38	3349.13	22692.63	22850.48	18950.18	13968.57	16727.26	19214.73	13968.57	13399.51	11584.24	6471.02	5711.87
SH3BGRL2	122.64	53.95	107.38	171.45	275.28	34.26	255.0	153.34	27.84	87.03	651.58	723.08	728.11	620.67	423.61	507.46	620.67	175.07	327.56	314.17	138.1
SHISA3	1.97	2.61	0.0	0.39	8.19	0.71	0.36	0.83	0.92	0.0	76.17	37.32	32.36	15.91	32.36	46.5	15.91	41.81	5.82	0.0	12.45
SLC35G1	6.78	62.12	5.54	18.16	19.39	11.3	59.13	22.1	30.12	8.92	81.14	74.58	67.12	109.66	70.01	92.7	109.66	48.18	90.77	70.51	28.65
STAB1	314.17	819.3	267.73	500.46	775.05	1135.2	389.72	1096.5	361.04	1111.82	1857.6	2367.9	1447.15	2193.99	3742.05	2287.2	2193.99	651.58	1477.58	0.0	583.07
SYS1	466.88	660.68	638.15	656.11	934.76	674.59	660.68	450.94	599.49	616.37	656.11	629.35	723.08	848.22	941.27	825.0	848.22	713.11	872.1	0.0	289.02
SYT15	7.51	45.53	14.45	25.17	103.69	12.09	13.83	38.95	17.51	27.64	149.12	186.4	144.01	241.19	108.14	264.03	241.19	85.82	209.84	65.26	36.01
TCF15	1.35	18.03	0.0	37.59	7.69	4.13	0.37	13.12	40.64	6.89	60.82	34.26	67.59	34.26	50.98	68.07	34.26	14.03	28.24	0.0	5.32
TEK	29.27	103.69	29.27	65.72	131.51	52.82	47.84	71.0	18.56	51.71	599.49	470.14	403.5	384.34	314.17	571.05	384.34	120.1	214.27	0.0	89.51
TGFB1I1	301.33	1225.22	521.76	339.14	848.22	669.92	205.5	878.17	305.55	507.46	1295.13	1697.45	1583.71	836.53	1388.16	1628.26	836.53	1963.57	1883.54	0.0	281.09
TIMP3	1417.35	5913.33	5441.3	2018.8	4268.94	3589.58	3515.68	5255.91	1242.34	4450.27	21768.19	12853.63	12589.08	16727.26	9808.75	10585.95	16727.26	5329.3	14361.31	3491.39	1044.52
TINAGL1	381.68	473.41	66.65	387.02	934.76	607.87	62.56	211.31	351.14	120.1	2520.38	2701.35	2047.0	1883.54	1991.0	3190.46	1883.54	1191.69	1447.15	2255.7	244.57
TKTL2	0.0	0.37	0.0	0.36	0.35	0.34	0.0	0.0	0.0	0.32	0.42	0.38	1.11	1.14	0.38	0.71	1.14	0.0	0.82	0.0	0.0
TMEM37	149.12	197.09	165.57	84.04	166.73	218.79	336.79	138.1	48.52	75.11	2915.45	1127.35	2303.12	1721.16	2915.45	1991.0	1721.16	536.45	842.36	0.0	82.87
TMEM88	24.63	119.26	26.28	61.68	220.32	44.57	18.56	40.93	63.45	46.18	733.19	529.06	441.64	497.0	679.29	624.99	497.0	190.34	808.0	0.0	57.49
TNMD	0.0	1.1	0.0	16.03	48.52	0.68	8.38	1.97	0.6	1.58	497.0	441.64	432.53	480.04	1059.11	995.0	480.04	244.57	473.41	0.0	28.65
TPO	0.0	32.59	8.45	6.31	35.5	5.02	11.82	6.78	1.97	12.64	211.31	236.21	90.77	68.07	84.63	193.01	68.07	69.52	195.72	0.0	104.42
TSPAN4	395.18	1008.9	1001.93	599.49	878.17	1191.69	154.42	1277.29	470.14	1427.22	3467.27	1733.13	2417.67	1733.13	3303.0	2935.74	1733.13	2047.0	1745.2	0.0	693.58
TUBA1A	6037.61	3190.46	3443.31	1119.56	4512.4	3768.09	5112.16	2178.83	2976.74	4095.0	8247.98	5751.61	7749.1	7230.1	7749.1	6607.01	7230.1	5633.22	8778.97	0.0	1963.57
TXNDC15	909.17	1135.2	915.51	1242.34	1417.35	974.5	1340.84	1397.83	713.11	1175.27	1304.15	1594.73	1561.89	1447.15	1572.76	1561.89	1447.15	1331.57	2004.85	0.0	591.22
USHBP1	10.39	68.55	9.34	19.97	58.3	13.52	9.41	30.12	17.51	32.82	220.32	154.42	220.32	169.07	262.2	244.57	169.07	66.18	114.36	0.0	38.4
VEGFB	1819.35	3467.27	3060.45	1519.15	2537.92	4903.87	1794.29	2701.35	3280.18	3491.39	11345.82	3928.15	6037.61	8840.04	9945.68	5831.91	8840.04	3372.43	3325.99	0.0	2468.49
WNT9B	0.0	6.89	0.61	7.57	2.68	1.62	1.57	2.34	0.85	0.92	18.43	7.0	4.03	6.01	7.69	12.83	6.01	1.66	13.03	0.0	1.01
ZDHHC2	38.4	159.9	23.42	72.52	88.88	40.36	120.94	161.02	11.64	27.44	221.86	339.14	264.03	314.17	236.21	279.14	314.17	80.57	163.28	144.01	95.34
