	GTEX.S341.1326.SM.4AD72	TCGA.AA.3496.11A.01R.1839.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AA.3527.11A.01R.A32Z.07	GTEX.1122O.1426.SM.5H11R	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.P4PP.1426.SM.3NM9L	GTEX.ZZ64.0726.SM.5GZX4	GTEX.1122O.1626.SM.5N9CX	GTEX.TKQ2.1226.SM.4DXSV	GTEX.R53T.1026.SM.48FCO	GTEX.Q2AH.1026.SM.48TZI	GTEX.X15G.0926.SM.4PQZE
GAL3ST2	718.08	18.43	45.21	80.01	0.0	595.34	417.77	177.53	1.39	0.0	0.0	0.0	0.0
GCHFR	2816.11	579.04	493.56	669.92	423.61	1023.0	775.05	665.29	187.71	205.5	279.14	146.03	231.32
GDPD2	0.74	74.06	48.52	175.07	25.54	941.27	890.44	341.51	0.0	2.71	0.0	1.39	0.0
GMNN	438.59	447.82	813.63	651.58	379.04	1378.57	1540.37	723.08	110.43	132.44	220.32	146.03	98.73
GPR15	17.25	76.71	201.25	82.29	14.14	432.53	136.19	140.04	0.0	0.0	0.0	0.0	2.1
GRTP1	525.39	400.71	579.04	612.11	376.41	1369.04	1540.37	775.05	167.9	236.21	301.33	156.59	251.48
HDHD3	1088.92	1001.93	1844.76	1806.78	1183.45	3190.46	2915.45	2032.85	356.05	457.25	599.49	599.49	785.88
HMGCR	376.41	466.88	525.39	1304.15	412.0	1015.93	1216.75	896.64	176.29	202.66	239.52	239.52	255.0
HMOX1	376.41	647.07	1583.71	1183.45	543.96	1277.29	1225.22	1896.65	156.59	165.57	420.68	167.9	228.13
HMX2	41.81	6.36	15.56	5.68	8.71	4.62	7.88	10.31	0.0	0.0	1.79	1.19	0.0
HOXA13	928.3	420.68	444.72	450.94	253.23	616.37	967.76	447.82	0.0	0.0	0.0	0.0	0.0
HOXD1	0.0	53.95	60.39	76.71	27.25	127.89	139.07	95.34	2.86	6.01	14.89	0.65	4.58
HOXD8	52.82	371.22	262.2	208.38	130.6	198.47	183.82	316.37	25.17	43.63	25.54	23.76	17.38
HRASLS2	2351.53	38.12	55.49	525.39	69.03	2148.82	1008.9	1167.14	4.21	0.0	4.62	4.13	4.24
HSD11B2	612.11	1639.59	2956.17	3443.31	236.21	31432.17	24660.96	12076.21	17.13	26.47	35.5	5.92	22.92
HSD17B11	1617.0	2537.92	3349.13	3419.52	2032.85	5954.47	7749.1	3515.68	1143.1	909.17	733.19	974.5	379.04
HSD3B1	0.0	2.66	5.02	2.46	0.0	106.63	100.13	5.87	0.0	0.0	0.0	0.0	0.0
IGJ	269512.87	19754.96	14262.1	18689.27	1662.49	296977.71	179048.63	162489.97	47.17	38.95	65.72	202.66	223.41
ITGB7	753.83	153.34	353.59	392.44	108.14	490.14	172.65	194.36	40.64	106.63	44.25	31.45	21.16
ITM2C	6699.25	11745.96	17317.18	26067.14	7433.4	69753.56	53973.86	26986.43	1977.24	3395.89	4095.0	3039.3	3540.14
KCNK5	167.9	314.17	514.56	665.29	271.48	571.05	669.92	441.64	115.16	50.27	95.34	37.85	90.77
KLK1	40904.3	1331.57	1096.5	1295.13	199.85	7537.18	8901.53	3103.19	3.53	13.22	20.26	29.7	18.97
KRCC1	941.27	1143.1	1225.22	988.12	830.75	954.43	1662.49	1159.07	579.04	571.05	679.29	791.35	547.75
KRT12	4.46	14.89	26.67	11.04	2.97	19.97	54.33	34.51	0.0	0.0	1.77	0.0	0.0
L1TD1	19.82	69.03	76.17	150.17	13.32	161.02	49.21	80.01	4.1	2.53	0.84	3.63	2.1
LINC00955	0.0	0.0	3.79	31.67	0.0	102.97	67.59	9.48	0.0	0.0	0.0	0.0	0.0
LPA	66.65	0.28	1.83	0.6	0.51	0.57	1.03	1.51	0.0	0.0	0.31	0.32	0.33
LRRC1	212.78	559.28	599.49	860.08	665.29	872.1	1044.52	743.43	273.37	171.45	193.01	175.07	135.24
LRRC56	540.19	27.64	57.49	49.21	12.93	80.01	57.49	38.4	12.93	29.06	29.7	13.93	20.86
LSM4	2895.31	2701.35	2915.45	2485.67	2271.4	4010.71	3190.46	2935.74	1104.13	1369.04	1551.09	848.22	1417.35
LY6G6D	0.0	85.22	85.22	31.22	24.11	46.18	46.5	64.8	0.0	0.0	12.55	7.88	0.0
MALL	1008.9	928.3	872.1	2287.2	748.61	5555.65	7485.11	3372.43	106.63	145.02	120.1	62.12	191.67
MARVELD3	854.13	140.04	279.14	1008.9	56.68	1883.54	1977.24	954.43	6.78	2.27	12.36	13.72	8.85
MASP1	2720.15	1096.5	842.36	307.69	1001.93	202.66	363.56	363.56	23.08	45.21	155.5	11.13	13.32
MB	121.79	353.59	417.77	563.18	165.57	599.49	896.64	358.54	15.0	43.32	84.63	19.25	144.01
MCOLN2	129.69	134.3	176.29	248.0	63.45	231.32	1923.14	507.46	2.73	16.75	6.36	6.21	5.96
MESP2	52.45	18.03	36.79	11.04	12.36	47.84	45.21	32.59	2.36	0.0	4.94	2.34	4.94
MGAT4B	1963.57	2720.15	5147.73	5751.61	3039.3	11112.3	9945.68	6516.03	1143.1	1268.46	1551.09	915.51	1119.56
MIER3	236.21	493.56	466.88	733.19	368.65	759.08	1015.93	775.05	251.48	195.72	209.84	201.25	154.42
MMEL1	6121.9	67.59	208.38	198.47	90.14	507.46	387.02	157.68	11.91	53.19	48.52	15.0	54.72
MOGAT2	27.25	155.5	220.32	361.04	26.86	4095.0	3716.2	1896.65	0.0	0.0	3.06	0.0	0.68
MPND	387.02	547.75	995.0	1135.2	665.29	1508.65	1304.15	1001.93	234.57	432.53	480.04	253.23	368.65
MPZL3	157.68	26.67	99.43	85.82	36.01	246.28	212.78	123.5	20.26	15.91	32.36	5.96	19.97
MUC12	170.25	791.35	872.1	1963.57	249.73	16496.96	21617.82	12076.21	42.11	18.7	120.94	10.0	100.13
MUC4	72213.45	193.01	450.94	1104.13	40.64	5672.41	3639.7	2720.15	16.39	8.19	27.84	22.59	3.66
MYO7B	1.41	547.75	629.35	1733.13	511.0	4836.35	4152.18	1769.57	34.51	5.54	5.15	25.35	63.89
NAAA	1498.22	764.36	981.29	1508.65	825.0	4066.71	3491.39	1844.76	305.55	180.02	220.32	214.27	206.94
NAT2	5.28	100.83	108.14	113.56	18.84	890.44	995.0	381.68	2.39	0.93	4.31	0.0	11.47
NCR2	0.0	0.0	7.82	2.58	0.0	2.76	6.52	3.17	0.0	0.0	0.0	0.0	0.0
NETO2	63.89	90.77	318.57	137.14	53.95	518.15	384.34	223.41	7.28	16.88	22.26	41.22	13.03
NPY4R	2.92	96.01	82.87	97.36	37.32	143.01	223.41	447.82	1.38	6.73	3.06	0.0	2.63
NR1I2	7.17	102.25	182.55	403.5	44.89	2090.03	2351.53	872.1	11.3	0.67	2.34	2.53	1.55
NRARP	105.89	389.72	1167.14	748.61	279.14	2163.77	2104.58	1340.84	53.95	120.1	140.04	75.64	85.22
OLIG1	9.85	1.95	14.89	6.78	1.39	7.94	4.1	1.45	0.0	0.0	0.0	0.0	0.0
OPN3	473.41	287.01	454.09	633.73	108.14	1008.9	1242.34	493.56	43.94	70.51	96.01	62.12	39.22
OTC	2.66	63.89	46.84	30.78	10.08	202.66	80.01	77.25	0.0	4.17	1.95	2.03	3.59
OVOL1	27.84	68.07	130.6	309.83	18.84	884.29	819.3	376.41	2.63	2.66	1.57	0.0	1.62
P2RX4	2451.44	836.53	1127.35	1745.2	743.43	2855.44	2609.3	1721.16	249.73	366.09	400.71	262.2	400.71
P2RY1	19.11	186.4	102.97	121.79	97.36	78.89	178.77	148.09	10.88	16.03	12.55	13.03	10.63
PAQR5	21.16	130.6	223.41	267.73	23.93	819.3	995.0	473.41	19.25	11.13	3.35	8.99	16.39
PCK1	16.88	351.14	2739.08	830.75	105.15	8078.22	13123.73	3589.58	2.2	4.43	7.63	1.85	1.91
PGAP3	2004.85	403.5	698.41	848.22	444.72	1651.0	1427.22	579.04	199.85	289.02	214.27	170.25	175.07
PIGR	1.271475112E7	6164.49	8963.45	16496.96	514.56	237899.7	215898.44	147462.67	1.14	28.86	16.51	46.84	14.56
PKIB	497.0	866.07	802.41	1594.73	81.14	4903.87	7695.57	3716.2	11.21	10.08	27.05	7.11	14.03
PLSCR5	2.58	11.91	3.66	0.0	1.83	0.68	2.61	1.16	0.0	0.84	0.0	0.0	0.0
PPARG	23.25	547.75	1277.29	1651.0	371.22	2163.77	2400.97	1167.14	65.26	45.53	52.82	94.01	35.5
PRAP1	0.42	728.11	1151.06	2537.92	209.84	12853.63	13306.94	5995.9	2.94	0.0	6.21	22.1	23.93
PRR5L	470.14	366.09	607.87	1388.16	180.02	2335.28	2468.49	1427.22	9.48	47.17	55.89	11.3	53.95
RAPGEFL1	493.56	397.93	1096.5	1388.16	366.09	3874.05	3540.14	1844.76	153.34	136.19	120.1	107.38	112.77
RETSAT	466.88	1909.85	2573.36	3146.52	1540.37	5555.65	6887.62	2591.27	536.45	733.19	728.11	518.15	759.08
RHOV	947.83	23.59	52.08	103.69	17.51	147.06	175.07	48.52	1.93	2.78	4.06	7.88	5.45
RNF128	134.3	98.04	141.02	161.02	24.99	830.75	1286.18	551.56	5.32	5.41	6.62	0.0	2.05
RNF186	59.13	120.1	193.01	177.53	28.24	1963.57	1806.78	934.76	0.0	7.11	0.0	6.73	0.0
SALL1	1806.78	19.68	49.91	31.67	8.85	56.68	79.45	31.67	0.0	0.0	1.07	0.62	4.21
SCGB3A1	6.482288873E7	8.45	9.78	6.67	13.72	8.58	11.64	0.0	0.0	0.0	0.0	4.9	3.11
SGK2	80.57	185.11	624.99	674.59	63.0	2573.36	2148.82	1350.18	8.92	18.43	26.28	16.51	10.39
SH3BP1	293.07	361.04	921.88	1794.29	271.48	1477.58	1498.22	1127.35	58.3	87.65	115.16	64.8	64.34
SH3GL3	68.07	25.17	37.59	6.11	4.24	4.46	2.07	8.25	1.73	0.0	2.68	1.69	2.51
SHD	0.0	76.17	202.66	170.25	19.97	1183.45	1175.27	466.88	0.0	0.0	0.75	1.95	0.0
SIRT6	579.04	500.46	1119.56	967.76	738.29	1896.65	2004.85	1268.46	320.8	295.11	500.46	438.59	423.61
SLC22A18AS	27.44	249.73	186.4	293.07	91.41	2061.24	1883.54	890.44	19.97	2.43	6.57	12.18	12.93
SLC22A23	246.28	293.07	507.46	470.14	320.8	961.07	988.12	559.28	195.72	144.01	223.41	146.03	105.89
SLC22A5	444.72	255.0	591.22	656.11	343.89	796.86	1059.11	651.58	161.02	170.25	172.65	204.07	186.4
SLC23A1	30785.28	37.32	113.56	100.13	24.28	258.57	133.36	154.42	2.25	14.78	1.68	5.02	9.41
SLC35B3	738.29	559.28	543.96	743.43	551.56	884.29	1119.56	656.11	358.54	325.29	346.29	366.09	255.0
SLC3A1	23.93	195.72	142.01	291.04	16.63	2032.85	1806.78	518.15	2.18	2.78	2.97	20.71	5.15
SLC52A3	497.0	142.01	529.06	301.33	95.34	514.56	579.04	403.5	17.0	13.93	14.78	15.8	57.89
SLC5A8	5711.87	2.39	1.39	0.96	0.0	2.46	1.31	1.3	0.0	0.0	0.0	0.0	0.36
SMPDL3A	3280.18	629.35	547.75	1519.15	379.04	3716.2	5517.27	1819.35	176.29	120.94	191.67	105.15	124.37
SRI	4268.94	9876.98	11992.79	10296.45	5517.27	32767.0	38430.46	17078.76	2090.03	1447.15	1806.78	1059.11	1508.65
STAP2	1286.18	100.83	1487.87	2178.83	299.25	8078.22	7331.05	4769.75	51.35	185.11	90.14	105.89	59.97
STMND1	29531.18	11.73	13.62	18.56	8.19	193.01	102.25	19.97	0.0	0.0	0.0	0.0	0.0
SULT1A3	1037.29	902.89	1127.35	1030.12	438.59	1191.69	1628.26	753.83	124.37	329.84	273.37	551.56	246.28
SULT1B1	1.43	260.38	299.25	525.39	147.06	2645.74	4268.94	1709.26	7.57	10.55	1.2	14.03	7.63
TAS1R1	111.99	12.18	18.16	8.06	3.96	4.13	6.67	4.94	0.0	4.82	0.0	1.69	3.47
TFAP2B	61.25	12.36	3.08	0.0	0.48	0.54	3.79	0.96	0.0	0.0	0.17	0.19	0.0
TFF3	4.61555234E7	11112.3	7642.41	18431.96	3874.05	127486.83	128373.58	40062.48	126.12	190.34	214.27	231.32	98.73
TMEM141	3716.2	3955.48	2573.36	2701.35	2468.49	13776.25	9344.14	4802.93	764.36	743.43	713.11	708.18	866.07
TMEM171	131.51	153.34	514.56	432.53	50.27	4010.71	3124.78	1769.57	6.11	13.03	0.0	0.0	0.0
TMEM184A	1844.76	57.08	314.17	361.04	52.82	1286.18	1066.48	525.39	23.25	21.16	12.93	20.56	15.22
TMEM44	358.54	246.28	540.19	571.05	255.0	808.0	941.27	470.14	172.65	145.02	197.09	186.4	137.14
TMEM72	0.0	30.78	32.59	104.42	13.72	607.87	708.18	295.11	0.0	1.55	2.07	0.0	0.0
TMEM9B	1733.13	836.53	1111.82	1322.37	1001.93	2148.82	2271.4	1477.58	460.44	420.68	454.09	395.18	351.14
TNFRSF17	603.67	180.02	167.9	134.3	0.0	1008.9	995.0	493.56	4.28	5.02	0.0	0.0	4.98
TNIP1	2468.49	2075.59	2777.33	3372.43	2417.67	3847.29	3901.01	2935.74	1936.53	1397.83	1457.23	1781.89	1388.16
TNMD	0.0	23.59	22.26	18.97	19.68	43.32	106.63	13.12	5.36	3.82	1.03	2.07	0.0
TNNC2	16.03	112.77	145.02	131.51	76.17	387.02	341.51	361.04	44.25	24.99	14.89	34.51	82.87
TOMM22	1457.23	1561.89	1709.26	1427.22	1417.35	1991.0	1605.83	1685.71	684.02	791.35	921.88	848.22	866.07
TRABD2A	27.84	214.27	890.44	397.93	150.17	2367.9	2209.26	1519.15	12.64	5.96	24.99	21.01	17.77
TRIM40	4.39	30.56	11.38	117.6	0.0	293.07	115.97	132.44	0.0	0.0	0.0	0.0	0.0
TRPM5	0.77	21.47	66.18	39.22	2.71	45.53	55.89	25.17	0.0	0.97	0.89	0.93	0.0
TSPAN6	2319.15	825.0	813.63	1340.84	802.41	2956.17	3372.43	1519.15	232.94	163.28	191.67	169.07	108.14
UBE2A	1151.06	1551.09	1936.53	1896.65	1639.59	1662.49	2400.97	2061.24	1295.13	1073.91	1250.98	1066.48	1051.79
UGDH	2520.38	1378.57	2119.22	2555.58	759.08	2645.74	3081.75	2468.49	341.51	493.56	571.05	460.44	547.75
VAV3	450.94	366.09	346.29	507.46	890.44	2271.4	2591.27	1051.79	28.65	17.25	43.63	32.36	36.53
VIL1	24.11	583.07	1685.71	2061.24	262.2	9540.5	9808.75	5672.41	2.89	6.73	12.0	16.03	12.36
VILL	3018.3	693.58	1081.39	1437.15	486.75	3768.09	3168.41	1540.37	77.79	241.19	206.94	114.36	162.14
VIPR1	228.13	231.32	480.04	785.88	185.11	3742.05	3212.66	1467.37	98.04	40.07	40.64	47.84	40.64
XKRX	17.0	8.38	13.72	11.47	6.78	21.32	76.17	9.93	1.04	1.5	0.6	2.25	1.89
YWHAE	9540.5	8078.22	7382.04	8963.45	7230.1	9740.98	9025.81	10585.95	5076.84	4328.55	4671.57	4575.41	4903.87
