	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.AR.A5QM.01A.11R.A27Q.07	TCGA.EW.A6SA.01A.21R.A32P.07	TCGA.A7.A0DC.01A.11R.A00Z.07.1	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.BH.A28Q.01A.11R.A16F.07	TCGA.LQ.A4E4.01A.11R.A266.07	TCGA.S3.AA12.01A.11R.A41B.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.98.A53H.01A.12R.A262.07	TCGA.BR.6852.01A.11R.1884.13	TCGA.CG.4477.01A.01R.1157.13	TCGA.BR.8366.01A.11R.2343.13	TCGA.B7.A5TK.01A.12R.A36D.31
C15orf41	57.08	47.17	38.95	57.08	99.43	50.98	102.25	45.53	41.22	409.15	356.05	102.97	65.72	291.04	117.6	120.1
CCL4	6.41	400.71	14.78	6.41	224.97	40.36	125.24	47.84	23.93	117.6	698.41	460.44	1651.0	759.08	2004.85	2796.65
CCL5	21.16	638.15	59.97	21.16	909.17	99.43	392.44	110.43	111.21	2627.46	3146.52	1540.37	4607.24	1295.13	3124.78	10014.87
CD160	4.43	6.41	4.74	4.43	25.17	13.03	15.0	4.82	6.36	2.18	6.52	25.54	27.84	15.45	21.47	128.79
CD3E	2.86	297.17	18.03	2.86	688.78	33.3	201.25	50.27	78.89	733.19	1233.75	1066.48	1781.89	698.41	1216.75	2555.58
CD82	119.26	1467.37	90.14	119.26	1551.09	246.28	1447.15	283.05	171.45	9344.14	18052.61	2855.44	2664.15	1605.83	1639.59	1685.71
CD8A	10.71	164.42	36.53	10.71	195.72	45.53	95.34	30.56	57.89	514.56	1183.45	267.73	1508.65	301.33	896.64	1977.24
CD8B	0.0	93.35	6.21	0.0	98.73	16.15	35.5	53.95	7.63	134.3	432.53	106.63	633.73	141.02	429.54	571.05
CD96	0.4	71.0	8.25	0.4	118.43	30.12	60.39	13.52	11.3	128.79	169.07	299.25	392.44	358.54	343.89	547.75
CDK6	4.06	39.79	6.11	4.06	115.16	18.16	41.22	11.13	7.88	293.07	127.0	152.28	532.74	327.56	454.09	232.94
CHAC2	19.68	24.46	25.17	19.68	35.25	35.76	35.5	80.01	101.54	111.99	99.43	67.12	81.14	208.38	98.04	155.5
CIRH1A	325.29	457.25	432.53	325.29	525.39	379.04	381.68	346.29	348.71	420.68	769.69	563.18	759.08	759.08	819.3	759.08
CLCN1	0.29	1.6	0.27	0.0	1.75	0.99	2.63	0.29	0.28	10.08	5.02	5.59	1.04	6.62	20.26	0.54
CLEC4E	5.63	14.89	1.22	5.63	80.57	13.62	17.77	0.37	24.99	5.19	29.27	137.14	423.61	525.39	220.32	500.46
CNOT1	1277.29	1769.57	1295.13	1277.29	1844.76	1407.55	1407.55	1313.23	988.12	10883.59	5711.87	2209.26	2119.22	2133.97	1963.57	1819.35
CSNK2A2	387.02	587.13	343.89	387.02	665.29	323.03	483.38	400.71	262.2	543.96	651.58	679.29	1066.48	616.37	884.29	921.88
CXCR6	1.53	73.54	3.96	1.53	105.15	7.94	41.52	15.56	10.71	65.72	215.77	109.66	612.11	253.23	389.72	620.67
DDX19A	255.0	497.0	267.73	255.0	612.11	314.17	395.18	366.09	301.33	291.04	551.56	633.73	507.46	620.67	547.75	536.45
DNAJB1	1870.53	3614.55	1359.57	1870.53	2915.45	1685.71	2224.63	4010.71	1977.24	11909.94	5219.6	1896.65	2816.11	20881.4	3039.3	5006.93
EZR	4639.29	4937.99	3901.01	4639.29	4066.71	3716.2	2682.69	3168.41	2520.38	14262.1	7230.1	5147.73	8538.88	10014.87	7642.41	6745.86
FASLG	0.0	13.83	1.3	0.0	23.08	2.81	5.92	4.28	0.8	121.79	33.06	18.03	131.51	24.63	91.41	169.07
FNDC8	0.87	1.6	0.0	0.87	1.41	0.65	0.99	0.0	0.0	1.99	4.7	1.46	1.04	1.81	3.69	0.0
GJB3	1.51	5.15	1.16	1.51	8.06	3.66	4.66	4.54	0.33	175363.84	241220.67	265.87	450.94	371.22	1073.91	738.29
GJB4	0.3	1.3	0.29	0.3	0.72	0.67	0.67	0.91	0.0	113315.62	2976.74	34.51	30.12	37.59	88.88	142.01
GPR25	0.0	4.03	0.0	0.0	2.2	0.71	2.07	1.58	0.0	121.79	189.02	7.22	115.16	24.28	63.0	258.57
GPR82	0.3	5.45	1.39	0.3	8.38	9.13	4.28	2.41	1.75	4.24	5.06	11.64	15.45	24.28	32.13	71.0
GZMA	1.28	199.85	14.56	1.28	329.84	27.84	111.99	36.01	22.1	718.08	1781.89	314.17	1498.22	486.75	884.29	2758.13
GZMB	10.16	26.28	5.59	10.16	154.42	6.26	25.91	7.28	10.55	214.27	417.77	1059.11	3349.13	785.88	1417.35	5076.84
GZMH	7.94	102.25	5.36	7.94	73.03	23.59	28.65	16.15	2.78	764.36	438.59	185.11	660.68	169.07	529.06	1685.71
HKDC1	0.0	1.66	0.0	0.0	1.1	0.36	1.04	0.33	0.0	52.45	52.45	46.5	258.57	226.54	283.05	334.46
HTR7	0.0	13.22	0.56	0.01	25.35	5.19	7.46	2.39	3.17	25.72	389.72	16.75	1.31	14.67	3.99	4.46
IFFO2	158.79	135.24	120.94	158.79	283.05	94.67	163.28	27.84	211.31	1950.0	8840.04	379.04	395.18	339.14	202.66	256.78
IFI16	158.79	1540.37	215.77	158.79	2287.2	466.88	1286.18	518.15	291.04	3349.13	3639.7	3874.05	1259.69	3212.66	3235.01	4152.18
IFITM1	1331.57	10512.82	679.29	1331.57	7130.55	3928.15	4802.93	1167.14	6561.36	16157.44	15285.81	10084.54	26800.01	5255.91	9409.14	35118.87
IFITM2	2148.82	10225.32	1233.75	2148.82	13492.72	4181.07	6294.04	3540.14	5041.77	3039.3	5913.33	14262.1	32767.0	9606.86	22380.2	61146.25
IFITM3	2502.97	19892.37	2739.08	2502.97	20593.91	7081.29	16269.83	5479.15	14163.58	8363.13	17681.08	35609.13	51062.33	24832.5	51775.15	132900.7
IFNG	0.0	5.02	0.27	0.0	4.5	0.0	2.61	1.48	0.0	26.67	0.0	22.75	119.26	40.64	139.07	423.61
IGFL4	0.34	9.63	0.32	0.0	2.94	10.24	0.38	0.0	3.92	0.09	2.58	30.34	20.71	117.6	90.14	63.0
IL18	22.26	234.57	26.47	22.26	246.28	121.79	104.42	104.42	77.79	38966.94	39237.98	665.29	698.41	896.64	1844.76	981.29
JAG1	813.63	718.08	363.56	813.63	775.05	305.55	363.56	251.48	122.64	2400.97	2664.15	830.75	1066.48	669.92	1674.06	1242.34
KARS	1250.98	1745.2	1709.26	1250.98	2004.85	1119.56	1331.57	1119.56	1331.57	2255.7	2956.17	2240.11	2976.74	2271.4	2417.67	3349.13
KIR2DL3	0.0	0.0	0.29	0.01	1.08	0.0	0.0	0.0	0.0	14.03	3.32	3.17	12.09	10.16	19.68	52.45
KIR2DL4	0.0	2.36	0.0	0.0	1.87	0.73	0.0	0.0	0.0	0.0	7.69	9.06	108.14	32.13	34.02	57.89
KLK5	35.0	87.65	0.0	35.0	205.5	1.04	10.31	3.69	0.0	383800.28	3146.52	208.38	2.71	58.3	16.39	126.12
KLRC2	16.63	5.92	28.04	16.63	2.92	0.0	6.73	0.0	2.68	18.03	38.12	19.97	176.29	105.15	141.02	329.84
KLRD1	2.23	18.97	4.39	2.23	34.26	5.19	25.91	18.29	3.38	55.89	51.35	85.82	392.44	177.53	195.72	490.14
KRT6A	8.06	12.09	0.0	8.06	24.99	0.79	2.53	0.0	1.01	2.01760973986E9	2.41604469791E9	21468.49	497.0	9540.5	2875.3	988.12
KRT6B	35.76	115.16	0.93	35.76	412.0	2.81	16.88	13.62	0.67	9.677103146E8	3.449777448E7	2645.74	1037.29	1378.57	624.99	204.07
LAG3	2.07	95.34	4.98	2.07	34.75	30.56	21.32	61.25	22.75	17.77	22.1	155.5	878.17	143.01	426.57	981.29
LILRA3	0.31	14.35	0.0	0.31	4.31	0.0	1.35	0.0	0.0	0.8	2.36	68.55	208.38	33.06	39.5	83.45
MFI2	101.54	202.66	75.64	101.54	156.59	116.78	110.43	83.45	95.34	40.07	246.28	217.27	341.51	195.72	2075.59	651.58
MICALL1	244.57	264.03	134.3	244.57	297.17	379.04	348.71	108.9	368.65	1096.5	1088.92	796.86	890.44	295.11	780.44	583.07
MLKL	21.94	151.22	37.05	21.94	185.11	83.45	110.43	81.71	44.89	287.01	303.44	470.14	624.99	656.11	813.63	884.29
MOB3B	8.13	26.1	13.93	8.13	117.6	30.78	36.01	9.2	16.88	100.83	110.43	71.5	169.07	110.43	123.5	162.14
MRPL16	490.14	954.43	511.0	490.14	866.07	400.71	521.76	688.78	769.69	791.35	1008.9	830.75	1104.13	1088.92	1313.23	1313.23
MT-CO1	190574.09	246289.25	248002.34	190574.09	267651.2	258533.99	225066.78	619179.28	142439.51	496005.67	554180.87	417089.23	561916.97	589853.66	459592.86	794671.01
NAE1	665.29	669.92	607.87	665.29	802.41	497.0	629.35	454.09	379.04	529.06	738.29	780.44	934.76	1088.92	1242.34	1540.37
NIP7	277.2	371.22	255.0	277.2	476.71	212.78	339.14	199.85	178.77	423.61	476.71	348.71	518.15	387.02	486.75	511.0
NKG7	12.83	224.97	12.93	12.83	343.89	25.17	65.72	37.85	32.36	775.05	417.77	693.58	2645.74	392.44	2148.82	3982.99
NPY4R	0.31	1.33	0.0	0.31	0.38	0.68	1.69	2.16	0.0	77.25	50.63	54.33	309.83	7.57	7.69	231.32
NUP93	470.14	679.29	567.1	470.14	728.11	466.88	435.55	551.56	540.19	813.63	890.44	928.3	896.64	981.29	813.63	1096.5
NUTF2	1457.23	2400.97	2384.37	1457.23	1936.53	1119.56	1304.15	1662.49	1721.16	2090.03	1819.35	2434.5	2758.13	2133.97	3491.39	2895.31
P2RY14	5.96	21.78	7.57	5.96	58.71	11.64	26.86	8.51	7.34	42.11	182.55	43.63	36.79	176.29	61.25	165.57
PRF1	2.25	49.91	5.87	2.25	110.43	8.65	25.17	20.56	12.0	177.53	149.12	234.57	995.0	209.84	318.57	579.04
PRR7	61.68	181.28	53.57	61.68	102.97	21.94	76.17	56.28	39.22	575.03	122.64	157.68	301.33	141.02	356.05	116.78
PRSS3	2.81	3.41	0.0	0.0	15.68	0.0	0.0	0.0	2.78	25530.66	9279.58	193.01	1639.59	571.05	1498.22	575.03
PSMD7	1233.75	1437.15	1369.04	1233.75	1674.06	718.08	866.07	1151.06	884.29	2451.44	3018.3	2178.83	1923.14	2119.22	1697.45	2319.15
PUS3	115.16	182.55	69.52	115.16	197.09	108.14	178.77	103.69	89.51	164.42	183.82	149.12	172.65	379.04	221.86	271.48
RAD51AP2	0.0	0.99	0.0	0.0	1.08	0.68	1.01	0.0	0.0	5.96	14.78	3.99	1.45	3.59	2.78	1.53
RAP2B	87.03	164.42	138.1	87.03	226.54	89.51	140.04	129.69	96.01	2485.67	1697.45	343.89	241.19	260.38	329.84	260.38
RPL22L1	1508.65	1023.0	1159.07	1508.65	1250.98	718.08	1572.76	2400.97	1350.18	4038.61	8247.98	3190.46	3874.05	2178.83	5329.3	5076.84
RPP25	287.01	397.93	295.11	287.01	183.82	28.86	93.35	206.94	35.76	571.05	684.02	432.53	669.92	214.27	334.46	397.93
SCML4	0.68	11.21	2.36	0.68	38.4	4.82	10.16	4.1	3.06	21.32	44.57	71.5	69.03	47.17	72.01	82.29
SF3B3	1844.76	1963.57	1572.76	1844.76	2875.3	1806.78	1963.57	1923.14	1313.23	4328.55	6037.61	2777.33	2720.15	2319.15	2997.45	3690.52
SH3BP1	117.6	246.28	139.07	117.6	251.48	201.25	171.45	94.67	197.09	4512.4	1745.2	703.28	1572.76	303.44	616.37	587.13
SH3TC2	0.93	14.56	5.36	0.93	24.28	2.71	5.06	4.9	10.55	58.3	28.04	18.03	44.57	20.11	91.41	74.06
SIGMAR1	1331.57	1313.23	1487.87	1331.57	1259.69	902.89	947.83	1304.15	1127.35	1369.04	1733.13	1417.35	2758.13	1467.37	1378.57	3235.01
SIRPG	0.93	40.64	5.32	0.93	65.26	6.31	18.56	8.71	14.89	69.52	264.03	150.17	412.0	204.07	256.78	307.69
SLA2	5.77	29.48	1.79	5.77	39.79	7.46	18.29	9.2	3.66	14.35	75.64	87.65	208.38	89.51	142.01	281.09
SLFN12L	1.28	17.51	1.79	1.28	21.32	4.78	11.38	4.39	4.5	23.93	31.45	53.95	97.36	57.89	93.35	67.59
SOCS1	7.51	275.28	13.93	7.51	88.88	14.78	25.54	37.32	15.8	128.79	579.04	346.29	769.69	187.71	902.89	1322.37
STAMBPL1	3.14	75.64	7.88	3.14	103.69	15.8	60.39	62.12	22.26	109.66	150.17	185.11	251.48	320.8	387.02	327.56
TAS2R30	0.0	0.0	0.29	0.01	0.37	0.0	0.0	0.0	0.0	1.0	0.0	0.46	0.97	1.69	0.33	3.17
TBX21	0.37	13.93	0.92	0.37	18.43	1.08	8.45	4.66	1.27	13.32	28.45	38.67	90.14	31.22	66.18	75.64
TERF2	341.51	379.04	271.48	341.51	441.64	339.14	343.89	229.72	305.55	323.03	397.93	423.61	529.06	486.75	480.04	599.49
THEMIS	0.3	8.38	0.84	0.3	24.81	2.61	10.79	2.07	1.45	13.62	23.42	36.53	74.06	31.67	72.52	115.16
TMIGD2	0.0	9.2	2.63	0.04	14.35	1.75	2.76	2.84	0.65	24.11	50.63	40.07	59.13	14.67	19.68	136.19
TNS4	27.25	211.31	0.29	27.25	486.75	6.41	246.28	88.26	149.12	299043.36	1055868.42	679.29	575.03	728.11	2591.27	2351.53
TXNL4B	100.13	120.1	72.01	100.13	150.17	98.73	105.89	83.45	76.17	154.42	191.67	212.78	185.11	221.86	262.2	260.38
VSNL1	1.41	54.72	1.06	1.41	115.16	4.78	42.41	4.62	10.0	649962.87	122293.5	351.14	595.34	928.3	356.05	295.11
XPNPEP1	447.82	555.41	921.88	447.82	665.29	575.03	728.11	529.06	429.54	921.88	909.17	1015.93	1242.34	1378.57	1159.07	1073.91
ZNF683	0.22	61.25	5.19	0.22	15.56	9.63	27.05	10.71	5.41	3257.52	438.59	108.9	521.76	63.0	483.38	1467.37
