	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.EP.A3RK.11A.11R.A22L.07	GTEX.ZYT6.0626.SM.5E45V	GTEX.SJXC.1226.SM.4DM78	TCGA.69.7763.01A.11R.2170.07	TCGA.50.5942.01A.21R.1755.07	TCGA.69.7973.01A.11R.2187.07	TCGA.80.5608.01A.31R.1949.07	TCGA.44.7667.01A.31R.2066.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.91.8497.01A.11R.2403.07	TCGA.05.4390.01A.02R.1755.07
CSTF2	400.71	373.81	72.01	57.89	57.49	74.06	49.91	35.25	303.44	236.21	497.0	551.56	651.58	616.37	389.72	242.88	583.07
CTSV	18689.27	3303.0	5.63	3.2	0.66	2.39	0.16	0.0	38.12	16.51	47.5	100.83	46.18	262.2	37.85	33.54	124.37
DBF4	126.12	77.25	53.19	35.5	70.51	55.49	36.27	44.89	136.19	138.1	325.29	148.09	514.56	409.15	400.71	136.19	283.05
DEPDC1B	170.25	54.33	8.71	3.08	1.58	6.41	4.13	3.86	19.82	16.15	293.07	98.04	246.28	536.45	157.68	15.56	199.85
DIAPH3	80.57	23.59	2.03	0.54	0.0	2.18	0.47	0.0	15.8	6.84	109.66	51.71	112.77	103.69	40.36	7.46	74.58
DLGAP5	209.84	56.68	6.01	1.51	1.99	6.52	1.35	3.47	55.49	17.51	412.0	194.36	571.05	493.56	271.48	23.42	559.28
EIF4EBP1	2758.13	902.89	1781.89	1617.0	1208.34	1561.89	1350.18	1417.35	723.08	583.07	6607.01	2287.2	3955.48	3103.19	1639.59	1225.22	3794.3
ERCC6L	21.63	6.46	1.28	1.28	0.0	1.38	0.58	0.96	8.85	7.88	65.72	51.35	96.01	84.63	38.4	8.06	62.12
ESCO2	99.43	14.89	8.85	6.78	4.1	6.78	5.36	0.72	20.71	8.71	226.54	63.45	148.09	161.02	30.78	12.27	76.17
ESPL1	500.46	166.73	16.03	53.57	11.47	40.64	5.5	4.66	18.03	12.18	232.94	101.54	346.29	262.2	85.82	50.27	198.47
FAM24B	93.35	229.72	7.11	4.13	4.7	22.75	14.67	14.89	67.12	36.01	289.02	183.82	412.0	363.56	285.03	38.4	281.09
FAM64A	291.04	152.28	4.39	2.01	1.51	9.13	2.53	9.2	24.28	19.97	417.77	151.22	808.0	470.14	248.0	33.06	297.17
FAM72B	44.57	36.79	8.78	14.14	0.75	10.08	9.2	6.11	14.89	16.51	82.29	34.51	194.36	92.05	70.51	27.44	62.56
FAM72D	32.13	14.56	4.35	0.65	0.0	9.13	1.01	3.29	8.19	5.5	145.02	67.12	242.88	153.34	79.45	8.58	44.25
FAM83D	314.17	267.73	42.11	25.54	6.89	63.89	97.36	34.75	198.47	80.01	518.15	780.44	753.83	660.68	379.04	72.52	775.05
FAM83F	7382.04	5711.87	73.54	7.51	25.54	64.34	5.15	21.78	4.39	10.79	281.09	33.54	127.89	205.5	163.28	57.49	129.69
FEN1	532.74	249.73	158.79	89.51	63.0	170.25	148.09	82.87	218.79	242.88	878.17	567.1	2104.58	819.3	540.19	283.05	703.28
FOXM1	348.71	122.64	20.26	12.45	4.86	44.89	17.0	24.63	151.22	52.45	1487.87	728.11	2224.63	1467.37	780.44	95.34	547.75
GALNT6	387.02	583.07	14.78	6.31	8.0	6.84	14.03	5.19	102.25	563.18	3280.18	616.37	1023.0	2400.97	2047.0	186.4	1594.73
GINS1	283.05	82.29	14.89	6.62	4.43	7.17	2.2	7.17	35.76	26.28	206.94	100.83	384.34	279.14	149.12	27.44	229.72
GINS4	193.01	32.59	19.68	18.29	5.96	29.48	8.06	10.71	42.71	95.34	161.02	94.67	249.73	211.31	104.42	53.95	253.23
GSG2	48.18	22.59	3.29	0.62	0.0	1.83	0.0	0.0	9.93	12.83	117.6	43.32	118.43	97.36	52.08	23.08	91.41
GTSE1	206.94	77.79	5.54	2.61	0.8	11.47	3.41	1.89	35.76	19.11	329.84	105.89	392.44	363.56	175.07	46.84	164.42
H2AFZ	7857.29	3742.05	1721.16	1674.06	1096.5	1909.85	1119.56	836.53	4181.07	3146.52	5791.62	6381.92	9088.59	11189.6	6792.79	4010.71	6699.25
HIST1H3C	18950.18	0.0	0.0	0.0	7.17	4.24	3.99	0.0	0.0	0.0	5.63	20.26	77.79	21.16	13.22	8.51	9.85
HJURP	142.01	55.1	9.41	2.66	5.63	19.53	4.78	0.0	51.71	20.56	500.46	198.47	454.09	414.87	204.07	52.08	212.78
IER3	87681.42	30999.42	273.37	406.31	1104.13	521.76	104.42	289.02	5403.7	2502.97	6699.25	9945.68	1322.37	7485.11	2935.74	1950.0	4736.79
IRF2BPL	444.72	460.44	281.09	193.01	438.59	332.14	189.02	195.72	775.05	616.37	860.08	785.88	397.93	1388.16	718.08	490.14	1216.75
ITGB1BP1	860.08	1781.89	239.52	591.22	348.71	599.49	728.11	454.09	1457.23	1127.35	1977.24	1551.09	4419.52	2664.15	2384.37	1183.45	1883.54
KIAA1524	101.54	31.22	5.54	2.36	4.94	4.24	5.73	0.65	32.82	31.0	127.0	56.68	318.57	136.19	85.22	24.46	102.25
KIF15	297.17	41.52	6.78	4.28	1.14	5.73	0.65	1.07	29.06	23.42	142.01	90.77	463.65	271.48	102.97	21.94	99.43
KIF18A	65.72	21.78	1.55	0.55	0.0	3.29	1.04	3.44	19.39	15.8	131.51	40.36	118.43	98.04	55.49	17.25	71.5
KIF18B	172.65	37.85	4.86	1.93	0.73	7.11	0.01	1.28	20.26	8.99	325.29	130.6	518.15	540.19	72.01	21.16	197.09
KIF20A	307.69	96.01	9.93	3.08	0.46	19.39	3.99	2.36	71.0	35.25	473.41	218.79	764.36	616.37	283.05	46.84	595.34
KIF23	287.01	59.13	11.04	1.77	0.65	19.53	0.22	10.47	82.29	39.22	368.65	170.25	532.74	454.09	281.09	43.94	295.11
KIF2C	406.31	139.07	6.89	5.28	4.1	11.38	0.33	7.0	68.07	38.12	312.0	208.38	1073.91	493.56	281.09	49.56	397.93
KIF3C	73.54	21.63	19.25	8.92	4.13	24.99	5.06	18.7	127.89	55.1	571.05	226.54	438.59	423.61	420.68	96.01	187.71
KIF4A	231.32	52.08	4.86	0.97	3.35	5.28	0.0	0.0	26.1	12.18	334.46	158.79	441.64	400.71	150.17	14.78	217.27
KIFC1	616.37	151.22	26.28	7.17	3.56	18.16	5.28	4.46	140.04	47.5	555.41	397.93	1685.71	934.76	332.14	88.26	521.76
KLK12	2343119.96	751804.53	2.01	0.0	0.0	0.0	0.0	0.0	11.82	11.82	12244.81	6471.02	3467.27	24321.43	22225.61	2032.85	13215.02
KPNA2	1073.91	447.82	279.14	108.14	366.09	156.59	189.02	144.01	974.5	273.37	2915.45	1437.15	6792.79	3146.52	2148.82	529.06	2255.7
LMNB1	1529.73	291.04	77.25	120.94	186.4	137.14	78.89	73.03	325.29	291.04	1407.55	759.08	2367.9	2018.8	941.27	293.07	1059.11
LRR1	206.94	126.12	102.25	77.79	67.59	142.01	100.13	101.54	205.5	134.3	371.22	379.04	409.15	603.67	406.31	165.57	728.11
LRRC26	457.25	1286.18	0.0	0.64	0.0	0.0	0.0	6.52	11.3	7.28	96.01	149.12	14.78	211.31	201.25	90.77	105.15
LRRIQ4	0.96	1.75	0.0	0.0	0.0	0.0	0.0	0.0	1.48	4.13	67.12	27.25	20.41	38.4	111.21	9.13	13.72
MAD2L1	802.41	232.94	38.67	27.05	22.26	38.67	16.03	24.63	94.67	70.01	353.59	281.09	1135.2	866.07	348.71	126.12	738.29
MAP6D1	31.45	22.26	10.08	8.92	12.93	9.63	9.41	23.25	15.68	16.88	81.71	26.86	287.01	72.52	77.79	28.65	100.13
MELK	279.14	70.01	12.0	1.1	1.6	12.45	4.21	2.73	55.49	18.29	563.18	384.34	521.76	624.99	327.56	21.78	463.65
MLF1IP	1594.73	647.07	63.89	23.08	15.45	100.13	26.28	49.91	63.45	53.57	473.41	420.68	363.56	674.59	260.38	91.41	591.22
MRPL21	1508.65	2319.15	1551.09	1628.26	1457.23	1159.07	1388.16	1286.18	1259.69	947.83	1651.0	1662.49	2451.44	2573.36	1721.16	1447.15	1794.29
MTL5	536.45	260.38	11.13	8.45	10.39	9.63	5.77	9.34	13.62	43.32	40.93	139.07	283.05	206.94	71.0	33.06	37.85
MYEOV	21468.49	12764.83	165.57	19.53	15.68	5.15	2.1	368.65	563.18	5.92	295.11	825.0	703.28	1096.5	1519.15	31.0	620.67
MYT1	0.58	3.76	0.0	0.77	1.36	0.82	0.0	0.0	30.34	0.0	642.59	25.54	109.66	218.79	376.41	15.22	120.1
NCAPG	185.11	51.71	6.62	2.81	1.69	12.36	1.68	4.98	27.44	20.41	194.36	98.04	579.04	909.17	183.82	30.12	249.73
NCAPG2	547.75	88.88	59.97	52.82	31.9	55.89	41.81	36.01	143.01	134.3	414.87	246.28	486.75	629.35	435.55	104.42	429.54
NCAPH	258.57	81.71	17.13	2.03	4.46	9.13	2.51	4.17	57.89	32.82	473.41	312.0	1111.82	603.67	220.32	48.87	414.87
NEK2	208.38	71.5	7.57	1.99	2.97	11.47	2.63	0.0	67.12	24.63	612.11	275.28	633.73	518.15	281.09	24.63	316.37
NKIRAS2	1685.71	909.17	532.74	314.17	381.68	441.64	417.77	392.44	713.11	536.45	830.75	830.75	1369.04	1143.1	642.59	579.04	915.51
NUF2	248.0	64.8	6.41	1.11	2.16	6.94	0.0	0.0	59.55	17.9	679.29	303.44	1295.13	698.41	309.83	36.27	473.41
OTUB2	336.79	141.02	9.56	9.06	2.61	10.31	6.94	5.82	43.02	26.1	64.34	77.25	94.01	130.6	52.45	12.55	117.6
PARPBP	142.01	71.0	7.17	5.06	1.79	8.92	2.12	13.52	46.84	22.75	275.28	100.83	231.32	289.02	146.03	41.22	198.47
PBDC1	896.64	1001.93	397.93	429.54	575.03	358.54	332.14	327.56	660.68	575.03	679.29	1059.11	642.59	1030.12	529.06	511.0	1051.79
PBK	353.59	81.71	15.91	2.34	0.35	17.9	0.0	0.0	63.45	25.17	647.07	253.23	902.89	647.07	102.97	25.91	423.61
PDZD11	1936.53	1794.29	563.18	647.07	414.87	571.05	624.99	555.41	909.17	819.3	1467.37	1457.23	1477.58	1991.0	1295.13	791.35	1437.15
PHTF2	108.9	90.14	50.27	55.1	45.53	45.85	48.52	61.68	136.19	156.59	507.46	251.48	195.72	450.94	417.77	177.53	368.65
PITPNC1	248.0	275.28	260.38	269.6	314.17	205.5	224.97	167.9	1015.93	275.28	4210.15	2758.13	2777.33	4066.71	2104.58	633.73	4038.61
PKP1	3.003205688E7	2.49061716E7	1.06	0.0	0.0	0.0	4.46	0.95	2133.97	17.0	334.46	182.55	112.77	273.37	1111.82	57.89	40.64
PLK1	307.69	146.03	21.01	11.55	8.13	34.51	12.64	30.34	164.42	147.06	981.29	559.28	1896.65	1119.56	647.07	124.37	1088.92
PLK4	170.25	86.43	22.59	16.15	3.14	6.94	3.2	8.45	52.45	35.5	145.02	146.03	297.17	297.17	72.52	23.93	231.32
PRR11	595.34	58.3	11.64	3.44	1.48	10.63	5.77	3.17	42.41	38.67	373.81	134.3	738.29	373.81	246.28	42.11	262.2
PSRC1	251.48	89.51	44.89	8.32	14.56	17.38	101.54	17.77	56.68	68.55	202.66	150.17	532.74	307.69	256.78	85.22	283.05
RACGAP1	1417.35	239.52	62.56	22.1	23.42	37.85	15.56	38.95	204.07	256.78	1250.98	563.18	1651.0	1081.39	651.58	164.42	802.41
RAD51AP1	358.54	58.71	25.54	8.99	2.14	31.0	3.08	16.27	31.9	44.89	403.5	198.47	620.67	281.09	199.85	46.84	193.01
RNASEH2A	1259.69	363.56	153.34	169.07	92.7	234.57	115.97	146.03	271.48	356.05	688.78	571.05	2367.9	1001.93	718.08	395.18	1259.69
RNF183	75.11	0.46	3.59	0.0	0.0	0.0	0.87	5.23	5.82	10.79	224.97	376.41	170.25	384.34	432.53	118.43	327.56
RNFT2	12.55	5.54	8.92	5.92	2.81	8.0	2.1	0.0	24.28	9.93	128.79	127.0	414.87	395.18	301.33	48.52	115.16
RP11-345J4.5	559.28	665.29	231.32	275.28	96.01	283.05	199.85	99.43	327.56	209.84	698.41	836.53	890.44	825.0	764.36	429.54	785.88
RPS6KL1	18.16	13.22	56.68	6.78	17.13	18.7	9.85	18.56	185.11	25.91	532.74	105.89	136.19	379.04	500.46	140.04	470.14
RRM2	1437.15	220.32	66.18	10.24	13.72	86.43	6.21	10.08	289.02	110.43	1572.76	476.71	4181.07	2555.58	1628.26	122.64	1397.83
SAPCD2	493.56	157.68	3.14	3.14	3.08	3.89	1.6	4.78	74.06	23.25	368.65	135.24	743.43	547.75	323.03	90.14	248.0
SGOL1	97.36	21.94	11.3	4.58	2.89	15.91	4.28	3.96	15.0	3.89	115.97	67.59	251.48	190.34	78.89	17.9	85.82
SKA1	185.11	28.45	3.63	0.56	0.55	2.84	0.0	0.0	24.63	10.39	180.02	55.89	115.16	161.02	94.01	12.55	138.1
SKA3	96.68	40.07	5.11	3.06	0.97	10.0	0.0	0.79	36.79	6.06	189.02	94.01	177.53	221.86	85.22	20.26	132.44
SLC25A39	4769.75	5555.65	2935.74	2777.33	2032.85	2777.33	2895.31	2367.9	3018.3	1909.85	4802.93	5633.22	7642.41	6079.61	3146.52	3716.2	4869.99
SLC38A8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	954.43	177.53	21.32	559.28	591.22	6.01	454.09
SNRPG	2796.65	1709.26	1487.87	2255.7	1277.29	1977.24	2400.97	1242.34	2895.31	1617.0	3768.09	5292.48	6607.01	5555.65	4066.71	1781.89	4869.99
SPAG5	332.14	138.1	143.01	325.29	214.27	249.73	109.66	111.21	236.21	74.06	1023.0	733.19	1617.0	1662.49	583.07	163.28	638.15
SPATS2	587.13	961.07	85.22	49.21	50.27	69.03	37.59	52.08	332.14	450.94	1008.9	336.79	483.38	665.29	738.29	332.14	476.71
SPC24	339.14	52.82	10.24	16.63	5.32	33.3	6.46	5.68	57.49	33.54	209.84	116.78	376.41	356.05	190.34	27.44	212.78
SPC25	105.15	32.59	7.4	4.17	5.15	23.76	1.51	4.7	25.17	14.78	229.72	128.79	395.18	220.32	111.99	28.45	162.14
STRA6	429.54	796.86	2.39	0.0	0.0	0.0	0.0	0.0	23.25	36.27	860.08	395.18	22.75	915.51	1519.15	136.19	36.27
TACC3	1447.15	318.57	120.1	110.43	28.65	156.59	71.5	67.59	220.32	173.85	791.35	854.13	1709.26	981.29	791.35	444.72	1104.13
TMEM210	0.0	28.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.74	9.27	1.2	12.18	5.23	0.0	3.59
TOP2A	1225.22	400.71	38.12	15.68	28.24	39.79	7.82	2.25	198.47	191.67	2645.74	1159.07	4903.87	4869.99	902.89	108.14	2434.5
TPX2	698.41	187.71	33.54	33.3	29.27	44.57	17.0	22.1	111.21	56.28	878.17	435.55	2271.4	1286.18	457.25	67.59	713.11
TROAP	366.09	144.01	23.93	12.93	9.41	32.82	6.52	11.38	78.34	29.06	1008.9	759.08	1183.45	1143.1	409.15	92.7	1167.14
TTK	208.38	59.55	15.11	1.16	0.6	1.83	0.0	0.0	18.43	15.8	232.94	73.03	218.79	180.02	62.56	13.42	121.79
TUBB2B	191.67	193.01	6.89	59.97	9.41	100.13	77.25	25.35	73.54	53.95	2351.53	974.5	2956.17	2417.67	2645.74	265.87	1721.16
UBE2C	1651.0	559.28	37.32	21.47	7.82	84.63	9.06	1.51	260.38	98.04	2287.2	2224.63	6471.02	4181.07	1477.58	218.79	4607.24
UBE2T	521.76	152.28	50.63	19.68	16.03	33.78	7.69	0.0	389.72	82.87	1733.13	1167.14	1909.85	1331.57	825.0	152.28	1183.45
UMODL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.63	7.75	1066.48	320.8	780.44	665.29	563.18	33.78	769.69
VPS37C	599.49	423.61	100.83	98.73	81.71	119.26	78.34	101.54	441.64	493.56	651.58	738.29	693.58	688.78	693.58	503.95	624.99
WDFY4	2.78	26.67	69.03	21.78	7.69	19.68	6.89	8.0	175.07	96.01	1159.07	595.34	723.08	595.34	1923.14	366.09	1159.07
