	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.RC.A7SF.01A.11R.A352.07	GTEX.145MF.0826.SM.5QGQA	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
HIST1H1T	0.0	0.0	1.03	16.63	12.27	8.19	5.15	17.38	2.94	3.76	9.56	0.0	11.73	1.19	0.0	0.0	2.41	0.0	0.0	0.0	0.0
HIST1H2AI	33.78	10.08	84.04	218.79	884.29	138.1	215.77	941.27	1437.15	32.82	85.82	37.59	289.02	221.86	0.0	0.0	0.0	30.78	4.24	0.0	0.15
HIST1H2AM	32.82	16.03	39.79	82.29	279.14	14.24	115.16	134.3	264.03	97.36	88.88	37.85	71.5	343.89	9.56	26.47	13.12	29.91	3.44	0.0	0.13
HIST1H3H	59.55	13.62	214.27	651.58	1322.37	180.02	457.25	1199.98	2485.67	76.71	156.59	93.35	473.41	743.43	2.29	45.53	23.42	90.14	14.35	0.0	0.32
HIST2H2AA3	154.42	108.14	166.73	555.41	551.56	511.0	684.02	981.29	620.67	351.14	189.02	460.44	703.28	194.36	137.14	180.02	48.52	21.01	33.3	0.0	0.06
HIST2H2BE	607.87	884.29	2502.97	8134.41	4095.0	1832.01	1991.0	8078.22	9151.82	1250.98	1175.27	3395.89	3794.3	2573.36	155.5	228.13	105.15	223.41	59.97	0.0	0.44
HSDL1	480.04	293.07	253.23	567.1	723.08	660.68	389.72	961.07	703.28	246.28	463.65	336.79	651.58	525.39	120.94	185.11	61.25	55.89	73.03	0.0	0.43
KAT7	656.11	543.96	748.61	1806.78	1819.35	1259.69	848.22	2319.15	1551.09	684.02	884.29	780.44	866.07	1397.83	63.89	134.3	153.34	224.97	175.07	0.0	0.6
KIAA1549	67.12	41.52	47.84	110.43	121.79	115.97	49.56	212.78	96.01	75.11	80.57	63.89	66.65	123.5	12.27	3.92	3.06	0.0	4.43	0.0	0.27
MBTD1	148.09	145.02	214.27	395.18	748.61	229.72	348.71	723.08	246.28	195.72	236.21	169.07	264.03	241.19	18.7	44.89	96.68	115.16	87.03	83.45	84.04
METTL2A	447.82	260.38	318.57	738.29	693.58	575.03	470.14	713.11	587.13	392.44	567.1	587.13	647.07	684.02	329.84	153.34	158.79	145.02	205.5	0.0	0.41
MEX3C	336.79	256.78	368.65	540.19	624.99	363.56	265.87	591.22	387.02	226.54	373.81	332.14	500.46	518.15	177.53	134.3	64.8	95.34	67.12	0.0	0.37
MKL2	183.82	587.13	1051.79	420.68	555.41	633.73	748.61	1143.1	476.71	669.92	1977.24	358.54	575.03	228.13	15.8	23.76	29.7	35.5	14.14	0.0	0.11
MKS1	426.57	406.31	329.84	934.76	775.05	607.87	341.51	842.36	698.41	312.0	638.15	208.38	591.22	595.34	51.35	98.04	128.79	137.14	111.99	0.0	0.0
MTMR4	299.25	283.05	387.02	860.08	1340.84	802.41	536.45	1457.23	688.78	387.02	884.29	438.59	607.87	1208.34	53.19	113.56	161.02	323.03	563.18	251.48	159.9
NOL11	967.76	743.43	728.11	1340.84	1104.13	1397.83	1015.93	2664.15	1369.04	733.19	1519.15	753.83	1857.6	1508.65	204.07	470.14	679.29	429.54	587.13	0.0	0.16
PPM1D	155.5	223.41	191.67	265.87	647.07	273.37	221.86	1044.52	432.53	156.59	239.52	239.52	381.68	327.56	28.45	44.25	61.68	67.12	42.11	0.0	0.06
PRKCE	24.46	11.38	37.85	73.03	155.5	91.41	33.54	297.17	129.69	60.39	100.13	111.21	228.13	150.17	93.35	57.08	31.45	20.56	49.56	0.0	0.02
PTRH2	693.58	728.11	753.83	1870.53	1757.34	1066.48	1096.5	1857.6	1583.71	921.88	921.88	638.15	1437.15	1991.0	327.56	1135.2	733.19	603.67	674.59	0.0	0.0
RADIL	61.68	5.87	35.5	237.86	532.74	74.06	54.33	441.64	36.53	113.56	164.42	11.55	82.29	353.59	1.58	2.66	1.14	7.28	8.13	0.0	0.35
RAPGEF2	218.79	232.94	346.29	295.11	536.45	473.41	269.6	547.75	320.8	255.0	277.2	234.57	281.09	466.88	70.51	101.54	237.86	269.6	103.69	0.0	0.56
RNF43	170.25	127.89	260.38	1088.92	890.44	759.08	98.04	1896.65	660.68	59.55	674.59	532.74	1259.69	543.96	9.2	100.13	66.18	142.01	51.35	0.0	0.04
RPS6KB1	291.04	361.04	395.18	669.92	1407.55	633.73	518.15	1617.0	775.05	486.75	660.68	332.14	660.68	728.11	82.87	114.36	297.17	154.42	178.77	0.0	0.54
SCAPER	218.79	128.79	142.01	293.07	480.04	236.21	177.53	339.14	320.8	143.01	256.78	236.21	279.14	429.54	139.07	82.87	109.66	214.27	113.56	0.0	0.27
SMG8	336.79	237.86	228.13	525.39	1015.93	483.38	307.69	988.12	607.87	258.57	738.29	334.46	624.99	759.08	18.97	81.71	47.17	90.14	92.7	0.0	0.0
SP4	37.85	36.53	35.25	93.35	95.34	69.52	38.67	102.25	56.28	50.98	69.03	42.41	34.02	87.03	19.68	6.57	13.22	16.75	24.99	0.0	0.15
SPAG9	348.71	316.37	497.0	1030.12	1304.15	1073.91	693.58	2090.03	674.59	392.44	525.39	414.87	647.07	583.07	113.56	161.02	253.23	223.41	318.57	0.0	0.53
SPAST	109.66	99.43	145.02	180.02	283.05	202.66	145.02	253.23	185.11	161.02	214.27	183.82	214.27	206.94	18.84	58.3	48.52	59.97	74.58	0.0	0.24
SPATA20	1183.45	486.75	1242.34	2701.35	2502.97	1508.65	738.29	5006.93	2758.13	915.51	1540.37	802.41	1322.37	3146.52	389.72	441.64	860.08	1044.52	368.65	0.0	0.61
SPOP	981.29	1208.34	1313.23	2591.27	2090.03	1378.57	1191.69	3212.66	1551.09	961.07	1037.29	1183.45	947.83	1685.71	122.64	470.14	435.55	406.31	429.54	769.69	264.03
SUPT4H1	3303.0	2451.44	3280.18	6471.02	9088.59	4639.29	3212.66	8134.41	8078.22	2701.35	4671.57	3303.0	5219.6	8363.13	4769.75	2178.83	1896.65	2133.97	2400.97	0.0	0.88
TAF7	1794.29	2004.85	2537.92	3491.39	3124.78	2178.83	1757.34	4095.0	2133.97	1909.85	2627.46	3491.39	1350.18	3124.78	316.37	819.3	1208.34	1015.93	503.95	0.0	0.64
TGIF1	1883.54	1950.0	1745.2	2133.97	2104.58	1605.83	1259.69	5751.61	1437.15	1427.22	4066.71	1909.85	3639.7	1540.37	231.32	748.61	500.46	1008.9	748.61	0.0	0.58
TLK2	591.22	480.04	559.28	1135.2	1350.18	909.17	579.04	2061.24	1199.98	521.76	1135.2	595.34	1081.39	1167.14	55.1	185.11	194.36	108.14	122.64	444.72	361.04
TOB1	2591.27	1359.57	2502.97	8363.13	14361.31	6745.86	4268.94	13776.25	3124.78	3768.09	2400.97	3716.2	3614.55	5954.47	339.14	1295.13	3081.75	2997.45	1008.9	384.34	1066.48
TRIM36	293.07	15.91	16.63	1001.93	848.22	351.14	10.71	1183.45	66.18	575.03	656.11	171.45	669.92	1015.93	1.17	0.68	7.06	0.0	2.25	0.0	0.09
TRIM37	432.53	379.04	490.14	921.88	1242.34	915.51	551.56	2224.63	825.0	480.04	1001.93	366.09	759.08	1111.82	109.66	111.99	81.14	84.04	90.14	0.0	0.53
UBE2Z	1674.06	1250.98	1870.53	3257.52	4450.27	3212.66	1977.24	5255.91	3303.0	1388.16	3146.52	1437.15	2434.5	3168.41	400.71	466.88	406.31	381.68	638.15	1135.2	108.9
UFC1	5403.7	3742.05	2627.46	2537.92	6561.36	5041.77	4639.29	8479.89	5517.27	3690.52	5329.3	6164.49	4419.52	9025.81	2609.3	2417.67	1457.23	2119.22	1819.35	0.0	0.88
UTP18	872.1	1268.46	1088.92	2061.24	2240.11	1721.16	1417.35	4239.45	1819.35	995.0	954.43	660.68	890.44	1662.49	603.67	371.22	384.34	249.73	285.03	0.0	0.67
WNK4	289.02	20.86	199.85	1697.45	305.55	301.33	884.29	1721.16	329.84	5.02	1151.06	212.78	81.71	78.34	3.47	2.68	32.36	2.25	13.42	0.0	0.13
ZNF652	612.11	483.38	738.29	1529.73	2609.3	764.36	854.13	1950.0	1183.45	1008.9	1135.2	775.05	1605.83	2061.24	119.26	400.71	595.34	376.41	476.71	149.12	73.54
