	TCGA.AO.A12G.01A.11R.A10J.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.P4.A5ED.11A.11R.A28H.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.CC.A3MA.01A.11R.A213.07	GTEX.145MF.0826.SM.5QGQA	GTEX.QESD.2026.SM.447BI	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	TCGA.38.4625.01A.01R.1206.07	GTEX.11OF3.1726.SM.5GU5Q
ASGR1	17.13	21.78	14.35	5831.91	1295.13	8901.53	11267.44	17927.91	25530.66	0.0	58.3
ASGR2	19.39	2.58	2.94	4671.57	1388.16	37639.55	40062.48	57448.23	21026.65	0.0	11.73
BAAT	0.39	0.64	0.66	2163.77	624.99	19482.97	23820.89	10959.3	25530.66	0.0	0.34
C19orf80	6.46	8.51	22.1	320.8	301.33	2090.03	1359.57	4123.49	3212.66	0.0	21.47
C2orf72	295.11	132.44	195.72	1350.18	934.76	3280.18	2018.8	3124.78	2061.24	0.0	379.04
C5	72.52	60.82	51.35	1651.0	412.0	6121.9	3928.15	3235.01	10659.59	0.0	57.89
C8A	0.0	0.34	0.0	46.84	371.22	12415.75	3443.31	6652.97	3018.3	0.0	0.96
C8B	0.37	0.0	0.33	94.67	1617.0	21468.49	7857.29	15499.21	4328.55	0.0	0.26
C8G	9.7	10.71	11.55	2104.58	909.17	31215.04	49322.93	142439.51	4543.8	0.0	21.47
CCDC152	46.5	100.13	69.03	1369.04	497.0	1111.82	2004.85	5041.77	1417.35	0.0	143.01
CCL16	3.23	1.64	2.97	37.32	111.21	8658.09	2434.5	1350.18	12589.08	0.0	7.34
CFHR2	0.0	0.0	0.0	74.58	1151.06	78476.96	12676.65	17681.08	39510.91	0.0	1.87
CFHR5	0.0	0.0	0.0	5.23	73.54	3955.48	921.88	143.01	2997.45	0.0	0.0
CPB2	0.0	0.0	0.0	3982.99	633.73	28328.16	14065.74	15715.58	16727.26	0.0	0.0
CYP1A1	2.29	21.47	163.28	854.13	64.8	9673.69	866.07	4639.29	6607.01	0.0	1.25
CYP2C8	0.0	2.94	7.94	830.75	1001.93	56265.94	38430.46	77396.54	52135.28	0.0	15.0
CYP2D6	32.36	40.36	12.83	1519.15	1388.16	5913.33	8598.28	135693.24	9540.5	0.0	30.12
CYP7A1	0.0	0.32	3.53	22.92	33.78	791.35	305.55	1119.56	941.27	0.0	1.62
DEPDC7	15.68	16.51	31.67	86.43	67.12	4419.52	1369.04	1143.1	3847.29	0.0	75.64
F13B	0.0	0.0	0.0	14.89	102.25	9215.48	7749.1	7642.41	7857.29	0.0	0.0
F9	0.0	0.0	0.0	13.03	231.32	26067.14	4512.4	7433.4	14663.09	0.0	0.0
FGA	0.0	3.63	0.0	8479.89	30999.42	329517.51	58655.36	146444.06	108699.57	0.0	1.11
FGG	0.0	3.96	5.36	14065.74	35856.82	273275.14	48643.87	88291.3	95286.54	0.0	0.59
FGL1	0.0	8.65	15.91	583.07	2417.67	63742.91	9344.14	37121.34	25354.3	0.0	0.38
FMO3	77.25	29.7	38.95	7642.41	616.37	30572.63	21172.91	24490.61	99333.0	0.0	28.65
FOXA2	0.0	6.89	2.56	466.88	348.71	2090.03	819.3	1417.35	1417.35	0.0	0.0
GCKR	4.35	1.01	0.38	406.31	571.05	1769.57	1096.5	2148.82	6381.92	0.0	5.28
GPAM	58.71	63.89	195.72	1233.75	102.25	3443.31	3018.3	1674.06	3212.66	0.0	129.69
GPT2	185.11	234.57	285.03	1304.15	334.46	18304.63	5954.47	1561.89	8658.09	0.0	591.22
HAO1	0.0	0.61	1.27	1015.93	351.14	58655.36	35363.15	19082.0	29943.43	0.0	1.11
HFE2	0.0	0.97	0.0	18.16	85.22	6294.04	18052.61	5403.7	12415.75	0.0	5.32
HPR	0.0	0.0	2.34	5441.3	669.92	63302.6	17927.91	4010.71	102125.66	0.0	3.35
HSD17B6	221.86	37.59	29.48	1427.22	595.34	109455.64	36106.23	52497.92	29124.6	0.0	361.04
INHBC	0.0	2.84	0.65	303.44	67.59	769.69	753.83	1111.82	177.53	0.0	3.86
ITIH4	24.11	78.34	76.71	909.17	4639.29	56265.94	33922.56	15392.14	47313.67	0.0	53.95
KLB	3.66	2.81	13.62	325.29	16.27	529.06	165.57	638.15	154.42	4.28	0.34
LEAP2	3.96	78.34	51.35	432.53	775.05	14065.74	2319.15	22225.61	11504.21	0.0	29.91
MBL2	0.0	0.32	0.0	11.3	132.44	8658.09	860.08	2720.15	7130.55	0.0	0.0
MYO7A	20.26	23.25	23.42	112.77	26.28	135.24	143.01	191.67	540.19	0.0	78.34
NR1I2	0.77	1.95	4.58	35.25	78.34	2271.4	1397.83	1135.2	6792.79	0.0	4.06
OR2K2	0.0	0.0	0.0	0.91	0.0	0.0	0.0	3.35	1.33	0.0	0.0
ORM1	33.06	0.0	0.0	10959.3	42054.3	331809.5	57847.82	110983.6	296977.71	0.0	67.59
PAH	4.28	120.94	120.1	12589.08	1015.93	56657.31	63742.91	58250.19	88905.42	0.0	28.24
PAQR9	0.0	0.0	0.33	100.83	12.36	214.27	466.88	146.03	656.11	0.0	3.29
PON1	4.66	0.0	3.89	164.42	921.88	144427.91	101420.22	29327.18	101420.22	0.0	55.1
PRKAB2	147.06	163.28	217.27	309.83	423.61	688.78	379.04	547.75	591.22	0.0	201.25
RDH5	24.28	152.28	194.36	941.27	220.32	5076.84	2351.53	2627.46	3716.2	0.0	167.9
RP11-125O5.2	0.0	0.0	0.0	3.69	2.36	0.0	11.64	0.0	46.5	0.0	0.0
RP11-595B24.2	0.0	0.0	0.0	57.08	23.59	120.1	64.34	147.06	127.89	0.0	0.0
RP13-672B3.2	0.0	0.0	0.0	19.53	0.0	20.11	47.84	79.45	15.56	0.0	1.64
SERPINA10	0.0	0.62	2.56	1359.57	215.77	5255.91	198.47	5711.87	2351.53	0.0	0.33
SERPIND1	0.0	1.28	0.0	5831.91	638.15	110216.97	56657.31	73730.83	32540.65	0.0	0.21
SLC10A1	0.0	0.0	0.65	82.87	194.36	47642.77	31432.17	38697.77	38164.99	0.0	0.0
SLC13A5	1.2	0.31	2.89	633.73	314.17	8538.88	2090.03	486.75	4181.07	0.0	3.56
SMLR1	1.13	4.78	3.26	327.56	43.32	1909.85	1508.65	748.61	854.13	0.0	0.0
SPP2	0.0	0.0	0.0	18.16	429.54	76330.98	77396.54	431797.89	14971.21	0.0	0.0
SULT2A1	0.0	0.0	0.0	2451.44	1008.9	64632.75	6381.92	42641.37	40341.14	0.0	0.0
TF	17.9	19.25	165.57	78476.96	9279.58	1739208.14	2279047.19	3007221.12	817012.28	0.0	150.17
TTR	4.94	47.5	42.71	3639.7	6607.01	1556634.79	2247670.86	649962.87	2111737.85	0.0	2.03
UGT1A8	0.0	0.0	0.0	1757.34	460.44	9088.59	5006.93	46986.85	4543.8	0.0	0.0
VTN	3.38	7.75	17.38	13033.07	14867.79	296977.71	355624.68	606436.73	101420.22	0.0	38.4
