	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.KN.8436.11A.01R.2315.07	TCGA.KN.8430.11A.01R.2315.07	TCGA.KN.8431.11A.01R.2315.07	TCGA.CJ.4900.01A.01R.1334.07	TCGA.CJ.4886.01A.01R.1305.07	TCGA.CZ.5464.01A.01R.1503.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.B8.4620.11A.01R.1758.07	TCGA.B0.4712.11A.02R.1503.07	TCGA.CJ.5689.11A.01R.1541.07	TCGA.CZ.5469.11A.01R.1503.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CZ.5457.11A.01R.1503.07	TCGA.75.5122.01A.01R.1755.07
C3AR1	28.65	102.97	46.18	20.11	13.52	753.83	414.87	674.59	1313.23	1745.2	753.83	22.43	95.34	23.59	432.53	103.69	3060.45
CASS4	5.02	7.28	10.79	3.41	3.92	26.47	27.25	59.97	189.02	85.82	67.59	3.96	15.45	7.51	54.33	9.34	199.85
CCR4	2.92	10.39	7.57	3.03	5.36	32.82	51.71	41.22	329.84	87.65	49.56	1.64	23.08	5.19	28.45	5.96	76.71
CCR5	70.51	87.65	9.7	4.1	3.0	470.14	314.17	265.87	1295.13	819.3	121.79	9.85	40.93	8.51	69.52	23.93	466.88
CCR6	6.06	208.38	5.92	4.43	3.89	152.28	27.64	264.03	28.45	171.45	77.25	10.16	40.36	4.9	51.35	10.63	102.25
CCR8	0.0	0.0	0.0	0.34	0.0	10.88	10.16	51.35	32.82	23.42	9.93	0.0	3.56	0.33	5.59	0.0	63.0
CD101	19.68	34.75	7.06	9.93	8.19	35.76	41.52	123.5	76.17	156.59	75.11	10.63	21.01	12.55	29.7	23.25	94.67
CD14	329.84	285.03	591.22	299.25	159.9	4903.87	2451.44	3820.7	4869.99	6516.03	2303.12	211.31	1001.93	358.54	1950.0	1143.1	14262.1
CD163	30.34	183.82	185.11	53.57	17.77	4298.64	1540.37	1242.34	1721.16	7857.29	1709.26	26.86	387.02	48.18	830.75	358.54	15824.9
CD226	0.49	1.66	18.43	8.85	13.22	37.59	46.5	49.91	138.1	153.34	63.89	3.96	21.78	10.47	70.01	13.03	102.97
CD28	2.66	12.83	15.56	5.11	8.38	46.5	61.68	59.55	303.44	147.06	81.14	2.29	18.97	6.52	67.12	15.0	201.25
CD300A	37.59	81.14	36.27	12.18	19.53	1096.5	366.09	679.29	1199.98	1135.2	316.37	23.76	100.13	25.54	166.73	125.24	1216.75
CD300C	1.83	13.12	5.59	3.76	0.3	98.73	83.45	130.6	161.02	218.79	49.91	6.31	32.59	3.96	42.41	22.92	291.04
CD300LB	4.9	0.77	3.5	0.68	1.2	42.41	14.45	37.85	121.79	62.56	81.71	3.29	35.25	1.97	20.56	12.36	98.04
CD300LF	6.73	20.11	3.86	3.79	2.43	198.47	86.43	122.64	244.57	567.1	111.99	7.63	16.27	1.33	49.91	8.78	450.94
CD33	23.25	57.08	22.59	17.0	11.64	343.89	236.21	251.48	476.71	429.54	190.34	19.39	53.19	22.26	152.28	40.93	909.17
CD37	84.04	384.34	99.43	26.67	26.1	1628.26	1183.45	1498.22	3372.43	4010.71	1417.35	71.5	651.58	30.78	1151.06	100.13	2739.08
CD3E	733.19	1233.75	63.45	12.27	16.27	1477.58	1001.93	1015.93	4066.71	2591.27	713.11	32.82	316.37	21.63	476.71	50.63	1662.49
CD4	144.01	255.0	120.94	50.63	52.08	1651.0	1322.37	1806.78	3419.52	3847.29	1175.27	86.43	379.04	90.14	872.1	138.1	5183.54
CD53	170.25	603.67	463.65	334.46	366.09	2976.74	1896.65	2591.27	5041.77	5633.22	1605.83	511.0	656.11	540.19	1175.27	555.41	5995.9
CD70	733.19	65.72	2.84	1.39	0.64	1183.45	624.99	5183.54	2119.22	1199.98	124.37	0.69	22.1	6.31	67.12	1.38	158.79
CD74	11745.96	13215.02	35363.15	25708.25	18819.27	251464.33	162489.97	248002.34	466008.55	320506.81	106462.55	33224.42	54349.29	26614.89	59063.35	35856.82	350728.68
CD86	23.42	65.26	18.43	18.29	10.24	669.92	232.94	444.72	981.29	1066.48	389.72	12.83	88.88	17.64	297.17	46.84	1605.83
CLEC10A	74.06	125.24	18.16	4.43	7.22	166.73	80.01	139.07	165.57	417.77	759.08	18.16	165.57	1.31	547.75	23.08	1331.57
CLEC4A	16.75	40.93	25.54	23.59	24.46	283.05	128.79	267.73	305.55	356.05	299.25	13.42	67.12	8.71	165.57	30.34	961.07
CLEC5A	13.42	33.3	8.51	3.86	1.87	148.09	20.11	50.63	77.79	112.77	153.34	7.06	34.02	4.7	42.41	11.91	579.04
CLEC7A	105.89	152.28	38.95	23.59	17.77	389.72	221.86	368.65	1143.1	1175.27	432.53	14.03	71.0	18.7	218.79	41.22	2468.49
CLEC9A	0.0	12.45	3.11	1.69	1.79	29.91	39.5	49.56	244.57	70.51	101.54	0.65	21.32	3.56	44.89	4.98	17.25
COL8A1	18.7	1.89	66.65	24.81	18.56	256.78	1008.9	1135.2	1313.23	1508.65	743.43	42.41	303.44	38.67	336.79	40.36	142.01
CSF1R	114.36	255.0	137.14	63.0	28.86	1639.59	961.07	1286.18	3168.41	2271.4	1037.29	64.34	348.71	51.71	872.1	287.01	4543.8
CSF2RA	7.0	48.52	20.71	60.39	10.0	275.28	115.16	199.85	507.46	435.55	236.21	23.93	35.0	21.16	111.99	36.79	878.17
CSF3R	18.7	24.99	52.82	14.56	18.84	473.41	146.03	295.11	961.07	698.41	175.07	7.28	73.54	4.5	76.71	21.63	909.17
CST3	6792.79	23009.42	13033.07	8598.28	7857.29	15180.22	11189.6	18304.63	25354.3	21617.82	19618.49	7485.11	13492.72	6792.79	12764.83	9606.86	30999.42
CST7	201.25	743.43	62.56	14.24	18.97	1745.2	733.19	1183.45	3955.48	1662.49	381.68	33.06	241.19	19.25	281.09	42.71	2520.38
CSTA	1.6409999923E8	5.121275984E7	20.26	10.08	4.94	493.56	161.02	283.05	417.77	738.29	289.02	17.13	71.5	10.08	172.65	37.05	928.3
CTSS	620.67	974.5	587.13	507.46	591.22	3716.2	3564.78	5076.84	13776.25	16843.62	2816.11	860.08	988.12	733.19	2224.63	1286.18	13306.94
CXCR3	285.03	206.94	5.59	1.71	1.51	275.28	189.02	229.72	511.0	417.77	64.34	7.22	37.32	0.99	41.52	4.35	260.38
CXorf21	6.41	3.96	4.54	3.08	1.83	130.6	71.0	120.1	193.01	185.11	134.3	3.99	31.67	1.0	43.94	6.06	201.25
DHRS9	18560.17	3372.43	2.81	3.44	0.61	119.26	52.45	51.35	40.36	162.14	42.11	4.31	12.64	0.0	20.71	8.38	435.55
DOK2	51.35	78.34	38.4	15.11	12.45	432.53	281.09	432.53	603.67	679.29	368.65	38.95	95.34	10.96	195.72	96.68	1819.35
EBI3	8.32	58.71	42.11	10.0	6.41	341.51	195.72	320.8	529.06	279.14	120.1	21.63	59.13	18.56	79.45	33.3	339.14
EVI2A	69.03	105.89	48.18	18.03	15.0	1073.91	432.53	511.0	1151.06	1369.04	902.89	15.8	135.24	11.47	698.41	78.89	1250.98
FAM26F	173.85	237.86	52.08	25.17	32.13	1397.83	1081.39	3018.3	5255.91	2384.37	902.89	90.14	131.51	48.87	669.92	153.34	3124.78
FCAR	1.43	0.0	5.68	7.94	2.16	25.17	3.59	9.48	42.41	12.45	27.84	1.03	5.5	1.35	1.25	1.71	128.79
FCER1G	273.37	555.41	473.41	130.6	96.68	10512.82	4239.45	8963.45	10808.41	13681.08	2609.3	295.11	848.22	212.78	1651.0	1104.13	21320.18
FCGR2A	24.63	88.26	165.57	54.72	41.81	3349.13	1183.45	1508.65	3639.7	5366.37	1397.83	80.57	327.56	81.14	854.13	299.25	7966.99
FCGR3A	42.41	52.08	137.14	31.9	44.57	5594.3	3467.27	4972.34	15075.35	8538.88	1594.73	115.16	323.03	52.82	674.59	314.17	9606.86
FERMT3	65.72	312.0	87.65	40.93	37.05	1745.2	587.13	1159.07	1963.57	1628.26	579.04	50.63	244.57	25.35	314.17	139.07	2520.38
FGD2	241.19	87.65	19.82	14.45	5.59	289.02	164.42	293.07	785.88	460.44	149.12	13.32	32.36	4.43	55.1	15.91	808.0
FPR2	1.48	2.92	8.06	1.73	2.14	35.5	7.82	11.3	69.03	67.12	33.78	3.0	6.52	3.96	13.42	10.08	199.85
FPR3	66.18	37.05	25.17	12.83	10.47	599.49	529.06	934.76	1331.57	1781.89	693.58	29.06	138.1	20.11	348.71	76.71	1477.58
GAPT	4.46	23.59	5.54	0.34	1.5	129.69	111.21	212.78	447.82	157.68	291.04	8.58	29.48	1.31	158.79	13.72	106.63
GLIPR1	12.27	41.22	133.36	65.26	49.56	579.04	547.75	825.0	1651.0	1561.89	703.28	43.63	339.14	78.34	647.07	141.02	1594.73
GMFG	94.67	896.64	521.76	279.14	406.31	3716.2	2915.45	2758.13	3639.7	4095.0	2520.38	241.19	921.88	379.04	1721.16	470.14	3982.99
GNA15	19754.96	16269.83	16.88	8.25	4.58	384.34	107.38	199.85	295.11	299.25	167.9	24.63	68.55	11.91	82.29	57.08	921.88
GPR183	55.1	170.25	37.32	23.08	13.52	878.17	191.67	353.59	1467.37	748.61	947.83	7.94	151.22	18.7	348.71	30.12	2271.4
GPR65	5.19	30.12	23.08	5.5	7.57	291.04	185.11	221.86	486.75	432.53	205.5	8.99	44.89	19.82	120.94	24.63	301.33
GPR84	19.97	8.38	7.82	1.41	1.55	103.69	16.88	81.71	90.14	59.97	30.78	2.36	17.25	2.36	18.16	11.3	551.56
GPSM3	193.01	379.04	226.54	161.02	135.24	1369.04	785.88	1051.79	2434.5	2032.85	890.44	208.38	397.93	163.28	454.09	334.46	2400.97
HCK	72.52	150.17	64.34	25.72	18.16	532.74	435.55	854.13	1359.57	1605.83	435.55	45.21	146.03	17.51	285.03	115.16	1963.57
HCLS1	70.51	441.64	236.21	111.21	93.35	2664.15	1844.76	1909.85	4388.98	3874.05	1697.45	155.5	607.87	167.9	902.89	267.73	3665.02
HCST	170.25	473.41	237.86	90.14	60.39	2178.83	1059.11	1806.78	4358.66	2537.92	2271.4	123.5	567.1	121.79	819.3	460.44	3614.55
HLA-DPA1	819.3	2627.46	5219.6	3928.15	1216.75	42346.82	36864.92	54349.29	111755.56	66912.05	27553.49	2018.8	9606.86	4869.99	20310.37	4481.23	92680.9
HLA-DPB1	353.59	3303.0	2255.7	2075.59	1350.18	28923.41	18689.27	28525.2	61571.56	37639.55	14971.21	2090.03	6079.61	2047.0	12502.12	3168.41	35118.87
HLA-DRA	2895.31	5672.41	10368.08	7230.1	5711.87	76861.91	50709.61	80683.28	152662.96	120609.84	42054.3	12244.81	16960.78	8840.04	37901.36	13968.57	169390.27
HPGDS	6.62	37.85	17.64	6.41	4.78	73.03	71.0	59.13	47.17	108.9	193.01	5.87	61.68	9.13	132.44	90.14	511.0
HSP90B1	4937.99	6607.01	8305.36	4769.75	5831.91	17197.56	11745.96	16960.78	13968.57	15075.35	22535.88	9673.69	13399.51	7537.18	9151.82	11267.44	10368.08
ICOS	10.0	54.72	0.36	1.04	0.31	40.64	21.32	33.06	94.01	53.57	18.97	0.34	3.63	0.0	7.34	1.03	105.15
IDO1	371.22	87.65	23.08	7.82	8.38	2591.27	915.51	1639.59	6471.02	629.35	287.01	47.84	95.34	4.94	208.38	90.14	961.07
IFI35	1088.92	146.03	532.74	563.18	497.0	1457.23	1350.18	1806.78	2148.82	1437.15	2061.24	708.18	830.75	507.46	902.89	902.89	2193.99
IL12RB1	29.48	9.06	7.4	4.82	4.28	161.02	150.17	170.25	547.75	297.17	67.12	9.63	22.59	5.32	60.82	13.22	334.46
IRAK3	1.91	42.11	28.04	8.78	9.63	73.03	85.22	43.94	134.3	166.73	116.78	12.55	37.59	18.16	65.26	17.51	1183.45
ITGAM	14.45	40.64	19.82	5.54	4.31	406.31	171.45	312.0	417.77	500.46	148.09	9.06	59.97	5.36	110.43	24.28	825.0
ITK	17.77	119.26	15.11	1.73	6.11	126.12	105.89	108.9	395.18	381.68	110.43	2.68	30.34	3.99	79.45	6.46	379.04
KCNB1	0.61	3.5	4.54	3.08	1.81	8.45	18.56	47.17	7.17	35.0	21.94	1.99	7.57	3.96	10.47	2.68	11.73
KIAA0226L	28.86	189.02	15.22	2.46	4.62	94.01	81.14	96.01	239.52	198.47	81.71	13.42	29.7	15.34	44.25	15.0	133.36
KRT6A	2.01760973986E9	2.41604469791E9	0.0	0.0	0.0	2.68	2.25	0.83	4.9	3.03	0.0	0.0	0.0	0.0	0.0	0.0	162.14
LAIR1	72.01	107.38	59.13	21.16	10.39	1407.55	764.36	1119.56	2485.67	3491.39	583.07	30.12	136.19	16.39	336.79	60.39	3515.68
LAPTM5	341.51	1030.12	476.71	116.78	212.78	9474.59	4512.4	7911.95	15715.58	20310.37	3540.14	211.31	1437.15	251.48	3564.78	902.89	14163.58
LAT2	29.48	130.6	52.82	26.86	31.0	612.11	332.14	733.19	1250.98	587.13	444.72	21.47	148.09	32.13	285.03	85.22	1015.93
LCP1	366.09	476.71	202.66	82.87	80.01	1781.89	1781.89	3515.68	6607.01	5366.37	1639.59	153.34	595.34	88.26	1487.87	426.57	6516.03
LCP2	69.52	120.94	102.25	69.03	76.17	1111.82	1191.69	1199.98	3589.58	3060.45	674.59	72.52	178.77	155.5	371.22	123.5	3874.05
LILRA1	3.96	2.89	11.13	3.06	1.81	38.95	50.27	54.33	105.89	99.43	65.72	9.27	24.28	2.94	29.91	18.43	68.07
LILRA2	8.13	15.91	27.44	4.5	6.73	108.14	93.35	228.13	164.42	371.22	96.68	13.62	32.59	10.96	76.17	51.71	109.66
LILRA4	0.0	16.03	0.0	0.0	0.29	19.68	33.54	44.57	161.02	366.09	90.77	1.95	12.45	0.0	30.78	6.31	17.25
LILRA6	11.73	6.16	11.13	7.75	1.89	163.28	62.12	75.64	281.09	435.55	63.89	7.17	17.9	0.71	45.21	12.45	651.58
LILRB2	7.82	16.51	28.04	13.52	5.54	521.76	211.31	293.07	854.13	616.37	172.65	22.43	64.8	17.64	74.58	36.01	1037.29
LILRB3	11.55	10.71	15.91	10.0	4.43	395.18	81.71	106.63	684.02	353.59	109.66	4.86	31.45	5.19	35.76	19.82	555.41
LILRB4	14.14	3.63	15.91	4.5	2.46	934.76	403.5	591.22	1832.01	2193.99	267.73	11.04	58.71	7.0	162.14	36.27	3820.7
LST1	173.85	395.18	265.87	98.73	63.89	2701.35	1268.46	2609.3	3540.14	3060.45	1519.15	154.42	466.88	95.34	1208.34	332.14	4239.45
LY86	51.35	107.38	24.28	13.62	7.51	603.67	480.04	665.29	1111.82	1909.85	514.56	20.71	136.19	19.25	356.05	44.57	769.69
MEFV	1.03	2.97	6.41	1.07	1.87	31.67	16.88	16.75	42.41	51.71	15.8	3.06	4.82	2.36	4.58	3.11	56.68
MILR1	1.89	37.59	11.04	1.07	5.23	162.14	103.69	248.0	232.94	283.05	146.03	9.78	40.36	9.06	51.71	25.54	371.22
MNDA	74.58	30.12	38.67	10.71	16.39	423.61	409.15	497.0	1175.27	830.75	559.28	19.97	104.42	12.93	336.79	53.57	1745.2
MS4A6A	234.57	684.02	173.85	83.45	49.56	4671.57	3372.43	4736.79	9808.75	11827.67	4181.07	94.01	764.36	70.51	3303.0	283.05	17317.18
MTHFD2	339.14	353.59	180.02	76.71	64.34	1096.5	384.34	665.29	909.17	1540.37	988.12	137.14	441.64	159.9	529.06	173.85	3515.68
MYO1F	36.79	72.01	59.13	22.43	19.25	698.41	346.29	540.19	1417.35	915.51	208.38	17.25	90.77	11.47	142.01	42.41	1096.5
NCF2	363.56	108.14	43.32	20.71	20.71	718.08	271.48	450.94	607.87	1457.23	406.31	43.94	99.43	14.67	281.09	82.87	2018.8
NCKAP1L	18.7	45.21	20.71	8.25	8.51	470.14	373.81	660.68	1628.26	1277.29	281.09	18.56	81.14	9.93	242.88	50.98	1331.57
NFAM1	9.85	24.81	19.68	11.38	7.34	189.02	75.64	108.9	262.2	320.8	65.72	21.01	41.81	6.31	31.0	25.35	256.78
NLRP3	7.4	17.13	15.68	9.2	3.59	120.1	67.12	87.03	246.28	115.97	161.02	3.96	16.63	3.59	48.52	20.71	493.56
NME8	0.0	33.54	3.2	0.36	5.19	53.19	11.47	14.03	41.81	43.63	35.5	4.7	3.66	0.0	10.31	1.71	78.89
NNMT	100.13	791.35	693.58	575.03	125.24	45386.27	32092.64	51417.5	26067.14	59474.18	26067.14	4639.29	9540.5	1073.91	8963.45	1088.92	16269.83
NOD2	1498.22	1806.78	6.06	2.12	4.62	111.21	30.78	84.63	241.19	87.03	19.97	2.05	16.03	2.03	14.35	5.15	137.14
OSCAR	35.25	98.73	17.38	5.92	6.16	262.2	55.49	117.6	125.24	327.56	96.01	14.45	31.22	9.7	42.11	24.46	665.29
P2RY12	7.46	9.2	3.79	2.36	2.39	21.32	69.03	143.01	57.49	64.8	108.14	1.64	16.03	1.62	48.52	8.99	323.03
PAK3	0.05	7.94	4.21	2.76	4.24	5.92	21.16	34.02	68.55	16.39	25.91	2.68	10.88	7.28	19.82	3.38	38.4
PDCD1	22.75	52.08	9.56	1.41	2.48	211.31	98.73	122.64	603.67	244.57	49.56	3.72	26.67	1.36	35.25	3.08	305.55
PDIA4	1540.37	1561.89	1304.15	896.64	921.88	3018.3	2061.24	2537.92	2956.17	3395.89	3874.05	1662.49	2502.97	1175.27	1963.57	1745.2	4388.98
PIK3R5	6.01	46.18	9.34	3.53	5.92	381.68	127.89	172.65	432.53	595.34	93.35	6.11	23.76	3.72	47.84	15.45	490.14
PKIB	96.01	124.37	38.4	26.28	43.32	190.34	141.02	373.81	759.08	154.42	470.14	34.26	127.0	42.11	140.04	28.65	728.11
PLB1	33.54	49.21	26.67	21.32	12.18	140.04	108.14	115.97	309.83	231.32	199.85	26.28	44.57	37.59	105.89	38.4	532.74
PLD4	75.64	25.91	24.81	11.73	10.71	206.94	156.59	363.56	1250.98	236.21	361.04	9.41	61.25	12.0	178.77	15.56	144.01
PLEK	28.24	106.63	35.76	20.26	20.41	460.44	540.19	854.13	1883.54	1605.83	476.71	35.5	91.41	16.63	285.03	60.39	2935.74
PLTP	848.22	2777.33	587.13	176.29	189.02	2591.27	2384.37	2032.85	1757.34	9151.82	5517.27	205.5	2417.67	351.14	2193.99	866.07	15499.21
PPIB	8963.45	12943.04	9673.69	8247.98	8598.28	22380.2	12676.65	16727.26	15499.21	16611.71	18052.61	10084.54	12676.65	9215.48	12244.81	11745.96	14163.58
PRAM1	18.16	45.21	20.41	7.06	15.45	154.42	81.14	113.56	224.97	178.77	82.87	8.85	38.4	3.06	31.0	13.42	157.68
PRKCDBP	118.43	688.78	417.77	185.11	361.04	1167.14	1806.78	1457.23	1388.16	1233.75	1023.0	231.32	638.15	236.21	571.05	361.04	441.64
PTCRA	0.0	0.0	0.0	0.0	1.51	5.11	7.46	10.55	23.76	60.82	8.92	0.0	1.45	1.66	1.62	1.68	45.85
RGL4	6.26	4.24	6.06	2.12	2.18	33.54	32.36	38.12	57.49	75.11	36.79	3.06	7.4	1.36	18.16	3.44	165.57
RGS10	2032.85	1159.07	275.28	111.99	98.73	2047.0	1233.75	2119.22	2875.3	2935.74	1617.0	177.53	624.99	157.68	1081.39	273.37	3190.46
RHOH	73.54	251.48	16.39	5.45	2.71	356.05	273.37	267.73	780.44	764.36	293.07	4.94	69.03	6.57	212.78	12.45	620.67
RNASE6	76.17	289.02	126.12	48.18	22.26	1857.6	764.36	1175.27	1340.84	2895.31	1896.65	37.85	412.0	74.06	1233.75	236.21	2664.15
SAMHD1	563.18	490.14	147.06	65.26	78.34	848.22	1183.45	1583.71	3303.0	2664.15	1295.13	143.01	460.44	109.66	878.17	221.86	2777.33
SCIMP	14.78	6.52	16.15	5.15	5.77	155.5	150.17	204.07	500.46	480.04	120.1	10.96	43.94	3.32	109.66	23.59	373.81
SDS	32.82	0.0	4.24	2.1	0.33	583.07	154.42	483.38	1340.84	1832.01	61.68	5.02	25.35	3.35	14.35	1.71	518.15
SEL1L3	423.61	211.31	297.17	285.03	220.32	1583.71	1159.07	1806.78	1561.89	2224.63	884.29	395.18	571.05	246.28	759.08	343.89	2451.44
SELPLG	133.36	226.54	59.97	17.77	17.77	1135.2	616.37	684.02	1175.27	1883.54	450.94	36.53	211.31	23.08	358.54	67.12	1397.83
SH2D2A	38.67	34.26	18.43	18.84	16.63	248.0	93.35	301.33	723.08	373.81	153.34	10.79	66.65	48.18	47.84	35.5	483.38
SIGLEC1	27.64	24.63	5.02	2.48	1.27	189.02	186.4	193.01	463.65	540.19	193.01	3.08	25.17	1.38	52.45	13.42	1015.93
SIGLEC10	12.83	26.1	11.3	5.15	4.24	432.53	217.27	309.83	808.0	669.92	164.42	11.04	43.32	5.63	80.57	18.03	1066.48
SIGLEC9	4.46	9.48	13.12	6.94	3.08	178.77	80.01	155.5	269.6	363.56	72.01	4.39	24.99	10.39	55.49	30.56	395.18
SIRPB2	4.46	16.39	18.16	4.9	4.66	156.59	61.68	124.37	256.78	262.2	103.69	5.11	18.03	4.06	49.91	9.63	291.04
SIRPG	69.52	264.03	1.41	0.0	1.81	205.5	127.89	260.38	708.18	379.04	82.29	2.66	23.76	1.66	38.12	5.06	507.46
SLA	27.84	110.43	91.41	14.35	26.1	764.36	435.55	447.82	1540.37	1794.29	563.18	23.93	141.02	42.11	353.59	98.04	1583.71
SLA2	14.35	75.64	5.63	2.07	3.06	229.72	78.34	132.44	323.03	260.38	46.5	3.99	26.1	2.66	29.27	4.39	293.07
SLAMF1	36.79	27.44	5.32	3.79	2.14	97.36	54.72	52.45	98.04	150.17	75.11	4.7	40.36	10.96	37.05	2.39	157.68
SLAMF8	34.02	48.52	22.43	4.24	4.7	638.15	348.71	656.11	1427.22	1896.65	236.21	18.29	87.03	3.76	180.02	51.71	2303.12
SNX20	37.05	59.13	7.4	3.11	4.54	289.02	186.4	314.17	669.92	511.0	114.36	9.93	61.68	2.32	77.79	24.99	409.15
SPI1	124.37	279.14	139.07	71.5	50.27	1870.53	733.19	1594.73	2682.69	2303.12	796.86	81.14	299.25	44.57	397.93	287.01	3690.52
SPN	74.06	218.79	15.68	6.84	11.13	269.6	262.2	376.41	1030.12	473.41	120.1	14.56	82.29	7.57	71.5	37.32	323.03
STAC3	71.0	80.57	12.93	11.91	6.21	185.11	86.43	175.07	269.6	246.28	78.34	8.19	26.1	8.45	34.75	18.16	307.69
TESPA1	7.94	11.13	8.06	0.0	3.96	88.26	127.0	130.6	314.17	177.53	97.36	2.68	27.84	1.99	45.85	10.16	151.22
THEMIS2	603.67	169.07	112.77	57.89	14.67	2075.59	470.14	775.05	2573.36	2835.7	1216.75	212.78	429.54	78.34	417.77	154.42	2956.17
TIGIT	40.07	52.82	6.62	1.03	2.71	197.09	106.63	231.32	429.54	297.17	130.6	2.32	48.18	2.63	43.63	3.35	323.03
TLR2	21.01	45.21	38.12	38.4	33.78	500.46	176.29	258.57	785.88	497.0	318.57	38.67	96.68	27.64	173.85	80.57	1066.48
TMIGD2	24.11	50.63	1.06	0.35	0.0	27.25	17.13	41.52	38.95	28.65	22.43	0.34	7.63	0.33	11.04	2.03	13.42
TMSB10	84109.6	84694.64	30785.28	22225.61	22225.61	163620.18	106462.55	155870.75	131071.0	120609.84	73730.83	30785.28	44761.41	31650.8	49322.93	43236.64	168220.2
TNFAIP8L2	19.68	89.51	34.26	7.11	11.13	348.71	293.07	514.56	521.76	563.18	249.73	24.81	82.87	10.47	153.34	93.35	708.18
TNFSF13B	141.02	80.57	19.82	12.18	11.04	295.11	241.19	480.04	974.5	995.0	204.07	14.45	60.82	5.73	178.77	40.93	1008.9
TNFSF14	5.28	4.54	2.53	0.73	2.18	217.27	51.35	148.09	68.55	107.38	24.28	3.41	20.71	1.04	11.64	2.78	53.57
TNFSF8	15.22	52.08	13.93	6.46	5.11	115.16	86.43	98.73	236.21	371.22	135.24	4.62	25.54	12.09	96.68	13.32	231.32
TRPC4	4.31	6.84	14.89	8.71	9.85	41.81	85.82	44.25	44.89	82.87	74.58	11.47	29.27	10.71	50.98	14.67	19.25
TYMP	33455.53	4607.24	212.78	113.56	64.8	4010.71	2451.44	2796.65	7331.05	3820.7	1417.35	366.09	713.11	72.01	647.07	327.56	5633.22
TYROBP	460.44	1088.92	713.11	277.2	214.27	14065.74	7081.29	13306.94	20593.91	21468.49	6840.04	356.05	1950.0	320.8	4066.71	1378.57	21172.91
XCL2	291.04	35.76	3.79	14.14	4.17	100.13	54.72	406.31	120.94	432.53	53.57	4.9	35.0	4.54	57.89	17.51	981.29
