	TCGA.L5.A4OF.01A.11R.A260.31	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.LN.A9FO.01A.11R.A38D.31	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.YEC4.0826.SM.5P9FV	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.21.5782.01A.01R.1635.07	TCGA.66.2777.01A.01R.1201.07	TCGA.VQ.A8E3.01A.11R.A39E.31	TCGA.HU.8243.01A.11R.2343.13	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.BR.8296.01A.11R.2343.13	TCGA.D7.8572.01A.11R.2343.13	TCGA.D7.6817.01A.11R.1884.13
HP	193.01	191.67	69.52	98.04	1.307221145E7	3.671840259E7	1.654623811E7	3.174442598E7	1.533154663E7	1.430483875E7	1.598261246E7	3.066309426E7	1.501602794E7	1.169995688E7	1.325469274E7	9307742.35	2.614442391E7	0.0	0.21	368.65	8901.53	22.26	63.45	35.0	47.17	941.27	26.47
IFT140	237.86	260.38	267.73	297.17	84.04	44.57	90.14	45.53	27.44	31.0	41.52	65.26	53.95	76.71	50.98	41.52	15.34	0.0	0.39	180.02	191.67	287.01	143.01	229.72	417.77	271.48	420.68
INPP5J	100.83	14.45	37.05	41.52	7.17	1.35	2.18	1.35	0.0	10.47	1.14	8.65	2.01	9.34	3.35	1.19	0.0	0.0	0.23	35.5	116.78	309.83	35.5	190.34	73.03	159.9	202.66
IQCF1	1.58	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.0	0.0	0.0	0.0	0.09	0.0	3.99	4.5	0.0	3.38	3.23	11.3	2.48
IQCG	165.57	269.6	323.03	181.28	110.43	52.45	48.18	75.11	79.45	85.82	59.97	60.82	40.36	66.18	87.03	49.91	37.32	0.0	0.12	368.65	902.89	226.54	181.28	323.03	287.01	191.67	104.42
KCNE1L	7.57	7.34	7.11	8.32	1.1	3.03	2.34	0.16	0.0	0.0	1.58	0.0	0.05	1.01	2.18	2.97	3.14	0.0	0.16	10.16	13.93	0.69	7.06	11.38	6.94	3.0	2.14
KCTD4	2.2	4.13	7.75	13.83	0.65	0.67	0.67	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	10.96	24.63	2.41	1.91	5.28	8.51	0.84	2.12
KRT73	0.67	1.73	2.16	4.35	0.6	0.0	0.04	0.0	0.0	0.03	0.04	0.0	0.69	0.41	0.0	0.21	0.82	0.0	0.21	9.13	2.71	1.07	0.53	2.63	1.22	0.52	0.19
KRT79	0.96	3190.46	8.71	11.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.79	32.13	2.46	5.23	12.55	0.34	0.31	3.41
KRTAP11-1	0.0	3.99	4.39	25.17	0.0	0.0	0.62	0.0	0.0	0.0	1.58	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	32.59	1.64	6.36	12.36	12.83	5.06	4.7	2.2
LCE1A	0.0	10.88	3.08	17.0	0.71	1.48	0.72	1.48	0.0	0.0	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	7.88	49.91	23.93	17.77	6.89	3.06	7.94	0.0
LCE6A	0.0	4.66	3.2	3.86	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	0.0	31.0	15.8	7.17	13.62	4.1	8.19	1.35	1.73
LDB1	1447.15	1757.34	1721.16	1594.73	293.07	133.36	297.17	353.59	154.42	373.81	229.72	297.17	287.01	93.35	191.67	137.14	137.14	0.0	0.62	1963.57	1081.39	796.86	486.75	624.99	954.43	1030.12	723.08
LELP1	0.0	12.83	0.0	68.07	1.45	0.0	1.35	0.0	0.55	1.57	0.83	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	55.49	6.57	19.82	27.25	11.73	21.47	8.0	8.85
LETM2	115.16	49.56	157.68	59.97	22.75	23.93	11.38	5.82	3.59	6.16	0.0	2.07	7.06	13.22	18.56	1.41	2.43	0.0	0.46	41.81	59.55	45.21	21.01	194.36	48.87	90.14	94.67
MCM2	327.56	1135.2	1268.46	1819.35	126.12	25.54	35.76	99.43	31.22	102.97	246.28	31.22	206.94	14.14	16.88	23.25	13.52	0.0	0.22	2303.12	1594.73	1119.56	651.58	1331.57	371.22	848.22	679.29
METTL9	1081.39	1540.37	1340.84	1977.24	267.73	384.34	476.71	521.76	186.4	379.04	327.56	301.33	275.28	211.31	224.97	139.07	124.37	0.0	0.74	1806.78	2400.97	1104.13	981.29	1909.85	1135.2	1651.0	1662.49
MICALCL	108.14	29.06	28.86	15.45	3.69	15.22	3.14	8.0	8.78	21.94	6.84	58.3	43.32	15.45	14.35	7.4	6.73	0.0	0.0	8.65	131.51	82.87	74.58	23.08	63.45	84.04	41.81
MYOZ3	14.89	33.06	11.64	116.78	1.46	1.16	7.4	3.76	0.0	3.06	3.53	0.08	0.01	1.39	0.39	0.96	0.43	0.0	0.06	25.91	22.26	26.67	61.25	24.28	47.5	31.45	13.93
NPTN	3235.01	3443.31	1304.15	3103.19	1051.79	1745.2	1159.07	1277.29	842.36	1286.18	1286.18	934.76	1286.18	638.15	884.29	591.22	583.07	1572.76	190.34	2720.15	3060.45	866.07	1662.49	2032.85	1844.76	3039.3	1605.83
NUTM1	1.6	16.75	0.99	5.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.92	4.7	8.45	16.39	5.92	11.82	3.99	6.16
OR10A4	1.13	1.23	1.53	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.2	1.69	2.23	5.5	3.72	1.43	1.33	0.52
OR10H1	1.5	3.32	2.56	13.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	7.34	14.89	5.92	8.51	6.11	6.84	4.7	4.54
OR51B5	5.87	0.39	0.0	2.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.62	0.0	0.0	0.03	3.32	15.11	2.58	1.6	7.17	0.0	3.08	0.0
OSBP2	121.79	45.53	74.58	70.01	0.88	1.28	34.26	84.63	4.21	7.51	13.42	3.47	6.62	11.13	10.39	3.56	4.03	84.63	149.12	73.03	327.56	29.91	80.57	64.8	48.52	136.19	64.34
OVCH1	5.45	2.36	5.96	9.41	3.23	0.48	1.45	0.97	0.0	2.63	0.46	0.0	0.43	2.23	0.93	0.0	0.49	0.0	0.0	0.17	8.71	1.51	0.65	3.5	0.0	1.1	1.99
PAPL	35.5	58.3	28.24	34.02	0.0	0.0	0.0	0.0	0.0	0.0	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	6.46	486.75	3.63	9.48	2.92	7.75	5.96	3.14
PDCL3	521.76	1191.69	559.28	1331.57	400.71	285.03	314.17	366.09	287.01	346.29	293.07	343.89	323.03	273.37	228.13	221.86	166.73	0.0	0.0	902.89	878.17	426.57	603.67	638.15	497.0	435.55	435.55
PISD	1199.98	674.59	647.07	961.07	305.55	193.01	361.04	265.87	309.83	400.71	358.54	264.03	256.78	239.52	325.29	260.38	151.22	0.0	0.69	647.07	1051.79	860.08	656.11	764.36	665.29	718.08	808.0
PITX3	0.6	2.05	0.64	5.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	10.88	60.82	4.58	3.56	0.72	6.94	2.12	1.36
PLAU	819.3	2739.08	1023.0	2468.49	29.27	28.86	76.17	45.21	22.1	58.71	18.56	28.24	11.73	24.99	16.39	21.63	9.27	0.0	0.95	2915.45	7180.15	406.31	2855.44	884.29	457.25	1832.01	384.34
PPT1	1259.69	6079.61	1313.23	2178.83	612.11	480.04	819.3	866.07	400.71	346.29	540.19	638.15	733.19	312.0	406.31	341.51	176.29	0.0	0.42	2367.9	3419.52	1322.37	1651.0	1540.37	1023.0	2148.82	1044.52
PROKR1	0.79	0.92	2.23	5.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	0.0	0.0	0.0	5.45	18.16	1.07	1.53	6.62	2.81	0.0	1.45
PRSS45	43.63	28.24	3.06	17.25	24.11	0.17	4.28	1.79	2.07	1.5	0.11	1.22	0.21	2.78	21.78	1.57	0.64	0.0	0.35	9.2	50.98	3.23	3.92	6.01	2.58	21.63	2.81
PSG6	1.48	0.62	1.36	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.64	3.92	1.75	5.02	6.41	13.62	2.71	3.14
PSMA8	26.86	1.45	5.41	10.63	2.25	0.0	2.34	0.0	0.0	0.0	0.0	0.0	0.0	2.14	0.0	0.0	2.43	0.0	0.0	2.78	6.62	2.84	4.13	1.07	8.13	64.34	2.12
PXN	4419.52	1870.53	1023.0	2434.5	384.34	285.03	473.41	507.46	327.56	423.61	406.31	373.81	438.59	239.52	373.81	262.2	239.52	0.0	0.95	1350.18	2004.85	1519.15	1662.49	2032.85	2104.58	2287.2	2720.15
RCN2	1127.35	1662.49	1044.52	1909.85	379.04	373.81	271.48	303.44	217.27	309.83	236.21	256.78	323.03	141.02	253.23	246.28	130.6	0.0	0.82	1331.57	2148.82	954.43	1268.46	1685.71	1104.13	1175.27	764.36
RNASE9	0.24	0.62	0.75	3.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0
SERPINB7	36.27	62.56	368.65	90.14	1.08	0.61	0.0	4.74	0.0	0.99	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.2	90.77	387.02	1.45	9.34	1.51	4.78	22.75	253.23
SPNS1	1216.75	1304.15	836.53	1313.23	559.28	336.79	497.0	529.06	366.09	417.77	429.54	429.54	397.93	400.71	358.54	493.56	389.72	0.0	0.56	1286.18	974.5	915.51	1350.18	1583.71	928.3	954.43	1757.34
TDRD12	33.78	5.82	7.51	22.43	0.0	0.2	1.85	0.0	0.16	0.15	1.17	0.22	1.58	1.68	0.16	1.53	0.74	0.0	0.15	6.73	1397.83	5.28	3.03	5.82	8.25	5.92	2.12
TEX37	2.14	0.0	1.55	8.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	8.99	1.75	4.58	5.54	1.35	1.48	2.32	2.71
TKTL2	11.04	0.57	1.89	10.63	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.66	0.0	0.54	0.0	0.48	0.0	0.0	0.09	10.47	7.51	2.68	2.1	4.28	5.06	0.49	1.23
TULP1	7.22	10.0	6.57	56.68	2.51	0.0	0.31	0.0	0.0	0.0	3.47	0.0	0.27	1.38	0.0	0.95	0.0	0.0	0.0	21.47	16.27	21.32	38.95	8.51	33.54	5.63	12.0
USP26	1.58	0.32	0.0	3.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.21	9.34	0.59	1.48	3.66	4.46	0.62	0.6
WDR3	373.81	1498.22	150.17	571.05	214.27	423.61	387.02	301.33	514.56	435.55	480.04	334.46	525.39	121.79	264.03	113.56	98.73	0.0	0.0	447.82	1104.13	381.68	780.44	271.48	291.04	848.22	406.31
WDR64	0.0	6.94	10.39	29.48	3.76	0.0	2.73	1.57	1.5	2.01	0.0	2.89	0.0	2.58	2.63	2.43	1.6	0.0	0.0	6.21	4.1	4.43	9.85	2.89	7.63	3.96	2.81
WFDC12	42.11	84.04	8.92	59.13	11.82	0.0	0.0	0.0	0.0	0.0	11.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.88	575.03	13.72	6.89	2.58	3.0	6.57	1.01
WFIKKN2	2.1	0.0	0.84	23.59	0.99	0.0	6.52	1.81	0.93	0.89	0.0	0.0	0.26	0.92	0.3	0.24	0.35	0.0	0.0	6.06	2.18	7.4	4.98	6.84	3.47	1.2	5.06
ZPBP	4.86	1.27	1.6	19.11	0.92	0.0	0.0	0.95	0.64	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.94	2.78	0.0	4.13	4.78	13.83	1.19	7.0
