	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.E9.A1N9.11A.71R.A14D.07
MAML2	185.11	94.67	50.27	106.63	69.52	35.5	6.67	63.89	46.5	71.0	9.13	70.51	53.95	358.54	414.87	525.39	358.54	412.0	473.41	525.39
MBD2	1794.29	1909.85	1457.23	2351.53	1135.2	1498.22	1605.83	1167.14	1745.2	2163.77	1529.73	947.83	1286.18	2627.46	2367.9	1757.34	2627.46	1794.29	2271.4	2591.27
MEIS2	78.34	94.01	49.56	149.12	76.71	49.91	15.22	94.01	75.64	61.68	22.43	154.42	36.01	232.94	444.72	397.93	232.94	339.14	320.8	450.94
MRC1	23.25	19.25	6.67	131.51	1.0	14.14	0.0	4.13	0.0	2.25	1.83	13.72	52.82	138.1	70.51	169.07	138.1	143.01	32.59	23.08
NACC2	161.02	86.43	151.22	244.57	181.28	153.34	65.72	90.77	64.34	127.89	197.09	87.65	124.37	289.02	221.86	264.03	289.02	239.52	175.07	176.29
NGFR	198.47	80.57	6.36	277.2	39.79	19.82	2.53	79.45	15.91	146.03	4.54	73.54	65.26	470.14	769.69	1001.93	470.14	579.04	470.14	441.64
NKX1-2	0.0	0.0	0.0	0.71	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	1.55	2.61	1.16	0.73	0.73	2.14
NSG1	115.16	33.06	2.86	53.95	7.69	2.18	1.36	27.64	7.0	32.59	0.0	7.28	20.41	149.12	381.68	447.82	149.12	237.86	236.21	193.01
NTRK3	63.45	41.52	5.32	143.01	38.95	24.99	7.51	18.56	2.51	26.67	1.85	48.52	17.51	271.48	117.6	190.34	271.48	153.34	417.77	142.01
PCDHGC3	249.73	320.8	264.03	460.44	256.78	122.64	154.42	156.59	154.42	246.28	147.06	265.87	211.31	480.04	813.63	723.08	480.04	521.76	493.56	551.56
PCNX	226.54	264.03	329.84	334.46	165.57	226.54	49.56	236.21	100.13	186.4	144.01	189.02	134.3	395.18	309.83	460.44	395.18	435.55	403.5	387.02
PDGFRA	432.53	316.37	110.43	429.54	143.01	114.36	4.74	173.85	20.26	246.28	5.68	141.02	135.24	819.3	1331.57	902.89	819.3	1030.12	1508.65	1073.91
PHACTR2	165.57	169.07	132.44	334.46	236.21	96.68	10.79	119.26	57.49	98.73	48.52	130.6	236.21	351.14	277.2	412.0	351.14	363.56	191.67	255.0
PKD2	279.14	193.01	136.19	351.14	190.34	111.99	14.78	120.1	32.36	249.73	96.68	114.36	127.89	567.1	536.45	759.08	567.1	769.69	624.99	679.29
PLTP	902.89	327.56	486.75	2163.77	387.02	264.03	320.8	351.14	256.78	624.99	260.38	463.65	559.28	3303.0	5441.3	4328.55	3303.0	4388.98	2178.83	2032.85
PNMA2	47.84	24.81	18.7	82.87	17.9	10.88	2.34	40.36	21.32	16.88	0.0	9.93	6.46	58.71	78.89	92.05	58.71	71.5	87.03	36.27
PRDM11	85.82	66.65	43.02	97.36	44.89	64.34	26.47	45.85	30.12	61.25	57.49	46.5	80.57	100.83	120.1	167.9	100.83	152.28	129.69	153.34
PROX1	17.9	9.13	2.27	53.57	3.44	1.28	0.29	3.56	0.95	1.66	1.27	1.89	10.16	33.54	52.82	63.89	33.54	89.51	81.14	59.97
PTCH1	49.21	33.54	18.84	87.65	31.45	8.99	4.17	22.92	87.65	30.56	9.85	15.56	16.75	131.51	119.26	173.85	131.51	159.9	163.28	215.77
RASA3	202.66	190.34	144.01	343.89	228.13	120.1	81.14	139.07	78.89	153.34	78.89	176.29	82.29	579.04	616.37	493.56	579.04	583.07	329.84	486.75
RGMA	79.45	43.94	37.32	327.56	61.25	14.56	20.41	41.52	256.78	61.25	2.68	88.26	50.63	412.0	866.07	529.06	412.0	409.15	802.41	503.95
SCGB2A2	1800541.22	1318073.06	1163466.92	1238359.56	1788103.97	1034138.94	1751305.3	2279047.19	1668359.93	1422501.74	96616.71	8805660.77	1578364.61	19892.37	115696.65	13968.57	19892.37	161367.56	41763.8	16611.71
SLC35G1	30.34	14.24	6.94	81.71	14.24	14.67	2.07	7.94	6.73	30.56	6.41	14.35	5.45	109.66	68.55	83.45	109.66	77.25	59.97	56.28
SOCS3	420.68	559.28	397.93	1313.23	214.27	318.57	158.79	305.55	46.5	291.04	447.82	450.94	236.21	1605.83	738.29	629.35	1605.83	1963.57	1233.75	1250.98
SPHKAP	2.36	0.55	0.0	5.41	0.0	0.0	0.0	0.0	0.0	3.92	0.0	0.0	0.25	5.96	21.01	32.59	5.96	9.27	12.83	6.94
SPRY1	450.94	1066.48	366.09	1487.87	620.67	371.22	80.01	518.15	571.05	1242.34	89.51	1151.06	878.17	2287.2	2468.49	2075.59	2287.2	3690.52	1628.26	2895.31
SPRY2	217.27	147.06	74.06	414.87	120.94	84.63	31.22	97.36	37.32	146.03	120.1	234.57	293.07	769.69	1769.57	902.89	769.69	995.0	1313.23	1191.69
SRSF12	3.79	4.35	4.58	8.0	2.84	1.66	0.89	2.66	2.25	4.35	1.0	4.94	1.06	23.76	19.39	16.27	23.76	16.39	20.11	12.55
STAB2	6.67	2.29	0.0	12.45	2.76	1.27	2.48	0.96	4.98	1.31	0.0	2.25	2.63	52.82	44.57	40.36	52.82	64.34	85.82	27.25
TCEAL2	88.88	4.43	0.0	173.85	4.98	0.0	0.92	11.21	2.63	21.47	0.0	0.84	4.78	84.63	124.37	232.94	84.63	208.38	102.25	126.12
TKTL1	2.66	1.35	1.0	6.31	0.37	0.34	0.0	0.0	0.0	0.0	0.0	0.39	0.68	6.94	3.5	5.63	6.94	6.16	6.11	1.46
TNN	101.54	63.89	13.32	154.42	16.63	19.68	2.32	71.5	7.0	37.59	1.03	3.14	71.0	138.1	211.31	138.1	138.1	111.21	202.66	164.42
TTC23	129.69	111.99	212.78	273.37	108.9	87.03	118.43	251.48	96.01	81.71	58.71	77.79	91.41	291.04	435.55	547.75	291.04	490.14	579.04	387.02
UTS2R	2.46	1.46	1.08	5.32	0.41	0.39	0.0	0.0	0.0	1.83	0.0	1.27	0.0	1.25	3.76	5.28	1.25	1.95	7.0	5.02
ZDHHC8	336.79	180.02	420.68	624.99	395.18	438.59	265.87	414.87	273.37	336.79	334.46	435.55	403.5	607.87	713.11	738.29	607.87	642.59	775.05	607.87
ZNF229	29.06	13.62	58.71	61.68	22.43	23.93	6.89	45.21	38.12	15.22	1.01	41.22	58.3	84.04	66.18	93.35	84.04	93.35	115.16	111.21
