	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CN.5366.01A.01R.1436.07	TCGA.KM.8639.01A.11R.2403.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.MH.A857.01A.11R.A355.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.YA.A8S7.01A.11R.A37K.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.A5GW.01A.11R.A27Q.07
SLC27A2	0.55	10.55	90.14	267.73	73.54	2178.83	420.68	293.07	493.56	3742.05	8658.09	5366.37	21026.65	7081.29	14262.1	7803.01	66449.85	0.0	0.0	77.79
SLC51A	81.71	128.79	123.5	149.12	123.5	1896.65	503.95	234.57	1467.37	3060.45	5672.41	2701.35	12764.83	4210.15	1950.0	45386.27	4010.71	0.0	0.59	743.43
SULT1A2	0.87	1.28	218.79	84.04	251.48	3146.52	242.88	65.26	571.05	7433.4	3372.43	3955.48	5006.93	1870.53	3146.52	5441.3	2627.46	0.0	0.27	22.75
SYBU	19.53	312.0	507.46	92.7	170.25	387.02	271.48	616.37	1127.35	3443.31	2701.35	3467.27	1757.34	329.84	1183.45	825.0	624.99	0.0	0.3	147.06
SYVN1	934.76	791.35	961.07	1259.69	748.61	1519.15	1447.15	1242.34	1883.54	3168.41	1923.14	1216.75	2384.37	2645.74	1605.83	1883.54	2609.3	0.0	0.92	1151.06
TFR2	4.06	2.23	3.17	16.39	1.68	12076.21	2555.58	423.61	8479.89	8022.41	3982.99	22380.2	19618.49	27363.16	107948.72	18689.27	38430.46	0.0	0.52	36.53
TMCO6	119.26	157.68	127.89	309.83	111.99	414.87	591.22	204.07	507.46	878.17	698.41	947.83	713.11	529.06	320.8	500.46	514.56	0.0	0.33	162.14
TMEM56	2.01	8.06	89.51	108.9	99.43	406.31	180.02	173.85	412.0	503.95	1208.34	1628.26	1519.15	457.25	1242.34	1769.57	3614.55	0.0	0.09	15.68
TMEM86B	18.29	66.65	87.03	193.01	38.67	417.77	241.19	107.38	209.84	387.02	1417.35	2796.65	1572.76	575.03	1487.87	4095.0	264.03	0.0	0.64	84.63
TSKU	3124.78	1268.46	629.35	5711.87	540.19	5711.87	1437.15	3124.78	7180.15	30361.44	6652.97	9344.14	27938.14	27745.15	10368.08	8840.04	37121.34	0.0	0.75	3665.02
TTC38	218.79	193.01	309.83	1127.35	441.64	1923.14	1191.69	1745.2	3690.52	9606.86	5711.87	4769.75	9673.69	3515.68	4210.15	3742.05	15075.35	0.0	0.68	201.25
UGT1A1	2.66	3.66	45.53	669.92	32.13	3847.29	1540.37	5255.91	4038.61	18689.27	32315.87	10659.59	19754.96	8598.28	6652.97	21172.91	27938.14	0.0	0.0	301.33
