	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A3FM.01A.11R.A21D.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.OIZI.0726.SM.2XCEI	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.X4LF.0426.SM.3NMB5	GTEX.YF7O.0726.SM.4W213	GTEX.YB5E.0626.SM.4VDSE	GTEX.T8EM.0226.SM.3DB7C
GABRA2	0.0	0.0	0.0	0.0	7.94	22.43	0.96	0.0	2.81	2.73	1.31	0.37	0.6
GALNT12	0.54	0.0	0.19	759.08	607.87	688.78	400.71	414.87	409.15	612.11	518.15	791.35	796.86
GALNT3	6.57	0.0	0.27	511.0	1388.16	902.89	507.46	392.44	318.57	400.71	521.76	1191.69	813.63
GLIPR1L2	18.97	0.0	0.0	13.22	129.69	25.35	24.99	27.84	39.5	87.65	52.08	40.07	44.25
HIST1H1A	0.0	0.0	0.0	0.0	5.63	1.39	1.79	0.0	2.43	3.32	0.0	0.0	0.0
INADL	92.05	269.6	320.8	303.44	607.87	665.29	314.17	303.44	327.56	381.68	381.68	356.05	466.88
INPP4B	6.84	0.0	0.58	81.71	142.01	138.1	90.14	32.13	26.67	92.7	42.71	31.9	103.69
INSL6	0.0	0.0	0.0	0.0	1.48	0.0	0.0	0.0	0.0	1.28	0.83	0.0	1.35
IPCEF1	3.66	0.0	0.38	5.92	1467.37	1769.57	669.92	684.02	1143.1	1407.55	1037.29	226.54	1487.87
KIAA1407	11.73	0.0	0.29	55.89	285.03	417.77	181.28	118.43	158.79	265.87	176.29	111.21	211.31
KIAA1598	285.03	0.0	0.38	281.09	808.0	633.73	470.14	497.0	525.39	547.75	638.15	753.83	728.11
KPNA3	94.67	0.0	0.26	187.71	555.41	444.72	334.46	368.65	348.71	332.14	490.14	329.84	497.0
LANCL1	208.38	0.0	0.37	142.01	567.1	764.36	392.44	283.05	287.01	470.14	403.5	258.57	438.59
LIPJ	3.76	0.0	0.0	1.27	25.17	8.0	5.82	5.36	13.32	19.11	3.17	3.89	3.59
LPGAT1	241.19	0.0	0.73	162.14	961.07	1119.56	450.94	486.75	688.78	769.69	647.07	915.51	1088.92
LPXN	118.43	0.0	0.44	253.23	392.44	486.75	258.57	199.85	185.11	392.44	271.48	199.85	223.41
LRP1B	4.9	0.0	0.0	0.42	1639.59	651.58	249.73	281.09	476.71	915.51	463.65	159.9	480.04
LRRC10	0.0	0.0	0.0	0.0	0.39	0.2	0.0	0.0	0.0	0.0	0.18	0.0	0.18
LRRC7	1.57	0.0	0.21	13.42	309.83	53.95	67.12	21.01	114.36	277.2	212.78	68.07	242.88
LRRIQ1	0.0	0.0	0.0	10.24	123.5	104.42	30.12	22.1	33.06	69.03	51.71	47.17	52.45
MAP3K4	136.19	0.0	0.78	177.53	583.07	503.95	334.46	346.29	358.54	463.65	346.29	323.03	318.57
MARK1	1.08	0.0	0.77	61.68	224.97	275.28	96.01	102.97	108.14	145.02	181.28	115.97	135.24
MED13	98.73	150.17	39.22	234.57	743.43	842.36	258.57	211.31	295.11	336.79	211.31	152.28	476.71
MEIG1	0.0	0.0	0.0	2.01	38.4	0.0	10.79	0.0	14.24	11.13	29.7	10.47	11.47
MIER3	92.05	0.0	0.4	42.71	320.8	343.89	150.17	149.12	169.07	215.77	206.94	142.01	236.21
MIPOL1	37.59	0.0	0.39	79.45	244.57	187.71	86.43	97.36	105.89	161.02	144.01	97.36	115.97
MIS18BP1	39.79	0.0	0.38	120.1	400.71	466.88	204.07	116.78	178.77	246.28	183.82	153.34	231.32
MPP5	150.17	0.0	0.39	135.24	769.69	902.89	397.93	470.14	536.45	567.1	555.41	547.75	738.29
MPP6	173.85	107.38	50.98	43.63	232.94	273.37	80.57	114.36	170.25	140.04	172.65	275.28	165.57
MSL3	176.29	0.0	0.72	283.05	575.03	629.35	450.94	379.04	361.04	447.82	376.41	423.61	500.46
MTMR8	0.69	0.0	0.15	13.42	24.11	10.16	13.83	15.11	12.55	28.24	21.63	17.13	25.17
NAPEPLD	133.36	0.0	0.19	122.64	555.41	406.31	209.84	255.0	275.28	414.87	314.17	356.05	329.84
NOV	13.32	0.0	0.02	371.22	928.3	429.54	392.44	373.81	323.03	387.02	1135.2	258.57	371.22
NRG1	7.06	0.0	0.33	123.5	555.41	583.07	18.29	81.14	96.01	256.78	114.36	397.93	199.85
OCM	1.93	0.0	0.04	1.89	20.56	9.48	3.63	3.17	2.97	13.83	2.63	2.05	6.36
OTOGL	0.0	0.0	0.2	0.73	6.78	11.55	0.11	0.0	1.27	1.62	8.71	0.0	1.41
PACRGL	45.85	0.0	0.39	153.34	656.11	872.1	381.68	325.29	423.61	483.38	381.68	318.57	435.55
PCCA	753.83	0.0	0.64	480.04	1250.98	878.17	796.86	775.05	559.28	1008.9	902.89	1304.15	718.08
PCGF5	406.31	0.0	0.66	211.31	825.0	967.76	587.13	579.04	454.09	559.28	559.28	860.08	698.41
PDHX	343.89	0.0	0.55	264.03	457.25	457.25	329.84	262.2	293.07	361.04	323.03	297.17	376.41
PHTF2	55.89	0.0	0.36	67.12	195.72	224.97	111.99	115.97	150.17	158.79	136.19	94.67	157.68
PLA2G2D	0.89	0.0	0.0	0.0	11.47	6.73	5.06	0.0	0.0	13.93	12.83	0.0	0.0
PYGO1	0.0	0.0	0.31	24.63	208.38	236.21	92.7	55.49	77.25	129.69	128.79	67.59	148.09
RAD9B	3.76	0.0	0.0	3.26	13.83	16.03	4.5	4.46	5.82	6.01	4.5	1.89	5.19
RASGEF1A	4.03	0.0	0.57	15.34	74.06	18.84	15.22	10.63	22.1	37.05	10.79	29.27	24.99
RGS5	162.14	698.41	346.29	1769.57	5479.15	4328.55	2075.59	395.18	2875.3	1733.13	1104.13	1561.89	3955.48
RICTOR	41.81	0.0	0.31	40.07	366.09	371.22	175.07	158.79	140.04	218.79	138.1	153.34	205.5
RNF103	426.57	0.0	0.54	228.13	633.73	651.58	432.53	323.03	361.04	490.14	420.68	387.02	403.5
RNF133	0.65	0.0	0.0	0.0	3.66	0.85	2.03	0.79	0.0	1.71	2.34	1.38	4.5
RNF170	81.71	423.61	260.38	215.77	1051.79	1191.69	532.74	500.46	575.03	748.61	629.35	629.35	633.73
SERTAD2	212.78	0.0	0.55	341.51	309.83	267.73	215.77	172.65	169.07	255.0	212.78	141.02	163.28
SHISA3	0.57	0.0	0.27	10.39	414.87	107.38	111.99	78.89	14.45	312.0	511.0	17.38	152.28
SLC30A9	152.28	0.0	0.48	406.31	1001.93	1295.13	688.78	753.83	748.61	764.36	860.08	748.61	909.17
SLC35A3	173.85	214.27	387.02	202.66	620.67	819.3	289.02	387.02	426.57	540.19	432.53	463.65	603.67
SLC35F1	0.0	0.0	0.09	4.74	48.87	82.29	11.04	0.77	5.06	43.94	14.14	7.17	5.73
SLC7A6	27.44	0.0	0.73	60.82	1313.23	366.09	532.74	791.35	473.41	595.34	303.44	514.56	967.76
SLC9A6	74.58	0.0	0.44	90.14	193.01	264.03	157.68	180.02	155.5	166.73	171.45	175.07	209.84
SMAD5	128.79	0.0	0.4	120.94	486.75	511.0	329.84	176.29	255.0	323.03	273.37	170.25	329.84
SP6	1.83	0.0	0.38	2.68	75.64	64.34	22.59	18.03	24.99	59.55	35.76	26.86	28.65
SPATA7	102.97	0.0	0.29	165.57	521.76	607.87	248.0	327.56	291.04	376.41	336.79	351.14	400.71
SRSF12	3.11	0.0	0.41	16.88	76.71	33.06	29.7	33.06	23.59	52.45	48.87	11.55	32.36
TAF8	183.82	242.88	275.28	231.32	532.74	441.64	348.71	381.68	426.57	497.0	387.02	457.25	389.72
TBCK	97.36	0.0	0.13	153.34	423.61	521.76	307.69	208.38	283.05	336.79	309.83	251.48	323.03
TBRG1	417.77	329.84	118.43	371.22	872.1	728.11	629.35	669.92	698.41	759.08	633.73	688.78	791.35
TCEB3CL	0.0	0.0	0.0	0.0	1.68	1.11	0.54	0.0	0.0	1.68	0.0	0.0	1.17
TET1	4.06	0.0	0.14	2.1	16.63	13.52	9.7	7.63	7.06	10.96	11.21	4.39	14.56
TMEM133	68.55	0.0	0.42	128.79	279.14	214.27	106.63	138.1	82.87	182.55	224.97	134.3	244.57
TPO	0.0	0.0	0.62	466.88	645473.24	66449.85	828417.36	716197.51	1078054.48	598087.73	919186.72	1890058.21	2111737.85
TRIM13	111.99	0.0	0.44	457.25	660.68	769.69	438.59	497.0	540.19	665.29	543.96	555.41	660.68
TRPC1	12.93	0.0	0.47	28.45	224.97	232.94	105.15	63.89	74.58	182.55	107.38	70.01	130.6
UBXN4	559.28	0.0	0.83	915.51	1963.57	2119.22	1304.15	1286.18	1437.15	1883.54	1467.37	1322.37	2271.4
URGCP	518.15	0.0	0.66	351.14	748.61	547.75	633.73	514.56	536.45	665.29	571.05	444.72	591.22
VAMP4	116.78	0.0	0.56	305.55	429.54	521.76	301.33	229.72	231.32	473.41	343.89	379.04	329.84
VIP	7.46	0.0	0.56	0.0	29.27	7.63	12.74	1.35	10.47	22.1	9.85	6.78	17.64
WDR78	19.97	0.0	0.0	62.56	195.72	260.38	103.69	62.56	134.3	178.77	138.1	99.43	217.27
ZBED1	173.85	0.0	0.48	165.57	239.52	211.31	209.84	201.25	176.29	229.72	214.27	234.57	239.52
ZC2HC1A	27.05	0.0	0.16	127.0	688.78	1051.79	267.73	234.57	283.05	373.81	289.02	242.88	307.69
ZFP36	3491.39	0.0	0.34	1477.58	13968.57	5329.3	4298.64	2796.65	5112.16	6294.04	5292.48	14663.09	6516.03
ZNF101	69.52	0.0	0.37	95.34	277.2	356.05	201.25	134.3	162.14	195.72	226.54	140.04	198.47
ZNF365	0.47	0.0	0.0	10.31	34.51	14.03	8.99	6.06	4.35	15.34	3.35	7.51	5.96
ZNF430	2.27	0.0	0.4	81.71	356.05	206.94	117.6	50.27	152.28	198.47	176.29	122.64	175.07
ZNF529	10.88	0.0	0.68	59.13	251.48	316.37	182.55	132.44	152.28	241.19	221.86	156.59	224.97
ZNF615	19.39	0.0	0.39	60.39	251.48	246.28	190.34	72.01	135.24	195.72	141.02	89.51	186.4
ZNF91	86.43	0.0	0.72	152.28	555.41	466.88	303.44	239.52	299.25	400.71	417.77	260.38	363.56
