	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.OXRL.0726.SM.3NM9A	GTEX.RM2N.0626.SM.48FD6	GTEX.P4PP.0726.SM.3NM9S	GTEX.Q2AH.1026.SM.48TZI	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.ZPU1.0826.SM.57WG2	TCGA.AG.3732.11A.01R.1660.07
CPNE4	32.13	24.11	2.89	5.36	5.11	7.63	1.28	0.39	1.22	0.0	0.0	0.0	0.0	41.81
CSRP1	311742.51	1645391.11	172949.54	938500.81	246289.25	88291.3	61571.56	77396.54	39785.74	1059.11	1594.73	2855.44	1199.98	220434.95
EPHB1	57.89	1498.22	31.22	147.06	28.86	14.56	8.19	14.14	4.06	0.66	14.56	25.17	19.53	579.04
FAM163A	31.9	81.14	1.93	9.13	19.82	12.09	15.11	1.27	1.73	0.0	2.14	0.6	3.66	38.12
FAM181B	55.49	130.6	38.67	47.17	36.27	19.11	14.35	6.73	17.38	0.0	0.0	1.23	0.0	71.5
FLRT1	113.56	343.89	56.68	194.36	72.52	33.54	18.03	8.58	10.47	1.16	1.31	1.3	0.0	229.72
FOXD3	94.67	197.09	74.06	105.15	50.63	23.25	32.82	7.34	9.48	0.0	0.0	0.67	0.14	277.2
GAP43	432.53	587.13	112.77	423.61	264.03	76.17	83.45	10.96	18.56	0.0	0.0	0.78	0.0	376.41
GLRA2	5.36	4.7	0.42	1.06	0.58	0.4	0.93	0.0	0.0	0.0	0.0	0.0	0.0	17.64
GLTP	1313.23	674.59	934.76	884.29	733.19	607.87	642.59	607.87	603.67	236.21	123.5	206.94	389.72	842.36
GNG2	1030.12	1359.57	334.46	490.14	256.78	149.12	182.55	92.05	81.14	22.59	47.17	76.71	104.42	1437.15
GPM6B	1051.79	1407.55	1519.15	2502.97	587.13	397.93	320.8	128.79	183.82	8.85	6.36	7.51	8.06	2758.13
GRIK5	559.28	1757.34	1437.15	1498.22	1059.11	339.14	358.54	269.6	275.28	0.0	1.68	1.66	1.95	743.43
HDGFRP2	981.29	1331.57	866.07	1073.91	808.0	848.22	854.13	878.17	718.08	547.75	571.05	665.29	409.15	1135.2
KCNAB1	291.04	665.29	49.91	70.51	94.01	67.12	69.03	45.21	18.16	2.61	2.29	13.42	11.64	147.06
KCNH5	1.68	4.58	0.64	1.43	1.55	0.42	1.58	0.0	0.4	0.0	0.0	0.0	0.0	3.03
LOXL3	155.5	249.73	348.71	264.03	162.14	92.7	112.77	80.01	68.55	7.46	13.42	12.27	7.88	301.33
LPAR1	665.29	698.41	1096.5	708.18	559.28	293.07	397.93	223.41	183.82	1.62	23.25	17.38	10.24	878.17
LPPR5	37.32	50.98	1.11	5.87	2.81	1.01	2.48	0.0	0.54	0.4	0.0	0.0	0.0	28.04
LRRTM1	78.89	194.36	61.25	121.79	33.54	17.25	27.64	8.0	26.86	4.62	1.19	7.28	0.0	148.09
MAGED4B	420.68	587.13	108.14	107.38	197.09	84.63	88.88	46.5	49.91	3.72	21.47	12.0	4.1	341.51
MAPT	194.36	1096.5	117.6	265.87	813.63	164.42	71.0	60.82	211.31	109.66	4.82	3.72	3.17	273.37
MMP17	104.42	144.01	127.0	180.02	175.07	81.71	45.21	27.84	77.79	3.86	21.32	24.63	1.45	198.47
MSTN	29.91	44.25	6.21	5.92	8.45	8.19	7.06	6.78	4.78	0.0	0.0	0.82	0.27	54.33
MYT1L	20.71	34.51	6.78	16.03	17.64	3.56	3.26	0.0	3.11	0.0	0.0	1.14	0.0	7.82
NIM1	36.27	109.66	20.71	37.59	26.28	24.63	18.7	26.1	14.78	5.02	6.67	1.28	2.61	38.12
NLGN3	63.89	144.01	105.89	140.04	63.45	50.27	45.21	22.75	33.54	1.89	1.57	3.35	2.89	148.09
PAQR6	154.42	242.88	59.55	152.28	124.37	57.89	39.22	18.84	33.78	3.29	12.74	10.24	1.55	223.41
PARD6G	146.03	361.04	136.19	221.86	141.02	91.41	131.51	85.22	105.89	69.52	28.04	38.95	18.97	236.21
PMF1-BGLAP	164.42	229.72	137.14	138.1	123.5	143.01	147.06	107.38	109.66	36.53	131.51	117.6	40.93	176.29
PNMAL1	78.34	476.71	93.35	120.1	75.11	36.53	30.12	57.89	32.59	0.0	1.53	5.5	13.93	102.25
PPAPDC3	255.0	490.14	567.1	607.87	373.81	148.09	130.6	136.19	125.24	6.67	1.36	8.13	8.58	228.13
PPP2R2B	248.0	343.89	73.03	125.24	112.77	51.71	57.89	32.59	17.13	0.58	2.25	6.16	7.22	281.09
PRRT4	68.55	157.68	59.97	23.08	163.28	9.85	16.75	8.99	2.94	0.8	3.2	6.52	0.77	46.5
PTOV1	2816.11	3639.7	2119.22	2591.27	2720.15	2417.67	2701.35	2400.97	2739.08	1721.16	2384.37	2400.97	1594.73	2627.46
RHOC	10154.69	7180.15	7280.4	8538.88	4298.64	7382.04	6983.79	5292.48	5366.37	2148.82	2777.33	3060.45	1991.0	6887.62
RP3-422G23.4	212.78	208.38	0.34	3.72	2.86	3.47	1.6	0.0	0.0	0.0	0.0	0.0	1.58	94.01
S100B	2682.69	3742.05	1088.92	2796.65	1242.34	669.92	392.44	159.9	307.69	6.06	9.7	14.24	17.9	3303.0
SAG	8.32	2.2	0.31	0.74	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.97
SERTAD4	163.28	470.14	56.28	63.0	36.53	27.05	26.1	19.39	13.12	0.48	0.0	0.51	0.0	309.83
SLC18A3	78.89	140.04	14.78	66.18	80.01	25.72	20.41	0.0	11.13	0.0	0.0	0.0	0.0	46.18
SLC22A17	866.07	1519.15	1295.13	1277.29	921.88	579.04	497.0	441.64	389.72	8.19	44.25	46.18	6.16	884.29
SLC35F1	83.45	139.07	149.12	307.69	97.36	27.05	35.76	11.73	13.52	0.95	0.59	0.0	0.0	201.25
SLC5A7	96.01	356.05	67.12	599.49	166.73	18.97	30.56	1.69	11.47	0.0	0.0	0.0	0.0	363.56
SMTN	109455.64	641014.63	93325.55	1034138.94	150561.19	29327.18	26248.46	34635.37	21768.19	255.0	239.52	346.29	166.73	110983.6
SYNDIG1L	7.06	12.18	25.54	25.91	1.95	3.79	9.56	8.0	2.41	0.55	0.0	3.06	0.52	7.34
SYT10	25.17	50.27	3.5	7.63	12.36	5.11	1.46	0.59	1.81	0.0	0.99	3.23	1.16	46.84
TCEAL5	64.34	100.83	48.52	52.08	49.91	20.86	16.75	15.8	13.52	0.0	0.0	0.65	0.87	76.71
TMEM130	187.71	265.87	31.45	99.43	108.14	55.49	66.65	6.67	12.55	0.0	4.43	0.6	4.5	181.28
TMEM257	1.36	5.06	4.74	5.41	1.55	0.32	1.33	0.0	0.64	0.0	0.0	0.0	0.0	0.0
TPM2	303217.87	1063212.58	663619.99	2392353.91	408505.64	132900.7	136637.07	128373.58	72213.45	392.44	126.12	303.44	131.51	209994.66
TSPAN11	493.56	981.29	325.29	674.59	241.19	127.89	101.54	58.3	78.89	1.41	4.94	9.78	5.28	693.58
UNC119	500.46	514.56	490.14	454.09	417.77	395.18	457.25	497.0	279.14	83.45	193.01	283.05	429.54	420.68
XKR4	36.79	155.5	88.26	265.87	36.79	13.12	7.88	5.45	7.88	0.0	0.0	0.0	0.26	371.22
ZBTB22	316.37	379.04	305.55	236.21	285.03	198.47	283.05	314.17	169.07	110.43	77.25	169.07	100.13	297.17
