	TCGA.BH.A0HF.01A.11R.A056.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CX.7086.01A.11R.2081.07	TCGA.KM.8639.01A.11R.2403.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.21.5782.01A.01R.1635.07	TCGA.21.1081.01A.01R.0692.07	TCGA.90.7767.11A.01R.2125.07	TCGA.51.4081.11A.01R.1758.07
PI3	1199.98	1656835.72	3901.01	221968.2	7.88	30.12	63.89	2451.44	70727.3	108.9	1467.37
PITX1	1437.15	163620.18	5913.33	3614.55	0.0	0.32	6.06	2047.0	3081.75	50.27	27.64
PKP1	718.08	3.003205688E7	6426.31	14262.1	0.0	0.61	1.04	5751.61	6207.38	48.18	120.1
POU3F1	4.46	1769.57	60.39	31.22	2.46	1.77	5.36	170.25	131.51	3.29	1.5
PPFIA3	173.85	1044.52	728.11	723.08	111.99	152.28	181.28	435.55	1457.23	185.11	212.78
PPP2R2C	84.04	13968.57	187.71	1519.15	1.57	0.0	0.0	68.07	476.71	2.32	6.36
PTHLH	361.04	3395.89	441.64	4704.07	3.47	1.83	4.82	5751.61	1008.9	30.12	88.88
PTPRZ1	599.49	6652.97	107.38	2351.53	0.0	0.0	0.0	563.18	1617.0	65.72	23.76
RAET1L	147.06	49322.93	81.71	341.51	0.0	3.76	3.96	264.03	444.72	0.0	6.41
RNASE10	18.56	6.57	42.11	395.18	2.56	3.03	2.1	25.17	223.41	3.17	3.89
RND3	444.72	4802.93	1104.13	4639.29	151.22	579.04	158.79	718.08	1277.29	669.92	591.22
RPL3L	2.12	3.99	35.0	8.45	0.32	2.36	3.69	29.7	34.75	0.66	0.69
S100A7	246.28	1.38765328462E9	12415.75	101420.22	0.0	0.0	0.0	1340.84	1073.91	5.59	84.04
SDR9C7	3.63	36106.23	85.22	1059.11	0.0	0.0	0.69	21.01	67.59	0.56	1.77
SERPINB12	2.73	69271.73	21.01	99.43	0.0	0.0	0.0	11.04	791.35	0.37	0.39
SERPINB13	173.85	5.413281112E7	1388.16	2004.85	0.32	0.0	0.0	363.56	2502.97	6.67	14.24
SERPINB2	361.04	2691538.19	620.67	2400.97	0.0	0.0	0.0	161.02	2303.12	16.63	39.79
SNAP29	836.53	1447.15	540.19	1037.29	693.58	470.14	429.54	1104.13	1883.54	473.41	476.71
SPINK7	2.39	288856.81	9.7	1208.34	1.23	0.0	0.0	29.48	80.01	2.76	6.01
SPRR1A	2209.26	2.4530476105E8	7911.95	118949.35	0.99	0.0	4.5	4769.75	24660.96	9.2	253.23
SPRR1B	1936.53	1.90877512245E9	27938.14	313910.86	0.0	0.0	0.0	8421.31	48643.87	12.55	366.09
SPRR2A	2720.15	1.0677509839E8	10296.45	239554.43	2.51	0.0	9.85	5555.65	65990.84	18.29	148.09
SPRR2D	532.74	6.572778255E7	5751.61	148488.36	0.65	0.0	2.07	1745.2	44761.41	4.82	92.7
SPRR2E	679.29	3.522264608E7	2335.28	170568.48	0.0	0.0	2.12	460.44	11504.21	3.96	120.94
SPRR2F	94.67	6516.03	45.53	35856.82	0.0	0.0	0.0	82.29	3716.2	1.06	12.45
SPRR2G	14.78	37639.55	145.02	26067.14	0.0	0.0	0.0	159.9	185.11	0.0	12.0
SPRR3	6121.9	1.58298451744E9	66449.85	96616.71	3.0	0.0	0.0	4869.99	63302.6	11.82	244.57
SPRR4	1.45	12244.81	177.53	5219.6	0.0	0.0	0.0	39.22	703.28	0.0	0.0
TENM2	36.27	4736.79	209.84	457.25	0.31	0.0	0.0	91.41	187.71	3.66	4.31
TMPRSS11A	110.43	6673442.71	253.23	1143.1	0.0	0.0	0.0	500.46	212.78	0.67	1.73
TMPRSS11B	18.56	84694.64	139.07	316.37	0.0	0.0	0.0	11.3	100.13	0.0	0.58
TMPRSS11E	204.07	4851500.88	256.78	6121.9	0.0	0.0	0.0	178.77	521.76	1.28	3.59
TSTA3	2997.45	4388.98	2061.24	3515.68	1111.82	1561.89	1721.16	2664.15	3955.48	1295.13	1709.26
TTLL12	961.07	7537.18	3190.46	3768.09	264.03	454.09	651.58	1313.23	2287.2	287.01	483.38
ZNF812	42.71	66449.85	44.89	896.64	10.39	1.75	9.93	361.04	571.05	42.11	5.41
