	TCGA.EK.A2IR.01A.11R.A180.07	GTEX.P4QT.0626.SM.3NMCP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.85.7698.01A.11R.2125.07	TCGA.77.7140.01A.41R.2045.07	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8362.01A.11R.2343.13	TCGA.BR.8588.01A.11R.2402.13
DOCK6	371.22	1167.14	0.0	0.16	703.28	287.01	1561.89	1685.71	1447.15	825.0
EHBP1L1	346.29	1697.45	0.0	0.97	791.35	209.84	2018.8	2255.7	1639.59	1427.22
EPSTI1	19.39	72.01	0.0	0.35	514.56	95.34	432.53	791.35	1044.52	836.53
FAM47E-STBD1	54.72	72.52	0.0	0.48	86.43	50.98	91.41	193.01	124.37	120.1
FBXO38	194.36	371.22	0.0	0.25	275.28	221.86	620.67	579.04	403.5	379.04
FCGRT	1991.0	2193.99	0.0	0.95	1674.06	1819.35	4639.29	5041.77	2997.45	4210.15
FFAR3	0.46	9.27	0.0	0.0	3.86	0.0	7.06	5.11	4.94	2.16
FHL5	4.54	39.22	0.0	0.24	18.43	0.97	217.27	141.02	57.08	51.35
FRY	53.19	181.28	0.0	0.38	115.97	64.8	536.45	246.28	198.47	194.36
FUT4	57.49	106.63	0.0	0.3	42.71	21.32	353.59	249.73	441.64	376.41
FYCO1	81.71	327.56	201.25	48.52	190.34	115.97	915.51	791.35	521.76	420.68
GDF15	172.65	775.05	0.0	0.43	547.75	1417.35	3639.7	470.14	5041.77	9474.59
GLYCTK	21.63	361.04	0.0	0.55	73.54	46.18	287.01	921.88	466.88	253.23
GRIN2D	4.13	5.68	0.0	0.33	14.45	15.68	118.43	169.07	366.09	251.48
HHLA2	2.61	246.28	0.0	0.0	7.46	11.73	291.04	438.59	323.03	172.65
HKDC1	1.46	178.77	0.0	0.0	5.45	2.34	287.01	514.56	368.65	264.03
HRH1	27.44	74.06	0.0	0.01	83.45	96.01	151.22	182.55	146.03	110.43
HSD3B7	43.32	221.86	0.0	0.26	246.28	136.19	503.95	543.96	854.13	540.19
IP6K1	202.66	616.37	0.0	0.57	361.04	279.14	764.36	759.08	642.59	450.94
IPO5	713.11	796.86	0.0	0.74	954.43	547.75	1639.59	2075.59	1963.57	1662.49
IQCE	118.43	186.4	0.0	0.54	141.02	105.89	447.82	412.0	1295.13	309.83
IQSEC1	107.38	361.04	157.68	118.43	234.57	106.63	1313.23	748.61	521.76	463.65
ISCU	1963.57	2645.74	0.0	0.93	2193.99	1883.54	3419.52	2537.92	2537.92	3235.01
ISX	0.0	0.0	0.0	0.0	0.0	0.0	71.5	135.24	128.79	43.94
ITGA1	46.84	152.28	0.0	0.61	305.55	105.89	1104.13	1304.15	1073.91	718.08
KALRN	40.07	759.08	0.0	0.67	275.28	83.45	708.18	529.06	769.69	493.56
KIAA1147	161.02	476.71	0.0	0.51	260.38	108.9	708.18	1073.91	665.29	299.25
KLF17	0.0	1.62	0.0	0.1	2.05	0.47	14.78	11.47	2.97	2.25
KRT20	5.02	39237.98	0.0	0.15	1.14	10.16	1407.55	4639.29	3742.05	674.59
LACC1	27.05	169.07	0.0	0.13	100.83	32.59	178.77	289.02	366.09	167.9
LIG4	29.48	132.44	0.0	0.39	99.43	39.5	193.01	267.73	197.09	146.03
LINC00346	3.56	11.13	0.0	0.02	8.85	3.38	30.12	20.11	71.0	20.41
LINC00999	12.64	21.63	0.0	0.42	54.33	14.89	115.16	85.22	81.71	42.11
LRRC31	0.0	2591.27	0.0	0.0	0.75	0.04	287.01	312.0	96.01	112.77
LRRC66	1.83	13.93	0.0	0.0	1.41	0.64	68.55	140.04	118.43	66.18
LY75	217.27	85.22	0.0	0.37	92.7	14.03	493.56	764.36	974.5	529.06
MAB21L3	0.0	85.82	0.0	0.13	1.17	8.25	4.28	3.96	32.13	1.2
MAFK	532.74	693.58	0.0	0.87	587.13	244.57	941.27	1151.06	2384.37	819.3
MET	503.95	131.51	0.0	0.07	559.28	262.2	638.15	1015.93	1477.58	287.01
METTL7B	7.63	63.0	0.0	0.0	8.85	2.53	162.14	438.59	713.11	271.48
MLLT4	693.58	4639.29	591.22	1457.23	629.35	262.2	1709.26	3060.45	1769.57	679.29
MNX1	0.0	119.26	0.0	0.22	4.06	2.97	100.13	738.29	356.05	204.07
MOGAT3	0.0	0.0	0.0	0.03	0.0	0.0	18.29	114.36	132.44	17.9
MPHOSPH8	220.32	547.75	285.03	201.25	490.14	486.75	967.76	1331.57	1051.79	1044.52
MUC5AC	1.11	4.102499906E7	0.0	0.0	1.06	7.51	1769.57	2468.49	60.39	1674.06
MVP	285.03	2895.31	0.0	1.17	1639.59	507.46	3564.78	4671.57	4802.93	2720.15
MYRIP	0.46	47.5	0.0	0.0	4.39	0.23	98.73	51.71	48.18	49.56
MYZAP	1.97	1870.53	0.0	0.13	17.77	17.38	23.59	143.01	214.27	79.45
NAPEPLD	92.05	151.22	0.0	0.19	127.0	105.15	269.6	486.75	454.09	249.73
NEURL1B	104.42	143.01	0.0	0.55	320.8	172.65	473.41	486.75	406.31	392.44
NFATC2	15.22	343.89	23.76	80.57	65.72	7.82	406.31	214.27	147.06	201.25
NUAK2	23.25	543.96	178.77	120.94	255.0	114.36	289.02	460.44	295.11	226.54
PARP3	27.25	473.41	0.0	0.66	208.38	144.01	444.72	713.11	559.28	241.19
PARP4	121.79	854.13	0.0	0.47	483.38	540.19	1135.2	2209.26	1427.22	1199.98
PBLD	14.67	244.57	0.0	0.32	49.56	10.55	728.11	2997.45	629.35	514.56
PCDHGA11	1.07	10.55	0.0	0.19	7.22	6.16	13.62	25.72	11.3	11.64
PCED1B	7.94	48.52	0.0	0.47	134.3	18.16	371.22	71.0	214.27	121.79
PDE8A	214.27	441.64	0.0	0.46	162.14	237.86	825.0	878.17	638.15	599.49
PDS5B	193.01	162.14	127.0	447.82	248.0	136.19	514.56	624.99	629.35	587.13
PER2	183.82	387.02	27.44	106.63	131.51	36.01	389.72	361.04	356.05	273.37
PIK3IP1	140.04	638.15	0.0	0.31	915.51	921.88	1119.56	1208.34	665.29	486.75
PLB1	9.63	64.8	0.0	0.38	52.82	21.16	66.18	76.17	68.07	65.72
PLCD3	209.84	1322.37	217.27	121.79	463.65	133.36	1769.57	1662.49	2178.83	902.89
PLSCR4	170.25	115.97	130.6	142.01	181.28	136.19	854.13	698.41	551.56	397.93
PTGER4	41.22	76.17	0.0	0.39	110.43	54.72	412.0	420.68	429.54	412.0
RBM26	271.48	532.74	229.72	226.54	447.82	215.77	896.64	1037.29	842.36	890.44
RDH13	423.61	1857.6	0.0	0.58	381.68	162.14	629.35	679.29	624.99	529.06
RDH5	15.45	231.32	0.0	0.66	49.56	38.67	156.59	176.29	120.94	182.55
REEP6	3.82	334.46	0.0	0.25	105.15	33.54	733.19	1551.09	1208.34	1304.15
RP11-867G23.8	5.96	371.22	0.0	0.0	31.22	5.15	166.73	234.57	356.05	209.84
RPS6KA3	995.0	376.41	0.0	0.56	466.88	248.0	759.08	860.08	775.05	420.68
SERINC5	110.43	305.55	0.0	0.19	314.17	346.29	551.56	947.83	934.76	583.07
SETDB2	48.52	72.01	0.0	0.19	91.41	37.59	205.5	234.57	244.57	128.79
SHROOM1	82.29	743.43	178.77	212.78	103.69	72.52	450.94	463.65	624.99	246.28
SLC16A5	148.09	791.35	0.0	0.55	242.88	32.59	397.93	563.18	595.34	169.07
SOWAHB	6.46	273.37	0.0	0.0	84.63	99.43	127.0	267.73	392.44	138.1
SOX30	46.5	1.07	0.0	0.04	0.68	1.85	6.78	12.0	49.91	3.56
SPATA13	10.79	277.2	0.0	0.58	181.28	36.53	723.08	1001.93	915.51	624.99
SPNS3	3.2	31.0	0.0	0.06	10.55	6.62	32.82	15.0	14.67	29.48
SUSD1	88.26	189.02	0.0	0.34	185.11	229.72	406.31	441.64	371.22	285.03
SYTL2	29.7	1111.82	0.0	0.62	339.14	82.87	1572.76	1119.56	1183.45	579.04
TBC1D4	126.12	242.88	0.0	0.25	241.19	98.73	497.0	186.4	507.46	395.18
TES	1135.2	1216.75	733.19	1023.0	1073.91	660.68	1651.0	1457.23	1498.22	1617.0
TH	9.85	85.82	0.0	0.1	0.43	0.43	2.84	1.62	12.09	12.55
TLR4	4.62	55.1	0.0	0.39	85.82	24.81	312.0	209.84	285.03	90.14
TM4SF20	0.33	31.9	0.0	0.0	0.0	0.0	127.89	447.82	480.04	226.54
TMC7	11.21	48.18	0.0	0.24	26.28	7.22	131.51	199.85	181.28	50.27
TMEM168	279.14	295.11	0.0	0.44	191.67	205.5	532.74	733.19	579.04	348.71
TMEM255B	35.5	221.86	0.0	0.68	162.14	49.21	420.68	285.03	134.3	693.58
TMTC4	172.65	123.5	0.0	0.57	264.03	96.01	457.25	791.35	454.09	583.07
TNRC18	511.0	941.27	543.96	285.03	896.64	293.07	2384.37	3146.52	5183.54	1322.37
TRIM21	339.14	221.86	0.0	0.21	595.34	115.97	507.46	400.71	435.55	521.76
TUBGCP3	277.2	189.02	0.0	0.65	351.14	142.01	395.18	420.68	473.41	457.25
UTP14C	94.67	138.1	0.0	0.0	134.3	47.5	307.69	438.59	417.77	363.56
VPS36	220.32	656.11	244.57	98.73	379.04	208.38	684.02	1242.34	1151.06	791.35
VWA5A	6.94	356.05	0.0	0.59	191.67	80.01	753.83	684.02	195.72	603.67
VWA8	71.0	119.26	0.0	0.39	128.79	57.49	241.19	327.56	346.29	301.33
WNK4	1.48	555.41	0.0	0.13	17.51	0.8	346.29	98.04	158.79	76.71
YPEL2	71.0	142.01	0.0	0.2	143.01	104.42	343.89	332.14	265.87	165.57
ZC3H13	202.66	318.57	0.0	0.39	325.29	156.59	902.89	921.88	802.41	854.13
ZNF621	41.81	150.17	0.0	0.48	76.71	52.08	291.04	242.88	186.4	143.01
ZNF852	16.39	30.12	0.0	0.33	23.59	14.24	155.5	113.56	90.77	98.73
