	TCGA.AC.A3BB.01A.21R.A19W.07	TCGA.A8.A07C.01A.11R.A034.07	TCGA.C8.A278.01A.11R.A169.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.E2.A15M.01A.11R.A12D.07	TCGA.C8.A132.01A.31R.A115.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.D5.6540.01A.11R.1723.07	TCGA.F4.6809.01A.11R.1839.07	TCGA.AD.6895.01A.11R.1928.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
DGAT1	1008.9	334.46	1066.48	1023.0	860.08	902.89	1135.2	1030.12	2664.15	3103.19	1457.23	0.0	1.08
DND1	7.63	2.16	2.12	0.0	1.6	2.48	10.96	4.9	7.63	7.82	13.93	0.0	0.42
DQX1	5.77	3.29	7.88	113.56	4.28	9.13	371.22	72.01	267.73	379.04	12.55	0.0	0.59
DVL1	559.28	363.56	258.57	57.89	181.28	518.15	1023.0	825.0	1540.37	1561.89	2417.67	0.0	1.07
EFHD2	1561.89	260.38	575.03	236.21	733.19	836.53	1135.2	915.51	2255.7	2997.45	2682.69	0.0	0.72
EML2	915.51	305.55	187.71	441.64	684.02	669.92	2255.7	1757.34	1135.2	1617.0	1540.37	0.0	0.87
ERN2	1.01	0.65	0.0	0.0	1.04	2.56	217400.14	263966.36	2720.15	2351.53	2835.7	0.0	0.0
ETHE1	1322.37	379.04	902.89	638.15	674.59	1127.35	1388.16	1104.13	1183.45	2367.9	2193.99	0.0	0.69
FAM129B	2104.58	1594.73	1023.0	503.95	780.44	2468.49	4038.61	3690.52	3146.52	2148.82	4066.71	0.0	0.59
FAM19A1	1.58	0.0	0.34	0.0	0.65	1.03	5.41	2.29	5.87	0.93	10.47	0.0	0.0
FAM65A	713.11	146.03	289.02	267.73	457.25	1096.5	909.17	579.04	780.44	967.76	1378.57	0.0	0.91
FCHSD1	293.07	41.81	103.69	67.12	190.34	151.22	327.56	275.28	454.09	500.46	299.25	0.0	0.97
FUT2	228.13	4.46	3.76	19.97	173.85	34.02	2400.97	2502.97	1088.92	934.76	132.44	0.0	0.0
FXYD3	10512.82	928.3	6887.62	9215.48	11035.54	13776.25	223512.12	184082.4	18560.17	12502.12	14765.09	5633.22	954.43
GCNT3	11.13	52.45	2.46	1.5	9.06	10.47	4450.27	4543.8	8778.97	8.13	3039.3	0.0	0.11
HDAC10	567.1	76.17	153.34	68.55	211.31	320.8	1127.35	1030.12	909.17	961.07	928.3	0.0	0.96
HTR1D	3.26	1.58	4.31	3.08	8.0	17.25	11.91	0.0	112.77	105.15	134.3	0.0	0.1
IGHMBP2	220.32	273.37	193.01	183.82	277.2	198.47	329.84	283.05	713.11	525.39	813.63	0.0	0.62
IKBKG	624.99	267.73	406.31	189.02	267.73	381.68	961.07	435.55	693.58	842.36	738.29	0.0	1.01
INSC	4.03	1.28	2.61	0.0	1.04	3.32	43.02	18.97	13.83	14.67	36.27	0.0	0.05
ITGB1BP2	21.32	7.63	8.92	5.96	9.06	14.67	52.08	45.85	50.98	49.91	92.05	0.0	0.49
IZUMO1	16.03	0.74	0.0	1.71	2.97	0.45	12.64	14.89	4.54	9.06	45.53	0.0	0.68
KIFC3	387.02	111.99	98.73	22.59	146.03	279.14	1340.84	718.08	1936.53	473.41	1487.87	0.0	1.08
KLHL17	100.13	51.35	47.17	24.63	43.02	140.04	358.54	164.42	483.38	361.04	642.59	0.0	1.22
KLK10	180.02	51.71	9.63	8.78	61.25	151.22	4038.61	4210.15	518.15	563.18	5913.33	0.0	0.28
LMF2	1023.0	366.09	529.06	368.65	373.81	759.08	2004.85	1498.22	2104.58	1191.69	1540.37	0.0	1.07
LPCAT4	583.07	173.85	293.07	314.17	490.14	384.34	2319.15	603.67	1304.15	1111.82	1081.39	0.0	0.71
MADD	575.03	316.37	258.57	620.67	579.04	389.72	713.11	647.07	728.11	651.58	1001.93	0.0	0.8
MAFK	486.75	98.73	101.54	36.79	138.1	273.37	769.69	547.75	1151.06	1119.56	1857.6	0.0	0.87
MEGF6	612.11	37.59	141.02	19.97	150.17	256.78	493.56	307.69	713.11	616.37	802.41	0.0	0.8
MIB2	599.49	202.66	98.04	63.45	111.21	316.37	813.63	928.3	1594.73	1883.54	1331.57	0.0	1.16
MICALL2	579.04	32.36	211.31	68.07	176.29	854.13	2004.85	1572.76	2451.44	2075.59	2255.7	0.0	1.28
MINK1	802.41	490.14	426.57	371.22	595.34	1250.98	1870.53	1242.34	1397.83	878.17	1721.16	603.67	232.94
MISP	279.14	0.38	163.28	371.22	218.79	314.17	14065.74	20451.65	563.18	358.54	9279.58	0.0	0.34
MLXIPL	101.54	0.42	2.07	0.75	37.32	5.54	5711.87	7081.29	353.59	988.12	753.83	0.0	0.32
MMP15	450.94	47.17	329.84	21.63	381.68	432.53	718.08	500.46	915.51	669.92	1477.58	0.0	0.42
MNT	275.28	185.11	88.88	69.03	121.79	256.78	334.46	293.07	417.77	379.04	555.41	0.0	0.84
MOB2	866.07	420.68	389.72	305.55	463.65	460.44	1023.0	819.3	1397.83	1781.89	1216.75	0.0	0.49
MUC4	3.79	3.59	1.93	0.67	2.86	8.25	184082.4	72213.45	684.02	76.71	624.99	0.0	0.25
MUC5B	466.88	323.03	323.03	23.76	1427.22	43.02	5.923719433E7	3.066309426E7	9606.86	595.34	4181.07	0.0	0.0
MUS81	802.41	599.49	738.29	234.57	493.56	703.28	813.63	723.08	1277.29	1508.65	1159.07	0.0	0.72
MUTYH	320.8	124.37	262.2	104.42	197.09	215.77	457.25	503.95	775.05	738.29	928.3	0.0	0.79
MVP	4210.15	454.09	1397.83	1191.69	1870.53	2451.44	4388.98	2682.69	4512.4	6079.61	7280.4	0.0	1.17
NAT6	363.56	37.32	156.59	122.64	131.51	212.78	503.95	389.72	406.31	587.13	325.29	0.0	0.51
PELO	190.34	214.27	305.55	220.32	242.88	301.33	271.48	291.04	808.0	493.56	961.07	0.0	0.47
PHC2	1794.29	802.41	1561.89	733.19	1233.75	2224.63	3212.66	2335.28	2997.45	3349.13	3614.55	0.0	0.48
PIM3	1819.35	486.75	848.22	234.57	406.31	902.89	2417.67	2855.44	3280.18	1936.53	3820.7	0.0	0.64
PLD2	579.04	199.85	265.87	295.11	325.29	447.82	759.08	620.67	780.44	486.75	497.0	0.0	0.61
PLEKHM1	423.61	269.6	177.53	237.86	220.32	271.48	447.82	503.95	381.68	332.14	748.61	0.0	0.83
PPP4R1L	49.56	46.18	39.22	23.93	62.56	72.52	104.42	151.22	145.02	154.42	356.05	0.0	0.71
PRKCDBP	1242.34	89.51	224.97	92.7	218.79	607.87	1498.22	909.17	1963.57	1073.91	1923.14	0.0	0.55
PRR5	669.92	55.89	237.86	91.41	165.57	305.55	1651.0	1870.53	299.25	551.56	1167.14	0.0	0.67
PXN	1561.89	389.72	708.18	2224.63	909.17	3395.89	2591.27	1857.6	1331.57	2255.7	3124.78	0.0	0.95
RCCD1	145.02	152.28	120.94	201.25	84.63	137.14	186.4	197.09	521.76	289.02	753.83	0.0	0.38
RNF207	201.25	9.56	29.91	8.51	45.85	127.89	1639.59	854.13	351.14	358.54	373.81	0.0	0.83
RP13-996F3.5	2.94	0.78	2.07	0.78	2.68	1.66	28.24	14.24	12.55	12.83	16.75	0.0	0.44
RRAS	2319.15	241.19	660.68	629.35	866.07	813.63	4268.94	2319.15	2915.45	6164.49	5112.16	0.0	0.72
SBF1	540.19	366.09	384.34	89.51	269.6	612.11	656.11	769.69	1015.93	1397.83	1639.59	521.76	249.73
SBNO2	1191.69	363.56	511.0	170.25	283.05	836.53	988.12	616.37	2502.97	1143.1	1561.89	0.0	0.47
SCO2	896.64	248.0	780.44	241.19	366.09	796.86	2335.28	1350.18	902.89	808.0	1175.27	0.0	0.41
SELO	463.65	130.6	271.48	80.01	150.17	281.09	819.3	748.61	708.18	651.58	656.11	693.58	314.17
SFI1	403.5	178.77	221.86	84.04	307.69	249.73	638.15	486.75	665.29	688.78	669.92	0.0	0.84
SFXN3	764.36	172.65	612.11	329.84	656.11	665.29	1909.85	1295.13	1208.34	1487.87	1191.69	536.45	698.41
SH2D3A	595.34	81.71	152.28	75.64	173.85	289.02	1936.53	1359.57	1304.15	890.44	6381.92	0.0	0.44
SH3RF2	149.12	6.11	9.63	18.03	18.7	38.4	616.37	733.19	307.69	571.05	256.78	0.0	0.57
SKOR1	5.63	1.1	0.88	3.06	1.19	4.66	22.26	14.67	10.71	9.93	7.88	0.0	0.14
SLC12A4	476.71	176.29	206.94	151.22	297.17	490.14	591.22	651.58	1111.82	947.83	1135.2	0.0	0.89
SLC35D3	1.28	0.61	2.81	5.32	1.0	0.71	19.39	0.0	63.89	52.45	37.85	0.0	0.01
SLC6A20	2.43	1.03	4.21	1.99	7.75	12.18	896.64	1175.27	37.85	98.04	251.48	0.0	0.0
SPACA4	0.71	0.99	1.16	3.82	7.69	2.61	366.09	316.37	67.12	60.39	74.06	0.0	0.33
TAZ	486.75	205.5	297.17	176.29	260.38	316.37	830.75	595.34	1059.11	1199.98	1427.22	0.0	0.97
TCIRG1	1819.35	258.57	688.78	507.46	579.04	1477.58	7230.1	4450.27	5403.7	3901.01	3794.3	0.0	1.36
TNFRSF10B	417.77	289.02	299.25	273.37	412.0	327.56	536.45	642.59	1963.57	1066.48	2271.4	0.0	0.84
TNK2	1417.35	343.89	521.76	287.01	536.45	928.3	902.89	591.22	1081.39	1709.26	2997.45	0.0	1.06
TNS4	52.08	27.64	23.93	127.89	61.25	612.11	20030.74	7911.95	579.04	642.59	3847.29	94.67	165.57
TRABD	759.08	273.37	420.68	120.1	253.23	525.39	1378.57	928.3	1551.09	1605.83	2075.59	0.0	0.95
TRIP10	1073.91	366.09	450.94	209.84	521.76	532.74	2537.92	1127.35	2133.97	2956.17	2075.59	0.0	0.44
TSPAN8	16.51	2.29	208.38	4.43	197.09	10.71	7382.04	17804.06	25354.3	3794.3	15715.58	0.0	0.56
TSTA3	4298.64	514.56	3515.68	1001.93	2835.7	3564.78	1151.06	1088.92	7485.11	4903.87	6381.92	0.0	0.82
TUBGCP6	400.71	108.14	201.25	80.57	175.07	312.0	934.76	1167.14	775.05	713.11	518.15	0.0	1.22
ZDHHC8	486.75	264.03	236.21	55.1	299.25	423.61	1037.29	723.08	909.17	872.1	802.41	0.0	1.08
ZFPM1	66.65	5.73	32.13	15.68	39.22	115.16	100.13	34.75	157.68	164.42	171.45	0.0	0.41
ZFYVE28	201.25	56.68	28.24	16.63	100.13	106.63	591.22	511.0	217.27	262.2	417.77	0.0	0.73
