	TCGA.AZ.4323.01A.21R.1839.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.3K.AAZ8.01A.12R.A39D.07	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.R53T.0326.SM.48FEC	TCGA.52.7809.01A.21R.2125.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.BR.8295.01A.11R.2343.13	TCGA.MX.A666.01A.11R.A31P.31	TCGA.CD.8526.01A.11R.2343.13	TCGA.VQ.A922.01A.11R.A414.31	TCGA.BR.8296.01A.11R.2343.13	TCGA.MX.A663.01A.11R.A31P.31	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.N8.A4PN.01A.11R.A28V.07
CSH1	12.64	0.0	3.5	7.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77	0.0	0.0	0.0	0.0	3.99	0.0	0.0	0.0	0.0	0.31	0.0	4.31	0.0	1.23	0.0	1.04	0.0	1.93	7.22
DMRT2	8.85	0.0	127.0	36.79	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	16.63	0.0	0.0	0.0	0.0	0.0	0.0	7.17	65.26	32.59	1.97	19.25	21.01	4.46	2.78	15.56	134.3	275.28
DTX3	2520.38	17.13	497.0	947.83	19.68	30.12	23.76	73.03	92.7	43.02	34.75	42.71	42.41	23.59	175.07	157.68	117.6	94.01	217.27	223.41	48.18	1143.1	808.0	684.02	476.71	860.08	878.17	211.31	708.18	1295.13	1950.0
ENO2	2875.3	10.08	656.11	532.74	15.34	9.93	20.71	25.35	40.07	41.81	22.43	14.78	49.56	25.91	63.89	53.19	74.58	106.63	52.08	30.56	15.91	1340.84	587.13	65.26	221.86	551.56	1183.45	753.83	480.04	1350.18	633.73
ERVFRD-1	3.29	0.91	2.84	10.71	0.0	0.84	0.0	0.0	3.89	4.54	1.22	1.2	2.78	2.29	5.15	1.27	0.0	0.0	1.75	3.2	6.67	27.64	2.07	24.81	5.77	5.68	9.27	19.82	5.87	50.27	0.72
FAM127C	743.43	12.64	384.34	199.85	7.75	5.59	9.2	8.06	20.86	15.56	10.96	8.13	15.56	15.91	23.93	27.84	19.68	18.43	33.78	17.77	11.82	521.76	379.04	153.34	136.19	325.29	291.04	110.43	341.51	647.07	909.17
FAM155A	77.79	0.0	10.71	12.09	0.67	0.35	0.36	4.28	2.29	2.46	0.0	0.72	2.1	0.75	0.75	7.11	3.08	2.2	6.06	5.28	2.01	4.28	37.85	35.25	21.47	20.41	46.18	9.93	33.54	58.3	12.74
FAM181B	8.25	0.0	11.55	77.25	2.41	0.0	0.0	0.77	0.42	0.45	0.0	0.0	0.0	0.0	2.53	0.79	0.57	1.35	1.6	0.53	0.97	32.36	11.55	127.89	7.34	8.19	9.2	4.54	43.02	99.43	53.57
FAM9C	0.56	0.0	3.72	0.6	0.0	0.0	0.69	0.0	0.54	0.0	0.0	0.0	0.0	0.52	1.83	0.0	0.0	0.0	0.51	0.0	0.0	10.16	3.66	0.85	154.42	22.43	17.64	3.59	3.86	0.0	381.68
FBLN1	4512.4	27.64	7331.05	1540.37	29.91	25.72	123.5	72.01	111.99	136.19	109.66	54.33	27.84	120.1	262.2	373.81	314.17	111.99	226.54	397.93	171.45	3928.15	5329.3	2485.67	2537.92	2720.15	3467.27	1135.2	6887.62	4328.55	12764.83
FFAR2	166.73	1.06	82.87	56.28	0.64	0.0	0.0	1.91	11.47	5.68	3.56	9.63	1.19	197.09	10.88	1.71	10.0	10.0	28.45	6.84	1.38	11.55	7.22	26.1	12.93	29.27	39.5	19.97	6.73	0.47	2.84
FKBP10	3928.15	31.0	3467.27	5594.3	27.25	45.53	67.59	163.28	116.78	83.45	54.33	129.69	66.18	61.25	397.93	217.27	209.84	118.43	371.22	301.33	56.28	1216.75	2417.67	6426.31	5041.77	3081.75	5633.22	759.08	2997.45	8658.09	9474.59
GJB7	9.2	0.0	10.63	2.03	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.59	0.0	0.0	2.46	0.67	0.83	29.06	57.89	3.47	8.65	59.97	9.34	4.54	10.16	4.13	29.7
GPAT2	314.17	4.62	1023.0	1870.53	6.31	6.06	10.08	15.45	19.82	12.64	8.13	17.0	5.19	8.32	93.35	29.06	23.25	69.52	43.63	40.07	1.73	28.65	72.01	1639.59	379.04	1313.23	52.45	46.18	1359.57	13.62	7.69
GPHA2	287.01	6.11	105.89	118.43	1.2	0.0	40.93	7.22	12.09	11.91	6.57	6.41	0.0	5.28	12.74	7.17	8.19	2.39	7.88	5.59	2.53	10.31	379.04	769.69	36.27	64.8	8.25	7.06	679.29	19.68	29.7
HCAR1	33.06	0.0	18.16	15.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	14.56	61.68	17.25	323.03	32.59	435.55	33.78	98.04	14.45	42.11
HRASLS	256.78	0.0	17.9	202.66	0.0	0.0	0.0	0.0	4.98	4.62	0.0	0.0	0.0	2.53	4.78	0.0	12.18	0.0	1.95	2.41	5.63	291.04	60.82	100.83	46.84	48.18	75.64	3.89	21.47	384.34	202.66
HRK	71.0	0.0	8.78	10.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	1.06	0.0	0.0	0.0	1.03	0.0	0.0	9.93	2.71	17.9	2.86	1.1	29.27	19.11	0.51	19.82	21.47
ISYNA1	2835.7	72.01	2895.31	2061.24	51.71	64.34	119.26	454.09	547.75	246.28	86.43	157.68	106.63	178.77	587.13	420.68	395.18	258.57	301.33	429.54	130.6	2271.4	842.36	6337.83	902.89	688.78	1295.13	341.51	2075.59	11909.94	6164.49
KLHL30	13.52	1.04	16.88	8.25	0.0	0.61	1.79	10.79	1.62	4.5	2.46	16.39	1.91	6.21	2.43	3.89	0.15	0.0	2.36	2.63	0.0	19.68	10.79	55.89	9.7	21.16	16.88	5.02	23.93	29.06	285.03
LAMP5	176.29	0.0	674.59	780.44	0.39	1.3	0.39	6.31	0.34	0.39	0.0	0.0	1.23	12.64	48.52	6.62	14.03	1.3	0.0	5.41	14.45	33.54	23.08	12.18	10.96	87.65	20.11	30.34	173.85	679.29	281.09
LDOC1	1519.15	26.28	1457.23	1832.01	11.91	11.47	17.9	81.71	68.55	44.89	65.26	34.75	17.9	23.93	223.41	363.56	105.89	72.52	101.54	43.02	65.26	629.35	2417.67	454.09	397.93	1023.0	603.67	251.48	884.29	1674.06	1191.69
LIMD2	2224.63	30.56	2240.11	1561.89	28.65	75.11	162.14	176.29	285.03	121.79	92.05	110.43	95.34	155.5	493.56	314.17	353.59	239.52	187.71	297.17	148.09	1447.15	1001.93	1561.89	1096.5	866.07	684.02	1073.91	825.0	1551.09	1540.37
LMOD3	1.45	0.0	14.35	7.4	0.93	0.0	0.0	0.88	1.87	0.64	0.0	2.81	0.0	1.07	2.48	0.35	0.66	0.84	1.06	1.01	0.27	4.03	1.68	7.17	2.53	3.0	2.16	11.38	14.35	14.35	444.72
MBOAT2	497.0	3.03	114.36	145.02	4.24	5.23	5.45	4.7	12.0	10.79	6.89	26.1	1.43	28.65	121.79	24.99	12.0	58.3	21.01	40.36	13.03	651.58	497.0	198.47	414.87	275.28	403.5	83.45	244.57	563.18	638.15
MYCN	36.01	15.56	599.49	525.39	22.92	9.48	3.17	5.77	56.28	5.23	4.74	1.46	0.0	12.93	269.6	2.51	17.13	16.27	1.2	2.03	0.0	854.13	587.13	195.72	177.53	356.05	67.12	78.89	318.57	684.02	279.14
NGB	379.04	0.0	5.19	7.82	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.67	0.0	0.68	1.17	0.0	0.69	0.0	0.0	0.65	37.05	1.07	3.32	3.63	0.24	1.64	1.66	2.34	7.75	6.89
NKAIN4	1250.98	0.0	13.62	14.78	0.0	0.0	0.0	2.68	3.96	1.89	0.0	0.0	0.0	0.0	0.49	2.32	5.68	0.52	0.0	3.63	0.0	178.77	256.78	6.01	42.71	6.73	88.88	1.36	157.68	836.53	3467.27
OR13A1	56.68	0.0	22.75	18.56	0.0	0.0	0.0	0.0	1.25	1.33	0.0	1.66	1.71	0.0	4.28	1.95	0.0	0.0	1.16	2.23	0.0	14.89	22.43	21.32	24.11	5.68	3.53	4.74	38.4	1.43	2.07
PDCL2	10.08	0.0	5.23	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.24	0.0	0.0	38.12	17.0	0.0	7.82	82.29	2.1	0.95	17.13	239.52	320.8
PGF	1159.07	15.34	379.04	406.31	24.46	40.36	32.36	44.89	58.71	45.21	19.25	52.82	41.81	68.55	132.44	56.28	56.28	63.89	83.45	88.26	12.74	170.25	753.83	507.46	214.27	536.45	441.64	215.77	607.87	1111.82	493.56
PIWIL1	35.5	0.0	5.06	2.29	0.49	0.0	0.0	0.0	0.0	0.09	2.66	7.46	0.0	0.32	2.46	0.0	0.65	0.0	0.31	1.73	0.29	5.63	32.82	8.92	3.17	48.87	17.38	6.41	3.0	7.28	18.03
PURG	41.81	0.0	3.5	10.16	0.0	0.0	0.43	0.65	0.21	0.23	0.6	0.0	0.0	1.85	0.6	0.67	0.0	0.21	1.39	0.27	0.0	10.31	4.35	8.0	4.28	3.92	9.41	10.96	17.9	52.08	133.36
RCOR2	486.75	0.0	34.26	387.02	4.31	0.0	0.59	2.46	15.22	2.58	0.0	4.58	0.89	5.41	3.76	6.06	3.44	0.0	12.09	17.38	1.68	423.61	348.71	406.31	281.09	100.83	85.22	22.43	289.02	1051.79	1883.54
RGS7	27.64	0.0	23.25	38.4	0.0	0.0	0.39	1.27	28.86	25.91	1.2	2.27	0.0	0.0	5.73	10.16	0.0	2.78	1.57	0.96	5.15	0.59	16.63	26.86	4.46	7.69	85.82	17.51	19.25	19.11	69.03
RHOBTB2	435.55	17.13	466.88	403.5	28.86	18.03	43.02	23.25	55.1	51.35	37.32	21.47	37.59	81.14	61.68	51.71	21.94	16.88	36.53	55.1	130.6	579.04	157.68	80.01	423.61	197.09	406.31	197.09	450.94	244.57	327.56
ROR2	323.03	0.96	303.44	229.72	0.57	0.0	4.21	1.58	4.1	2.18	3.38	0.95	5.36	3.32	15.56	4.98	13.52	3.41	5.92	8.65	0.57	150.17	206.94	802.41	68.07	258.57	295.11	87.03	575.03	432.53	115.16
RP11-122A3.2	115.16	0.0	133.36	138.1	81.14	2.34	0.0	0.0	2.03	2.68	1.5	6.11	11.73	15.45	25.35	12.74	9.06	10.31	31.22	15.45	0.0	75.64	50.27	108.14	34.51	109.66	80.01	46.5	215.77	356.05	137.14
SCN2B	14.67	0.0	2.63	2.68	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.33	0.84	0.84	0.0	0.0	0.0	0.33	0.0	0.0	1.38	1.06	1.33	0.51	1.6	2.68	3.69	14.89	46.5	117.6
SERPINE2	1561.89	39.5	1295.13	693.58	13.93	11.55	48.52	170.25	143.01	198.47	76.17	110.43	38.4	244.57	616.37	323.03	178.77	120.1	157.68	414.87	94.01	921.88	928.3	1175.27	591.22	775.05	432.53	547.75	1369.04	1051.79	928.3
SLC7A3	82.29	0.0	1.5	9.13	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.08	36.01	4.06	6.21	4.58	9.93	2.76	109.66	44.57	161.02
SNCB	748.61	0.0	22.75	10.55	0.58	0.0	0.0	0.0	0.44	1.57	0.0	2.51	0.0	0.0	2.63	0.0	3.38	0.0	0.0	1.75	0.38	18.84	12.18	3.69	16.51	1.43	12.18	8.85	1.27	11.04	13.52
SPINK4	336.79	0.0	954.43	341.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.56	0.0	0.0	2.23	7.69	0.0	231.32	171.45	52.82	4.13	1286.18	10.08	11.13
SVOPL	0.75	0.0	46.5	98.73	1.36	2.51	0.0	0.0	4.7	0.0	0.0	0.0	0.0	0.0	18.43	0.0	0.0	0.0	0.0	13.03	0.0	27.05	5.19	72.01	14.45	15.91	6.16	8.99	143.01	35.25	1.31
TAC3	595.34	4.43	148.09	175.07	0.0	0.0	0.0	0.0	6.78	1.1	0.0	0.0	0.0	2.53	6.89	5.63	0.0	7.06	0.0	15.8	0.0	1.25	117.6	215.77	187.71	47.5	89.51	34.02	1096.5	80.01	177.53
TLL2	26.86	0.0	22.26	18.16	0.0	0.48	2.63	1.06	1.57	0.11	0.52	0.0	0.06	2.01	0.51	2.25	2.97	0.0	0.0	0.0	0.05	9.13	28.45	9.85	20.71	31.45	14.03	40.93	8.25	35.0	35.0
TMEM31	5.23	0.0	12.93	14.24	0.0	0.0	0.0	4.28	8.85	9.63	0.0	1.6	0.0	5.87	2.23	0.0	0.0	3.59	2.68	1.79	2.86	7.4	5.68	25.35	8.38	3.44	7.0	8.06	6.16	39.5	16.88
TPBG	239.52	2.05	72.01	166.73	2.01	3.79	5.45	0.92	10.08	9.27	6.52	6.62	4.31	13.72	54.72	44.25	22.59	7.69	23.59	23.93	33.54	226.54	412.0	122.64	215.77	432.53	285.03	120.94	293.07	429.54	241.19
TRDN	38.95	0.0	9.7	18.97	0.0	0.0	0.0	0.4	0.78	0.64	0.0	8.13	0.0	0.18	3.66	0.0	0.26	0.19	0.54	0.74	0.0	20.86	6.52	1.91	1.14	1.48	0.0	5.23	2.23	39.79	118.43
WDR86	127.0	7.46	224.97	166.73	5.5	3.92	13.62	29.27	10.39	9.78	6.31	16.15	6.78	8.78	22.43	20.41	40.07	33.78	27.44	27.44	13.22	38.12	153.34	46.5	177.53	94.01	119.26	97.36	244.57	371.22	176.29
