	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.C8.A12L.01A.11R.A115.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.B6.A0WZ.01A.11R.A109.07	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13FTY.2226.SM.5J1ND	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.CV.7183.01A.11R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13NYC.2626.SM.5K7VN
KLKB1	22.92	2.32	7.46	15.68	0.77	2.86	8.25	14.78	1.06	2.86	0.95	3.92	26.47	16.15	20.11	26.28	8.58	2.56	6.16	0.0	0.0	0.0	0.28	0.09	8.65
LCAT	295.11	75.64	102.25	301.33	66.65	32.59	511.0	121.79	110.43	47.17	105.89	145.02	708.18	463.65	591.22	457.25	343.89	88.88	100.13	46.84	28.24	0.0	1.11	11.21	229.72
LENG8	3146.52	808.0	1529.73	6294.04	583.07	842.36	4869.99	1417.35	397.93	1304.15	698.41	796.86	4736.79	4268.94	3146.52	3039.3	5147.73	511.0	884.29	329.84	314.17	0.0	1.77	77.25	1030.12
LSMEM1	93.35	23.42	30.12	81.71	38.67	21.78	48.87	24.46	16.15	22.92	16.03	26.1	45.53	17.77	50.27	37.32	32.59	15.68	6.62	2.23	10.47	0.0	0.59	3.08	80.01
MAD1L1	1477.58	285.03	616.37	476.71	186.4	325.29	612.11	246.28	551.56	320.8	341.51	571.05	384.34	525.39	503.95	599.49	336.79	183.82	149.12	381.68	241.19	0.0	0.45	872.1	642.59
MUCL1	17078.76	550352.86	2216726.5	736332.6	641014.63	794671.01	3540.14	919186.72	828417.36	1273174.62	1255646.43	985160.01	35363.15	887875.81	64186.29	677564.08	524287.0	24.99	1299926.74	267.73	12.27	0.0	0.22	2.34	9635979.21
MZF1	470.14	190.34	348.71	723.08	85.82	202.66	785.88	356.05	62.12	221.86	125.24	368.65	1037.29	500.46	450.94	543.96	651.58	71.5	175.07	71.5	72.01	0.0	1.01	34.02	201.25
NFKBID	164.42	109.66	124.37	381.68	55.1	111.99	256.78	109.66	63.0	87.03	47.84	108.14	285.03	190.34	190.34	277.2	285.03	60.39	138.1	19.97	40.07	0.0	0.46	16.88	87.65
NPIPA1	1350.18	974.5	825.0	1870.53	497.0	743.43	2004.85	1151.06	540.19	878.17	808.0	967.76	5403.7	1721.16	2537.92	1259.69	1832.01	674.59	500.46	61.25	127.0	0.0	1.33	76.17	921.88
NUPR1L	1457.23	236.21	476.71	166.73	1.17	193.01	186.4	316.37	896.64	153.34	99.43	323.03	303.44	199.85	197.09	141.02	241.19	0.0	205.5	4.62	14.24	0.0	0.11	0.0	3.2
OPTC	8.51	0.0	0.0	0.0	0.0	0.0	0.36	1.13	1.83	0.0	0.0	0.0	0.0	0.38	0.62	0.37	0.34	0.23	0.36	0.0	0.0	0.0	0.0	0.0	0.0
P4HTM	1331.57	457.25	567.1	1066.48	69.52	796.86	1340.84	1104.13	476.71	638.15	540.19	866.07	1857.6	1304.15	1233.75	1119.56	1498.22	67.59	563.18	55.49	169.07	0.0	0.72	51.71	314.17
PCDHB12	32.59	9.7	39.22	20.11	9.2	19.97	28.04	20.11	8.78	18.43	3.35	14.24	34.26	44.57	37.59	32.36	17.51	17.77	14.67	4.86	2.76	0.0	0.29	4.86	81.14
PCDHGA6	98.73	29.27	57.49	64.34	7.17	13.93	41.52	34.26	17.0	21.32	7.75	10.31	125.24	74.58	78.34	115.97	59.13	19.11	20.11	12.0	6.26	0.0	0.3	6.31	45.21
PILRB	3039.3	318.57	1073.91	4181.07	353.59	414.87	3280.18	1191.69	204.07	603.67	791.35	1259.69	7382.04	947.83	1583.71	3212.66	4450.27	190.34	1467.37	60.82	85.82	0.0	1.31	20.41	253.23
PPT2-EGFL8	242.88	18.56	10.0	83.45	7.34	22.43	212.78	52.82	5.45	24.11	9.41	17.77	221.86	72.52	144.01	69.52	161.02	6.16	29.7	7.46	21.47	0.0	0.83	11.04	80.01
PRRT1	432.53	42.71	80.01	273.37	44.57	85.22	435.55	135.24	96.68	64.8	101.54	155.5	842.36	400.71	232.94	392.44	470.14	13.72	159.9	34.51	59.97	0.0	0.53	30.12	241.19
PTGES3L-AARSD1	67.12	7.11	21.94	4.21	2.48	45.53	16.39	16.51	12.09	5.19	13.32	18.97	25.35	13.62	12.74	9.93	14.14	2.03	14.67	11.55	2.58	0.0	0.2	3.35	27.64
QRICH2	232.94	54.72	37.32	31.67	8.58	8.51	93.35	15.68	7.82	28.45	25.35	36.01	153.34	53.19	85.82	96.68	115.16	7.51	24.99	8.45	28.86	0.0	0.38	5.54	55.1
SEC31B	118.43	25.17	49.91	255.0	24.46	36.53	236.21	68.07	14.78	103.69	13.42	37.85	470.14	301.33	283.05	239.52	283.05	40.93	54.33	2.92	7.11	0.0	1.28	1.19	50.63
TBC1D29	10.79	0.77	0.85	3.29	0.83	0.44	1.41	0.44	0.0	0.0	0.39	0.41	2.41	2.1	4.62	3.99	3.89	0.39	2.23	0.0	0.0	0.0	0.27	0.0	0.8
TNFRSF25	967.76	74.58	153.34	587.13	28.04	120.94	591.22	159.9	71.0	287.01	140.04	226.54	796.86	232.94	293.07	237.86	511.0	17.64	47.5	128.79	61.68	90.77	161.02	91.41	221.86
TRIM17	371.22	10.71	12.93	41.81	41.52	6.11	132.44	64.34	5.5	17.0	2.66	14.35	122.64	92.05	206.94	120.1	169.07	0.93	92.05	9.13	5.23	0.0	0.61	0.0	9.48
TTC18	232.94	4.86	63.0	120.1	73.54	17.51	120.1	117.6	4.35	49.56	17.77	101.54	466.88	220.32	171.45	287.01	583.07	1.93	74.06	2.56	5.02	0.0	0.22	0.97	14.03
TTLL3	1111.82	195.72	312.0	791.35	173.85	165.57	1073.91	384.34	97.36	320.8	103.69	291.04	1721.16	1286.18	909.17	878.17	1487.87	120.1	285.03	38.95	49.91	0.0	1.08	11.3	323.03
UBAP1L	88.26	13.52	15.8	73.03	2.84	14.24	114.36	43.63	6.62	8.71	4.31	25.35	119.26	124.37	58.71	96.01	134.3	21.47	28.45	3.44	21.63	0.0	0.68	1.11	46.5
VAX2	246.28	40.64	20.56	30.78	2.03	4.58	120.1	13.62	7.51	6.01	23.93	104.42	34.02	32.13	49.56	29.27	98.73	8.0	19.97	15.34	0.97	0.0	0.27	0.0	134.3
XPC	1104.13	223.41	470.14	769.69	417.77	366.09	780.44	748.61	199.85	454.09	256.78	381.68	1008.9	1119.56	988.12	1015.93	1135.2	358.54	633.73	166.73	163.28	0.0	0.65	136.19	463.65
ZFYVE27	660.68	221.86	532.74	587.13	138.1	400.71	656.11	450.94	205.5	267.73	194.36	346.29	656.11	642.59	511.0	595.34	583.07	224.97	312.0	104.42	157.68	0.0	0.75	68.07	316.37
ZGLP1	242.88	44.89	57.89	136.19	17.51	22.1	267.73	49.56	37.05	41.52	28.04	49.21	142.01	81.14	135.24	150.17	154.42	9.41	103.69	4.1	12.93	0.0	0.34	7.94	73.54
ZNF154	59.97	6.16	16.03	40.64	12.64	47.17	42.71	34.51	13.32	29.7	3.59	18.29	395.18	85.22	152.28	265.87	314.17	13.12	119.26	2.48	1.31	0.0	0.52	1.1	10.0
ZNF577	1225.22	89.51	182.55	961.07	403.5	226.54	603.67	316.37	61.25	248.0	108.14	486.75	1081.39	759.08	532.74	1199.98	1628.26	92.05	346.29	25.54	34.51	0.0	0.65	17.51	60.39
ZNF775	503.95	89.51	265.87	473.41	146.03	234.57	575.03	231.32	195.72	178.77	80.01	289.02	403.5	450.94	463.65	334.46	403.5	44.25	150.17	84.04	73.54	0.0	0.22	39.22	202.66
ZSCAN18	3103.19	738.29	842.36	2485.67	373.81	743.43	2384.37	1806.78	137.14	620.67	480.04	2193.99	2645.74	2645.74	2701.35	2133.97	3589.58	253.23	1286.18	56.28	158.79	0.0	0.92	41.52	1159.07
