	TCGA.LL.A740.01A.21R.A32P.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A2.A0EY.01A.11R.A034.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
DNAL4	764.36	297.17	1073.91	353.59	185.11	470.14	406.31	241.19	674.59	1104.13	0.0	0.0
DNASE1L1	825.0	251.48	866.07	525.39	318.57	529.06	511.0	358.54	547.75	1151.06	0.0	0.47
DPCD	728.11	327.56	1498.22	198.47	269.6	819.3	332.14	368.65	450.94	684.02	0.0	0.08
DRAP1	2976.74	802.41	3443.31	808.0	808.0	2591.27	1477.58	483.38	3614.55	2915.45	0.0	0.83
ENDOG	420.68	90.77	373.81	180.02	55.89	500.46	195.72	100.13	260.38	518.15	0.0	0.16
FAM89B	1447.15	457.25	1844.76	813.63	559.28	954.43	679.29	507.46	1388.16	1277.29	0.0	0.73
FBXW9	301.33	99.43	400.71	133.36	65.72	400.71	177.53	81.71	273.37	669.92	0.0	0.0
FIS1	5255.91	1883.54	5913.33	2287.2	1304.15	5147.73	3901.01	1359.57	1594.73	2384.37	0.0	0.96
FUT7	10.47	1.3	13.12	1.81	0.39	18.84	1.79	0.39	2.05	22.92	0.0	0.24
GATAD2A	1037.29	291.04	1277.29	616.37	435.55	896.64	693.58	327.56	1304.15	808.0	0.0	0.56
GNB1L	117.6	8.58	114.36	39.5	10.47	102.97	68.55	13.32	161.02	88.88	0.0	0.59
GPC2	50.27	15.56	124.37	19.82	10.08	40.64	24.46	7.82	27.64	49.21	0.0	0.83
GUK1	8840.04	2573.36	10808.41	5633.22	1923.14	7695.57	4181.07	1304.15	15075.35	12853.63	0.0	1.27
H1F0	8421.31	1304.15	9606.86	2468.49	1467.37	3847.29	3665.02	2417.67	28923.41	11112.3	0.0	0.22
IHH	1.0	0.34	1.38	0.0	0.0	0.74	0.74	0.0	39.5	20.71	0.0	0.0
IRX4	176.29	6.84	214.27	0.43	4.7	34.75	84.04	23.25	292889.12	360589.03	0.0	0.0
IVL	80.01	2.29	186.4	0.43	0.0	0.8	1.51	0.0	7.49798696E7	4.247174256E7	0.0	0.38
LIX1	1.62	0.33	4.28	0.72	1.38	0.38	0.37	0.0	2.34	0.0	0.0	0.04
LTB	267.73	1.71	447.82	21.63	0.0	490.14	34.75	13.83	651.58	281.09	0.0	0.29
MAN1B1	1819.35	599.49	3564.78	651.58	1561.89	1540.37	1295.13	579.04	1159.07	1151.06	0.0	0.49
MRPL53	2351.53	780.44	2664.15	1119.56	813.63	1617.0	1037.29	547.75	1923.14	2090.03	0.0	0.6
MRPS34	3168.41	909.17	4095.0	1388.16	647.07	2835.7	1437.15	336.79	2627.46	3491.39	0.0	0.36
NCLN	1059.11	444.72	1909.85	403.5	234.57	1044.52	775.05	327.56	384.34	748.61	0.0	0.43
NDUFA11	5954.47	2739.08	10225.32	4298.64	2090.03	5517.27	3325.99	2319.15	6337.83	10959.3	0.0	1.13
NOSIP	1508.65	503.95	1540.37	587.13	368.65	1447.15	954.43	460.44	1662.49	1769.57	0.0	0.8
NUBP2	1685.71	490.14	2627.46	470.14	314.17	1529.73	921.88	202.66	1073.91	1594.73	0.0	0.78
OPN5	1.27	0.0	1.64	0.0	0.34	1.04	0.0	0.0	2.71	0.38	0.0	0.0
PABPN1L	2.46	0.72	1.85	0.0	0.0	0.82	0.83	0.0	1.45	1.11	0.0	0.0
PDAP1	6079.61	808.0	5711.87	1378.57	551.56	3124.78	2537.92	507.46	3794.3	3820.7	4328.55	376.41
PIP5K1C	733.19	182.55	848.22	208.38	173.85	679.29	559.28	251.48	353.59	314.17	0.0	0.67
PNPLA6	1059.11	151.22	988.12	400.71	217.27	1044.52	575.03	285.03	351.14	444.72	0.0	0.4
POP7	1769.57	698.41	1832.01	872.1	679.29	934.76	607.87	373.81	954.43	1167.14	0.0	0.28
PRKRIP1	769.69	153.34	819.3	295.11	93.35	587.13	483.38	175.07	195.72	521.76	0.0	0.61
PRSS27	297.17	14.03	229.72	118.43	76.71	125.24	52.08	19.25	577714.63	226632.25	0.0	0.49
PTGES2	1051.79	323.03	1697.45	358.54	397.93	988.12	698.41	267.73	854.13	1721.16	0.0	0.52
RAB13	3768.09	1685.71	3847.29	1844.76	1242.34	4298.64	2240.11	1277.29	3060.45	3124.78	0.0	0.72
RAB1B	5183.54	2627.46	9151.82	3491.39	4095.0	5219.6	4268.94	2193.99	5672.41	5255.91	0.0	1.01
RAB4B-EGLN2	19.39	4.46	24.81	6.52	0.0	15.22	10.0	0.0	25.72	15.91	0.0	0.21
RFXANK	2004.85	583.07	2645.74	1259.69	848.22	2133.97	1199.98	521.76	1674.06	2645.74	0.0	0.57
RHOD	753.83	295.11	988.12	387.02	688.78	1191.69	366.09	223.41	21172.91	8718.32	0.0	0.45
RIT1	603.67	595.34	928.3	473.41	665.29	559.28	463.65	555.41	2758.13	769.69	473.41	137.14
RP11-481A20.11	13.93	0.0	12.09	0.0	0.0	8.19	2.53	0.0	0.0	14.35	0.0	0.09
SGTA	1447.15	684.02	3018.3	339.14	902.89	1268.46	1001.93	665.29	551.56	808.0	0.0	0.93
SH2D3A	688.78	75.64	813.63	267.73	271.48	409.15	356.05	190.34	5292.48	5366.37	0.0	0.44
SNN	703.28	435.55	1073.91	444.72	103.69	299.25	656.11	463.65	483.38	351.14	0.0	0.38
SPATA33	190.34	143.01	224.97	109.66	71.0	189.02	135.24	69.03	170.25	253.23	0.0	0.23
SSSCA1	1447.15	392.44	2075.59	607.87	780.44	1135.2	785.88	441.64	563.18	733.19	0.0	0.67
STRA6	181.28	117.6	199.85	29.7	198.47	199.85	38.67	36.79	429.54	796.86	0.0	0.12
STRN4	1487.87	483.38	1378.57	775.05	463.65	1286.18	928.3	429.54	995.0	1023.0	866.07	647.07
STX10	1242.34	189.02	1605.83	669.92	159.9	1208.34	743.43	291.04	2075.59	2018.8	0.0	0.73
THOP1	1001.93	108.14	1350.18	102.25	139.07	616.37	473.41	117.6	392.44	323.03	0.0	0.59
TIMM13	3443.31	356.05	4481.23	423.61	329.84	2047.0	1359.57	251.48	3303.0	5711.87	0.0	0.48
TOR4A	73.03	9.85	67.59	23.93	11.55	109.66	24.11	23.42	4038.61	318.57	0.0	0.56
TRABD	909.17	120.1	660.68	224.97	72.01	507.46	466.88	128.79	860.08	921.88	0.0	0.95
TRAF3IP3	265.87	99.43	277.2	186.4	119.26	289.02	154.42	215.77	409.15	571.05	0.0	0.55
TRAPPC6A	1757.34	733.19	2178.83	848.22	633.73	1447.15	1199.98	346.29	518.15	3146.52	0.0	0.36
TUBB2A	1909.85	264.03	2875.3	934.76	76.71	764.36	1508.65	860.08	3419.52	2855.44	0.0	0.45
UBAC1	669.92	307.69	981.29	297.17	348.71	660.68	543.96	400.71	1295.13	1844.76	0.0	0.67
UCK1	728.11	173.85	961.07	297.17	129.69	651.58	587.13	289.02	314.17	432.53	0.0	0.59
UQCR11	7280.4	3303.0	11035.54	1857.6	3928.15	4869.99	2609.3	2701.35	4239.45	5292.48	0.0	0.78
UROS	723.08	575.03	1313.23	363.56	603.67	1628.26	785.88	728.11	406.31	579.04	0.0	0.15
WBP1	2537.92	2664.15	5441.3	1769.57	2032.85	2855.44	1639.59	1340.84	1001.93	2319.15	0.0	0.42
ZMYND19	796.86	122.64	909.17	211.31	77.79	532.74	420.68	102.97	559.28	679.29	0.0	0.82
ZNF77	100.83	35.0	141.02	67.12	61.68	75.11	107.38	94.67	45.21	102.97	0.0	0.31
ZNHIT1	2555.58	1397.83	2255.7	1397.83	665.29	1977.24	1073.91	830.75	1277.29	1896.65	0.0	0.85
