	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4795.01A.02R.1420.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.B0.5712.11A.01R.1672.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.EV.5903.01A.11R.1592.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.5P.A9K6.01A.11R.A42S.07
HGF	64.34	299.25	307.69	205.5	44.25	37.59	8.58	183.82	108.9	3.38	77.25
HHIPL1	13.83	45.21	16.51	32.13	3.38	1.95	2.14	14.89	6.52	0.67	5.45
HIC1	642.59	249.73	153.34	175.07	29.7	15.45	13.32	157.68	110.43	20.86	57.89
HOXD11	0.0	363.56	85.82	152.28	2.76	1.35	0.39	32.36	22.92	3.72	11.38
HSPB6	4903.87	5633.22	1477.58	9673.69	231.32	15.56	9.85	1167.14	647.07	17.38	185.11
IGFBP5	17927.91	22380.2	8963.45	16843.62	389.72	125.24	21.78	4419.52	1159.07	123.5	872.1
INMT	56.28	1143.1	536.45	1697.45	33.06	16.39	4.35	291.04	164.42	7.46	177.53
ISLR	16496.96	2485.67	647.07	2796.65	91.41	6.21	6.46	921.88	547.75	3.72	305.55
LRP1	4704.07	1806.78	1199.98	2758.13	1242.34	738.29	318.57	1378.57	1350.18	476.71	802.41
LRRC32	1674.06	6121.9	1437.15	2573.36	547.75	339.14	182.55	591.22	988.12	77.79	567.1
LTBP1	1268.46	3515.68	447.82	1697.45	33.78	9.56	9.78	356.05	285.03	7.22	109.66
LTBP2	2004.85	1159.07	447.82	1268.46	37.59	16.15	19.39	387.02	264.03	8.32	28.86
MEOX2	53.19	27.44	4.17	255.0	0.0	0.0	0.36	11.3	0.33	0.33	0.37
MFGE8	3467.27	6745.86	1639.59	7695.57	223.41	127.89	279.14	2875.3	1259.69	108.14	480.04
MGP	8247.98	113315.62	40062.48	104271.56	1832.01	327.56	379.04	16157.44	10440.2	186.4	6983.79
MMP2	32540.65	3018.3	1359.57	2739.08	303.44	167.9	50.63	1096.5	1350.18	37.59	307.69
MN1	11.91	90.77	21.78	121.79	13.72	2.61	2.86	16.51	4.28	3.66	14.45
MRGPRF	1519.15	438.59	220.32	988.12	6.46	1.01	4.66	125.24	102.97	4.39	26.47
MRVI1	435.55	1159.07	312.0	1477.58	20.41	7.57	9.34	199.85	135.24	7.11	36.79
NEGR1	90.14	218.79	217.27	486.75	1.03	0.99	9.85	77.25	28.04	0.36	13.32
PCDH18	1175.27	312.0	130.6	223.41	9.41	4.21	4.24	103.69	172.65	1.68	14.03
PGR	551.56	44.89	28.45	81.14	0.35	0.0	1.07	16.03	7.75	0.0	2.89
PODN	2520.38	909.17	289.02	1242.34	85.22	9.48	1.83	493.56	228.13	2.71	95.34
PODNL1	1417.35	95.34	49.21	78.34	7.88	4.31	5.45	18.29	21.78	5.77	14.35
PRDM8	93.35	47.84	17.77	31.9	17.9	0.35	0.74	19.68	13.72	0.69	5.87
PRR5L	417.77	387.02	220.32	249.73	104.42	45.53	23.25	291.04	59.97	53.95	68.55
PRRX2	1304.15	94.01	27.05	118.43	4.43	1.97	0.0	9.56	9.78	1.36	2.23
PTGER4	226.54	220.32	241.19	297.17	54.72	34.75	10.0	118.43	108.14	8.32	71.5
RARB	249.73	483.38	202.66	312.0	130.6	110.43	49.21	194.36	176.29	37.59	140.04
RGS7BP	22.59	136.19	55.1	149.12	0.65	1.25	1.03	21.78	9.48	0.32	3.53
RNF122	373.81	312.0	180.02	229.72	129.69	61.25	68.07	133.36	117.6	64.34	75.11
RUNX1T1	140.04	98.04	35.5	141.02	5.41	2.94	2.86	27.05	12.36	2.01	5.82
RXFP1	351.14	150.17	43.63	61.68	7.06	1.64	3.89	19.25	16.15	2.34	15.8
S1PR1	698.41	1844.76	432.53	1417.35	92.7	67.12	49.21	140.04	123.5	22.26	119.26
SELP	228.13	819.3	134.3	872.1	31.45	34.51	3.92	97.36	60.39	6.31	81.71
SEMA3A	84.63	34.75	12.83	52.82	2.68	0.65	0.36	15.34	2.58	0.34	2.51
SLIT3	155.5	3589.58	1037.29	2224.63	94.01	20.71	28.04	435.55	195.72	8.71	92.7
SMOC2	1529.73	2004.85	500.46	1313.23	34.02	9.34	14.14	633.73	220.32	7.94	72.01
SNCAIP	1407.55	103.69	62.12	163.28	2.68	1.93	2.12	43.94	22.26	13.72	15.11
SRPX	426.57	457.25	107.38	1583.71	5.82	2.32	5.06	50.98	31.9	3.72	28.86
TMEM173	9088.59	2777.33	967.76	1769.57	218.79	178.77	63.89	1151.06	444.72	77.25	251.48
TMEM204	1950.0	2434.5	595.34	1066.48	54.72	65.72	29.7	258.57	251.48	23.76	193.01
WNT6	314.17	33.06	6.46	26.47	1.39	0.36	0.0	9.63	2.01	1.69	4.43
WSCD2	11.3	29.7	51.71	178.77	2.97	0.32	0.0	32.13	6.36	0.0	3.89
