	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.AO.A0JF.01A.11R.A056.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.CN.A6V3.01A.12R.A34R.07	TCGA.XR.A8TF.01A.11R.A36F.07	TCGA.FV.A3I1.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.14E1K.0326.SM.5S2PE	TCGA.66.2768.01A.01R.0851.07	TCGA.60.2697.01A.11R.2125.07	TCGA.22.1002.01A.01R.0692.07
ELMO3	194.36	236.21	2935.74	4639.29	361.04	842.36	65.26	158.79	149.12	69.03	1963.57	242.88	718.08
EPSTI1	320.8	229.72	2835.7	98.04	981.29	2468.49	21.47	150.17	62.12	21.94	808.0	476.71	309.83
FJX1	122.64	127.0	848.22	507.46	205.5	353.59	15.68	16.39	9.13	6.46	624.99	170.25	122.64
FOXL2	0.72	0.74	39.5	158.79	51.35	11.13	0.38	0.54	0.51	0.0	74.06	2.1	28.24
GM2A	718.08	878.17	28328.16	12764.83	2609.3	2255.7	260.38	297.17	279.14	325.29	1936.53	1059.11	1870.53
HPSE	38.12	71.0	620.67	291.04	277.2	172.65	13.22	18.16	20.41	17.0	162.14	82.29	82.87
IGFL1	67.59	255.0	7456151.83	492579.5	3491.39	441.64	0.0	0.0	0.0	0.0	1583.71	226.54	70.01
KLK11	201.25	74.58	2884719.27	1864037.21	3768.09	1757.34	0.0	15.68	10.0	2.92	1709.26	149.12	295.11
KRT17	2485.67	2047.0	4953441.24	149521.18	331809.5	127486.83	2.16	0.0	0.85	0.0	119776.72	14971.21	31432.17
KRT6A	37.05	1697.45	2.01760973986E9	2.41604469791E9	277089.94	164758.26	0.0	0.0	0.0	6.46	86474.27	5041.77	30151.71
LY6D	12.09	483.38	2.1503555688E8	6.17527469E7	81809.59	52497.92	0.0	0.0	0.0	0.16	28132.47	733.19	6337.83
LYPD3	802.41	1268.46	9975791.32	8330662.65	10808.41	7180.15	13.32	17.25	17.0	4.28	5954.47	967.76	583.07
MDFI	351.14	540.19	10808.41	4123.49	2319.15	1709.26	6.78	6.89	10.39	2.66	2976.74	656.11	1477.58
MICALL1	368.65	221.86	1096.5	1088.92	1447.15	2163.77	114.36	102.97	94.01	115.97	1487.87	454.09	521.76
MYEOV	24.28	80.01	21468.49	12764.83	3491.39	204.07	0.0	25.35	7.22	119.26	12076.21	123.5	122.64
NIPAL4	6.89	3.41	8840.04	8963.45	521.76	297.17	0.46	1.25	0.0	0.0	1199.98	39.22	52.45
NMI	551.56	603.67	2178.83	934.76	928.3	1066.48	332.14	301.33	341.51	287.01	866.07	514.56	563.18
OTOP3	0.0	3.08	738.29	3491.39	406.31	14.78	0.0	0.0	0.0	0.0	27.05	1.19	1.69
PGAM1	4210.15	5112.16	17927.91	10014.87	12160.22	11827.67	2758.13	3212.66	4639.29	3395.89	17558.94	5672.41	7230.1
PKM	17078.76	20030.74	30999.42	22692.63	47974.16	37901.36	591.22	620.67	679.29	223.41	42346.82	18052.61	19082.0
PLCH2	66.65	102.97	37639.55	43236.64	819.3	884.29	8.0	56.68	7.82	14.89	728.11	147.06	246.28
PROM2	934.76	836.53	32540.65	16269.83	3060.45	1651.0	1.33	13.83	10.79	1.28	2271.4	368.65	607.87
PRSS22	808.0	246.28	35118.87	9215.48	1721.16	2090.03	0.0	18.56	22.26	4.28	3564.78	928.3	460.44
PSG4	2.53	0.38	21.01	13.62	11.21	3.96	0.0	1.55	0.0	0.0	86.43	9.2	4.58
REEP4	301.33	336.79	7433.4	5633.22	1304.15	1617.0	144.01	169.07	152.28	150.17	1697.45	629.35	981.29
S1PR5	25.72	24.28	67377.47	8963.45	285.03	346.29	2.66	17.25	19.25	8.99	808.0	42.41	154.42
SERPINB2	4.06	48.52	2691538.19	721179.07	1594.73	559.28	0.0	1.31	3.5	7.34	1378.57	92.05	536.45
SERPINB8	204.07	190.34	3794.3	2255.7	346.29	603.67	94.67	139.07	129.69	124.37	450.94	260.38	299.25
STEAP1B	5.63	24.81	825.0	363.56	190.34	470.14	0.0	1.62	3.99	0.0	348.71	46.18	27.05
TACSTD2	6471.02	5751.61	256748.15	194578.47	8538.88	9409.14	0.42	43.02	61.68	58.71	11745.96	4802.93	6652.97
TGM5	9.2	4.43	5672.41	3564.78	94.01	104.42	0.0	0.0	0.0	0.34	198.47	3.14	4.86
TMEM40	80.01	33.06	391864.76	115696.65	1498.22	629.35	3.53	9.56	7.51	5.5	1963.57	89.51	95.34
TMPRSS11D	1.73	34.75	2.802089981E7	6908781.2	1733.13	1008.9	0.0	0.0	0.0	0.0	1001.93	6.67	185.11
TUBB6	1242.34	1794.29	5995.9	4419.52	6935.54	5672.41	466.88	444.72	493.56	60.39	5292.48	1832.01	2997.45
TYSND1	309.83	267.73	454.09	703.28	376.41	336.79	253.23	199.85	199.85	163.28	457.25	212.78	314.17
VDAC2	2720.15	3419.52	26614.89	17317.18	6294.04	7032.37	4066.71	1923.14	2209.26	2032.85	8538.88	2895.31	5147.73
ZDHHC5	1059.11	872.1	2335.28	1857.6	1561.89	1277.29	532.74	647.07	575.03	547.75	1081.39	902.89	988.12
