	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.MX.A663.01A.11R.A31P.31	TCGA.ET.A3DQ.01A.11R.A19O.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.BJ.A0ZH.01A.11R.A10U.07
LPO	30.78	10.0	0.0	0.09	4.17	15.91	1.64	0.25	2.46	0.61	0.25
LRRC63	8.92	62.12	0.0	0.0	0.49	2.46	1.83	0.39	1.13	1.33	1.2
MAP2K6	12244.81	8305.36	0.0	0.21	110.43	368.65	30.34	21.01	13.03	71.5	24.63
MIA	273.37	102.97	0.0	0.36	316.37	813.63	64.34	27.44	13.32	87.65	22.26
MUC13	16611.71	13399.51	0.0	0.27	1427.22	9.48	2.61	1.73	0.0	3.23	4.17
MUC5B	5.923719433E7	3.066309426E7	0.0	0.0	244.57	42.11	0.83	0.75	0.0	2.53	0.77
NAALADL1	412.0	314.17	0.0	0.54	212.78	346.29	144.01	117.6	68.55	143.01	195.72
NAGLU	1175.27	1073.91	0.0	0.27	896.64	1936.53	836.53	532.74	1051.79	1397.83	764.36
NOS1	82.29	90.14	0.0	0.0	3.72	37.05	0.69	0.0	0.0	3.53	0.28
NPR2	808.0	854.13	0.0	0.79	607.87	884.29	171.45	265.87	98.73	205.5	166.73
PACSIN1	38.95	28.45	0.0	0.2	23.76	106.63	13.93	14.67	5.32	12.74	11.38
PCDHB3	32.36	45.85	0.0	0.29	31.22	108.9	8.78	4.66	4.43	21.16	9.06
PCDHGC3	1963.57	1467.37	0.0	0.79	460.44	1540.37	224.97	105.89	90.77	497.0	201.25
PITPNM3	358.54	289.02	24.11	97.36	122.64	206.94	62.56	52.08	58.3	78.89	45.85
PNMA2	400.71	229.72	52.45	122.64	114.36	164.42	9.13	4.98	7.11	29.7	7.94
PNMAL2	42.41	53.19	0.0	0.06	40.36	110.43	18.03	13.83	9.06	39.79	18.84
PRDM6	57.89	54.33	0.0	0.42	49.91	57.49	17.77	15.0	8.19	21.78	10.16
PREX2	169.07	660.68	0.0	0.28	68.55	181.28	26.86	22.75	22.1	97.36	44.25
RASD1	37379.55	42054.3	0.0	0.53	1350.18	8658.09	1233.75	866.07	1119.56	563.18	1870.53
RBM38	389.72	555.41	0.0	0.71	748.61	1572.76	264.03	248.0	152.28	265.87	318.57
RGL1	698.41	599.49	0.0	0.56	249.73	500.46	127.0	158.79	124.37	197.09	141.02
ROBO2	163.28	126.12	0.0	0.09	12.55	130.6	8.51	0.71	0.0	7.57	1.75
SCN9A	53.19	22.1	0.0	0.21	21.47	38.12	2.16	1.53	1.03	14.45	2.43
SGCB	329.84	511.0	0.0	0.41	435.55	1073.91	305.55	154.42	136.19	323.03	228.13
SGCE	860.08	1259.69	0.0	0.62	651.58	909.17	500.46	412.0	214.27	529.06	500.46
SH3RF3	389.72	854.13	0.0	0.57	314.17	368.65	56.28	25.91	30.12	98.04	63.0
SHANK1	45.85	177.53	0.0	0.08	12.74	74.58	3.32	3.35	0.61	16.63	5.23
SLC8A3	0.75	34.51	0.0	0.02	9.85	6.57	0.54	0.0	0.45	1.99	0.48
SMOC1	447.82	1617.0	0.0	0.37	127.89	511.0	38.67	8.32	8.58	132.44	18.84
SOX30	5.11	9.41	0.0	0.04	6.52	7.4	0.95	1.14	0.45	5.11	0.49
SPATA18	2485.67	5112.16	0.0	0.0	53.57	567.1	148.09	42.41	23.59	49.91	49.21
SPRY2	2777.33	2997.45	0.0	0.47	967.76	3690.52	503.95	301.33	356.05	406.31	406.31
SRPK2	389.72	624.99	0.0	0.64	480.04	595.34	343.89	341.51	353.59	400.71	253.23
TCP11X2	11.55	22.26	0.0	0.0	0.67	15.11	0.0	0.0	0.0	0.0	0.0
TGFB2	785.88	483.38	0.0	0.21	98.73	878.17	147.06	64.8	83.45	139.07	104.42
TNFRSF10D	118.43	67.59	0.0	0.45	173.85	215.77	110.43	124.37	57.49	53.95	101.54
TRAF3IP2	1250.98	1066.48	0.0	0.61	764.36	1397.83	738.29	708.18	656.11	559.28	890.44
TRH	2240.11	6652.97	0.0	0.09	6.41	8.71	0.92	0.0	0.0	3.59	0.42
WIF1	78.89	4038.61	0.0	0.0	23.93	4836.35	15.45	1.16	0.0	4.39	3.38
WIPF1	1225.22	1268.46	486.75	98.73	607.87	1073.91	450.94	555.41	287.01	571.05	366.09
ZKSCAN7	72.52	118.43	0.0	0.15	67.12	73.03	39.22	28.65	18.97	66.18	30.78
