	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A7HW.01A.22R.A354.31	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.QK.A8ZB.01A.11R.A39I.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.UF.A7JJ.01A.11R.A34R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
DSC2	149521.18	52497.92	1709.26	1015.93	6792.79	3639.7	1794.29	301.33	68.55
DSG1	21468.49	18950.18	124.37	72.52	6164.49	2485.67	507.46	0.0	0.0
DSP	96616.71	81244.48	5329.3	1628.26	16157.44	24832.5	4358.66	0.0	0.65
DYNLL1	25708.25	21026.65	16269.83	10084.54	18304.63	25179.16	10014.87	0.0	0.16
ECHS1	3665.02	4268.94	1159.07	1183.45	2682.69	3443.31	1896.65	0.0	0.33
EPS8L2	16496.96	8538.88	351.14	616.37	2997.45	3018.3	1605.83	0.0	0.53
ESRP2	4607.24	3491.39	113.56	32.36	902.89	2193.99	679.29	0.0	0.01
FAM114A2	373.81	312.0	137.14	124.37	256.78	248.0	202.66	0.0	0.44
FAM25A	1034138.94	59474.18	1135.2	109.66	2915.45	41188.81	1331.57	0.0	0.2
FAM25B	682276.92	9740.98	0.0	0.0	157.68	4010.71	6.94	0.0	0.0
FAM25C	79022.82	2319.15	128.79	0.0	866.07	5076.84	74.06	0.0	0.08
FAM25G	1116072.03	0.0	121.79	35.0	409.15	2796.65	320.8	0.0	0.0
GALE	5403.7	2351.53	76.17	166.73	1242.34	1685.71	866.07	0.0	0.31
GAS2L1	665.29	836.53	896.64	303.44	392.44	1127.35	438.59	0.0	0.47
GCNT4	131.51	53.57	4.58	1.03	18.16	30.78	8.45	0.0	0.06
GPR111	96.68	153.34	1.6	2.12	19.82	26.86	5.54	0.0	0.04
HDDC2	1733.13	3768.09	1617.0	1037.29	1896.65	2701.35	1733.13	0.0	0.73
HIGD1A	8658.09	5292.48	1721.16	1066.48	2018.8	2875.3	2855.44	0.0	0.64
HPS6	273.37	307.69	119.26	206.94	246.28	426.57	289.02	0.0	0.0
KCNK6	1183.45	343.89	87.65	74.06	769.69	733.19	693.58	0.0	0.66
KCNK7	3039.3	813.63	56.68	36.79	68.55	1051.79	182.55	0.0	0.46
KLK10	1364554.84	282912.21	8134.41	4268.94	8247.98	22225.61	18304.63	0.0	0.28
KLK6	985160.01	8479.89	221.86	221.86	2591.27	11504.21	3146.52	0.0	0.32
KLK7	1196176.45	12502.12	149.12	138.1	4512.4	6607.01	6699.25	1286.18	866.07
KLK9	61999.83	6516.03	38.12	18.84	444.72	1883.54	432.53	0.0	0.1
KRT17	4953441.24	149521.18	99333.0	73221.53	220434.95	400098.69	172949.54	0.0	0.43
KRT6A	2.01760973986E9	2.41604469791E9	161367.56	48643.87	233003.78	195931.88	175363.84	0.0	1.17
LRRC8E	780.44	454.09	52.08	93.35	269.6	1540.37	197.09	0.0	0.0
MAPK13	2777.33	1936.53	698.41	255.0	2319.15	3081.75	947.83	0.0	0.2
METRNL	10585.95	6337.83	1051.79	967.76	4481.23	5076.84	2537.92	642.59	293.07
MYO5B	1628.26	1447.15	57.89	71.5	334.46	1183.45	493.56	0.0	0.22
NDST1	1378.57	629.35	518.15	332.14	395.18	693.58	536.45	0.0	0.4
NDUFAF1	733.19	599.49	332.14	279.14	384.34	438.59	450.94	0.0	0.0
NKPD1	251.48	289.02	35.5	29.27	63.89	231.32	54.72	0.0	0.28
PAPSS1	2303.12	2133.97	567.1	409.15	941.27	1208.34	934.76	0.0	0.12
PI3	1656835.72	1482909.4	242898.5	284880.02	66449.85	619179.28	242898.5	0.0	0.8
PLA2G4E	167058.21	20881.4	301.33	232.94	738.29	2163.77	426.57	0.0	0.0
PLCH2	37639.55	43236.64	341.51	96.01	915.51	1051.79	312.0	0.0	0.8
PRKCD	1870.53	1286.18	361.04	246.28	543.96	450.94	607.87	0.0	0.56
PTGS1	9808.75	12076.21	115.97	107.38	567.1	1250.98	884.29	0.0	0.57
PTK6	57448.23	33688.23	156.59	5.96	438.59	896.64	575.03	0.0	0.42
PTPRF	4181.07	3235.01	1617.0	1191.69	3419.52	2855.44	2018.8	1359.57	884.29
RAB25	87681.42	70238.75	334.46	42.11	4181.07	6164.49	2520.38	0.0	0.26
RAB9A	1059.11	1001.93	371.22	603.67	1119.56	1143.1	1487.87	0.0	0.69
RNF223	27938.14	7180.15	0.65	10.96	217.27	400.71	153.34	0.0	0.0
RP11-352D3.2	6.01	0.0	0.0	0.0	0.72	1.28	3.56	0.0	0.0
RP11-683L23.1	71.0	65.72	0.0	6.73	15.8	44.25	3.0	0.0	0.0
RPL11	71714.63	100023.92	26986.43	36357.37	50011.46	80125.95	36357.37	0.0	1.51
RPL17-C18orf32	92.7	84.04	25.35	45.21	82.87	146.03	92.7	0.0	0.1
RPS18	153724.82	237899.7	80125.95	69753.56	94628.34	165904.25	71219.26	0.0	1.83
SBSN	1.66613263E7	5057523.59	3190.46	1883.54	27938.14	103551.29	27938.14	0.0	0.96
SCOC	2090.03	1135.2	854.13	813.63	1216.75	1529.73	1059.11	0.0	0.49
SERTAD1	1088.92	389.72	152.28	275.28	825.0	490.14	688.78	0.0	0.16
SLC15A1	860.08	616.37	22.1	5.41	361.04	334.46	150.17	0.0	0.18
SPRR1B	1.90877512245E9	1.6988697324E8	82378.63	24832.5	179048.63	164758.26	57847.82	0.0	0.0
SPRR2B	217400.14	96616.71	423.61	85.22	11345.82	10659.59	4038.61	0.0	0.0
SPRR2G	37639.55	299.25	409.15	239.52	13492.72	26431.04	14561.8	0.0	0.0
SPTLC3	3303.0	2520.38	14.89	33.06	265.87	336.79	226.54	503.95	80.01
SPTSSB	7695.57	2351.53	35.25	37.59	183.82	152.28	132.44	0.0	0.23
SRMS	228.13	22.59	4.9	0.0	10.0	71.5	2.51	0.0	0.11
SS18L2	1397.83	872.1	420.68	423.61	429.54	638.15	543.96	0.0	0.66
SYT8	3235.01	3443.31	29.48	35.5	125.24	1832.01	299.25	0.0	0.45
TEX264	3303.0	3190.46	753.83	575.03	660.68	1096.5	1073.91	0.0	0.09
TMEM54	24490.61	9025.81	1977.24	1909.85	3081.75	4210.15	2935.74	0.0	0.43
TMEM57	679.29	536.45	129.69	159.9	351.14	353.59	293.07	182.55	136.19
TNFAIP8	1001.93	961.07	251.48	309.83	567.1	896.64	860.08	0.0	0.46
TPT1	182810.84	234624.45	55877.28	68318.04	65990.84	123144.13	65082.31	77396.54	2319.15
TSPO	53601.03	69753.56	5791.62	2739.08	8538.88	9740.98	5751.61	0.0	0.79
UNC93A	46019.85	1697.45	8.85	3.63	195.72	249.73	48.87	0.0	0.0
UTP3	674.59	591.22	339.14	450.94	591.22	974.5	426.57	312.0	343.89
ZNF860	256.78	39.5	7.51	8.71	23.42	69.52	12.36	0.0	0.0
