	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CJ.4908.01A.01R.1426.07	TCGA.BP.4959.01A.01R.1334.07	TCGA.CW.5584.01A.01R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B0.5710.01A.11R.1672.07	TCGA.B0.5690.01A.11R.1541.07	TCGA.CJ.4902.01A.01R.1426.07	TCGA.CJ.4872.01A.01R.1305.07	TCGA.CZ.5452.01A.01R.1503.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.5892.01A.11R.1592.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
COL4A3	0.0	3.03	105.15	40.93	77.25	111.21	201.25	151.22	69.03	145.02	31.67	68.55	43.94	144.01	0.0	0.4
COL5A2	7.11	277.2	1268.46	303.44	791.35	1135.2	1551.09	1359.57	1350.18	915.51	147.06	61.25	420.68	23.25	0.0	0.96
CTD-3088G3.8	10.63	10.31	23.25	2.73	3.53	11.38	12.18	10.55	20.86	5.77	3.23	1.71	1.1	209.84	0.0	0.89
CTGF	379.04	1001.93	4736.79	3372.43	2739.08	2287.2	9740.98	2104.58	3540.14	2271.4	543.96	764.36	1769.57	186.4	981.29	327.56
CUZD1	32.82	8.25	34.26	4.62	11.47	28.65	38.4	10.55	21.63	16.75	10.96	4.21	6.01	7.22	0.0	0.3
CXorf24	20.71	55.89	110.43	22.43	47.84	103.69	107.38	100.83	66.65	108.14	35.76	20.71	35.5	21.47	0.0	0.15
EIF2B5	551.56	1008.9	981.29	674.59	647.07	921.88	941.27	866.07	1037.29	842.36	493.56	842.36	723.08	660.68	0.0	1.3
EPN2	2032.85	1104.13	571.05	295.11	616.37	743.43	1051.79	842.36	669.92	483.38	226.54	265.87	660.68	145.02	0.0	0.56
EXTL2	65.26	124.37	303.44	113.56	205.5	334.46	320.8	289.02	237.86	248.0	138.1	119.26	104.42	103.69	0.0	0.36
FADS1	8.85	87.03	371.22	232.94	332.14	289.02	397.93	291.04	265.87	249.73	116.78	131.51	97.36	105.89	0.0	0.49
FAM27E3	39.5	15.56	74.58	6.11	23.08	74.06	61.68	36.01	79.45	32.13	2.51	15.34	5.96	31.9	0.0	0.49
FAM84A	6471.02	8191.0	373.81	98.73	163.28	273.37	417.77	353.59	157.68	131.51	214.27	7.4	82.87	19.68	0.0	0.55
FBN1	21.94	1794.29	1437.15	341.51	571.05	921.88	1233.75	1216.75	1242.34	974.5	161.02	148.09	497.0	14.67	0.0	0.89
FBXO39	13.93	23.25	54.72	2.27	8.92	28.45	52.45	5.36	7.63	17.77	1.41	0.0	2.78	0.0	0.0	0.13
GABARAPL2	6426.31	3257.52	3168.41	2835.7	3103.19	2935.74	4066.71	3303.0	3103.19	3794.3	3060.45	3901.01	2555.58	1359.57	0.0	0.91
GABPB1	173.85	223.41	323.03	162.14	193.01	277.2	307.69	283.05	271.48	295.11	185.11	85.82	157.68	121.79	0.0	0.19
GPIHBP1	16.63	132.44	1225.22	303.44	217.27	285.03	423.61	679.29	521.76	178.77	58.71	15.91	94.67	35.76	0.0	0.0
GPR85	31.22	15.8	103.69	22.75	107.38	90.14	205.5	195.72	76.17	111.99	13.83	1.23	8.92	7.06	0.0	0.0
GPX8	37.59	269.6	583.07	620.67	559.28	665.29	1359.57	842.36	896.64	830.75	669.92	332.14	466.88	181.28	0.0	0.35
HERC2	356.05	688.78	703.28	373.81	429.54	563.18	723.08	665.29	629.35	529.06	444.72	555.41	473.41	420.68	0.0	0.97
HID1	19.82	57.08	307.69	87.03	202.66	283.05	351.14	518.15	248.0	332.14	90.14	181.28	61.68	144.01	0.0	0.85
IFNGR1	1369.04	4512.4	2271.4	1709.26	1745.2	2133.97	3039.3	1819.35	1857.6	2018.8	1331.57	612.11	1286.18	647.07	4704.07	223.41
IFT80	171.45	256.78	403.5	293.07	295.11	432.53	518.15	435.55	291.04	312.0	97.36	198.47	180.02	153.34	0.0	0.16
IL4R	921.88	371.22	1167.14	688.78	878.17	1088.92	1417.35	1127.35	1359.57	1044.52	567.1	137.14	518.15	136.19	0.0	0.83
ITGA10	7.82	15.22	185.11	11.55	27.84	107.38	108.14	76.17	67.12	49.91	11.04	4.66	6.73	2.61	0.0	0.71
ITGA5	85.82	120.1	4210.15	1407.55	2609.3	3395.89	5555.65	5183.54	4419.52	4095.0	1059.11	215.77	988.12	131.51	1721.16	438.59
JMJD1C	540.19	848.22	974.5	532.74	674.59	1427.22	1199.98	1104.13	1096.5	878.17	674.59	281.09	642.59	486.75	0.0	0.35
JPH3	2.12	12.83	7.06	0.39	1.73	2.81	5.41	2.16	2.56	1.64	1.41	0.42	1.39	0.85	0.0	0.27
KCND1	22.43	14.35	36.53	6.11	18.56	29.06	33.06	33.06	34.75	42.41	10.96	8.71	9.78	18.56	0.0	0.45
KCTD8	7.82	7.75	1.04	0.0	1.01	0.69	4.28	1.41	1.43	0.4	0.35	1.22	0.0	11.82	0.0	0.01
KIT	108.9	148.09	287.01	95.34	88.88	260.38	775.05	329.84	329.84	217.27	18.43	12.27	40.64	6.73	0.0	0.45
KNOP1	305.55	444.72	392.44	234.57	246.28	406.31	466.88	470.14	429.54	379.04	314.17	285.03	316.37	212.78	0.0	0.05
KRBOX1	15.91	58.71	24.28	14.24	18.43	6.67	55.49	12.55	57.89	63.0	10.79	2.51	15.45	0.0	0.0	0.32
L1TD1	0.95	6.26	3.86	0.75	2.05	2.1	8.65	7.46	5.02	8.85	2.78	0.41	2.07	0.42	0.0	0.01
LMOD3	1.1	2.1	2.81	0.75	1.71	5.19	6.84	3.2	2.89	2.41	0.71	0.41	0.36	0.84	0.0	0.0
LMX1A	0.68	8.65	0.35	0.0	1.36	5.54	5.41	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LTBP3	262.2	624.99	1437.15	563.18	1233.75	2255.7	1806.78	1066.48	1540.37	1350.18	547.75	312.0	406.31	371.22	0.0	0.82
LURAP1L	339.14	397.93	603.67	170.25	325.29	575.03	830.75	441.64	575.03	301.33	52.08	50.63	123.5	53.95	0.0	0.61
LXN	285.03	249.73	1427.22	753.83	796.86	995.0	2609.3	2018.8	1551.09	1127.35	400.71	212.78	665.29	356.05	0.0	0.25
LY6G5C	7.82	92.05	100.83	35.0	96.01	135.24	181.28	137.14	130.6	151.22	85.22	13.62	49.21	60.82	0.0	0.32
LY75	599.49	412.0	144.01	70.01	105.89	195.72	603.67	191.67	134.3	215.77	151.22	229.72	299.25	13.62	0.0	0.37
MAGED2	454.09	1397.83	5751.61	2520.38	4481.23	4543.8	6294.04	6652.97	6471.02	5751.61	2875.3	3235.01	3212.66	2777.33	0.0	0.82
MAMSTR	97.36	48.52	20.56	3.82	14.67	24.81	33.78	35.76	35.25	57.08	8.78	8.65	7.28	3.82	0.0	0.36
MECOM	403.5	182.55	896.64	112.77	339.14	825.0	1088.92	967.76	555.41	466.88	136.19	62.12	111.21	11.3	0.0	0.49
METTL4	87.03	132.44	251.48	118.43	117.6	221.86	368.65	191.67	193.01	244.57	134.3	64.8	137.14	55.89	0.0	0.24
MLKL	287.01	303.44	616.37	154.42	420.68	559.28	651.58	563.18	575.03	493.56	287.01	61.68	185.11	205.5	0.0	0.67
MMP13	5791.62	4328.55	0.36	0.0	0.0	2.76	86.43	0.0	3.56	0.8	0.35	0.0	0.0	0.0	0.0	0.23
MOB3C	262.2	406.31	532.74	239.52	273.37	376.41	497.0	507.46	423.61	339.14	264.03	122.64	287.01	88.88	0.0	0.43
MSANTD2	77.25	134.3	211.31	49.91	100.13	228.13	194.36	154.42	241.19	181.28	71.5	25.91	56.28	57.49	0.0	0.61
MYZAP	30.78	441.64	26.47	8.85	10.0	33.54	77.25	35.25	33.54	15.45	27.25	4.03	4.74	1.64	0.0	0.13
NASP	1950.0	1313.23	2271.4	703.28	884.29	2090.03	2255.7	2119.22	1857.6	1697.45	1015.93	376.41	674.59	591.22	0.0	1.22
NAV1	423.61	100.83	438.59	133.36	162.14	420.68	457.25	493.56	336.79	244.57	66.65	75.64	80.57	44.57	169.07	55.49
NCK1	2997.45	5479.15	1037.29	981.29	854.13	1015.93	1639.59	1127.35	708.18	819.3	909.17	334.46	638.15	329.84	0.0	0.78
NGFR	157.68	165.57	511.0	197.09	429.54	521.76	642.59	470.14	249.73	575.03	51.71	25.72	205.5	33.06	0.0	0.52
NOD1	99.43	120.1	358.54	72.52	145.02	327.56	353.59	336.79	279.14	211.31	87.03	29.06	70.51	52.82	0.0	0.6
PCID2	476.71	656.11	703.28	414.87	555.41	665.29	718.08	651.58	669.92	769.69	473.41	403.5	392.44	356.05	0.0	0.96
PDCD10	2224.63	1119.56	825.0	769.69	780.44	884.29	1199.98	813.63	796.86	915.51	674.59	813.63	703.28	902.89	0.0	0.87
PIAS3	713.11	1104.13	872.1	299.25	532.74	669.92	808.0	764.36	693.58	638.15	312.0	164.42	295.11	150.17	0.0	1.07
PIBF1	178.77	307.69	251.48	149.12	157.68	167.9	373.81	281.09	223.41	426.57	208.38	70.51	165.57	157.68	0.0	0.32
PKP1	3.003205688E7	2.49061716E7	45.53	18.29	1.73	52.08	144.01	14.24	74.58	198.47	1.07	0.0	17.13	0.87	0.0	0.99
PLD1	5255.91	3614.55	507.46	395.18	426.57	269.6	1225.22	620.67	769.69	423.61	215.77	514.56	384.34	343.89	0.0	0.69
PNMT	2.01	241.19	1.79	1.53	1.39	2.12	8.71	5.02	1.83	2.05	0.0	1.66	0.0	1.28	0.0	0.18
POLM	395.18	454.09	389.72	154.42	265.87	363.56	366.09	346.29	412.0	373.81	264.03	137.14	186.4	132.44	0.0	0.93
PRKCG	3.03	0.0	1.07	0.0	0.36	0.37	0.74	0.0	0.38	0.83	0.0	0.0	0.36	0.0	0.0	0.19
PROCR	260.38	234.57	1159.07	733.19	819.3	902.89	1806.78	1183.45	1378.57	1781.89	718.08	414.87	507.46	169.07	0.0	0.23
PROX1	5.96	23.42	19.39	1.79	5.23	14.45	18.84	18.29	5.23	5.06	1.31	0.37	3.32	3.59	0.0	0.3
PRPH	2.05	33.3	26.28	1.16	16.39	19.53	156.59	100.13	2.58	253.23	0.0	7.0	8.32	129.69	0.0	0.15
RP11-347C12.3	8.85	58.3	89.51	23.08	59.13	108.14	119.26	141.02	56.28	70.51	22.92	48.52	28.24	9.7	0.0	0.36
RP11-872D17.8	62.56	68.07	108.9	20.41	27.64	59.97	128.79	70.01	112.77	68.55	13.32	0.0	4.17	5.06	0.0	0.18
RSU1	825.0	1111.82	2895.31	1427.22	2018.8	2061.24	3443.31	3303.0	2701.35	3303.0	1794.29	1088.92	1008.9	1135.2	0.0	0.58
RYK	775.05	1096.5	796.86	540.19	599.49	921.88	1015.93	825.0	656.11	825.0	285.03	387.02	366.09	287.01	0.0	0.82
SCLT1	108.14	134.3	154.42	53.95	78.34	140.04	126.12	152.28	135.24	127.89	79.45	18.43	72.52	33.78	0.0	0.39
SHOX2	8.58	25.35	3.86	1.5	1.36	4.5	15.34	3.89	2.16	2.01	2.43	0.0	1.04	0.84	0.0	0.42
SLC27A3	441.64	660.68	2434.5	656.11	1030.12	1331.57	2224.63	2104.58	2178.83	1529.73	1066.48	172.65	432.53	426.57	0.0	0.0
SLFN12	7.06	43.94	244.57	118.43	117.6	339.14	295.11	234.57	206.94	226.54	163.28	32.59	218.79	97.36	0.0	0.52
SPINK1	591.22	31.22	199.85	39.22	228.13	507.46	759.08	0.0	848.22	444.72	3.23	0.0	0.0	0.0	0.0	0.46
SPOP	571.05	693.58	1199.98	679.29	842.36	1008.9	1127.35	1088.92	974.5	1023.0	616.37	490.14	1030.12	483.38	769.69	264.03
ST3GAL4	2997.45	1498.22	559.28	195.72	476.71	476.71	603.67	497.0	684.02	656.11	197.09	94.01	217.27	82.87	0.0	0.87
STIM2	211.31	220.32	612.11	236.21	299.25	612.11	587.13	603.67	555.41	423.61	316.37	100.83	178.77	97.36	341.51	220.32
STX2	12.27	31.67	363.56	180.02	236.21	447.82	420.68	327.56	323.03	343.89	223.41	178.77	181.28	146.03	0.0	0.62
SULT1A4	86.43	483.38	684.02	163.28	221.86	559.28	457.25	454.09	536.45	389.72	145.02	29.27	88.26	54.72	0.0	0.31
SYT7	16.75	103.69	16.63	3.35	15.68	16.39	29.27	29.27	4.62	22.92	3.44	0.41	2.39	2.89	0.0	0.57
TBX6	1216.75	450.94	57.08	17.38	69.52	77.79	163.28	66.18	54.33	49.56	21.32	16.03	30.56	9.7	0.0	0.4
TCEA2	157.68	420.68	1277.29	571.05	947.83	1030.12	1397.83	1794.29	1832.01	1350.18	708.18	1111.82	454.09	1135.2	0.0	0.58
THSD1	76.17	186.4	269.6	41.52	72.52	217.27	332.14	547.75	269.6	224.97	53.19	7.11	59.55	8.51	0.0	0.38
TIAM1	2255.7	2664.15	93.35	81.71	121.79	106.63	295.11	169.07	111.21	137.14	137.14	15.68	51.35	9.27	86.43	50.98
TLE6	11.55	7.17	37.05	6.46	27.64	23.76	108.9	38.4	57.89	73.54	4.24	1.27	5.59	43.63	0.0	0.35
TMCO6	217.27	329.84	295.11	76.17	183.82	275.28	325.29	255.0	305.55	303.44	186.4	125.24	212.78	88.88	0.0	0.33
TPM4	16269.83	15934.98	8901.53	3901.01	5517.27	8247.98	10659.59	10154.69	8778.97	7537.18	3419.52	1757.34	3690.52	860.08	10808.41	2004.85
TRAM2	19.11	56.68	351.14	127.0	241.19	387.02	441.64	368.65	376.41	277.2	96.68	31.22	131.51	22.75	0.0	0.67
TSPAN15	185.11	131.51	1769.57	583.07	802.41	1225.22	1819.35	2104.58	1487.87	1175.27	802.41	395.18	287.01	231.32	0.0	0.6
U82695.9	0.0	0.0	6.16	0.0	0.0	3.56	4.82	1.1	5.92	1.23	1.07	0.0	0.0	0.0	0.0	0.15
UACA	1167.14	1508.65	2758.13	607.87	1001.93	2627.46	2739.08	2400.97	3235.01	2193.99	785.88	139.07	684.02	264.03	0.0	0.21
UBTD1	612.11	283.05	438.59	351.14	260.38	258.57	532.74	656.11	500.46	327.56	228.13	320.8	211.31	470.14	0.0	0.49
UGGT2	29.7	85.22	253.23	114.36	204.07	248.0	329.84	255.0	229.72	269.6	102.25	248.0	122.64	145.02	0.0	0.62
WFS1	20.41	232.94	567.1	463.65	341.51	343.89	656.11	665.29	493.56	336.79	320.8	291.04	346.29	293.07	187.71	108.14
XG	5672.41	1397.83	42.11	7.34	17.25	36.27	129.69	31.22	59.97	2.39	11.21	0.0	5.06	0.0	0.0	0.26
ZDHHC14	82.87	87.65	255.0	127.0	186.4	229.72	303.44	307.69	215.77	166.73	127.0	40.64	118.43	57.49	0.0	0.39
ZNF143	389.72	429.54	426.57	237.86	283.05	309.83	470.14	307.69	368.65	376.41	275.28	183.82	249.73	149.12	0.0	0.01
ZNF174	106.63	169.07	204.07	93.35	206.94	157.68	303.44	202.66	197.09	228.13	180.02	150.17	129.69	148.09	0.0	0.0
ZNF227	117.6	152.28	327.56	141.02	205.5	353.59	325.29	285.03	307.69	316.37	150.17	108.14	152.28	85.22	0.0	0.27
ZNF438	65.26	131.51	142.01	83.45	116.78	150.17	181.28	147.06	170.25	189.02	154.42	52.45	79.45	66.18	0.0	0.4
ZNF443	92.05	139.07	80.01	34.51	49.91	87.03	80.57	89.51	77.79	67.59	34.51	22.1	49.56	63.0	0.0	0.09
ZNF785	72.01	82.87	176.29	28.65	98.04	180.02	166.73	136.19	217.27	159.9	95.34	81.14	99.43	82.29	0.0	0.62
