	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.145MN.1726.SM.5SIA6	GTEX.144GM.1226.SM.5LU52	GTEX.147JS.2526.SM.5S2Q8	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.13OW6.2126.SM.5N9GL	GTEX.VJYA.2026.SM.4KL1K	GTEX.XV7Q.2126.SM.4BRVX	GTEX.12KS4.2426.SM.5LU8P	GTEX.PX3G.1426.SM.48U1J	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.ZVT3.2126.SM.59HL2	GTEX.P78B.1826.SM.3P5YX
CYTH3	149.12	120.94	167.9	119.26	536.45	178.77	182.55	177.53	371.22	229.72	128.79	483.38	343.89	483.38	128.79	0.0	0.71	279.14	358.54	684.02	376.41
DACT3	32.59	23.93	26.1	35.5	571.05	38.67	22.59	47.17	356.05	293.07	89.51	406.31	493.56	371.22	23.76	0.0	0.32	94.01	423.61	480.04	218.79
DLGAP4	409.15	473.41	463.65	500.46	1388.16	567.1	500.46	591.22	1066.48	866.07	503.95	1066.48	934.76	1104.13	483.38	0.0	0.6	878.17	1397.83	1745.2	872.1
DPT	39.5	129.69	74.06	91.41	8191.0	135.24	165.57	249.73	4937.99	2240.11	140.04	4512.4	3491.39	4512.4	208.38	0.0	0.35	1015.93	4575.41	5791.62	1697.45
DUSP26	13.32	6.94	12.09	17.9	165.57	14.35	28.24	27.05	54.33	58.3	35.5	92.05	108.9	147.06	28.65	0.0	0.18	38.67	67.12	109.66	49.56
EFCC1	59.55	50.63	47.84	109.66	358.54	53.57	85.22	133.36	260.38	139.07	70.51	197.09	156.59	180.02	40.64	0.0	0.17	55.89	81.14	281.09	116.78
EHBP1	197.09	140.04	159.9	164.42	555.41	199.85	197.09	206.94	454.09	305.55	181.28	518.15	511.0	571.05	151.22	0.0	0.51	237.86	460.44	567.1	392.44
EPN2	167.9	191.67	189.02	287.01	476.71	277.2	237.86	260.38	403.5	305.55	283.05	476.71	339.14	486.75	194.36	0.0	0.56	325.29	490.14	616.37	521.76
FAM13B	248.0	169.07	170.25	164.42	305.55	189.02	167.9	237.86	371.22	348.71	136.19	373.81	325.29	295.11	163.28	0.0	0.4	169.07	327.56	417.77	291.04
FAM13C	49.91	31.22	34.26	10.39	165.57	57.89	36.79	40.07	197.09	121.79	33.78	249.73	110.43	202.66	24.63	0.0	0.0	53.19	128.79	351.14	202.66
FAM171A2	3.96	2.56	1.93	0.8	56.68	9.63	2.94	3.86	14.35	5.68	13.42	11.3	14.89	19.25	4.7	0.0	0.16	11.82	29.06	59.55	35.5
FAM180A	8.58	10.16	7.06	0.56	275.28	16.63	31.22	15.22	102.97	27.44	14.78	96.01	33.78	133.36	14.14	0.0	0.13	72.52	123.5	172.65	60.82
FAM180B	3.29	4.06	2.53	5.77	49.56	0.0	6.11	11.91	45.21	6.94	3.03	44.25	20.71	24.63	5.32	0.0	0.0	9.41	50.63	70.51	10.79
FCHSD1	138.1	127.89	237.86	177.53	583.07	429.54	231.32	255.0	447.82	314.17	305.55	463.65	403.5	743.43	239.52	0.0	0.97	249.73	551.56	728.11	563.18
FIGF	11.55	13.42	3.5	10.24	226.54	34.26	15.68	40.64	90.77	57.49	20.26	343.89	126.12	148.09	6.26	0.0	0.21	83.45	126.12	444.72	320.8
FOXF2	169.07	175.07	186.4	109.66	1242.34	236.21	256.78	177.53	713.11	454.09	236.21	854.13	607.87	718.08	167.9	0.0	0.64	267.73	470.14	780.44	518.15
FOXL1	75.64	54.33	96.68	90.14	332.14	120.94	89.51	81.71	180.02	49.21	99.43	201.25	113.56	166.73	98.04	0.0	0.33	19.68	70.51	102.25	62.12
FXYD1	182.55	175.07	397.93	231.32	4268.94	197.09	293.07	258.57	1233.75	1001.93	483.38	1745.2	1572.76	3372.43	190.34	0.0	0.34	403.5	1950.0	5006.93	1259.69
GALNT16	17.13	15.45	6.73	28.24	241.19	36.79	16.88	15.56	195.72	85.22	36.53	127.89	73.54	236.21	32.82	0.0	0.27	81.14	149.12	253.23	100.13
GCK	6.16	7.94	4.7	4.06	48.18	7.11	0.39	3.56	19.97	10.55	21.01	14.24	24.46	33.3	3.86	0.0	0.22	0.0	20.11	53.57	37.59
GJC2	2.84	4.1	4.39	2.68	123.5	3.86	5.19	9.27	61.68	45.21	6.16	52.45	63.45	49.56	3.79	0.0	0.17	8.0	57.49	91.41	41.81
GLIS1	6.94	15.8	7.34	59.97	76.71	4.7	7.88	15.45	17.64	17.51	14.24	20.26	8.06	15.68	6.26	0.0	0.2	14.35	40.07	64.8	55.49
GOLGA7B	0.42	0.01	0.36	0.04	2.05	1.85	0.0	0.65	1.77	0.68	0.88	3.06	0.23	3.82	0.04	0.0	0.02	0.82	3.44	4.62	3.17
GPC5	0.0	1.81	5.02	5.32	10.31	8.99	2.05	0.39	11.64	5.96	4.78	10.39	5.28	24.28	0.39	0.0	0.0	3.03	4.62	8.25	3.59
GPR124	84.04	63.89	67.59	84.04	764.36	140.04	100.83	84.04	486.75	339.14	170.25	420.68	511.0	679.29	96.68	0.0	0.42	151.22	341.51	848.22	466.88
GRIK5	9.48	8.92	9.06	9.13	159.9	12.36	11.13	13.93	112.77	105.89	15.56	113.56	119.26	98.73	9.48	0.0	0.41	14.35	82.87	100.83	42.41
GSTM5	30.12	100.13	73.03	48.52	1304.15	118.43	43.94	67.59	507.46	320.8	234.57	587.13	454.09	579.04	70.51	0.0	0.21	71.0	454.09	909.17	318.57
HLF	23.93	19.53	13.93	12.27	117.6	15.91	27.05	17.64	199.85	95.34	18.7	178.77	176.29	120.1	17.13	0.0	0.13	38.4	137.14	287.01	71.5
HOXA4	44.57	82.29	27.44	68.55	346.29	114.36	31.45	96.01	170.25	92.05	94.01	206.94	102.97	316.37	47.5	0.0	0.56	75.64	336.79	532.74	262.2
IGJ	499455.67	419990.32	506427.83	472513.8	636586.81	602247.76	506427.83	641014.63	509950.32	343510.77	602247.76	506427.83	417089.23	414208.18	414208.18	7803.01	9876.98	641014.63	453265.5	103551.29	299043.36
INSRR	0.0	0.0	0.78	0.38	2.73	0.56	0.0	0.39	0.89	1.19	0.0	0.58	1.22	1.11	0.0	0.0	0.12	3.66	6.31	16.51	11.64
ISG15	616.37	368.65	473.41	728.11	4038.61	981.29	599.49	305.55	8078.22	1183.45	1066.48	1529.73	1167.14	3103.19	363.56	0.0	0.57	1674.06	2004.85	4639.29	1651.0
ITGA2B	0.97	1.62	4.5	5.82	23.25	2.01	4.13	0.66	10.79	12.18	2.92	10.0	10.47	27.84	1.46	0.0	0.52	2.66	18.03	27.25	17.25
JAKMIP2	6.06	5.41	7.88	2.1	21.32	4.21	6.67	4.35	6.52	7.88	5.96	18.84	7.28	37.59	3.63	0.0	0.12	6.52	25.91	43.02	23.59
JAM2	116.78	85.22	126.12	90.14	819.3	190.34	152.28	127.0	435.55	187.71	118.43	748.61	457.25	1143.1	59.55	0.0	0.1	287.01	466.88	1340.84	587.13
JAZF1	52.08	56.28	52.45	50.27	450.94	70.01	67.12	89.51	314.17	229.72	86.43	397.93	256.78	332.14	60.39	0.0	0.47	175.07	281.09	341.51	204.07
KCNQ5	2.48	2.41	2.92	3.2	12.83	4.1	5.19	3.23	11.21	8.99	3.38	16.63	6.46	8.51	1.93	0.0	0.32	6.46	12.55	14.89	8.92
KIAA1755	15.8	13.32	20.41	10.88	248.0	50.27	15.0	24.63	127.0	69.03	37.32	128.79	139.07	176.29	37.05	0.0	0.21	74.06	70.51	241.19	131.51
KIRREL3	4.66	17.0	8.71	12.36	90.14	12.83	11.73	4.46	51.71	16.51	13.22	45.21	26.86	87.03	11.21	0.0	0.16	11.47	36.53	45.85	12.83
LGI4	128.79	105.15	299.25	100.83	947.83	154.42	223.41	221.86	320.8	356.05	111.99	450.94	334.46	2384.37	145.02	0.0	0.3	71.5	253.23	473.41	142.01
LRRC3B	2.25	2.29	5.87	3.59	35.0	8.99	5.63	3.03	16.03	9.63	1.04	19.11	14.14	15.22	2.73	0.0	0.0	12.36	21.01	61.25	41.52
LTBP4	2997.45	3372.43	3190.46	3639.7	19754.96	4671.57	4298.64	3639.7	9344.14	4937.99	4972.34	14361.31	5751.61	10585.95	2816.11	0.0	0.52	4358.66	8191.0	17558.94	7280.4
MAB21L1	3.23	6.89	6.11	1.31	32.82	4.58	6.01	3.23	14.89	12.83	4.98	21.01	15.34	34.51	3.76	0.0	0.0	5.36	12.18	22.59	12.45
MAP6	8.92	11.73	18.84	10.55	215.77	11.38	13.62	19.97	120.94	114.36	30.12	163.28	185.11	150.17	6.94	0.0	0.21	37.32	127.0	236.21	95.34
MATN2	1175.27	830.75	836.53	738.29	6471.02	1044.52	947.83	718.08	3039.3	1183.45	860.08	2739.08	1540.37	3794.3	406.31	0.0	0.39	507.46	1286.18	2537.92	1216.75
MDGA1	12.64	3.86	27.44	20.41	147.06	38.4	9.34	13.93	119.26	45.53	30.34	104.42	32.59	34.75	5.11	0.0	0.3	13.52	78.89	159.9	98.73
MEIS1	90.77	53.95	70.51	94.01	860.08	73.03	85.82	82.87	511.0	536.45	100.13	660.68	595.34	616.37	57.89	0.0	0.65	346.29	684.02	808.0	325.29
METTL24	6.62	10.08	8.78	8.0	62.12	10.39	6.84	11.04	106.63	57.08	8.71	100.13	86.43	80.57	12.64	0.0	0.29	23.42	89.51	135.24	68.55
MPPED2	5.19	3.03	1.28	4.74	62.12	3.11	2.41	9.93	41.81	27.05	1.93	49.56	49.91	62.12	4.13	0.0	0.23	12.64	57.49	96.68	27.64
MROH7	129.69	41.22	63.45	77.79	197.09	105.15	53.19	37.59	171.45	295.11	14.14	291.04	163.28	123.5	27.05	0.0	0.54	20.26	71.5	121.79	61.68
MROH7-TTC4	13.72	6.78	14.45	6.26	31.45	18.56	4.78	2.51	23.42	37.85	4.31	34.02	23.76	18.16	9.7	0.0	0.06	0.03	11.3	13.83	7.51
MYH7B	18.56	6.84	16.63	1.01	42.11	8.65	41.22	9.34	16.63	11.13	7.22	63.0	22.1	39.79	10.88	0.0	0.39	4.66	26.47	57.89	17.38
NOVA1	23.42	24.46	10.39	14.24	232.94	22.43	24.11	37.32	224.97	127.89	25.72	165.57	80.01	205.5	18.84	0.0	0.38	23.08	126.12	204.07	41.52
NXNL2	0.52	0.0	2.94	0.0	22.59	1.68	1.87	7.06	6.11	7.94	6.89	10.31	5.45	11.55	2.76	0.0	0.06	0.0	8.0	17.25	7.57
PCBP4	155.5	169.07	221.86	187.71	995.0	312.0	241.19	242.88	490.14	543.96	341.51	514.56	490.14	679.29	165.57	0.0	0.69	373.81	660.68	1066.48	624.99
PDLIM7	441.64	334.46	447.82	397.93	6037.61	441.64	463.65	660.68	4769.75	2997.45	579.04	3768.09	4607.24	5633.22	412.0	2400.97	381.68	1757.34	5831.91	7331.05	1745.2
PEAR1	29.06	40.07	37.85	20.11	183.82	61.68	49.56	58.71	131.51	55.89	39.5	172.65	74.06	293.07	47.84	0.0	0.67	43.63	109.66	177.53	80.57
PGAM2	5.28	9.7	12.45	8.65	64.8	13.22	12.83	5.5	43.02	40.64	34.26	49.56	14.14	6.11	5.77	0.0	0.54	15.0	31.22	77.79	49.56
PKNOX2	17.51	14.56	10.96	21.47	170.25	18.97	23.08	16.15	92.7	43.32	33.3	78.34	75.64	119.26	19.68	0.0	0.37	11.21	39.22	189.02	63.45
PLCD4	29.48	18.43	32.59	15.91	204.07	36.01	33.3	27.84	167.9	128.79	28.65	159.9	191.67	84.04	19.82	0.0	0.36	65.26	163.28	187.71	73.03
PLEKHH2	52.82	37.85	28.65	42.71	246.28	58.71	48.52	81.71	145.02	94.67	35.0	211.31	208.38	258.57	21.47	0.0	0.47	98.04	175.07	444.72	223.41
POGZ	426.57	271.48	450.94	346.29	909.17	514.56	414.87	647.07	688.78	599.49	285.03	954.43	785.88	878.17	447.82	366.09	226.54	262.2	934.76	1304.15	1008.9
POU6F1	43.94	49.21	55.1	60.39	363.56	82.29	73.03	62.56	187.71	170.25	71.0	226.54	153.34	320.8	66.65	0.0	0.71	127.0	327.56	384.34	246.28
PPP1R3G	10.63	12.18	19.97	7.69	101.54	35.0	15.8	3.23	29.48	44.89	19.82	62.12	91.41	93.35	23.93	0.0	0.06	7.34	29.48	108.9	56.68
PPP2R2D	343.89	420.68	470.14	381.68	591.22	412.0	397.93	397.93	473.41	525.39	429.54	543.96	473.41	500.46	429.54	0.0	0.56	376.41	563.18	813.63	466.88
PRRT2	63.0	139.07	146.03	68.07	366.09	134.3	96.01	104.42	152.28	231.32	63.89	332.14	202.66	289.02	126.12	0.0	0.97	52.82	108.14	185.11	114.36
PURG	0.93	0.04	0.58	0.57	14.45	2.25	0.0	2.32	2.84	4.31	5.32	8.0	4.43	7.22	2.32	0.0	0.05	1.3	9.56	14.89	9.41
RBP1	175.07	215.77	204.07	571.05	7966.99	325.29	181.28	301.33	1794.29	318.57	444.72	1081.39	616.37	4972.34	327.56	0.0	0.73	414.87	638.15	928.3	743.43
RGS9	15.45	11.82	25.17	36.01	145.02	33.78	31.45	26.28	71.5	61.25	45.85	124.37	117.6	149.12	25.35	0.0	0.24	43.94	102.97	186.4	57.89
RND2	4.82	5.11	10.0	4.62	94.01	17.0	20.11	4.7	80.57	92.7	27.64	78.89	82.29	124.37	3.44	0.0	0.38	12.36	53.95	110.43	42.71
RNF169	68.55	55.49	52.45	60.39	96.68	88.88	73.03	61.25	92.05	62.12	37.85	119.26	88.88	90.77	54.33	0.0	0.39	77.25	96.68	204.07	127.0
RORB	1.1	1.51	1.31	0.0	7.4	0.97	1.07	0.69	3.14	1.35	1.81	3.86	2.29	6.84	1.31	0.0	0.0	4.1	16.15	22.1	8.0
RUNX1T1	25.91	8.32	12.64	3.26	145.02	14.89	20.71	13.62	82.87	73.03	21.94	102.25	120.1	106.63	12.36	0.0	0.38	20.56	162.14	232.94	71.0
SAMD4A	43.94	53.19	52.08	133.36	269.6	53.95	63.0	71.5	177.53	423.61	45.21	253.23	208.38	400.71	65.26	127.0	129.69	169.07	226.54	403.5	100.13
SCN11A	2.14	3.72	4.86	2.27	29.06	6.21	7.06	6.06	11.91	11.47	3.47	17.25	11.13	14.67	3.63	0.0	0.0	1.17	5.41	6.31	1.48
SCN7A	38.67	20.56	28.04	12.64	291.04	16.15	24.63	29.48	255.0	120.1	9.06	212.78	215.77	262.2	21.78	0.0	0.42	14.67	138.1	231.32	42.71
SERTAD2	241.19	249.73	198.47	231.32	392.44	255.0	162.14	275.28	242.88	177.53	217.27	241.19	232.94	264.03	358.54	0.0	0.55	341.51	521.76	902.89	480.04
SFXN3	164.42	249.73	277.2	180.02	1143.1	253.23	293.07	279.14	607.87	356.05	361.04	669.92	521.76	1331.57	299.25	536.45	698.41	518.15	988.12	1427.22	536.45
SGCD	12.83	11.73	15.0	12.64	164.42	19.97	19.53	17.51	134.3	27.44	30.12	126.12	114.36	152.28	10.88	0.0	0.27	51.71	81.14	166.73	76.71
SH3PXD2A	293.07	191.67	260.38	253.23	921.88	251.48	293.07	336.79	412.0	444.72	195.72	567.1	366.09	612.11	199.85	0.0	0.71	231.32	409.15	713.11	376.41
SHISA9	7.82	1.6	3.56	1.22	67.59	7.46	6.01	2.94	26.86	15.8	2.53	23.25	28.04	33.3	0.27	0.0	0.0	7.75	14.67	17.0	7.0
SPTBN4	6.16	2.68	3.96	2.84	35.25	4.9	10.88	6.52	23.93	35.76	9.85	30.12	31.9	24.81	4.17	0.0	0.37	11.55	19.97	69.03	33.78
SSC5D	10.08	41.22	40.93	32.13	660.68	55.49	54.72	36.01	441.64	265.87	35.5	547.75	476.71	463.65	62.56	0.0	0.27	124.37	373.81	438.59	198.47
TCEAL5	1.22	3.2	6.16	2.81	88.88	3.32	6.57	3.96	32.36	13.42	13.93	29.48	38.95	47.17	3.41	0.0	0.13	8.99	28.45	46.84	19.97
TMC3	0.1	0.06	0.3	0.51	2.66	0.88	0.33	0.3	2.16	1.85	0.47	2.76	2.23	2.86	0.52	0.0	0.0	0.0	1.22	6.78	2.2
UST	10.0	17.0	21.63	27.25	178.77	19.97	22.43	27.44	111.99	60.39	18.7	123.5	95.34	120.1	29.06	0.0	0.55	75.64	135.24	220.32	87.65
ZDHHC15	3.29	4.43	3.0	3.69	37.85	6.16	7.0	6.57	29.27	12.0	4.7	42.71	17.0	50.27	3.26	0.0	0.16	8.85	43.63	64.8	29.06
ZNF621	80.57	71.5	94.01	90.77	123.5	72.01	102.97	87.65	120.94	80.01	27.84	128.79	106.63	155.5	53.19	0.0	0.48	96.68	150.17	255.0	166.73
