	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.EW.A1P7.01A.21R.A144.07	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.CJ.4882.01A.02R.1426.07	TCGA.KK.A8I4.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.HC.A48F.01A.11R.A250.07	TCGA.EJ.5494.01A.01R.1580.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.KK.A8IC.01A.11R.A36G.07	TCGA.KK.A59X.01A.11R.A29R.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.CH.5788.01A.11R.1580.07	TCGA.ZG.A9LS.01A.12R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	GTEX.13QJC.0826.SM.5RQKC
CCR6	764.36	289.02	228.13	111.21	116.78	35.76	0.48	7.22	7.69	23.42	15.56	2.01	2.12	34.75	4.74	26.86	1.38	35.0
CCR7	2351.53	738.29	1015.93	33.54	400.71	202.66	2.63	2.32	31.9	95.34	61.68	16.03	17.13	142.01	11.38	255.0	4.03	275.28
CD19	1857.6	775.05	728.11	0.0	164.42	92.7	0.0	1.0	3.66	15.56	12.74	0.95	2.56	26.28	0.0	108.14	0.36	1923.14
CD22	4512.4	1605.83	1936.53	59.13	239.52	165.57	8.78	17.64	34.51	96.01	46.84	20.26	20.11	120.94	25.54	236.21	7.69	884.29
CD3D	2758.13	1551.09	1427.22	314.17	1259.69	547.75	28.24	13.72	111.21	244.57	135.24	66.65	101.54	323.03	24.46	775.05	31.0	2400.97
CD79A	12853.63	6037.61	4607.24	4.1	1208.34	466.88	5.59	5.02	45.21	102.97	50.63	38.12	10.39	190.34	1.71	571.05	23.08	11664.82
CD79B	5517.27	3039.3	1794.29	223.41	591.22	363.56	10.16	50.63	84.63	153.34	72.01	46.18	33.3	267.73	12.55	412.0	11.04	995.0
CIITA	1757.34	872.1	1135.2	115.97	500.46	260.38	13.42	14.89	109.66	190.34	111.99	47.84	88.26	149.12	36.27	220.32	21.32	575.03
CLEC17A	417.77	186.4	195.72	8.13	37.85	12.0	0.0	0.45	1.46	8.92	1.1	0.16	0.45	11.38	0.0	19.25	0.0	48.18
CLECL1	400.71	242.88	136.19	23.25	65.72	65.26	0.0	5.96	7.11	16.27	7.11	0.0	10.39	26.86	2.73	58.71	0.8	182.55
CNR2	190.34	87.03	75.64	0.69	18.29	11.04	0.27	0.0	0.0	2.43	0.93	0.0	0.0	3.03	0.59	7.88	0.0	60.39
CORO1A	12853.63	7331.05	5403.7	366.09	2627.46	1617.0	52.82	94.67	435.55	753.83	454.09	199.85	327.56	1059.11	157.68	1832.01	114.36	5292.48
CPNE5	813.63	429.54	500.46	120.1	199.85	57.49	2.89	9.34	16.15	33.3	21.63	9.85	8.06	63.89	6.52	55.89	1.68	212.78
CST7	1950.0	1250.98	575.03	103.69	2163.77	559.28	22.43	15.45	146.03	140.04	55.1	35.5	61.68	155.5	24.46	303.44	27.84	1286.18
CTB-133G6.1	432.53	137.14	113.56	2.53	28.24	8.19	0.0	0.0	1.36	4.35	4.94	0.56	1.19	10.88	0.0	13.12	0.28	177.53
DAZL	29.7	35.5	23.59	0.0	2.51	3.66	0.0	0.0	0.0	4.98	0.83	0.72	0.0	3.29	0.0	4.74	0.0	0.0
EOMES	575.03	148.09	197.09	31.9	95.34	30.12	1.03	2.29	7.17	22.1	5.19	5.11	11.13	18.7	6.89	237.86	1.6	199.85
FAIM3	5329.3	2400.97	1685.71	77.79	842.36	503.95	22.75	19.25	65.72	267.73	208.38	45.21	62.56	220.32	78.34	403.5	38.12	2816.11
FAM129C	967.76	291.04	320.8	0.87	127.0	74.58	4.06	7.22	4.58	8.13	4.78	0.51	15.68	16.75	0.54	42.11	4.58	334.46
FAM159A	450.94	201.25	108.14	0.0	142.01	32.59	1.68	0.0	15.45	19.68	16.51	8.25	5.77	19.11	1.73	49.91	3.79	212.78
FCER2	1685.71	947.83	679.29	7.28	97.36	22.43	0.0	0.0	1.35	8.38	1.28	0.0	0.0	22.1	0.0	54.33	0.0	205.5
FCRL1	1639.59	336.79	500.46	0.0	67.12	22.75	0.0	0.0	0.41	8.78	7.63	0.0	1.01	12.83	2.1	48.87	0.36	457.25
FCRL2	599.49	172.65	218.79	1.51	52.82	29.06	0.0	1.77	1.22	5.02	3.41	1.99	0.73	9.41	0.41	37.32	0.39	486.75
FCRL3	669.92	295.11	307.69	20.71	126.12	55.1	0.41	0.0	1.58	17.9	4.39	1.03	2.36	29.48	3.17	64.34	6.11	642.59
FCRLA	1378.57	612.11	540.19	1.68	120.1	67.59	0.0	4.58	2.73	12.83	9.06	6.06	0.0	37.32	0.49	65.26	1.77	928.3
FOXC1	68.07	381.68	808.0	921.88	242.88	260.38	46.18	42.71	142.01	214.27	197.09	59.97	30.56	229.72	63.89	323.03	34.26	146.03
FUT7	131.51	84.04	52.45	0.0	31.9	9.34	0.0	2.03	5.19	4.7	2.2	0.71	2.32	6.73	0.0	13.32	0.72	20.26
FXYD7	102.25	92.7	51.35	13.03	66.65	31.67	0.0	1.97	5.28	9.63	15.0	15.91	3.11	17.64	0.0	31.22	0.0	53.57
GP1BA	507.46	154.42	132.44	3.89	20.86	10.16	4.35	4.31	7.75	10.39	4.66	2.58	10.55	9.41	0.0	16.03	7.22	34.51
GPR18	674.59	217.27	209.84	65.26	139.07	20.71	1.83	0.49	5.77	33.78	6.21	7.28	8.25	18.03	4.62	47.17	0.47	73.03
GRAPL	356.05	48.52	104.42	89.51	140.04	42.41	2.71	5.02	3.89	15.11	9.63	11.64	8.38	18.7	3.59	74.06	1.08	44.57
GTSCR1	6.89	2.07	16.88	0.0	3.99	0.0	0.0	0.0	0.0	2.32	0.0	0.0	0.0	3.2	0.0	17.38	0.0	66.65
GZMK	2209.26	1167.14	780.44	406.31	1216.75	376.41	8.45	11.82	71.0	150.17	48.52	15.68	35.25	158.79	20.26	336.79	7.82	2061.24
HBG2	2.89	6.67	3.96	119.26	6.26	6.57	0.0	3.86	0.0	6.01	0.0	0.0	1.43	3.5	1.07	13.12	0.0	11.73
HHEX	651.58	327.56	231.32	1044.52	193.01	131.51	17.0	29.27	41.81	102.25	92.7	25.72	75.11	69.52	75.11	176.29	36.79	1487.87
HLA-DOB	1870.53	1277.29	934.76	18.16	320.8	94.01	2.73	2.07	64.34	50.98	35.0	15.0	13.72	47.5	12.36	132.44	4.21	660.68
HOXB5	13.42	6.89	16.39	6.41	75.64	2.71	0.0	2.07	3.53	57.08	4.17	2.66	0.0	4.43	1.01	52.45	0.0	8.78
HOXB6	52.45	31.22	39.22	19.11	236.21	11.55	3.03	8.38	12.45	198.47	14.35	24.63	4.31	9.27	4.17	74.58	2.25	12.45
HOXB7	277.2	241.19	162.14	146.03	559.28	45.53	15.34	29.48	53.57	189.02	54.33	38.67	3.56	53.19	73.54	211.31	11.55	9.7
IGSF10	17.0	118.43	320.8	5112.16	10.31	1.57	0.71	0.37	2.76	3.35	1.5	0.66	0.69	4.9	1.08	8.13	0.0	61.68
IL12B	21.16	23.08	19.68	13.22	12.0	4.13	0.0	0.27	0.92	5.87	0.88	0.25	4.13	2.76	0.27	10.55	0.26	2.12
IL24	595.34	251.48	199.85	4.46	102.25	76.17	1.77	3.03	7.11	31.9	35.76	5.87	9.06	22.59	7.17	52.45	2.89	318.57
KIAA0125	921.88	674.59	476.71	0.0	181.28	48.52	0.0	0.27	3.5	10.63	1.64	8.99	1.48	19.53	0.0	26.67	0.0	748.61
KIR3DL1	6.16	2.12	3.35	1.83	3.2	0.39	0.0	0.35	0.0	1.23	0.0	0.0	0.34	1.6	0.71	4.86	0.33	4.9
LMX1A	0.97	1.35	6.52	25.72	0.4	0.33	0.0	0.0	1.03	0.35	0.31	0.0	0.59	0.0	0.3	8.25	0.0	1.27
LRRTM2	5.68	4.13	19.39	9.63	4.35	1.25	0.78	0.43	2.84	1.73	2.34	0.41	1.79	1.28	3.69	4.86	0.41	8.71
LTA	303.44	251.48	119.26	15.91	41.52	19.39	1.85	3.23	8.71	22.1	5.68	3.35	7.22	21.94	1.19	47.84	1.77	31.0
LTB	6121.9	4937.99	1832.01	105.89	1857.6	915.51	8.51	51.35	206.94	279.14	143.01	54.72	60.82	587.13	50.27	1832.01	17.25	1551.09
MEI1	830.75	748.61	616.37	88.88	612.11	140.04	14.24	10.31	40.64	37.32	40.64	11.04	28.24	108.14	13.22	169.07	7.51	2520.38
MS4A1	9945.68	3060.45	5594.3	26.86	514.56	211.31	0.39	0.0	5.32	71.5	16.88	1.3	3.63	122.64	3.47	343.89	1.33	8778.97
MYCN	65.26	10.79	16.39	376.41	17.51	1.46	0.34	1.97	1.48	2.73	1.41	1.85	1.6	2.27	1.69	4.86	0.32	43.63
NCF4	860.08	708.18	551.56	124.37	493.56	251.48	5.59	47.17	86.43	130.6	94.67	77.79	56.28	173.85	21.63	277.2	25.72	567.1
NCKAP1L	1457.23	775.05	988.12	130.6	423.61	178.77	6.26	23.93	97.36	208.38	104.42	35.0	70.01	195.72	50.27	221.86	19.11	591.22
NCR1	33.54	7.63	11.73	4.17	35.25	4.31	0.0	0.0	1.75	5.77	0.28	0.0	4.74	5.59	0.0	2.48	1.16	27.44
NCR3	323.03	363.56	127.0	14.24	117.6	45.85	1.97	0.79	12.18	8.78	5.06	2.68	5.77	23.08	0.0	21.94	5.02	52.82
OR3A1	1.38	0.72	1.13	0.0	16.15	0.0	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	1.73	0.0	0.0
OSTF1	1651.0	1242.34	1457.23	1191.69	1407.55	791.35	669.92	780.44	708.18	860.08	796.86	1295.13	624.99	813.63	713.11	1111.82	603.67	825.0
PCDHB15	29.06	28.45	56.28	91.41	66.18	48.87	7.06	10.55	40.93	45.85	41.22	8.32	14.56	68.07	7.63	61.68	11.82	21.78
PNOC	417.77	289.02	182.55	8.51	93.35	23.42	0.0	1.36	2.86	7.82	3.03	3.17	0.0	11.55	1.13	12.27	0.0	403.5
POU2AF1	1896.65	1001.93	1508.65	9.56	371.22	80.57	0.0	2.05	19.53	71.0	43.63	17.13	16.75	54.72	2.78	84.63	10.96	1340.84
PVRIG	665.29	441.64	211.31	107.38	303.44	145.02	7.57	9.34	23.25	43.32	25.91	6.52	34.02	63.0	21.01	105.15	13.32	256.78
RAB3C	111.99	61.25	24.28	379.04	49.91	6.31	0.0	0.0	24.81	15.22	5.36	0.0	0.87	7.22	0.28	60.82	1.14	10.55
RGL4	206.94	93.35	107.38	1.0	84.63	40.07	2.05	2.68	12.93	21.63	10.79	6.57	7.17	28.65	2.12	26.28	1.97	52.45
SASH3	3325.99	1583.71	1322.37	143.01	567.1	262.2	8.45	19.39	99.43	214.27	76.17	52.82	76.17	221.86	40.07	346.29	22.75	1250.98
SELL	4481.23	2090.03	1697.45	172.65	921.88	241.19	5.59	10.79	55.49	173.85	79.45	27.44	35.5	205.5	23.93	320.8	10.96	1709.26
SEMA7A	866.07	547.75	289.02	23.42	143.01	85.22	11.13	12.09	30.78	80.57	31.22	20.56	23.08	75.11	33.06	103.69	16.27	91.41
SEPT1	1427.22	693.58	587.13	1.598261246E7	45.85	20.71	0.0	0.0	0.0	17.38	0.0	0.0	0.0	13.32	0.0	127.89	0.0	2.669377385E7
SH2D1B	24.99	4.94	20.26	12.36	14.14	4.35	0.55	0.25	1.64	5.73	2.23	1.07	2.92	2.39	0.0	5.11	0.23	15.91
STK10	1369.04	808.0	785.88	164.42	733.19	320.8	52.82	60.82	145.02	193.01	127.0	82.87	112.77	208.38	73.54	293.07	48.87	679.29
TCL1A	2047.0	884.29	1216.75	0.0	142.01	21.63	0.0	0.0	2.51	7.17	4.62	1.1	0.0	26.1	0.0	36.01	0.0	954.43
TESPA1	665.29	237.86	348.71	50.27	183.82	80.01	6.84	9.13	25.17	70.01	31.67	21.63	13.52	105.15	9.48	138.1	6.57	307.69
TLR10	748.61	325.29	307.69	5.23	32.82	25.35	0.23	0.23	6.06	23.59	6.67	0.21	5.54	26.1	2.29	30.56	0.77	195.72
TNFRSF13B	764.36	414.87	127.0	0.0	89.51	57.49	0.0	1.46	5.87	8.06	9.7	1.08	1.45	19.68	0.0	72.01	1.39	457.25
TNFRSF13C	848.22	343.89	289.02	0.0	65.26	29.06	1.35	1.01	1.89	8.58	4.98	3.08	2.27	18.56	3.06	20.71	1.28	236.21
TREML2	215.77	85.22	59.97	0.46	10.08	2.78	0.0	0.32	0.72	1.11	1.01	0.3	0.31	1.81	0.0	3.17	0.0	17.13
VPREB3	3874.05	1508.65	802.41	0.0	285.03	186.4	9.48	23.76	19.11	27.84	16.15	5.82	11.73	77.25	8.06	325.29	10.08	497.0
XCL2	228.13	175.07	148.09	79.45	211.31	66.18	4.24	1.1	24.81	28.04	12.74	15.11	16.88	45.85	1.95	72.52	6.62	236.21
ZNF80	25.54	24.81	87.65	1.3	21.63	8.13	0.0	0.0	0.55	4.28	1.35	0.83	0.87	2.78	2.1	12.0	0.48	73.54
