	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.3K.AAZ8.01A.12R.A39D.07	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.BR.4279.01A.01R.1131.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.14BMU.1126.SM.5RQJ8	GTEX.RTLS.2626.SM.46MUJ	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.ZVT3.2126.SM.59HL2
KATNBL1	190.34	256.78	198.47	249.73	796.86	400.71	698.41	239.52	295.11	438.59	400.71	591.22	638.15
KERA	0.0	0.0	0.0	2.66	50.27	0.0	3.69	0.0	0.0	92.05	0.0	19.68	48.87
KLF17	0.0	0.0	0.0	2.73	5.77	0.0	2.05	0.0	0.37	2.01	1.08	1.93	4.7
KLHL13	3.35	10.71	30.56	17.25	157.68	8.71	52.08	49.21	33.54	138.1	23.59	88.88	121.79
LHFPL2	21.94	126.12	7.28	281.09	988.12	507.46	197.09	281.09	237.86	656.11	529.06	480.04	988.12
LIPH	2.23	29.91	3.2	2178.83	1151.06	299.25	1111.82	1135.2	674.59	1175.27	1030.12	1437.15	1359.57
LMCD1	165.57	277.2	110.43	1304.15	1605.83	148.09	371.22	457.25	389.72	813.63	819.3	941.27	1397.83
LPAR4	0.0	0.0	1.69	1.07	21.94	4.9	0.0	0.0	0.0	18.43	0.0	13.72	22.59
LPCAT2	54.33	45.21	34.02	305.55	426.57	90.77	258.57	172.65	85.82	269.6	178.77	420.68	454.09
LPHN2	339.14	476.71	173.85	1950.0	738.29	289.02	143.01	239.52	285.03	438.59	476.71	473.41	543.96
LRRN2	7.28	3.14	5.68	43.32	114.36	2.78	10.39	47.17	46.84	71.5	17.9	77.79	92.05
MAPK10	10.39	5.5	4.94	457.25	397.93	9.56	112.77	71.0	113.56	348.71	74.58	265.87	343.89
MBNL1	316.37	255.0	473.41	2384.37	1651.0	753.83	830.75	915.51	1151.06	1639.59	1427.22	1519.15	1674.06
MCTP1	9.34	7.46	16.39	145.02	555.41	87.65	153.34	123.5	69.52	291.04	173.85	279.14	497.0
MDFIC	159.9	11.91	21.94	579.04	406.31	74.06	156.59	170.25	218.79	291.04	287.01	255.0	450.94
MEF2A	152.28	111.21	137.14	547.75	974.5	361.04	236.21	381.68	346.29	909.17	473.41	813.63	1159.07
MORC3	86.43	52.45	140.04	277.2	620.67	228.13	242.88	237.86	323.03	412.0	305.55	423.61	583.07
MYOZ2	0.0	0.0	0.67	1.07	6.46	0.0	2.86	3.66	0.85	7.75	2.71	4.31	7.22
NAP1L6	0.0	1.95	0.0	12.45	3.96	0.0	0.0	0.0	0.0	4.1	1.69	2.61	2.32
NCALD	351.14	92.05	17.13	426.57	674.59	36.01	96.01	64.34	108.14	748.61	239.52	429.54	500.46
NDEL1	376.41	112.77	603.67	743.43	1135.2	373.81	493.56	423.61	638.15	1498.22	1242.34	1340.84	1477.58
NEK7	244.57	232.94	214.27	1378.57	1111.82	279.14	738.29	329.84	441.64	693.58	547.75	674.59	866.07
NPR3	2.73	1.17	7.63	343.89	63.45	2.12	24.99	20.26	6.41	55.49	9.27	27.64	78.34
NR3C1	420.68	444.72	253.23	633.73	595.34	86.43	301.33	314.17	371.22	884.29	503.95	563.18	1051.79
NRP2	32.36	16.27	24.11	599.49	656.11	348.71	134.3	143.01	255.0	830.75	202.66	571.05	642.59
NUDT11	0.56	0.45	0.0	32.59	51.35	3.79	9.7	2.2	11.21	92.05	10.0	24.63	34.75
OGN	28.24	2.27	3.96	323.03	2148.82	2.39	693.58	95.34	273.37	1769.57	102.97	1477.58	2777.33
PCDHA3	0.0	4.5	0.0	15.56	11.3	2.16	6.89	1.69	5.32	13.32	5.59	12.18	12.36
PCDHB15	3.72	4.46	3.35	31.0	59.13	6.21	10.08	19.68	17.51	42.71	28.65	37.32	56.28
PCDHGA2	3.47	0.84	1.68	23.08	48.87	3.99	2.18	12.0	12.09	62.12	9.85	38.95	43.63
PCDHGA5	0.0	4.9	0.0	12.18	35.25	5.96	4.78	2.46	19.39	22.1	5.87	24.28	33.54
PCDHGA6	0.0	2.84	0.0	22.43	38.4	14.14	8.32	10.71	13.52	31.67	10.79	28.24	41.81
PCOLCE2	260.38	217.27	130.6	1233.75	277.2	6.67	161.02	6.36	57.08	397.93	26.86	264.03	275.28
PCP4	3.03	0.0	5.32	19.11	205.5	0.0	108.9	4.06	5.59	981.29	32.82	186.4	281.09
PDLIM3	99.43	493.56	105.15	521.76	4937.99	267.73	1923.14	620.67	1119.56	5479.15	1104.13	3491.39	3372.43
PENK	0.0	1.3	1.97	68.07	194.36	22.59	4.94	40.64	13.42	371.22	31.67	55.89	255.0
PGR	0.51	0.4	0.45	18.03	24.11	1.81	6.41	7.75	5.54	46.18	6.94	20.11	44.89
PHKG1	15.68	2.12	6.52	11.91	118.43	19.68	14.14	2.27	5.68	55.1	32.59	48.87	128.79
PKIG	967.76	518.15	603.67	1350.18	2434.5	866.07	1923.14	1030.12	785.88	3146.52	1806.78	1991.0	2287.2
PMP2	0.0	0.0	0.0	0.37	55.1	0.0	9.85	2.14	1.71	16.51	11.64	10.88	65.72
PNPLA8	148.09	145.02	208.38	463.65	708.18	269.6	301.33	186.4	248.0	819.3	438.59	486.75	738.29
PNRC1	791.35	1457.23	2287.2	2287.2	5791.62	890.44	2417.67	2777.33	2119.22	6121.9	4210.15	4869.99	5147.73
PPP1R2	237.86	371.22	457.25	713.11	1651.0	718.08	1242.34	651.58	825.0	1242.34	1397.83	1135.2	1313.23
PRDM5	1.19	0.62	0.69	107.38	149.12	16.51	82.29	40.93	19.11	67.59	44.57	69.03	119.26
PREX2	7.22	1.01	2.61	81.71	97.36	30.56	24.11	21.16	33.06	65.72	81.14	94.01	127.0
PRKAR1A	1143.1	872.1	1417.35	6887.62	3349.13	1844.76	934.76	1832.01	1781.89	2997.45	2627.46	2573.36	3395.89
PRNP	785.88	373.81	438.59	1233.75	2895.31	974.5	1467.37	954.43	1151.06	3235.01	1662.49	1950.0	3018.3
PRPH	1.73	0.0	0.73	20.26	102.97	3.11	69.52	15.11	19.82	212.78	25.91	60.82	262.2
PYGO1	0.51	0.4	0.45	23.59	71.0	6.36	5.96	14.67	25.35	50.98	7.4	31.0	57.08
QKI	194.36	175.07	447.82	1662.49	1081.39	211.31	189.02	429.54	429.54	796.86	595.34	607.87	854.13
RAB8B	94.67	44.25	37.05	373.81	563.18	239.52	264.03	242.88	269.6	414.87	417.77	616.37	884.29
RABGEF1	143.01	248.0	199.85	301.33	454.09	218.79	353.59	187.71	291.04	651.58	376.41	603.67	759.08
RBFOX2	217.27	202.66	332.14	493.56	954.43	551.56	267.73	316.37	624.99	915.51	547.75	819.3	1008.9
RHOA	4836.35	6164.49	3665.02	13123.73	14867.79	5633.22	10808.41	10368.08	7642.41	12076.21	11112.3	14561.8	13492.72
RNF150	1.75	0.46	1.57	17.77	94.01	0.85	4.62	19.39	37.85	171.45	45.85	87.03	143.01
RYBP	64.34	84.63	70.51	287.01	376.41	88.88	98.73	135.24	181.28	307.69	187.71	242.88	371.22
SEC23A	351.14	158.79	518.15	255.0	1313.23	381.68	279.14	307.69	591.22	866.07	698.41	947.83	878.17
SLAIN2	269.6	193.01	283.05	1096.5	1175.27	708.18	529.06	412.0	830.75	1674.06	915.51	981.29	1208.34
SLC24A4	0.88	0.0	1.14	21.78	7.94	1.01	3.96	1.16	2.66	8.85	5.82	5.59	8.32
SLMAP	142.01	215.77	202.66	525.39	2520.38	309.83	371.22	366.09	915.51	2178.83	1143.1	1685.71	1605.83
SNAP25	9.34	8.71	136.19	28.86	156.59	2.12	173.85	12.27	35.5	269.6	55.49	39.5	156.59
SORCS2	3.47	4.94	21.01	447.82	68.07	5.11	5.19	19.53	7.28	84.63	19.53	53.95	62.12
SPRED1	33.78	27.25	21.47	309.83	518.15	194.36	186.4	178.77	141.02	199.85	162.14	241.19	500.46
SSPN	1.39	1.31	1.55	214.27	447.82	18.16	66.18	65.26	138.1	395.18	90.77	329.84	376.41
TBC1D12	52.82	65.26	79.45	175.07	264.03	121.79	283.05	122.64	138.1	180.02	164.42	180.02	197.09
TES	120.1	529.06	33.3	2240.11	1909.85	791.35	1295.13	595.34	1191.69	2573.36	1313.23	1909.85	2224.63
TFF1	0.0	1.33	0.0	1.018540392E7	177811.84	351.14	2729110.67	1503610.06	78476.96	77396.54	118127.7	148488.36	187950.38
TFF2	0.0	35.25	0.0	3383299.76	102836.01	5.73	1085552.95	394590.4	42937.97	43840.21	38164.99	56265.94	54727.32
TFPI2	13.72	6.78	4.9	22.1	417.77	18.56	42.11	77.79	7.34	248.0	178.77	31.67	371.22
THSD7A	5.15	14.24	1.51	45.21	46.18	6.31	7.51	9.7	10.79	19.25	5.92	21.78	54.33
TMEM71	9.41	4.58	12.09	61.25	163.28	41.81	72.52	39.79	70.51	144.01	88.26	135.24	194.36
TNKS2	116.78	59.97	150.17	521.76	603.67	271.48	212.78	255.0	389.72	351.14	620.67	514.56	1066.48
TROVE2	88.88	107.38	146.03	182.55	397.93	218.79	137.14	171.45	202.66	269.6	229.72	297.17	420.68
TRPC1	3.89	5.92	2.71	34.02	95.34	10.39	35.5	9.06	31.45	130.6	21.47	48.52	98.04
TSPAN2	3.17	3.82	3.14	148.09	395.18	9.48	343.89	138.1	127.0	490.14	157.68	289.02	366.09
TULP3	77.79	47.5	105.15	251.48	460.44	194.36	164.42	201.25	262.2	426.57	205.5	412.0	420.68
TVP23C	26.86	24.46	35.0	137.14	371.22	57.08	105.15	90.77	102.97	139.07	305.55	212.78	223.41
TWIST1	1.93	2.46	1.73	6.16	181.28	40.07	6.16	23.25	21.63	262.2	42.71	107.38	128.79
VCL	141.02	141.02	144.01	2720.15	1923.14	612.11	223.41	587.13	1111.82	2335.28	1183.45	2287.2	2367.9
WWTR1	113.56	92.05	183.82	1242.34	1757.34	346.29	457.25	429.54	547.75	1757.34	629.35	1529.73	1208.34
XKR4	0.0	0.0	0.0	1.0	15.56	0.0	1.13	2.07	3.76	14.14	4.82	17.13	31.9
YPEL5	1073.91	660.68	775.05	2796.65	2400.97	684.02	2777.33	1143.1	1721.16	2573.36	2591.27	2400.97	2720.15
ZBTB10	72.52	61.68	52.08	98.73	214.27	36.27	31.67	60.82	52.08	170.25	92.05	88.88	211.31
ZEB1	52.08	32.13	57.89	291.04	684.02	127.89	121.79	104.42	157.68	629.35	239.52	441.64	486.75
ZFAND6	1617.0	1286.18	1369.04	2609.3	2193.99	1037.29	2335.28	1407.55	1519.15	1857.6	1936.53	2032.85	2645.74
ZFPM2	6.41	10.79	3.53	64.34	105.89	4.39	28.86	24.63	28.86	79.45	35.5	121.79	157.68
ZNF143	162.14	305.55	127.89	159.9	540.19	275.28	320.8	195.72	277.2	460.44	267.73	441.64	656.11
ZNF254	17.0	53.95	36.79	167.9	212.78	28.45	97.36	122.64	118.43	373.81	177.53	223.41	303.44
ZNF385D	2.61	101.54	0.0	27.84	118.43	6.01	4.62	12.83	21.47	75.64	95.34	90.77	162.14
ZNF410	387.02	379.04	486.75	571.05	1059.11	555.41	1151.06	559.28	629.35	1037.29	802.41	878.17	988.12
ZNF791	59.97	45.21	74.58	181.28	341.51	90.77	171.45	180.02	162.14	264.03	414.87	392.44	540.19
