	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.A2.A0EY.01A.11R.A034.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.ZAJG.0626.SM.5HL8X	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13PVQ.1826.SM.5L3GU	GTEX.113JC.0926.SM.5H114	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
PDSS2	217.27	303.44	426.57	279.14	361.04	353.59	178.77	231.32	109.66	102.25	287.01	96.68
PEX7	206.94	454.09	327.56	351.14	358.54	480.04	244.57	215.77	72.52	57.08	0.0	0.01
PFKFB2	299.25	387.02	432.53	303.44	384.34	312.0	111.21	144.01	176.29	67.59	78.34	47.84
PNPLA4	403.5	753.83	830.75	599.49	660.68	656.11	500.46	389.72	139.07	74.58	0.0	0.04
POC1B-GALNT4	0.0	23.25	24.99	4.28	12.27	16.15	0.0	0.0	0.0	0.0	0.0	0.0
PPP4R2	521.76	848.22	813.63	759.08	748.61	808.0	447.82	785.88	457.25	587.13	665.29	151.22
PRDX4	2104.58	3018.3	3257.52	1407.55	1208.34	1417.35	1870.53	1639.59	836.53	1001.93	0.0	0.36
PRR14L	253.23	297.17	323.03	297.17	256.78	283.05	176.29	220.32	96.01	133.36	182.55	148.09
PSD3	137.14	285.03	514.56	190.34	224.97	232.94	64.34	120.94	71.5	121.79	29.7	34.51
PSMF1	2209.26	5672.41	3901.01	2287.2	2240.11	2319.15	2682.69	1963.57	1457.23	1199.98	0.0	0.91
PTPN20A	18.7	37.59	45.85	35.5	36.01	28.04	8.71	8.65	23.59	8.78	0.0	0.01
RBBP9	241.19	454.09	521.76	336.79	320.8	432.53	314.17	262.2	115.97	85.82	264.03	93.35
RP11-480I12.4	3.86	15.91	15.34	9.13	6.16	3.96	1.62	0.0	0.89	0.0	0.0	0.08
SCAMP3	1259.69	3190.46	2335.28	1417.35	1388.16	1551.09	1216.75	1397.83	616.37	575.03	2335.28	660.68
SDHAF2	1023.0	1397.83	1540.37	921.88	981.29	1023.0	1059.11	1030.12	947.83	595.34	0.0	0.18
SEC22C	633.73	1127.35	1331.57	1175.27	1250.98	1259.69	802.41	961.07	688.78	836.53	698.41	138.1
SERP1	3124.78	3820.7	5147.73	2956.17	3589.58	3874.05	2434.5	4123.49	1417.35	1745.2	0.0	0.72
SH2D6	4.5	35.76	14.56	10.0	14.78	7.51	7.82	0.88	1.04	0.0	0.0	0.21
SHQ1	130.6	325.29	358.54	269.6	285.03	314.17	255.0	260.38	145.02	84.63	0.0	0.13
SLC12A8	253.23	559.28	483.38	201.25	170.25	195.72	120.1	125.24	13.22	2.56	0.0	0.27
SLC16A13	91.41	149.12	181.28	109.66	63.45	109.66	40.36	103.69	5.92	24.28	0.0	0.0
SLC9A2	1.23	191.67	199.85	85.22	136.19	81.71	2.76	29.7	0.0	2.07	0.0	0.08
SRCRB4D	43.32	58.3	59.55	28.86	46.18	19.11	25.91	23.76	5.59	5.54	0.0	0.0
STH	0.0	2.29	6.46	0.0	6.62	5.02	0.0	0.0	0.0	0.0	0.0	0.0
TEX261	1529.73	1685.71	1819.35	1143.1	1487.87	1313.23	1216.75	1388.16	759.08	733.19	0.0	0.4
TGFBRAP1	237.86	301.33	291.04	277.2	283.05	234.57	178.77	197.09	186.4	142.01	0.0	0.2
TIRAP	140.04	343.89	214.27	260.38	249.73	228.13	145.02	180.02	107.38	57.08	0.0	0.01
TMEM218	435.55	759.08	775.05	493.56	660.68	743.43	503.95	514.56	112.77	199.85	0.0	0.1
TMEM256	1685.71	3349.13	3081.75	2163.77	2178.83	2148.82	2303.12	1651.0	1001.93	1304.15	0.0	0.71
TMEM60	629.35	941.27	1059.11	503.95	397.93	599.49	376.41	457.25	140.04	178.77	0.0	0.02
TPD52L1	368.65	4268.94	6121.9	3540.14	3103.19	3540.14	748.61	2271.4	246.28	389.72	0.0	0.61
TRAPPC1	1832.01	3742.05	3491.39	2591.27	2178.83	3303.0	1757.34	1832.01	1407.55	2178.83	0.0	0.56
TTC3	1936.53	2271.4	2609.3	1508.65	1721.16	1745.2	629.35	1359.57	884.29	1277.29	0.0	0.79
UBA3	351.14	1208.34	813.63	928.3	915.51	1044.52	656.11	890.44	579.04	607.87	0.0	0.73
UBAC2	1359.57	2335.28	2319.15	1467.37	1407.55	1639.59	1369.04	1250.98	848.22	928.3	0.0	0.92
UTP14C	269.6	567.1	500.46	309.83	346.29	400.71	151.22	299.25	126.12	103.69	0.0	0.0
VWA8	169.07	379.04	423.61	312.0	361.04	295.11	162.14	267.73	87.65	136.19	0.0	0.39
ZBED4	126.12	265.87	194.36	177.53	142.01	162.14	73.03	118.43	97.36	98.73	0.0	0.56
ZBED6CL	63.0	130.6	118.43	94.01	84.63	82.87	48.18	24.28	44.25	24.63	0.0	0.19
ZBTB7C	35.0	490.14	307.69	381.68	420.68	591.22	38.67	202.66	96.01	94.67	0.0	0.39
ZDHHC3	759.08	1769.57	1594.73	1250.98	1467.37	1127.35	890.44	954.43	830.75	753.83	0.0	0.54
ZFAND3	1721.16	2319.15	2555.58	1617.0	1639.59	2061.24	1540.37	1378.57	954.43	1037.29	1037.29	138.1
ZNF737	152.28	1081.39	780.44	409.15	612.11	551.56	189.02	473.41	34.75	124.37	0.0	0.36
ZNF835	2.39	76.71	56.68	67.59	46.84	37.85	1.87	42.41	35.25	15.45	0.0	0.0
