	TCGA.E2.A10B.01A.11R.A10J.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.E9.A245.01A.22R.A16F.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AO.A0J7.01A.11R.A034.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.FE.A232.01A.11R.A14Y.07
DEFB132	14.89	10.0	4.46	40.93	127.89	4.5	0.59	0.99	5.59	0.0	0.55	0.0
DHX33	158.79	152.28	135.24	239.52	231.32	120.94	70.01	67.12	60.82	61.25	84.04	91.41
DNAJC1	3081.75	698.41	3190.46	1487.87	5292.48	718.08	559.28	563.18	251.48	651.58	507.46	660.68
DNAJC19	4388.98	1857.6	1477.58	1794.29	3372.43	1151.06	1572.76	1397.83	743.43	1674.06	1340.84	791.35
DRD2	41.81	11.38	551.56	241.19	587.13	0.0	0.0	0.62	0.0	0.66	0.67	0.0
DYNC1I2	1883.54	2319.15	2240.11	2351.53	2451.44	733.19	514.56	395.18	387.02	476.71	466.88	1447.15
EIF3H	7180.15	4671.57	17078.76	12764.83	17197.56	1697.45	1709.26	1628.26	1151.06	1757.34	1457.23	3847.29
ERH	4512.4	5041.77	2758.13	5006.93	6607.01	2193.99	2224.63	1674.06	1883.54	1909.85	1685.71	2075.59
FAM122B	995.0	642.59	587.13	708.18	679.29	194.36	131.51	109.66	110.43	115.97	161.02	463.65
FAM155B	47.84	15.91	260.38	205.5	199.85	3.41	3.06	2.18	1.64	2.29	1.81	36.79
FANCM	58.3	81.71	52.08	87.65	162.14	45.85	13.83	16.03	0.82	26.67	16.75	34.02
FJX1	229.72	151.22	307.69	417.77	2075.59	28.65	11.38	18.03	41.81	10.39	74.58	54.72
FSD1L	90.14	85.82	88.26	91.41	172.65	15.34	6.21	2.32	4.06	6.94	14.67	34.51
FSIP1	197.09	62.56	256.78	438.59	543.96	4.98	1.73	0.53	2.34	1.06	0.56	3.86
GDAP1L1	11.13	2.73	218.79	693.58	616.37	3.86	1.46	0.0	0.0	0.0	0.0	3.86
GDPD1	115.16	84.04	157.68	175.07	191.67	28.04	9.7	10.24	5.28	14.24	25.54	38.4
GID4	116.78	98.73	182.55	212.78	185.11	98.04	92.7	80.57	69.03	113.56	75.11	142.01
GIT1	599.49	909.17	764.36	748.61	1721.16	251.48	158.79	109.66	126.12	121.79	131.51	928.3
GMNN	291.04	387.02	187.71	860.08	1183.45	525.39	241.19	161.02	191.67	264.03	194.36	167.9
GNL3	1417.35	1331.57	1583.71	1977.24	3349.13	718.08	698.41	708.18	253.23	555.41	866.07	753.83
GOLGA6L9	0.0	0.0	6.26	3.14	23.93	0.0	0.0	0.6	0.0	0.0	0.0	0.0
GPR78	2.86	0.74	6.46	4.21	6.78	0.0	0.0	0.0	0.0	0.0	0.0	0.52
GPRIN1	101.54	70.01	244.57	275.28	283.05	19.25	1.35	0.65	1.64	1.79	1.81	32.82
GRIA1	2758.13	10.31	409.15	249.73	361.04	0.0	0.73	0.0	0.0	0.67	0.0	0.0
GRPEL2	253.23	171.45	154.42	224.97	397.93	88.26	60.82	53.95	26.67	55.89	80.57	73.03
HCN2	57.89	2.46	346.29	297.17	163.28	1.97	0.83	0.73	1.22	1.31	0.0	2.84
HMGN5	764.36	381.68	435.55	119.26	1304.15	283.05	358.54	287.01	54.72	387.02	231.32	185.11
HOXC5	13.12	6.62	35.5	25.54	62.12	0.0	0.0	0.88	0.0	0.0	0.0	3.32
HRK	4.7	6.94	6.26	1.69	72.01	1.35	0.0	0.0	0.0	0.0	0.0	28.45
IGFL1	5.87	5.32	10.0	45.21	796.86	0.0	0.0	0.0	0.0	0.0	0.0	6.89
IQSEC2	438.59	389.72	1088.92	748.61	813.63	38.4	26.1	19.25	33.78	34.26	33.54	346.29
KCNJ3	2609.3	122.64	4736.79	171.45	1617.0	18.43	11.64	21.32	20.11	9.63	9.34	0.0
KCNK3	36.53	4.46	1369.04	285.03	271.48	0.67	6.31	9.85	4.31	8.85	5.32	44.25
LIN28A	1.89	0.01	48.18	241.19	332.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRTM2	41.22	1.69	559.28	463.65	409.15	0.0	0.0	0.0	0.0	0.0	0.0	0.1
MARCH4	24.63	0.37	71.0	55.1	33.06	0.57	0.0	0.0	0.0	0.0	0.0	4.17
MASTL	157.68	242.88	129.69	154.42	511.0	75.64	48.18	33.06	12.0	44.89	42.11	45.53
MED6	403.5	616.37	412.0	423.61	866.07	414.87	371.22	277.2	217.27	303.44	279.14	444.72
MNAT1	708.18	587.13	769.69	1304.15	1551.09	426.57	291.04	318.57	172.65	309.83	281.09	392.44
MTRNR2L7	0.0	0.32	3.23	0.0	3.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NAPB	281.09	156.59	785.88	669.92	518.15	90.14	61.25	43.63	37.32	49.56	62.12	115.97
NCBP1	1037.29	438.59	470.14	262.2	559.28	289.02	262.2	201.25	163.28	170.25	191.67	267.73
NGDN	791.35	1143.1	866.07	1225.22	1794.29	733.19	629.35	624.99	447.82	583.07	514.56	780.44
NKRF	156.59	139.07	134.3	223.41	275.28	87.03	83.45	82.87	49.21	59.13	114.36	132.44
NLK	435.55	379.04	283.05	368.65	2895.31	206.94	127.89	127.0	104.42	155.5	177.53	264.03
NTSR2	2.05	0.0	14.56	0.38	46.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NUP210	638.15	429.54	819.3	583.07	1208.34	217.27	162.14	143.01	146.03	162.14	145.02	124.37
OLFM1	2061.24	303.44	1066.48	656.11	3955.48	42.41	29.7	23.25	59.55	61.25	38.67	71.0
P2RX5	18.03	39.79	194.36	420.68	463.65	12.36	13.42	6.94	9.06	12.27	0.0	13.83
PAFAH1B1	1437.15	896.64	1073.91	1322.37	1551.09	587.13	460.44	490.14	441.64	500.46	665.29	1008.9
PCDHA4	128.79	53.19	116.78	70.01	191.67	2.14	0.0	1.33	0.87	0.0	0.48	4.62
PDCD10	1378.57	1950.0	1295.13	1457.23	1781.89	616.37	376.41	353.59	190.34	426.57	450.94	693.58
PFAS	384.34	211.31	198.47	438.59	493.56	187.71	165.57	101.54	149.12	100.13	112.77	228.13
PHF19	323.03	309.83	295.11	229.72	1233.75	141.02	41.52	28.86	65.72	50.27	48.52	441.64
PHF21B	31.0	18.84	480.04	341.51	189.02	0.0	0.0	0.0	0.0	0.0	0.0	6.78
PHKA1	189.02	127.0	255.0	473.41	201.25	27.05	11.55	12.09	14.14	19.11	18.97	141.02
PIGH	457.25	543.96	764.36	1331.57	1295.13	529.06	293.07	366.09	275.28	470.14	371.22	769.69
PIGX	660.68	1023.0	688.78	1030.12	1073.91	256.78	105.15	146.03	117.6	142.01	110.43	218.79
PIK3R3	1540.37	848.22	947.83	941.27	1216.75	96.01	38.95	9.85	25.17	27.05	37.59	211.31
PIP4K2C	1651.0	902.89	1081.39	1225.22	1268.46	450.94	201.25	189.02	307.69	223.41	249.73	603.67
PITPNA	1447.15	825.0	1477.58	1359.57	1467.37	813.63	514.56	540.19	679.29	503.95	563.18	1350.18
PLA2G3	35.0	0.35	5.06	148.09	395.18	0.49	0.0	0.0	0.0	0.0	0.0	6.73
PNLIP	2.25	1.19	4.86	0.0	38.67	0.0	0.0	0.0	0.0	0.0	0.0	1.06632494645E9
PNMA1	693.58	674.59	1304.15	974.5	1331.57	128.79	49.21	29.7	48.87	43.32	61.25	1081.39
POGLUT1	305.55	208.38	318.57	395.18	368.65	197.09	71.5	56.68	53.95	69.03	95.34	121.79
POLR1D	1605.83	2451.44	2573.36	3491.39	6699.25	1295.13	1233.75	1350.18	1286.18	1529.73	1175.27	1487.87
PPM1H	1963.57	201.25	126.12	460.44	1769.57	43.32	32.13	40.64	69.52	39.22	63.89	52.82
PPM1N	43.94	21.63	154.42	87.03	348.71	61.25	44.57	12.45	18.84	17.77	28.24	56.28
PRIMA1	102.97	25.54	23.25	181.28	186.4	0.0	6.46	6.73	3.17	3.44	10.31	7.0
PRMT5	1397.83	1277.29	1340.84	1540.37	2255.7	575.03	490.14	497.0	476.71	497.0	406.31	974.5
PRR20A	0.0	1.27	2.92	0.0	32.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRR20B	0.0	1.27	2.92	0.0	32.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRR20C	0.0	1.27	2.92	0.0	32.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRR20D	0.0	1.27	2.92	0.0	32.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRR20E	0.0	1.3	7.94	0.0	48.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTCHD2	23.59	35.25	75.64	158.79	147.06	1.45	0.0	0.52	0.95	0.55	0.0	1.08
RAD21	2255.7	2032.85	3168.41	4123.49	5112.16	934.76	620.67	500.46	392.44	660.68	665.29	1088.92
RASGRP1	178.77	141.02	13.03	269.6	656.11	5.82	4.31	2.23	8.25	6.46	7.11	14.35
RIMS4	587.13	269.6	1674.06	921.88	1745.2	0.56	0.0	0.0	0.0	0.0	0.0	62.12
RLTPR	86.43	105.89	149.12	58.71	775.05	38.67	17.9	5.92	11.3	20.41	24.28	26.28
RP11-661C8.3	0.0	0.0	3.96	0.0	9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPA1	1794.29	1199.98	1477.58	1397.83	2133.97	651.58	358.54	366.09	514.56	450.94	420.68	1127.35
RPL23A	23820.89	47313.67	46339.95	95286.54	100023.92	18819.27	21768.19	18689.27	20451.65	25179.16	14971.21	37121.34
RUNDC3A	61.68	14.56	3716.2	3168.41	2520.38	3.11	5.36	1.97	1.91	1.48	2.1	117.6
SCAMP5	483.38	295.11	1340.84	878.17	928.3	457.25	68.55	14.45	43.94	69.03	19.11	194.36
SCNN1G	819.3	90.14	432.53	490.14	947.83	0.54	0.0	0.0	0.0	0.0	0.0	117.6
SCRT1	1.97	0.37	118.43	173.85	64.8	0.6	0.0	0.0	0.61	0.0	0.0	1.45
SEZ6	441.64	0.67	1697.45	395.18	5791.62	5.63	0.0	0.0	0.0	0.0	0.0	1.57
SH3BGRL	14971.21	11584.24	15499.21	3589.58	34876.28	728.11	429.54	264.03	325.29	473.41	607.87	1662.49
SLC25A48	3103.19	66.18	81.71	2319.15	3665.02	3.35	28.65	31.22	19.53	14.24	12.83	57.89
SLC5A5	6.36	1.0	2.05	45.85	116.78	0.0	0.0	0.0	0.0	0.0	0.55	111.99
SLC8A2	24.46	10.0	8.0	373.81	166.73	3.17	5.96	2.71	0.0	0.0	0.0	3.14
SMN1	995.0	995.0	665.29	1216.75	1583.71	476.71	713.11	583.07	435.55	547.75	647.07	490.14
SNAP25	106.63	20.26	2701.35	4802.93	397.93	12.83	15.56	14.03	9.34	3.82	16.51	80.57
SRPRB	1896.65	1883.54	1733.13	3039.3	2193.99	1769.57	1183.45	854.13	1001.93	1143.1	1081.39	684.02
SRR	229.72	138.1	348.71	283.05	406.31	105.15	42.71	72.52	87.65	115.16	86.43	205.5
SSH2	441.64	221.86	273.37	480.04	1037.29	144.01	231.32	273.37	301.33	199.85	289.02	426.57
STMN3	1250.98	775.05	3212.66	3146.52	3146.52	72.01	36.79	20.26	34.02	25.72	30.56	1143.1
SVOP	40.64	0.0	16.03	563.18	28.45	1.5	0.64	0.56	0.54	0.0	0.0	0.89
SYN1	33.06	41.81	483.38	836.53	713.11	27.44	60.39	10.31	8.99	19.39	14.89	30.56
SYNDIG1L	0.73	4.17	3.59	0.0	19.25	0.6	0.73	0.0	0.0	0.67	0.68	49.91
SYP	241.19	59.97	1794.29	1857.6	2148.82	17.38	12.93	6.26	16.39	8.19	9.93	24.28
SYT5	60.39	17.0	466.88	83.45	395.18	5.32	0.0	0.0	0.66	0.0	0.73	1.28
TANGO2	460.44	511.0	525.39	426.57	454.09	287.01	191.67	251.48	381.68	244.57	232.94	1127.35
TMEM107	412.0	209.84	1295.13	301.33	656.11	110.43	62.12	77.25	115.16	79.45	43.94	836.53
TMEM145	242.88	27.44	1427.22	1104.13	1417.35	3.72	4.03	0.0	0.0	0.82	0.83	2.2
TMEM151A	15.0	0.0	55.1	76.17	72.01	7.17	0.64	5.02	4.43	1.08	6.31	0.37
TMEM180	50.63	101.54	253.23	151.22	191.67	150.17	85.22	80.01	112.77	89.51	87.03	165.57
TMEM198	145.02	103.69	480.04	518.15	470.14	68.55	31.22	30.34	52.08	24.28	32.59	63.0
TOP3A	389.72	332.14	368.65	432.53	616.37	289.02	226.54	198.47	194.36	231.32	197.09	221.86
TP53	1268.46	414.87	753.83	1477.58	1639.59	403.5	343.89	267.73	267.73	363.56	312.0	486.75
TRIM7	8.71	11.64	165.57	59.13	285.03	23.25	9.13	1.16	9.34	3.89	1.22	224.97
TRMT5	223.41	258.57	226.54	406.31	346.29	92.05	79.45	73.54	54.72	75.11	85.82	76.71
TSR1	447.82	339.14	441.64	872.1	642.59	218.79	143.01	139.07	104.42	167.9	151.22	204.07
UBA2	1605.83	1259.69	1407.55	1936.53	1991.0	583.07	507.46	532.74	293.07	567.1	551.56	1208.34
UBE2L3	1857.6	2417.67	1977.24	2485.67	1757.34	1397.83	1340.84	1208.34	1427.22	1259.69	1447.15	1331.57
UNC13A	52.82	8.92	473.41	327.56	305.55	1.19	0.0	0.0	2.46	0.0	7.63	2.01
USP27X	86.43	82.29	88.88	165.57	157.68	27.25	37.85	39.5	12.45	21.63	45.53	71.0
VGF	9.56	2.78	182.55	58.3	68.55	0.0	0.0	0.0	0.0	0.0	0.0	33.06
VWC2L	0.33	0.66	6.21	450.94	8.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XKR7	21.16	0.33	119.26	169.07	72.52	0.0	0.0	0.0	0.0	0.0	0.0	0.41
YWHAE	10883.59	8305.36	19214.73	16727.26	19214.73	6381.92	5995.9	5183.54	3395.89	6381.92	6207.38	11267.44
YWHAZ	8901.53	7485.11	6079.61	11189.6	28525.2	2895.31	1685.71	1617.0	1322.37	1529.73	2417.67	4972.34
ZDHHC22	0.0	0.35	34.26	289.02	432.53	0.0	0.0	0.0	0.0	0.0	0.0	1.48
ZNF385D	1781.89	186.4	30.78	60.39	3124.78	15.68	12.83	5.02	2.34	0.0	18.29	14.89
ZNF706	2537.92	2520.38	1819.35	3614.55	10225.32	2367.9	1697.45	1844.76	1651.0	1487.87	1781.89	2645.74
ZNF776	201.25	301.33	246.28	447.82	463.65	104.42	68.07	46.84	35.0	54.72	61.25	155.5
