	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.S341.1326.SM.4AD72	TCGA.BQ.5879.01A.11R.1592.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13FH7.0126.SM.5KLZ1	GTEX.Y8E4.0126.SM.4VBQ2	TCGA.FL.A1YV.11A.12R.A32Y.07	GTEX.13VXT.1626.SM.5IJES
GTPBP6	336.79	371.22	297.17	332.14	0.0	0.75	497.0	698.41	860.08	1008.9
HDAC5	273.37	1199.98	490.14	358.54	0.0	0.38	890.44	921.88	1794.29	1369.04
HSD17B6	31.22	417.77	37.85	34.26	0.0	0.0	94.01	128.79	480.04	297.17
IFT74	172.65	525.39	104.42	190.34	0.0	0.21	320.8	620.67	343.89	460.44
IKZF5	180.02	277.2	154.42	159.9	0.0	0.39	258.57	343.89	295.11	285.03
IL1R1	147.06	11189.6	231.32	403.5	0.0	0.75	2133.97	753.83	954.43	819.3
ILKAP	318.57	860.08	351.14	486.75	0.0	0.99	813.63	1191.69	1037.29	1870.53
IQCC	68.07	165.57	27.25	87.03	0.0	0.19	153.34	253.23	126.12	156.59
KANK3	91.41	105.89	97.36	15.34	0.0	0.56	156.59	221.86	190.34	251.48
KAT5	1096.5	1883.54	708.18	909.17	0.0	0.33	1594.73	2090.03	2468.49	2075.59
KCTD15	237.86	220.32	316.37	256.78	47.17	104.42	406.31	379.04	587.13	1487.87
KIAA1683	136.19	599.49	4.86	25.17	0.0	0.0	148.09	450.94	289.02	567.1
KLHDC1	24.99	112.77	15.68	28.65	0.0	0.3	102.25	291.04	131.51	172.65
LSM10	684.02	743.43	656.11	780.44	0.0	0.54	1191.69	921.88	1295.13	1208.34
LY6K	26.47	147.06	1.69	0.0	0.0	0.48	50.98	32.13	109.66	7.28
MAP3K4	249.73	429.54	232.94	151.22	0.0	0.78	283.05	497.0	540.19	629.35
MARK3	915.51	1175.27	698.41	981.29	0.0	0.93	1044.52	1167.14	1088.92	1896.65
MAU2	551.56	688.78	414.87	483.38	329.84	102.25	656.11	819.3	713.11	954.43
MDM1	176.29	264.03	77.25	147.06	0.0	0.21	239.52	429.54	332.14	651.58
MED30	175.07	392.44	172.65	273.37	0.0	0.64	518.15	420.68	708.18	529.06
MICU3	5.19	236.21	56.28	15.56	0.0	0.36	104.42	209.84	111.99	198.47
MVB12B	61.68	420.68	90.77	36.27	0.0	0.16	177.53	239.52	206.94	403.5
MXRA7	3349.13	4123.49	1870.53	759.08	0.0	0.78	5913.33	5872.48	6121.9	4836.35
MYCBPAP	3.89	214.27	2.1	5.19	0.0	0.06	17.77	118.43	22.43	69.52
MYL5	116.78	500.46	55.49	329.84	0.0	0.69	348.71	454.09	507.46	381.68
NCOA5	642.59	679.29	228.13	267.73	0.0	0.0	660.68	769.69	743.43	791.35
NDNL2	305.55	785.88	224.97	334.46	0.0	0.27	693.58	775.05	860.08	476.71
NIPSNAP3B	6.57	224.97	9.93	16.75	0.0	0.29	92.7	183.82	146.03	220.32
NSA2	1583.71	4481.23	733.19	1806.78	0.0	0.68	2720.15	2335.28	5076.84	2287.2
NUDT9	463.65	842.36	791.35	713.11	0.0	0.38	995.0	1119.56	909.17	780.44
PHF1	417.77	3467.27	1225.22	1674.06	0.0	0.44	2796.65	3928.15	4543.8	4298.64
PHF2	262.2	698.41	172.65	309.83	173.85	269.6	629.35	915.51	791.35	1088.92
PHKG1	20.41	30.56	2.12	3.35	0.0	0.27	31.9	31.0	23.76	37.05
PMF1-BGLAP	115.97	329.84	121.79	97.36	0.0	0.14	141.02	323.03	373.81	283.05
PRPF40B	123.5	743.43	153.34	426.57	0.0	0.84	563.18	1225.22	713.11	1216.75
PTOV1	2573.36	6887.62	3103.19	2758.13	0.0	0.99	2997.45	4419.52	5633.22	8022.41
RBM10	543.96	884.29	507.46	559.28	0.0	0.87	703.28	896.64	1259.69	1498.22
RBM22	579.04	988.12	403.5	629.35	0.0	0.67	703.28	1059.11	1051.79	1073.91
RFXAP	63.0	161.02	23.08	54.72	0.0	0.32	121.79	190.34	185.11	182.55
RIMKLB	63.0	1037.29	223.41	438.59	0.0	1.01	567.1	1295.13	775.05	1104.13
RNF146	551.56	1096.5	423.61	473.41	0.0	0.67	915.51	1304.15	1081.39	1697.45
RP11-156E8.1	6.67	23.42	4.5	10.96	0.0	0.27	26.47	55.49	40.93	40.07
RP11-268J15.5	11.04	173.85	26.47	56.68	0.0	0.8	89.51	500.46	159.9	132.44
RP11-89K11.1	2.94	99.43	1.46	47.84	0.0	0.61	119.26	500.46	262.2	105.15
RP9	420.68	341.51	197.09	161.02	0.0	0.6	329.84	392.44	470.14	470.14
RPL21	35856.82	60304.42	15075.35	28132.47	21172.91	1295.13	40904.3	44145.15	113315.62	45386.27
RPL34	38966.94	119776.72	32540.65	46019.85	0.0	1.28	53601.03	57051.4	175363.84	80125.95
RPL5	29327.18	69271.73	24321.43	26614.89	32767.0	3443.31	41188.81	47974.16	109455.64	40621.74
RUFY4	1.41	11.13	0.38	0.77	0.0	0.35	7.46	31.67	13.32	19.82
RXRB	463.65	915.51	571.05	688.78	0.0	0.71	1199.98	1322.37	1199.98	1844.76
SAFB2	733.19	1639.59	708.18	1015.93	0.0	0.65	1295.13	1781.89	2032.85	2997.45
SCARF1	61.25	187.71	137.14	67.59	0.0	0.61	325.29	1096.5	170.25	246.28
SCGB3A1	14.35	6.482288873E7	21.94	4.82	0.0	0.05	20.26	211.31	1037.29	214.27
SCML2	22.1	8.99	21.78	1.85	0.0	0.46	24.46	248.0	104.42	86.43
SENP7	114.36	309.83	108.14	147.06	0.0	0.4	291.04	575.03	291.04	587.13
SETMAR	420.68	341.51	144.01	177.53	0.0	0.0	476.71	669.92	896.64	1685.71
SHANK3	92.05	122.64	108.14	22.92	0.0	0.77	208.38	127.89	157.68	277.2
SIX5	148.09	764.36	190.34	264.03	0.0	0.64	351.14	796.86	981.29	2434.5
SLC25A28	728.11	1023.0	358.54	688.78	0.0	0.56	934.76	1242.34	1447.15	1977.24
SPATA7	102.25	432.53	161.02	152.28	0.0	0.29	199.85	490.14	366.09	329.84
SPINK2	6.41	29.7	3.41	24.46	0.0	0.0	47.84	50.98	8.78	24.28
SRF	450.94	567.1	587.13	426.57	0.0	0.39	1159.07	842.36	1001.93	1350.18
SRSF4	995.0	2075.59	1277.29	1651.0	1359.57	638.15	1977.24	1909.85	2133.97	3325.99
SSBP3-AS1	0.79	22.59	2.46	6.31	0.0	0.46	4.82	12.0	8.58	17.25
SYT9	0.33	5.19	0.36	0.74	0.0	0.0	21.01	49.56	76.71	48.52
TAL1	21.94	37.85	21.16	6.36	0.0	0.47	67.12	26.47	44.57	134.3
TBX3	43.02	3874.05	22.92	50.27	0.0	0.83	1883.54	3146.52	1143.1	2163.77
TCAP	1.2	22.1	19.25	5.28	0.0	0.51	29.7	55.49	105.15	41.81
TCIRG1	967.76	4450.27	551.56	1313.23	0.0	1.36	1088.92	1277.29	1977.24	3103.19
TEX29	6.26	4.17	0.73	3.72	0.0	0.0	3.26	16.75	9.2	26.67
THAP3	172.65	693.58	289.02	291.04	0.0	0.54	332.14	571.05	1088.92	909.17
THG1L	220.32	454.09	118.43	297.17	0.0	0.38	215.77	320.8	450.94	312.0
THOC1	450.94	679.29	87.65	173.85	0.0	0.85	480.04	1015.93	723.08	842.36
TJAP1	293.07	688.78	450.94	412.0	0.0	0.8	674.59	775.05	961.07	1277.29
TNNC1	5.41	1923.14	5.15	21.63	0.0	0.19	395.18	249.73	158.79	21.94
TPRG1L	511.0	2090.03	684.02	708.18	0.0	0.42	1081.39	1331.57	1721.16	995.0
TRAPPC12	802.41	1639.59	603.67	1066.48	0.0	0.58	1407.55	2682.69	1819.35	2835.7
TSEN2	249.73	361.04	103.69	189.02	0.0	0.16	327.56	387.02	454.09	381.68
TSKS	6.16	17.0	1.04	1.48	0.0	0.16	6.36	10.0	17.64	69.03
TSPAN5	64.34	153.34	269.6	40.64	0.0	0.39	361.04	358.54	397.93	138.1
TSPYL2	237.86	1369.04	180.02	368.65	255.0	197.09	1697.45	872.1	2004.85	4181.07
TTF1	209.84	483.38	111.21	173.85	0.0	0.55	325.29	543.96	403.5	529.06
TYW3	361.04	361.04	351.14	320.8	0.0	0.49	426.57	511.0	698.41	414.87
UBTF	1662.49	1685.71	1008.9	941.27	947.83	73.54	1572.76	1769.57	1651.0	1896.65
UIMC1	258.57	525.39	209.84	361.04	267.73	397.93	511.0	551.56	665.29	915.51
UNK	269.6	723.08	336.79	277.2	0.0	0.64	555.41	759.08	928.3	1030.12
UNKL	189.02	518.15	163.28	224.97	0.0	0.73	514.56	723.08	463.65	620.67
VIP	2.48	7.17	2.16	0.42	0.0	0.56	8.99	12.83	14.14	18.16
WBP1	2335.28	3443.31	1950.0	1963.57	0.0	0.42	2537.92	5441.3	3146.52	5479.15
WDR45	1073.91	2319.15	1519.15	1111.82	0.0	0.95	2335.28	1757.34	1674.06	3515.68
WDR86	24.63	4181.07	25.35	58.3	0.0	0.67	406.31	3257.52	825.0	3491.39
WFS1	775.05	1832.01	376.41	1119.56	187.71	108.14	1551.09	1605.83	2451.44	3372.43
XAB2	753.83	1733.13	693.58	769.69	0.0	0.85	988.12	1259.69	2319.15	2061.24
YAE1D1	389.72	660.68	264.03	258.57	0.0	0.13	511.0	830.75	703.28	813.63
YIPF7	0.0	4.24	0.0	0.0	0.0	0.0	2.03	7.28	5.59	1.6
ZBTB17	228.13	563.18	273.37	503.95	0.0	0.78	603.67	728.11	884.29	1059.11
ZFYVE21	1397.83	3395.89	1059.11	1151.06	0.0	0.44	1819.35	2209.26	3280.18	2061.24
ZNF280D	480.04	934.76	138.1	400.71	0.0	0.27	483.38	753.83	759.08	967.76
ZNF334	109.66	507.46	2.16	209.84	0.0	0.43	120.1	579.04	241.19	336.79
ZNF354C	9.2	66.65	24.99	31.67	0.0	0.38	72.52	134.3	96.68	119.26
ZNF438	31.0	251.48	111.21	114.36	0.0	0.4	283.05	312.0	303.44	368.65
ZNF444	679.29	872.1	395.18	406.31	0.0	0.54	595.34	1127.35	1073.91	1529.73
ZNF446	201.25	595.34	150.17	256.78	0.0	0.41	275.28	412.0	497.0	988.12
ZNF517	76.17	212.78	62.56	176.29	0.0	0.31	173.85	353.59	406.31	642.59
ZNF559	366.09	563.18	248.0	221.86	0.0	0.21	157.68	587.13	884.29	743.43
ZNF662	88.26	162.14	1.79	61.68	0.0	0.53	117.6	242.88	191.67	854.13
ZNF740	127.0	447.82	273.37	285.03	215.77	100.83	514.56	642.59	563.18	607.87
ZRANB1	190.34	511.0	264.03	182.55	0.0	0.28	320.8	406.31	483.38	403.5
ZSCAN1	17.64	1295.13	1.77	28.04	0.0	0.0	64.8	84.04	26.86	271.48
