	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CJ.4874.01A.01R.1305.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.A3.3324.01A.02R.1325.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1269C.0226.SM.5EGKS	GTEX.Y3I4.0226.SM.4TT27	GTEX.ZVT3.0726.SM.5GICN	GTEX.11ZTS.1126.SM.5LU9X	GTEX.14A5H.0726.SM.5Q5DW	GTEX.13S86.1126.SM.5RQJX
CLDND2	29.27	7.46	14.14	34.75	0.0	0.44	70.01	38.67	100.13	134.3	24.46	101.54
CLHC1	134.3	31.9	20.26	59.13	0.0	0.36	199.85	214.27	366.09	258.57	141.02	185.11
CLIC3	37639.55	46.18	59.13	67.59	0.0	0.34	3847.29	6607.01	9279.58	7081.29	764.36	2645.74
CNTN3	0.52	1.43	0.45	1.55	0.0	0.21	31.45	32.59	133.36	120.1	6.21	40.64
CPSF1	954.43	500.46	825.0	1081.39	0.0	0.93	2287.2	3212.66	3395.89	3039.3	2193.99	3146.52
CRABP1	45.21	0.0	0.0	0.0	0.0	0.35	4543.8	6887.62	32315.87	4268.94	2351.53	3018.3
CRELD2	599.49	540.19	480.04	454.09	0.0	0.49	1447.15	2835.7	2209.26	2835.7	1151.06	1977.24
CRYGN	29.06	1.06	37.32	0.0	0.0	0.17	341.51	988.12	1467.37	1143.1	40.07	295.11
CRYGS	6.26	17.38	18.84	53.57	0.0	0.84	70.01	126.12	61.68	135.24	79.45	169.07
CTD-2369P2.10	1.41	3.2	8.06	8.06	0.0	0.01	48.52	46.84	37.05	53.95	28.04	68.07
CTD-3203P2.2	17.64	8.45	2.58	4.24	0.0	0.21	46.84	83.45	124.37	123.5	8.99	46.18
CUL9	802.41	226.54	275.28	563.18	0.0	0.96	974.5	1044.52	1242.34	1313.23	934.76	1242.34
DALRD3	616.37	521.76	1088.92	693.58	0.0	0.15	1216.75	1529.73	1651.0	1457.23	1044.52	1844.76
DBF4B	45.21	40.93	34.02	82.29	0.0	0.57	136.19	132.44	320.8	295.11	87.03	136.19
DEFA6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	4.43	0.0	3.56
DFNB59	24.99	11.73	9.93	45.53	0.0	0.46	114.36	101.54	177.53	115.97	77.79	115.97
DLEC1	2.63	3.59	0.91	3.53	0.0	0.28	56.68	56.28	57.89	62.12	21.63	65.26
DMPK	346.29	97.36	226.54	466.88	0.0	1.04	1369.04	1225.22	1088.92	1594.73	599.49	1594.73
DMWD	148.09	283.05	366.09	387.02	0.0	0.85	567.1	651.58	713.11	728.11	490.14	638.15
DNMT3B	260.38	18.56	16.15	36.79	0.0	0.37	49.21	44.89	82.87	70.51	31.9	42.11
DTNB	447.82	173.85	126.12	155.5	0.0	0.48	753.83	753.83	1066.48	1208.34	595.34	915.51
EFCAB8	6.06	0.73	0.0	2.34	0.0	0.56	9.85	4.17	21.01	11.64	5.28	13.62
ENO4	2.12	14.89	21.32	37.59	0.0	0.22	35.76	24.99	38.12	43.02	17.13	42.41
EPOR	29.91	96.01	194.36	232.94	0.0	0.72	1594.73	1088.92	1551.09	2835.7	728.11	2271.4
EZH1	412.0	336.79	316.37	723.08	0.0	0.82	753.83	819.3	728.11	878.17	400.71	872.1
FAHD2A	126.12	256.78	343.89	307.69	0.0	0.65	1216.75	1628.26	3081.75	1662.49	603.67	1697.45
FAM160A2	271.48	297.17	297.17	713.11	0.0	0.77	1081.39	1225.22	1963.57	1015.93	830.75	1191.69
FAM162B	18.97	127.89	99.43	74.06	0.0	0.03	175.07	384.34	112.77	441.64	26.47	264.03
FAM211B	583.07	454.09	624.99	954.43	0.0	0.58	1233.75	1277.29	3146.52	2701.35	1340.84	2417.67
FBF1	346.29	21.01	64.8	78.34	0.0	0.6	684.02	884.29	961.07	723.08	356.05	1159.07
FKSG63	2.71	3.96	3.92	7.06	0.0	0.0	22.26	40.07	20.41	34.75	4.35	17.38
GLI3	26.67	14.56	52.45	48.87	0.0	0.54	128.79	112.77	309.83	239.52	65.26	155.5
GP5	0.55	6.21	0.0	0.77	0.0	0.0	2.03	6.84	3.26	11.38	1.97	6.89
GRID1	7.82	7.69	33.06	144.01	0.0	0.22	305.55	277.2	384.34	587.13	146.03	620.67
GRM6	4.94	0.0	0.87	1.16	0.0	0.14	3.35	6.06	7.11	10.63	1.43	3.47
GTF3C1	5479.15	638.15	656.11	848.22	0.0	0.8	2335.28	2875.3	4802.93	5006.93	1628.26	2468.49
HEMK1	316.37	291.04	211.31	161.02	0.0	0.25	620.67	684.02	1051.79	854.13	356.05	769.69
HSD17B3	2.29	14.56	22.75	30.78	0.0	0.79	220.32	138.1	444.72	348.71	111.21	173.85
HSDL1	256.78	211.31	214.27	281.09	0.0	0.43	571.05	684.02	1331.57	669.92	507.46	559.28
IBA57-AS1	11.38	2.16	2.18	0.0	0.0	0.0	15.8	17.38	28.65	31.0	10.16	13.72
IFT140	84.04	220.32	198.47	403.5	0.0	0.39	872.1	1651.0	1407.55	902.89	323.03	1008.9
IFT27	373.81	595.34	612.11	571.05	0.0	0.21	878.17	1388.16	1498.22	1685.71	392.44	1051.79
IFT43	373.81	848.22	1295.13	629.35	0.0	0.31	1639.59	1304.15	1757.34	1457.23	1427.22	1583.71
IL17RC	830.75	559.28	356.05	348.71	0.0	0.55	728.11	1259.69	1674.06	1594.73	547.75	1350.18
KAT6B	140.04	103.69	103.69	183.82	53.95	57.08	199.85	251.48	497.0	336.79	232.94	241.19
KDM1B	309.83	208.38	134.3	325.29	0.0	0.39	336.79	503.95	607.87	466.88	199.85	348.71
KDM4E	0.87	0.0	0.0	0.0	0.0	0.0	0.41	3.56	1.22	3.41	0.77	1.14
KIAA0195	232.94	656.11	981.29	1268.46	0.0	0.92	1417.35	1923.14	1781.89	2018.8	909.17	2004.85
KIF22	1457.23	409.15	547.75	587.13	0.0	0.37	2075.59	2104.58	2224.63	2417.67	1397.83	2537.92
KLHDC8B	571.05	525.39	825.0	543.96	0.0	0.67	1143.1	1313.23	2240.11	1896.65	620.67	1277.29
KLHL14	0.0	2.39	2.48	13.03	0.0	0.08	201.25	314.17	620.67	291.04	115.16	253.23
KRT77	2.89	0.0	0.0	0.0	0.0	0.0	0.0	1.85	0.79	1.64	0.17	1.73
LAT	37.59	217.27	120.94	312.0	0.0	0.79	384.34	583.07	447.82	583.07	289.02	708.18
LCN8	0.0	1.73	0.0	10.24	0.0	0.0	26.67	124.37	148.09	108.9	40.07	45.53
LRRC48	65.26	211.31	336.79	297.17	0.0	0.0	353.59	713.11	665.29	651.58	277.2	579.04
LRRC56	108.9	17.9	4.74	49.56	0.0	0.11	94.01	66.18	246.28	85.82	42.71	162.14
LRRC69	3.29	6.01	4.31	17.64	0.0	0.51	40.64	34.02	18.43	46.84	24.63	45.85
MAGED4B	7.69	3.96	73.03	7.0	0.0	0.45	1111.82	356.05	1088.92	1745.2	299.25	2502.97
MAPRE3	119.26	264.03	255.0	409.15	211.31	239.52	555.41	603.67	896.64	1015.93	490.14	620.67
MCIDAS	4.17	0.34	0.0	0.0	0.0	0.0	11.3	37.05	31.9	21.32	15.11	27.84
MED25	909.17	480.04	514.56	607.87	0.0	0.71	1295.13	1477.58	1769.57	1745.2	921.88	1583.71
MEF2BNB-MEF2B	84.04	111.21	148.09	59.97	0.0	0.56	191.67	183.82	289.02	281.09	152.28	234.57
MFSD10	791.35	884.29	1143.1	1175.27	0.0	1.23	2451.44	2004.85	3280.18	2835.7	866.07	1977.24
MIB2	507.46	285.03	466.88	444.72	0.0	1.16	1832.01	1617.0	1519.15	2104.58	665.29	1963.57
MKL1	180.02	346.29	395.18	343.89	0.0	0.73	540.19	733.19	860.08	808.0	346.29	651.58
MRPS31	529.06	480.04	497.0	518.15	0.0	0.09	909.17	934.76	1191.69	1540.37	607.87	1051.79
MYLIP	567.1	780.44	947.83	896.64	665.29	150.17	1096.5	1572.76	1605.83	1769.57	1044.52	1674.06
MZF1	239.52	89.51	144.01	381.68	0.0	1.01	934.76	1437.15	1551.09	1340.84	555.41	1015.93
NCAN	0.02	0.0	0.42	0.39	0.0	0.09	1.33	3.41	1.91	3.79	0.56	1.31
NFIA	607.87	412.0	241.19	318.57	102.25	142.01	536.45	583.07	708.18	490.14	204.07	551.56
NPIPA5	13.12	12.74	90.77	191.67	0.0	0.41	74.06	403.5	947.83	587.13	95.34	759.08
OR2T8	0.0	0.0	0.0	0.0	0.0	0.0	12.64	7.51	17.51	25.54	3.72	13.93
OR2W3	6.41	4.82	1.66	1.5	0.0	0.01	63.0	107.38	152.28	72.52	81.14	73.54
PAF1	2796.65	1111.82	1119.56	866.07	0.0	0.8	1498.22	1242.34	2240.11	1457.23	1175.27	1757.34
PASK	206.94	74.58	180.02	115.97	0.0	0.71	88.88	525.39	551.56	500.46	186.4	312.0
PAX8	3491.39	878.17	400.71	1745.2	0.0	0.21	41188.81	34158.52	60304.42	40621.74	24660.96	38164.99
PCNT	269.6	96.01	152.28	223.41	0.0	0.77	277.2	373.81	361.04	318.57	251.48	295.11
PHRF1	470.14	177.53	226.54	269.6	0.0	0.82	320.8	387.02	532.74	493.56	320.8	486.75
PJA1	656.11	339.14	248.0	429.54	0.0	0.53	878.17	743.43	1051.79	1167.14	493.56	698.41
PLCH1	45.85	54.72	21.32	48.87	0.0	0.0	86.43	67.12	256.78	109.66	85.22	74.06
PPP2R2D	429.54	397.93	629.35	476.71	0.0	0.56	791.35	612.11	723.08	713.11	529.06	947.83
PRDM11	28.45	73.03	39.79	56.68	0.0	0.41	217.27	289.02	314.17	206.94	123.5	204.07
PRMT10	85.82	132.44	76.17	164.42	0.0	0.08	376.41	429.54	759.08	426.57	334.46	348.71
PTCHD3	1.51	0.0	0.0	0.36	0.0	0.0	0.72	3.08	1.39	5.11	1.91	3.29
PTPN4	177.53	126.12	118.43	217.27	0.0	0.17	426.57	624.99	759.08	599.49	307.69	406.31
QTRT1	503.95	1088.92	1857.6	928.3	0.0	0.99	2417.67	2591.27	3349.13	2895.31	1572.76	2895.31
RAD51AP2	5.96	0.0	0.0	0.0	0.0	0.0	0.84	0.61	2.07	1.39	0.0	2.01
RADIL	1.57	9.48	11.04	10.39	0.0	0.35	120.1	126.12	127.0	348.71	84.04	98.73
RBBP8NL	2682.69	0.0	0.83	0.0	0.0	0.0	69.52	127.0	193.01	208.38	2.56	149.12
RFX1	244.57	86.43	131.51	138.1	0.0	0.39	285.03	318.57	397.93	420.68	198.47	346.29
RGL2	830.75	507.46	674.59	1437.15	0.0	0.99	1781.89	2451.44	2163.77	1662.49	1242.34	2451.44
RIBC2	303.44	2.76	12.0	2.25	0.0	0.0	12.55	21.32	23.93	49.56	23.25	38.95
RILPL1	44.57	128.79	327.56	206.94	0.0	0.38	934.76	848.22	1151.06	1008.9	314.17	836.53
RIMKLB	93.35	323.03	353.59	728.11	0.0	1.01	1378.57	988.12	1407.55	1936.53	830.75	1051.79
RSAD1	297.17	647.07	409.15	679.29	0.0	0.91	961.07	825.0	1066.48	988.12	532.74	1081.39
SASH1	1313.23	339.14	249.73	373.81	67.12	148.09	796.86	854.13	808.0	1427.22	660.68	1331.57
SCAI	32.36	16.15	25.35	46.84	21.32	29.48	63.89	47.17	90.77	85.22	21.63	44.25
SDF2L1	579.04	808.0	693.58	435.55	0.0	0.14	1721.16	3690.52	1794.29	3235.01	1322.37	2367.9
SH2B1	444.72	323.03	447.82	575.03	0.0	0.84	934.76	1923.14	1605.83	1896.65	1104.13	1508.65
SH3RF2	8598.28	209.84	6.01	3.14	0.0	0.57	460.44	796.86	595.34	848.22	217.27	336.79
SIX5	108.14	85.82	169.07	104.42	0.0	0.64	483.38	551.56	854.13	660.68	183.82	848.22
SLC12A8	638.15	4.9	30.56	11.38	0.0	0.27	518.15	1127.35	1487.87	830.75	688.78	866.07
SPIRE2	167.9	24.99	42.11	137.14	0.0	0.43	215.77	599.49	414.87	733.19	65.72	316.37
SPRR1B	1.90877512245E9	0.0	2.63	0.0	0.0	0.0	15.22	1.51	15.45	30.78	2.07	25.17
SYCP3	11.3	0.77	1.36	9.13	0.0	0.27	24.63	47.84	65.26	63.0	5.41	9.13
TAF6L	271.48	182.55	138.1	258.57	0.0	0.35	470.14	583.07	665.29	563.18	348.71	521.76
TBCD	1286.18	738.29	842.36	1023.0	0.0	0.88	1963.57	3325.99	3614.55	3467.27	1066.48	3874.05
TBCE	323.03	368.65	346.29	490.14	703.28	441.64	647.07	723.08	995.0	802.41	412.0	571.05
TCEAL1	202.66	633.73	624.99	587.13	0.0	0.57	941.27	988.12	842.36	1286.18	860.08	1008.9
TCF7L1	16.63	186.4	316.37	209.84	0.0	0.78	836.53	603.67	4038.61	1498.22	583.07	1242.34
TECPR1	167.9	139.07	123.5	287.01	121.79	201.25	191.67	309.83	329.84	361.04	217.27	262.2
TEKT2	16.75	15.34	12.27	88.26	0.0	0.0	108.9	98.73	343.89	182.55	101.54	242.88
TESC	7.88	500.46	144.01	638.15	0.0	0.79	669.92	1583.71	698.41	1806.78	738.29	764.36
TET1	0.0	2.76	2.48	5.23	0.0	0.14	14.78	10.55	27.84	18.16	5.77	9.41
TLE6	11.55	13.32	25.72	14.89	0.0	0.35	356.05	633.73	579.04	525.39	55.49	341.51
TMEM86B	127.0	23.25	46.5	123.5	0.0	0.64	191.67	180.02	244.57	341.51	198.47	269.6
TPCN1	379.04	356.05	297.17	791.35	896.64	1167.14	1457.23	2061.24	2739.08	2303.12	981.29	1295.13
TPRA1	599.49	450.94	490.14	264.03	0.0	0.75	743.43	836.53	836.53	830.75	656.11	1081.39
TRAPPC12	679.29	961.07	1685.71	1259.69	0.0	0.58	2400.97	3103.19	3955.48	3467.27	1540.37	2855.44
TRIP4	518.15	638.15	567.1	679.29	0.0	0.26	830.75	738.29	791.35	1111.82	708.18	884.29
TRO	0.13	19.82	47.84	47.84	0.0	0.78	587.13	155.5	1286.18	947.83	497.0	1233.75
TSC2	693.58	426.57	753.83	854.13	587.13	728.11	1651.0	2287.2	3081.75	2417.67	1295.13	1936.53
TUBGCP6	140.04	155.5	199.85	470.14	0.0	1.22	748.61	1350.18	1457.23	1159.07	688.78	1066.48
UPF1	1044.52	591.22	587.13	547.75	0.0	0.97	1151.06	1199.98	947.83	1208.34	941.27	1340.84
WDR52	21.32	14.67	40.36	62.56	0.0	0.6	226.54	253.23	283.05	265.87	49.91	267.73
WFS1	20.41	279.14	348.71	234.57	187.71	108.14	884.29	1388.16	1073.91	1268.46	220.32	1096.5
WHSC1	551.56	197.09	154.42	329.84	0.0	0.77	336.79	368.65	480.04	607.87	307.69	423.61
YOD1	660.68	50.63	42.41	79.45	0.0	0.07	140.04	119.26	190.34	226.54	93.35	136.19
ZCWPW1	33.78	88.26	148.09	141.02	0.0	0.37	307.69	400.71	432.53	309.83	115.97	358.54
ZDHHC18	536.45	260.38	239.52	325.29	0.0	0.73	329.84	460.44	406.31	503.95	346.29	540.19
ZGLP1	19.97	23.08	11.82	25.54	0.0	0.34	414.87	281.09	242.88	371.22	171.45	567.1
ZNF487	23.93	71.5	109.66	163.28	0.0	0.09	211.31	253.23	234.57	312.0	119.26	199.85
ZNF580	289.02	493.56	718.08	463.65	239.52	486.75	1096.5	1844.76	1950.0	1639.59	1225.22	1119.56
ZNF680	145.02	140.04	111.99	126.12	0.0	0.41	343.89	540.19	624.99	703.28	414.87	567.1
ZNF814	70.51	262.2	136.19	303.44	0.0	0.74	638.15	825.0	813.63	848.22	612.11	813.63
ZNF862	81.14	94.67	193.01	251.48	0.0	0.61	281.09	470.14	414.87	409.15	150.17	348.71
ZRANB3	53.95	55.1	39.79	41.52	0.0	0.27	80.01	65.26	65.26	86.43	33.54	68.55
ZSWIM8	3257.52	967.76	1794.29	1883.54	674.59	842.36	2758.13	3820.7	3257.52	3325.99	3060.45	4802.93
