	TCGA.4Z.AA81.01A.11R.A39I.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.ZVZP.0926.SM.5GIDB	GTEX.P4QS.1126.SM.3NMD5	GTEX.QLQW.1626.SM.4R1K1	GTEX.Y5V6.2026.SM.5IFHO	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.F1.6874.01A.11R.1884.13	TCGA.EL.A3GO.01A.11R.A206.07
NOX4	15.22	9.2	11.64	361.04	2004.85	748.61	2609.3	4450.27	8247.98	6745.86	4769.75	0.0	0.26	6.52	54.33	164.42
NPHS1	0.0	0.0	0.0	63.89	283.05	208.38	251.48	1378.57	1167.14	1104.13	878.17	0.0	0.01	7.51	37.32	0.0
NPHS2	0.0	0.0	0.0	454.09	1331.57	759.08	1059.11	3168.41	5041.77	4298.64	4268.94	0.0	0.0	12.64	3.0	0.0
NTN4	497.0	229.72	224.97	2485.67	3515.68	4268.94	3372.43	2935.74	1844.76	2090.03	2720.15	0.0	0.27	70.01	218.79	397.93
PAH	0.0	2.68	1.89	299.25	7230.1	607.87	6337.83	12589.08	23330.64	21172.91	25354.3	0.0	0.21	1.39	3.86	4.21
PCDHA4	0.0	0.0	21.63	52.82	71.5	83.45	50.63	27.05	19.11	27.05	14.78	0.0	0.14	1.38	1.85	2.32
PDF	118.43	166.73	237.86	291.04	612.11	514.56	603.67	454.09	423.61	616.37	351.14	0.0	0.05	312.0	229.72	89.51
PDZK1	33.06	0.0	0.32	4358.66	26986.43	3614.55	23492.92	10440.2	19348.38	17078.76	18689.27	0.0	0.26	7.22	120.1	11.21
PIPOX	5.15	5.15	14.35	363.56	2502.97	142.01	1950.0	3349.13	6164.49	5183.54	5751.61	0.0	0.17	1.36	12.64	4.13
PKLR	0.0	0.0	0.52	291.04	1498.22	101.54	1250.98	981.29	1991.0	2417.67	1745.2	0.0	0.0	0.08	14.89	0.0
PLG	0.0	10.88	3.92	93.35	10959.3	289.02	6250.56	8598.28	19618.49	20310.37	22225.61	0.0	0.0	1.11	2.89	7.0
PNMA6C	0.92	0.33	44.89	269.6	480.04	140.04	567.1	450.94	507.46	665.29	435.55	0.0	0.16	307.69	186.4	136.19
PNPO	351.14	967.76	583.07	748.61	1844.76	1242.34	1605.83	1304.15	1651.0	1639.59	1457.23	559.28	1417.35	507.46	902.89	260.38
POLDIP2	2061.24	1674.06	1963.57	2367.9	3928.15	3372.43	3349.13	2835.7	3716.2	3982.99	3235.01	0.0	0.53	1457.23	1583.71	1313.23
PRODH2	0.0	0.0	0.0	205.5	4607.24	414.87	2976.74	5292.48	11664.82	7537.18	8901.53	0.0	0.0	3.17	35.25	0.0
PROZ	0.62	1.22	3.08	36.79	202.66	4.58	114.36	785.88	295.11	679.29	185.11	0.0	0.24	5.92	15.11	3.08
PRY	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.74	0.74	0.0	0.39	0.0	0.0	0.0	0.0	0.0
PRY2	0.0	0.0	0.0	0.0	0.54	0.0	0.0	1.85	0.74	0.0	0.39	0.0	0.0	0.0	0.0	0.0
PSMB5	2434.5	2271.4	3235.01	3060.45	3235.01	3847.29	3491.39	2720.15	3540.14	2915.45	3443.31	0.0	0.75	2004.85	1685.71	1977.24
RBP5	24.63	71.5	63.89	4066.71	17078.76	3060.45	16611.71	16496.96	28923.41	26614.89	23169.48	0.0	0.27	41.81	75.11	85.22
RIPPLY1	2.41	0.0	6.41	43.63	47.84	131.51	78.34	30.78	72.01	24.81	32.59	0.0	0.03	0.0	2.01	1.04
RP11-527L4.2	0.0	0.0	0.0	51.71	24.46	34.26	65.72	9.7	8.71	15.34	13.42	0.0	0.0	0.0	0.0	0.0
SDC1	2417.67	39510.91	24832.5	4937.99	16843.62	3467.27	11827.67	3325.99	5633.22	8078.22	9215.48	780.44	1721.16	2104.58	3081.75	463.65
SEMA3G	9.2	25.91	101.54	120.1	500.46	1037.29	896.64	848.22	420.68	769.69	536.45	0.0	0.1	36.27	56.68	202.66
SFXN5	177.53	61.25	110.43	305.55	988.12	395.18	620.67	503.95	551.56	703.28	518.15	0.0	0.57	59.13	264.03	73.54
SLC10A2	0.0	0.0	0.0	18.03	214.27	371.22	303.44	205.5	329.84	327.56	665.29	0.0	0.0	0.0	27.44	0.0
SLC13A2	0.0	1.53	0.0	318.57	5255.91	112.77	4123.49	2796.65	3146.52	4210.15	2485.67	0.0	0.0	4.31	28.45	0.0
SLC16A4	1.57	15.45	12.74	941.27	8840.04	3235.01	5872.48	3280.18	4972.34	4268.94	4268.94	325.29	571.05	13.12	36.53	63.45
SLC16A9	0.0	167.9	688.78	660.68	9540.5	444.72	9025.81	2682.69	6426.31	4328.55	6516.03	0.0	0.37	17.25	2.71	808.0
SLC17A3	0.0	0.0	1.45	460.44	4181.07	5112.16	4836.35	3716.2	4328.55	5183.54	5913.33	0.0	0.01	0.0	2.58	0.0
SLC17A5	265.87	87.65	138.1	486.75	988.12	669.92	1594.73	813.63	961.07	1096.5	825.0	232.94	111.99	503.95	669.92	679.29
SLC22A12	0.0	0.0	0.0	1359.57	8191.0	802.41	4152.18	6983.79	10883.59	18950.18	9474.59	0.0	0.0	0.0	1.16	0.0
SLC22A6	0.0	0.0	0.0	1819.35	7485.11	647.07	6699.25	12589.08	16383.0	18052.61	17078.76	0.0	0.0	0.0	1.62	0.0
SLC25A42	23.59	69.52	162.14	334.46	1857.6	191.67	1030.12	1104.13	1832.01	1870.53	1769.57	0.0	0.4	83.45	121.79	1059.11
SLC36A2	0.0	0.0	0.0	149.12	928.3	120.1	954.43	2018.8	4239.45	3349.13	3847.29	0.0	0.0	0.0	5.92	0.0
SLC47A2	2.14	406.31	500.46	536.45	3419.52	1313.23	1923.14	2351.53	2163.77	2835.7	2178.83	0.0	0.16	3.66	3.59	3.03
SLC5A12	1.23	0.0	1.23	232.94	11424.74	153.34	8598.28	4575.41	9025.81	8191.0	9740.98	0.0	0.0	0.78	0.91	0.51
SMCO3	3.03	2.94	37.05	13.12	37.85	51.71	54.72	80.57	108.9	65.72	68.07	0.0	0.0	1.51	2.71	3.63
SNX27	194.36	97.36	104.42	264.03	571.05	273.37	599.49	497.0	559.28	575.03	500.46	249.73	684.02	269.6	356.05	295.11
SORD	214.27	1159.07	2335.28	1119.56	3901.01	1340.84	3443.31	3443.31	5672.41	6079.61	4481.23	0.0	0.35	1388.16	1119.56	2271.4
SPATA16	0.0	0.0	0.0	0.0	1.0	0.0	1.06	1.48	4.17	1.08	0.78	0.0	0.0	0.0	0.39	0.0
TCN2	115.16	68.55	486.75	2468.49	5403.7	2609.3	7280.4	4802.93	6699.25	7803.01	6887.62	0.0	0.42	145.02	318.57	348.71
TMEM174	0.0	0.0	0.0	255.0	5329.3	43.94	2047.0	3690.52	5954.47	5255.91	6079.61	0.0	0.0	0.0	0.69	0.0
TMEM177	100.83	134.3	351.14	412.0	591.22	490.14	579.04	368.65	460.44	490.14	432.53	0.0	0.0	215.77	312.0	171.45
TNNI1	10.55	20.71	17.51	81.14	139.07	146.03	108.14	236.21	507.46	379.04	256.78	0.0	0.04	25.35	34.75	9.63
TNNT2	14.56	607.87	309.83	117.6	638.15	441.64	559.28	1119.56	703.28	981.29	780.44	0.0	0.67	24.99	7.51	9.41
TRPV5	0.0	0.0	0.0	28.86	45.21	55.89	25.72	46.84	16.27	46.5	31.0	0.0	0.0	0.0	1.25	0.53
TSPYL5	8.06	4.17	38.4	583.07	503.95	444.72	379.04	180.02	157.68	149.12	218.79	0.0	0.42	7.28	37.32	211.31
TTC29	0.0	0.0	0.0	7.22	9.41	9.41	12.83	1.5	9.78	0.74	17.38	0.0	0.0	0.0	1.53	0.34
UGT1A1	624.99	218.79	842.36	934.76	13776.25	1407.55	5711.87	5147.73	10014.87	8247.98	8840.04	0.0	0.0	77.79	37.05	0.0
UGT1A9	8.38	0.0	0.0	802.41	12329.98	884.29	5479.15	4181.07	8840.04	10733.74	8363.13	0.0	0.0	0.0	0.0	0.0
UPB1	0.61	0.0	0.62	77.25	1896.65	49.91	1417.35	1066.48	2004.85	1844.76	2133.97	0.0	0.28	1.22	10.08	106.63
VSIG8	0.32	7433.4	4123.49	6.94	38.12	21.47	25.35	104.42	49.91	82.87	57.49	0.0	0.0	2.01	5.28	3.82
WT1	0.0	0.13	3.72	25.54	161.02	158.79	226.54	414.87	373.81	327.56	346.29	0.0	0.0	0.73	56.28	7.17
ZFAT	107.38	82.29	112.77	305.55	571.05	209.84	379.04	543.96	647.07	583.07	684.02	0.0	0.33	96.68	100.13	118.43
