	TCGA.AR.A1AH.01A.11R.A12D.07	TCGA.BH.A0HK.01A.11R.A056.07	TCGA.BH.A0DK.01A.21R.A056.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.XUJ4.1026.SM.4BOPB	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.58.A46L.01A.11R.A24H.07	TCGA.56.8304.01A.11R.2326.07	TCGA.77.8143.01A.11R.2247.07	GTEX.ZP4G.1926.SM.57WDZ	GTEX.13D11.1226.SM.5IFGA
LCE3D	0.0	0.0	3.47	2375828.71	402881.61	2400.97	0.0	0.0	12.55	6.36	53.57	55877.28	0.0
LCE3E	0.0	0.0	3.32	492579.5	26431.04	872.1	0.0	0.0	4.62	17.51	23.42	65082.31	0.0
LNX2	82.87	144.01	113.56	802.41	583.07	217.27	0.0	0.0	194.36	125.24	255.0	293.07	103.69
LRTM1	0.0	2.68	0.73	0.0	34.51	1.6	0.0	0.0	0.0	3.2	16.39	3.72	0.0
MPP7	31.45	127.89	133.36	5913.33	1304.15	529.06	265.87	69.03	358.54	486.75	642.59	1529.73	239.52
MYEOV	2.46	161.02	129.69	21468.49	12764.83	470.14	0.0	0.58	167.9	438.59	642.59	3901.01	0.68
NDRG1	1857.6	7857.29	3103.19	211455.3	65990.84	15824.9	0.0	1.41	15607.02	57448.23	29124.6	27553.49	2537.92
NUDT8	237.86	379.04	312.0	2400.97	2895.31	1127.35	0.0	0.39	647.07	1437.15	2004.85	1794.29	108.9
OTOP3	0.0	7.63	3.82	738.29	3491.39	417.77	0.0	0.0	47.17	88.88	93.35	20310.37	0.32
PAX9	6.94	395.18	138.1	113315.62	4268.94	1225.22	0.0	0.09	132.44	1096.5	1832.01	7032.37	5.32
PITX1	161.02	1015.93	674.59	163620.18	61999.83	14461.21	591.22	5403.7	1268.46	4066.71	8022.41	32315.87	4.74
RHCG	7.75	438.59	182.55	4.336416418E7	2.18328924E7	54349.29	0.0	0.65	2384.37	1769.57	6079.61	1308968.45	5.06
S100A8	30361.44	5292.48	2417.67	2.180373414E8	6.482288873E7	513497.31	0.0	1.43	17197.56	62865.33	34876.28	5690009.96	183.82
SCO2	708.18	947.83	825.0	3280.18	1447.15	1030.12	0.0	0.41	1233.75	1350.18	1832.01	1498.22	866.07
SH3BP1	339.14	384.34	438.59	4512.4	1745.2	1313.23	0.0	0.67	1159.07	1685.71	3325.99	1477.58	198.47
SPINK5	76.71	20.41	10.39	1997825.68	726195.27	13492.72	0.0	0.16	320.8	366.09	395.18	309589.14	18.03
SPRR2B	0.0	2.18	21.63	217400.14	96616.71	8191.0	0.0	0.0	84.04	387.02	80.57	106462.55	0.0
SPRR2D	0.0	256.78	120.94	6.572778255E7	2.525384881E7	112532.89	0.0	0.0	4450.27	8305.36	6381.92	726195.27	5.59
SPRR2E	0.0	406.31	177.53	3.522264608E7	1645391.11	80683.28	0.0	0.0	1044.52	5219.6	2915.45	772940.66	23.42
SPRR2F	1.69	27.84	19.82	6516.03	397335.0	46662.28	0.0	0.0	802.41	825.0	202.66	77396.54	37.32
SPRR2G	0.0	15.56	14.24	37639.55	299.25	665.29	0.0	0.0	220.32	53.57	633.73	90146.51	0.0
SQLE	260.38	579.04	1143.1	6037.61	3146.52	1427.22	0.0	0.0	3955.48	1417.35	4671.57	1628.26	866.07
SREBF1	928.3	780.44	1936.53	13215.02	3467.27	2895.31	1551.09	2271.4	3515.68	2271.4	7749.1	2609.3	447.82
TBC1D2	50.27	221.86	332.14	9606.86	3349.13	1216.75	0.0	0.39	836.53	759.08	1044.52	2520.38	119.26
TEX101	0.0	0.0	0.0	518.15	279.14	38.67	0.0	0.0	18.16	43.02	90.14	273.37	1.45
TGM3	1.93	33.06	38.12	654483.73	30151.71	25179.16	0.0	0.16	146.03	947.83	743.43	2945333.38	23.08
TMPRSS11B	0.0	6.06	2.66	84694.64	30999.42	4268.94	0.0	0.0	7.4	32.82	97.36	51775.15	0.51
TMPRSS11BNL	0.0	0.0	0.0	156.59	239.52	67.59	0.0	0.0	4.13	6.73	5.96	69.03	0.0
TMPRSS11F	0.0	7.06	2.46	74760.09	10225.32	277.2	0.0	0.0	15.91	43.32	32.13	961.07	0.0
TOM1	307.69	764.36	1081.39	4736.79	4066.71	2133.97	1651.0	551.56	769.69	612.11	1304.15	5292.48	591.22
WNT3A	0.31	7.28	3.63	1417.35	866.07	14.45	0.0	0.1	10.71	9.27	381.68	35.5	0.0
