	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A18N.11A.43R.A12D.07	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11ZTT.2326.SM.5EQLG	GTEX.YB5K.1626.SM.5IFIN	GTEX.ZQG8.0726.SM.5P9H9	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.KL.8339.01A.11R.2315.07	TCGA.KN.8421.01A.11R.2315.07	GTEX.13112.2126.SM.5GCO4	GTEX.13OVL.1826.SM.5KLZR	TCGA.38.4625.01A.01R.1206.07
ANKRD53	52.45	73.54	73.54	61.25	307.69	293.07	389.72	273.37	518.15	3.0	2.32	1.01	6.73	10.96	17.77	0.0
ANO2	96.01	120.94	120.94	97.36	178.77	124.37	108.9	242.88	229.72	29.7	25.72	39.79	1.43	25.72	51.71	0.0
AOC3	2777.33	9279.58	9279.58	4358.66	15715.58	9606.86	19482.97	15499.21	21468.49	31.67	97.36	59.13	69.03	961.07	1037.29	303.44
APOB	5.02	102.25	102.25	50.27	56.28	51.71	72.52	62.56	134.3	1.33	4.62	0.34	0.0	1.19	0.2	0.0
APOL6	616.37	603.67	603.67	616.37	1896.65	921.88	1540.37	1259.69	2133.97	688.78	62.12	228.13	281.09	65.26	69.03	503.95
APPL2	1119.56	1167.14	1167.14	1304.15	921.88	1259.69	2148.82	2148.82	902.89	373.81	860.08	412.0	329.84	764.36	825.0	0.0
AQP7	1685.71	4066.71	4066.71	2816.11	16960.78	8778.97	11827.67	16496.96	26248.46	2.01	6.84	269.6	37.85	351.14	500.46	0.0
ARHGAP20	93.35	198.47	198.47	112.77	234.57	287.01	748.61	813.63	303.44	8.25	92.7	1.3	0.36	7.46	10.63	0.0
ATP1A2	228.13	420.68	420.68	842.36	4937.99	2240.11	4388.98	2875.3	3901.01	0.55	32.13	2.66	4.62	72.52	190.34	0.0
AZI2	1407.55	1628.26	1628.26	1322.37	1832.01	1313.23	2835.7	3589.58	2148.82	332.14	718.08	1001.93	277.2	1167.14	1233.75	921.88
BANK1	58.3	156.59	156.59	131.51	595.34	119.26	629.35	713.11	551.56	289.02	67.59	0.97	31.0	43.94	99.43	0.0
BCAP29	1159.07	1561.89	1561.89	1268.46	2287.2	1378.57	2796.65	2434.5	2537.92	854.13	1769.57	915.51	1008.9	708.18	769.69	0.0
BTBD6	1030.12	2351.53	2351.53	1216.75	1832.01	2796.65	2485.67	2835.7	2627.46	409.15	1359.57	414.87	1259.69	1286.18	1457.23	0.0
C14orf180	228.13	723.08	723.08	599.49	1447.15	1806.78	1857.6	2627.46	2240.11	0.0	0.85	0.0	0.0	0.0	5.68	0.0
C19orf80	116.78	178.77	178.77	176.29	256.78	769.69	327.56	961.07	187.71	24.81	19.82	5.02	4.35	0.16	1.69	0.0
C1orf213	146.03	237.86	237.86	202.66	323.03	229.72	279.14	297.17	102.97	67.59	100.83	23.42	36.79	95.34	112.77	0.0
C20orf27	656.11	995.0	995.0	603.67	1628.26	1709.26	2434.5	3039.3	2303.12	679.29	921.88	669.92	493.56	708.18	529.06	0.0
C2CD2	525.39	1127.35	1127.35	909.17	1721.16	1037.29	1651.0	1781.89	1733.13	400.71	214.27	158.79	122.64	384.34	339.14	124.37
C9orf91	395.18	612.11	612.11	417.77	511.0	693.58	1322.37	1295.13	947.83	199.85	149.12	299.25	629.35	111.21	98.73	119.26
CAV1	7032.37	18431.96	18431.96	10225.32	20310.37	10959.3	28923.41	29736.59	25179.16	318.57	4038.61	3124.78	1674.06	3257.52	2384.37	1639.59
CBFA2T3	79.45	123.5	123.5	89.51	120.94	81.14	651.58	361.04	612.11	8.85	92.05	8.51	7.46	43.32	40.93	0.0
CBLN1	10.16	52.08	52.08	12.45	202.66	44.57	228.13	205.5	176.29	3.59	5.63	0.66	4.9	19.97	3.26	0.0
CCL16	15.22	27.64	27.64	7.94	24.28	12.18	16.63	19.68	4.66	0.91	2.43	0.0	0.0	1.83	5.5	0.0
CD248	638.15	3039.3	3039.3	995.0	4736.79	3874.05	10154.69	5112.16	6561.36	480.04	3443.31	201.25	59.55	152.28	171.45	0.0
CD300LG	928.3	2004.85	2004.85	1259.69	6887.62	3039.3	6164.49	13872.08	19082.0	13.72	28.24	1.28	0.69	356.05	339.14	0.0
CDH23	95.34	283.05	283.05	198.47	529.06	624.99	316.37	780.44	708.18	2.12	16.63	3.63	2.16	12.18	18.43	0.0
CDKN2C	1015.93	1322.37	1322.37	909.17	1508.65	2119.22	1561.89	3874.05	3614.55	122.64	152.28	244.57	540.19	75.11	172.65	0.0
CDO1	878.17	981.29	981.29	595.34	7537.18	4010.71	7695.57	12076.21	1487.87	2.53	134.3	1.31	6.62	141.02	323.03	0.0
CDR1	67.59	132.44	132.44	108.9	234.57	182.55	258.57	688.78	521.76	0.0	23.59	1.0	1.43	0.0	4.39	0.0
CERS6	525.39	703.28	703.28	493.56	819.3	813.63	1540.37	2032.85	1745.2	231.32	264.03	444.72	202.66	275.28	314.17	0.0
CLMP	647.07	1806.78	1806.78	974.5	2758.13	2193.99	6471.02	10296.45	5751.61	0.89	44.25	0.0	1.39	242.88	206.94	0.0
CNTFR	316.37	642.59	642.59	713.11	11664.82	7081.29	9409.14	17078.76	11267.44	41.81	1427.22	13.22	131.51	12.64	215.77	0.0
CSF2RA	158.79	255.0	255.0	63.45	64.34	279.14	332.14	813.63	915.51	7.0	48.52	20.71	38.12	38.67	23.76	0.0
CSTA	470.14	708.18	708.18	454.09	2032.85	575.03	1709.26	2796.65	1088.92	1.6409999923E8	5.121275984E7	7.94	1.11	17.77	9.13	0.0
DEFB132	66.65	1127.35	1127.35	312.0	336.79	190.34	194.36	536.45	599.49	0.0	0.0	0.3	0.0	0.0	3.26	0.0
DGAT2	4298.64	15285.81	15285.81	4543.8	14663.09	14262.1	8479.89	25708.25	9540.5	503.95	1286.18	5.77	45.85	77.79	64.34	0.0
DOCK11	271.48	651.58	651.58	417.77	1051.79	1015.93	1051.79	878.17	981.29	8.45	32.36	9.34	48.52	279.14	483.38	0.0
EBF3	149.12	368.65	368.65	248.0	1008.9	414.87	559.28	607.87	647.07	14.45	20.56	1.31	1.77	35.76	23.08	0.0
ECHDC1	1295.13	1733.13	1733.13	1322.37	2351.53	1991.0	4836.35	12076.21	3874.05	909.17	1388.16	559.28	379.04	1015.93	1498.22	0.0
EIF2B3	642.59	759.08	759.08	669.92	909.17	896.64	1008.9	1119.56	1104.13	361.04	518.15	336.79	312.0	412.0	395.18	0.0
EIF4E3	575.03	842.36	842.36	587.13	1073.91	551.56	1191.69	2335.28	1277.29	78.89	237.86	11.38	74.06	159.9	305.55	0.0
ELMOD3	1259.69	1936.53	1936.53	1639.59	2796.65	2434.5	2451.44	3372.43	2451.44	221.86	316.37	244.57	373.81	599.49	392.44	0.0
EPB42	33.3	68.07	68.07	113.56	249.73	139.07	63.89	158.79	175.07	3.72	29.27	13.22	18.84	14.35	16.39	0.0
ESYT1	2032.85	3395.89	3395.89	2997.45	5633.22	4802.93	8078.22	4836.35	7642.41	660.68	785.88	796.86	1081.39	1066.48	830.75	0.0
FABP9	0.0	12.45	12.45	7.57	12.0	4.62	3.5	5.92	10.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FADS3	563.18	1685.71	1685.71	1225.22	1233.75	1923.14	2835.7	1857.6	2224.63	7.69	60.82	186.4	202.66	201.25	180.02	0.0
FAM166B	57.89	38.95	38.95	58.3	480.04	289.02	684.02	1529.73	228.13	36.27	187.71	22.59	15.8	29.06	28.24	0.0
FAM47E	507.46	1044.52	1044.52	432.53	1883.54	1447.15	1794.29	2682.69	2255.7	24.81	45.85	63.45	10.39	63.89	35.25	0.0
FAM47E-STBD1	220.32	559.28	559.28	269.6	775.05	669.92	723.08	1540.37	1225.22	22.59	44.57	56.28	13.42	30.56	35.76	0.0
FAM69A	323.03	514.56	514.56	371.22	866.07	473.41	1191.69	902.89	567.1	64.8	48.87	72.01	33.3	68.07	72.01	0.0
FAM89A	384.34	1477.58	1477.58	743.43	1950.0	1519.15	1896.65	2555.58	3443.31	78.34	579.04	11.82	13.12	239.52	159.9	698.41
FBXO9	1322.37	1605.83	1605.83	1286.18	1529.73	1819.35	2520.38	2520.38	1340.84	532.74	1081.39	669.92	521.76	1030.12	1286.18	1066.48
FFAR4	44.57	97.36	97.36	43.32	129.69	150.17	120.94	217.27	166.73	4.62	16.63	0.97	0.36	3.92	2.01	0.0
FGF13	414.87	329.84	329.84	389.72	954.43	457.25	1721.16	5329.3	1540.37	0.0	50.27	34.51	4.98	234.57	198.47	392.44
FGFBP2	88.26	182.55	182.55	144.01	629.35	529.06	743.43	1685.71	1417.35	0.0	13.93	4.82	1.39	31.0	41.81	0.0
GABRE	379.04	909.17	909.17	607.87	8134.41	4038.61	2485.67	2555.58	10959.3	2875.3	1662.49	10.88	6.31	78.89	40.93	0.0
GDF5	29.27	26.47	26.47	31.67	82.87	59.13	199.85	376.41	130.6	0.09	88.88	0.64	2.41	1.07	2.58	0.0
GLUL	13306.94	30361.44	30361.44	15285.81	64186.29	28132.47	107203.06	73221.53	92680.9	29736.59	41475.31	2061.24	2303.12	3614.55	3690.52	8134.41
GNG2	543.96	1883.54	1883.54	780.44	1477.58	1437.15	1111.82	1819.35	2319.15	29.48	67.59	79.45	14.35	392.44	381.68	103.69
GPAM	3168.41	8598.28	8598.28	3564.78	9344.14	7749.1	9088.59	18431.96	7230.1	19.39	43.02	99.43	53.57	123.5	127.0	0.0
GPATCH11	260.38	417.77	417.77	305.55	559.28	397.93	791.35	1008.9	612.11	77.25	74.58	73.54	92.7	127.0	172.65	128.79
GPLD1	48.18	211.31	211.31	60.39	72.52	85.82	178.77	152.28	134.3	26.1	150.17	6.01	4.46	16.63	41.52	0.0
GPR153	78.34	156.59	156.59	136.19	490.14	356.05	723.08	532.74	287.01	53.57	291.04	3.66	1.11	21.78	15.34	0.0
GPT2	376.41	941.27	941.27	559.28	2591.27	1508.65	2400.97	3820.7	2935.74	2451.44	728.11	775.05	154.42	142.01	147.06	0.0
GSN	21468.49	36864.92	36864.92	24490.61	87075.75	43840.21	70727.3	51775.15	81244.48	5366.37	9673.69	5791.62	1388.16	8538.88	8479.89	2075.59
GTDC1	412.0	507.46	507.46	339.14	490.14	483.38	718.08	633.73	607.87	108.14	242.88	89.51	241.19	215.77	412.0	152.28
GYG2	1143.1	4671.57	4671.57	2956.17	5633.22	4671.57	5329.3	7081.29	8901.53	4.1	23.76	0.34	0.36	11.73	67.59	0.0
GYPC	2133.97	2816.11	2816.11	2400.97	4328.55	6337.83	4802.93	11584.24	4671.57	33.54	435.55	128.79	70.01	1923.14	1417.35	0.0
HSPB7	651.58	3690.52	3690.52	1909.85	5555.65	4010.71	11584.24	8247.98	6745.86	1.01	48.87	356.05	1051.79	2451.44	1745.2	0.0
KCNIP2	1044.52	3716.2	3716.2	2075.59	12244.81	5366.37	2739.08	9344.14	9151.82	13.72	26.47	4.74	4.78	18.7	21.78	0.0
KLB	143.01	460.44	460.44	146.03	376.41	423.61	486.75	616.37	579.04	18.56	56.28	0.31	13.22	6.11	3.76	4.28
KLHL31	44.57	260.38	260.38	36.27	363.56	249.73	269.6	497.0	420.68	39.22	50.63	20.56	3.53	2.12	4.39	0.0
KRT6A	339.14	426.57	426.57	299.25	1.0	124.37	7.06	16.75	6.73	2.01760973986E9	2.41604469791E9	0.0	0.0	5.02	0.0	0.0
LGALS1	14065.74	35609.13	35609.13	31870.96	49322.93	67846.12	80683.28	63302.6	107203.06	3039.3	8479.89	4152.18	1769.57	4769.75	6983.79	0.0
LRP1	2682.69	5995.9	5995.9	5292.48	6516.03	8421.31	8479.89	9540.5	11745.96	660.68	1277.29	106.63	191.67	1081.39	954.43	775.05
MAB21L1	90.14	53.19	53.19	56.68	35.0	147.06	33.3	112.77	40.07	5.63	35.25	0.65	0.0	1.69	7.28	0.0
MAP3K5	334.46	269.6	269.6	414.87	842.36	323.03	1066.48	941.27	728.11	532.74	329.84	242.88	105.15	201.25	165.57	0.0
MARK1	133.36	208.38	208.38	134.3	466.88	536.45	503.95	497.0	417.77	43.63	183.82	94.01	1.79	85.82	103.69	0.0
MEOX1	323.03	457.25	457.25	583.07	2075.59	575.03	941.27	2434.5	2240.11	78.89	237.86	2.25	0.69	11.64	18.16	0.0
MME	1322.37	2976.74	2976.74	2032.85	5555.65	3060.45	8479.89	21172.91	14561.8	248.0	1508.65	2520.38	0.73	18.84	339.14	0.0
MRAS	1001.93	2178.83	2178.83	1359.57	5633.22	4769.75	3794.3	11035.54	6887.62	1.91	30.12	45.21	119.26	351.14	518.15	164.42
MYCBP2	1135.2	1447.15	1447.15	1340.84	2178.83	1963.57	2855.44	3372.43	1923.14	1015.93	1250.98	164.42	209.84	830.75	748.61	0.0
MYH1	8.78	7.51	7.51	3.14	1.1	9.34	8.25	27.44	4.58	0.64	0.0	0.0	0.0	0.57	0.52	0.0
NDN	656.11	1023.0	1023.0	728.11	2367.9	1832.01	4038.61	3081.75	3280.18	108.9	2075.59	13.42	21.16	848.22	633.73	0.0
NIPSNAP3B	205.5	165.57	165.57	175.07	738.29	102.97	361.04	612.11	575.03	12.93	26.67	59.55	96.68	136.19	142.01	0.0
NNAT	129.69	1397.83	1397.83	878.17	1477.58	2720.15	2591.27	2255.7	4419.52	178.77	642.59	3.99	14.24	5.68	9.56	0.0
NPY2R	50.63	11.91	11.91	185.11	11.64	32.36	65.26	283.05	3.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NR1H3	1225.22	1242.34	1242.34	1340.84	2997.45	2240.11	2720.15	3081.75	3589.58	211.31	571.05	884.29	616.37	1313.23	848.22	1617.0
NTSR2	1.48	0.0	0.0	0.75	20.71	3.92	15.91	10.55	19.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OLFM2	327.56	723.08	723.08	291.04	412.0	1674.06	1991.0	6699.25	2047.0	1127.35	1081.39	7.22	11.91	769.69	878.17	0.0
OPN4	0.73	2.53	2.53	1.53	8.19	6.26	12.93	10.08	7.34	0.45	5.15	0.97	0.0	0.0	1.97	0.0
OPTN	1745.2	2451.44	2451.44	2061.24	2997.45	3716.2	4769.75	6250.56	3955.48	1340.84	1268.46	1015.93	454.09	1304.15	1331.57	0.0
PALM2-AKAP2	162.14	591.22	591.22	403.5	780.44	220.32	583.07	1081.39	974.5	10.31	0.0	15.45	1.0	29.48	138.1	28.45
PHLDA3	988.12	1617.0	1617.0	1745.2	5403.7	6037.61	7749.1	8134.41	10014.87	5913.33	915.51	15.22	194.36	466.88	368.65	0.0
PHLDB1	1529.73	2758.13	2758.13	2468.49	3690.52	3443.31	3874.05	5041.77	6983.79	59.13	392.44	297.17	277.2	1909.85	1651.0	371.22
PLIN4	3874.05	16611.71	16611.71	13872.08	39785.74	35363.15	21468.49	42054.3	53973.86	1.77	7.28	35.5	94.01	42.11	16.75	0.0
PLXNA4	110.43	571.05	571.05	262.2	563.18	547.75	703.28	854.13	1081.39	0.0	1.17	0.31	1.38	56.28	51.35	0.0
PNPLA3	8.45	31.22	31.22	14.03	69.03	67.12	299.25	743.43	118.43	98.73	23.42	1.95	1.06	2.41	8.25	0.0
PPM1B	872.1	974.5	974.5	753.83	1037.29	967.76	1674.06	1662.49	1199.98	457.25	450.94	435.55	587.13	651.58	1044.52	0.0
PQLC1	718.08	791.35	791.35	890.44	2133.97	1350.18	3124.78	2351.53	2609.3	1617.0	1088.92	353.59	728.11	547.75	507.46	0.0
PRKAR2B	1427.22	5147.73	5147.73	1991.0	8247.98	4575.41	7589.61	12589.08	10154.69	2.56	65.26	40.93	490.14	954.43	1015.93	0.0
PRR5	371.22	587.13	587.13	473.41	1167.14	1268.46	1617.0	1909.85	738.29	559.28	1183.45	497.0	423.61	264.03	239.52	0.0
PRRT4	42.41	262.2	262.2	153.34	450.94	595.34	441.64	836.53	387.02	2796.65	802.41	0.32	0.0	1.43	3.79	0.0
PTEN	988.12	1487.87	1487.87	1183.45	4066.71	2240.11	4903.87	3742.05	5076.84	703.28	1159.07	251.48	291.04	438.59	703.28	616.37
PTPLA	153.34	134.3	134.3	251.48	1870.53	825.0	1721.16	2682.69	1313.23	17.64	52.08	178.77	126.12	242.88	145.02	0.0
PTPRS	567.1	1104.13	1104.13	995.0	2271.4	1733.13	2451.44	2032.85	2319.15	80.01	466.88	6.94	318.57	529.06	497.0	406.31
QKI	1259.69	1844.76	1844.76	1617.0	3280.18	2163.77	3257.52	5255.91	5633.22	363.56	400.71	450.94	258.57	1059.11	1259.69	384.34
RDH5	583.07	2609.3	2609.3	1457.23	6699.25	3039.3	2758.13	4210.15	6607.01	15.22	121.79	55.49	34.26	156.59	119.26	0.0
RNASE4	3564.78	2835.7	2835.7	2645.74	4066.71	2855.44	3491.39	5366.37	7230.1	59.55	1208.34	38.67	162.14	571.05	848.22	0.0
RNF41	785.88	1001.93	1001.93	954.43	1088.92	1407.55	1295.13	1519.15	1369.04	432.53	323.03	543.96	775.05	665.29	571.05	684.02
RP11-1070N10.3	20.71	39.22	39.22	40.07	105.15	101.54	101.54	70.51	90.77	0.0	5.23	0.0	1.39	5.82	0.0	0.0
RP11-644F5.10	60.39	126.12	126.12	94.67	253.23	132.44	163.28	212.78	244.57	7.06	24.99	14.35	21.16	31.67	18.84	0.0
RP11-830F9.6	11.91	20.71	20.71	15.0	45.53	33.54	53.19	40.93	80.57	8.06	10.47	0.99	0.0	6.78	8.45	0.0
RTN1	536.45	285.03	285.03	384.34	4152.18	928.3	620.67	1216.75	1313.23	8.99	24.11	10.71	37.32	190.34	64.8	0.0
RXRA	934.76	1143.1	1143.1	1015.93	2018.8	1685.71	2384.37	2573.36	2468.49	2032.85	848.22	368.65	921.88	842.36	703.28	194.36
SAA1	17681.08	96616.71	96616.71	151608.43	42054.3	218912.29	456418.21	687022.54	141455.6	896.64	1151.06	9.06	13.42	10.88	1.66	0.0
SAR1A	1819.35	2555.58	2555.58	1819.35	2573.36	2645.74	3564.78	3491.39	3768.09	1794.29	1135.2	1030.12	974.5	1051.79	1199.98	2178.83
SERPINF1	7180.15	14971.21	14971.21	10440.2	31215.04	21172.91	51062.33	26986.43	31432.17	351.14	10512.82	120.94	67.59	314.17	334.46	0.0
SH3KBP1	518.15	854.13	854.13	723.08	1685.71	1008.9	1896.65	2148.82	2777.33	86.43	403.5	49.56	100.13	293.07	363.56	890.44
SIX1	82.29	90.77	90.77	92.7	1437.15	890.44	1359.57	3794.3	1594.73	3.26	0.38	2.58	0.37	1.99	8.38	81.14
SLC24A3	226.54	447.82	447.82	297.17	195.72	547.75	688.78	1832.01	183.82	104.42	94.67	3.59	0.74	40.36	26.86	0.0
SLC25A1	1268.46	2434.5	2434.5	1605.83	3124.78	3982.99	5479.15	7180.15	4512.4	3349.13	3257.52	1628.26	1685.71	1216.75	1605.83	0.0
SLC27A3	825.0	872.1	872.1	1073.91	1936.53	3419.52	1191.69	2335.28	2627.46	441.64	660.68	96.01	72.01	480.04	307.69	0.0
SLC29A1	2163.77	3103.19	3103.19	2875.3	9151.82	5954.47	4769.75	5041.77	6426.31	521.76	265.87	2573.36	320.8	1388.16	934.76	0.0
SLC35G1	54.72	109.66	109.66	77.25	204.07	81.71	503.95	429.54	242.88	16.88	37.85	53.19	73.54	67.12	90.77	70.51
SLC7A10	211.31	769.69	769.69	275.28	1378.57	947.83	808.0	1407.55	1572.76	0.0	0.0	0.0	1.41	13.22	20.86	0.0
SPARC	24490.61	89523.81	89523.81	40062.48	85876.94	45386.27	111755.56	131071.0	135693.24	3515.68	6337.83	7803.01	1685.71	7589.61	6652.97	21172.91
SRPX	1477.58	1583.71	1583.71	1991.0	2520.38	3257.52	3794.3	4671.57	5366.37	3.99	155.5	13.12	16.27	58.3	87.03	5441.3
STS	201.25	473.41	473.41	318.57	389.72	339.14	830.75	759.08	872.1	25.35	79.45	34.26	45.85	112.77	98.73	220.32
STX11	140.04	463.65	463.65	332.14	563.18	521.76	607.87	842.36	872.1	384.34	202.66	33.54	2.14	27.44	40.93	0.0
SUB1	7803.01	6079.61	6079.61	10225.32	18950.18	9088.59	19618.49	35118.87	22535.88	8363.13	4671.57	4181.07	3303.0	3847.29	5292.48	0.0
SYNE3	85.22	232.94	232.94	194.36	389.72	189.02	412.0	262.2	595.34	9.85	17.64	1.95	4.54	8.19	15.8	0.0
TAL1	96.01	122.64	122.64	115.16	289.02	139.07	158.79	226.54	275.28	9.63	31.22	8.58	4.7	34.51	95.34	0.0
TF	1208.34	5329.3	5329.3	2255.7	9740.98	3614.55	49322.93	121448.75	56657.31	0.0	11.55	8.51	12.74	15.45	52.45	0.0
TGFBR3	1313.23	1844.76	1844.76	1651.0	2835.7	2417.67	3060.45	2758.13	878.17	35.0	318.57	67.59	53.57	521.76	591.22	0.0
TMEM200B	170.25	307.69	307.69	231.32	232.94	325.29	400.71	470.14	417.77	24.63	103.69	5.06	14.03	116.78	109.66	0.0
TNN	144.01	138.1	138.1	111.21	32.13	102.25	218.79	571.05	201.25	1.43	0.0	0.65	0.0	5.06	16.51	0.0
TUBB6	1662.49	4268.94	4268.94	3103.19	6652.97	6607.01	12676.65	9088.59	11584.24	5995.9	4419.52	497.0	1104.13	884.29	813.63	0.0
TUSC5	1096.5	3901.01	3901.01	2777.33	10084.54	8421.31	11827.67	18052.61	16045.82	0.21	0.87	0.0	45.21	1.79	0.83	0.0
TWIST1	293.07	444.72	444.72	412.0	251.48	693.58	1923.14	1359.57	802.41	5.68	83.45	2.63	0.38	3.23	5.77	13.52
UVRAG	463.65	647.07	647.07	563.18	738.29	555.41	974.5	854.13	921.88	49.91	191.67	293.07	363.56	339.14	277.2	0.0
VIM	34396.12	56657.31	56657.31	46986.85	73221.53	46662.28	74760.09	56265.94	88905.42	872.1	21919.61	2400.97	507.46	12415.75	11189.6	0.0
VIT	212.78	236.21	236.21	314.17	2303.12	329.84	595.34	476.71	253.23	1.39	15.91	0.0	0.0	3.2	11.13	0.0
VKORC1L1	603.67	2224.63	2224.63	902.89	1594.73	1437.15	1572.76	1923.14	1844.76	299.25	486.75	283.05	205.5	267.73	301.33	563.18
WBP1L	961.07	1143.1	1143.1	941.27	1175.27	1331.57	1896.65	1757.34	1313.23	435.55	529.06	412.0	941.27	483.38	435.55	0.0
ZNF106	647.07	967.76	967.76	1001.93	1277.29	1051.79	1551.09	1936.53	2209.26	123.5	95.34	450.94	229.72	500.46	476.71	0.0
ZNF385A	718.08	860.08	860.08	854.13	1467.37	2061.24	1378.57	3168.41	2609.3	13123.73	5831.91	397.93	148.09	264.03	237.86	503.95
