	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.WHSB.0326.SM.5FQSD	GTEX.QXCU.0626.SM.2TC69	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXU.2726.SM.5LU4N	GTEX.XPVG.1026.SM.4B64Y	GTEX.ZY6K.0326.SM.5SIBB	GTEX.145LS.1226.SM.5Q5D9
CAT	0.0	0.21	11664.82	3325.99	6792.79	1844.76	2895.31	7485.11	10883.59	8963.45	4268.94	5147.73	1143.1	7749.1	7857.29	3716.2
CD163	0.0	0.0	6516.03	2895.31	7642.41	3768.09	5219.6	5913.33	10883.59	12502.12	5555.65	1844.76	896.64	6426.31	4769.75	2956.17
CD68	8134.41	1977.24	34876.28	8022.41	26614.89	13586.57	20593.91	13586.57	38697.77	39785.74	25005.23	15824.9	2627.46	19754.96	23330.64	16843.62
CHST15	0.0	0.82	432.53	246.28	356.05	234.57	379.04	587.13	825.0	941.27	486.75	271.48	301.33	555.41	599.49	379.04
COMMD3-BMI1	0.0	0.0	785.88	103.69	438.59	283.05	665.29	728.11	583.07	878.17	351.14	532.74	26.47	693.58	460.44	151.22
COX4I1	0.0	1.39	20881.4	10084.54	10440.2	10808.41	16383.0	11664.82	22225.61	20593.91	15824.9	6037.61	5041.77	14971.21	15607.02	4388.98
CPS1	0.0	0.58	73.03	1.83	29.48	1.77	1.89	201.25	181.28	497.0	9.41	32.59	3.47	194.36	20.41	0.79
CPT2	0.0	0.0	616.37	329.84	441.64	260.38	409.15	480.04	656.11	616.37	387.02	371.22	111.21	529.06	447.82	295.11
CTSS	0.0	0.28	18819.27	6840.04	12764.83	13872.08	16496.96	10512.82	25708.25	23986.58	13399.51	18304.63	796.86	11827.67	13681.08	13033.07
EDEM2	0.0	0.49	1340.84	511.0	1175.27	967.76	1277.29	1216.75	1322.37	1498.22	775.05	1073.91	426.57	878.17	988.12	836.53
EHD2	521.76	647.07	8598.28	267.73	4450.27	1561.89	5292.48	5366.37	5219.6	6792.79	1135.2	3614.55	1467.37	4769.75	1769.57	1104.13
EIF3F	0.0	1.08	6652.97	4388.98	5366.37	2915.45	5479.15	4869.99	7280.4	7280.4	4836.35	2835.7	4298.64	5672.41	6121.9	2816.11
ETFDH	234.57	132.44	318.57	384.34	429.54	98.04	251.48	376.41	575.03	551.56	389.72	218.79	346.29	316.37	320.8	234.57
FBXL18	0.0	0.3	53.19	62.56	43.02	41.81	61.68	98.04	91.41	115.97	34.51	85.82	17.0	89.51	66.18	22.75
FN3KRP	0.0	0.48	995.0	497.0	612.11	253.23	607.87	713.11	802.41	854.13	368.65	759.08	287.01	802.41	563.18	403.5
FOLR1	0.0	0.41	59887.86	17078.76	6121.9	13123.73	8247.98	18819.27	32092.64	24321.43	5711.87	7803.01	4972.34	53973.86	12853.63	6207.38
GMPR2	0.0	0.62	2816.11	836.53	1583.71	878.17	1529.73	2090.03	2209.26	2061.24	1044.52	1639.59	603.67	1896.65	1923.14	1407.55
GOLIM4	291.04	94.01	1427.22	432.53	890.44	497.0	698.41	1119.56	954.43	1685.71	363.56	860.08	248.0	1066.48	638.15	470.14
GPR39	0.0	0.21	543.96	62.56	234.57	202.66	206.94	307.69	612.11	1088.92	163.28	181.28	2.39	647.07	223.41	129.69
GUSB	1540.37	181.28	2468.49	1073.91	1923.14	884.29	1529.73	1467.37	2609.3	2997.45	2163.77	1111.82	493.56	2451.44	1883.54	1427.22
HADH	0.0	0.27	1519.15	651.58	1467.37	780.44	1551.09	1583.71	1397.83	1769.57	1059.11	974.5	283.05	1167.14	1340.84	1030.12
HADHA	0.0	0.71	4298.64	1697.45	2835.7	1757.34	2758.13	3443.31	4152.18	5041.77	2119.22	2384.37	1340.84	2701.35	2739.08	1617.0
HAGH	1286.18	381.68	2915.45	928.3	1088.92	1216.75	1551.09	2104.58	2209.26	2956.17	2193.99	1044.52	848.22	2956.17	1313.23	738.29
HEXB	0.0	0.64	7180.15	2895.31	6840.04	2664.15	6294.04	4268.94	7803.01	8247.98	4450.27	3349.13	2018.8	4450.27	5594.3	4836.35
HIGD2A	0.0	0.88	3212.66	1721.16	4512.4	1617.0	4066.71	4268.94	5831.91	5183.54	2319.15	3168.41	1487.87	3847.29	2997.45	981.29
HMGCL	0.0	0.31	1639.59	208.38	1151.06	432.53	1044.52	1295.13	1427.22	1572.76	698.41	941.27	412.0	1167.14	1159.07	728.11
HNMT	0.0	0.61	2451.44	165.57	1745.2	532.74	444.72	3257.52	4010.71	2935.74	884.29	493.56	137.14	1477.58	1709.26	493.56
HSD11B1L	0.0	0.28	291.04	136.19	145.02	107.38	157.68	198.47	236.21	305.55	85.82	140.04	30.78	201.25	194.36	166.73
HTATIP2	0.0	0.61	2224.63	356.05	1191.69	500.46	1572.76	1561.89	1844.76	2384.37	961.07	1023.0	723.08	1407.55	1519.15	764.36
IGF2R	579.04	595.34	1378.57	1199.98	909.17	825.0	1127.35	1561.89	2018.8	2367.9	802.41	1066.48	808.0	1369.04	1359.57	769.69
KCTD18	0.0	0.0	414.87	329.84	271.48	170.25	253.23	343.89	301.33	314.17	183.82	285.03	110.43	336.79	264.03	251.48
KIAA0754	0.0	0.06	131.51	34.26	16.75	52.82	15.91	96.68	100.13	114.36	20.56	59.97	43.32	72.01	37.05	6.67
KIAA2013	0.0	0.32	1242.34	638.15	1030.12	612.11	1088.92	1066.48	1167.14	1143.1	559.28	825.0	325.29	1023.0	872.1	483.38
KLRG2	0.0	0.0	260.38	15.91	79.45	21.94	53.19	204.07	109.66	346.29	16.15	141.02	46.5	183.82	52.08	11.13
KREMEN2	0.0	0.47	7.75	4.43	0.0	0.11	1.73	13.72	24.99	15.8	1.5	0.96	0.09	11.13	11.55	0.0
LGI3	0.0	0.0	5751.61	1378.57	2956.17	624.99	842.36	2178.83	4095.0	4298.64	1199.98	1529.73	57.89	3257.52	2119.22	698.41
LHPP	0.0	0.41	444.72	165.57	384.34	397.93	629.35	366.09	954.43	915.51	587.13	334.46	117.6	414.87	441.64	356.05
LRRC28	0.0	0.54	320.8	100.13	332.14	163.28	248.0	373.81	426.57	463.65	182.55	189.02	141.02	339.14	305.55	194.36
LRRC29	0.0	0.3	138.1	38.12	88.26	36.53	85.82	107.38	120.1	105.89	49.56	85.82	23.42	143.01	69.52	52.82
MAOA	0.0	0.62	11112.3	1794.29	6652.97	941.27	3955.48	5403.7	7032.37	10014.87	3589.58	981.29	224.97	6207.38	1540.37	1909.85
METTL24	0.0	0.29	14.89	2.39	9.7	2.58	43.02	34.51	87.65	89.51	19.53	37.05	17.77	29.06	18.03	35.0
NAT8	0.0	0.04	0.87	0.0	3.79	3.59	4.28	6.52	7.69	12.93	0.0	1.79	1.33	2.36	3.66	2.92
NCAPD3	0.0	0.75	171.45	161.02	62.12	246.28	214.27	187.71	255.0	490.14	69.03	80.01	103.69	239.52	228.13	59.13
NFIX	447.82	332.14	4298.64	2271.4	1066.48	723.08	1674.06	2163.77	2502.97	3325.99	753.83	2004.85	656.11	2796.65	1757.34	988.12
NID1	0.0	0.89	1697.45	836.53	1051.79	156.59	351.14	1059.11	2739.08	2777.33	1023.0	253.23	830.75	1111.82	209.84	518.15
NOA1	0.0	0.33	358.54	218.79	289.02	149.12	265.87	253.23	336.79	325.29	198.47	158.79	96.68	309.83	242.88	249.73
NPTXR	0.0	0.39	164.42	17.51	105.15	21.16	85.22	149.12	171.45	156.59	43.02	48.52	19.97	127.0	26.86	43.94
P2RY12	0.0	0.0	40.07	8.51	102.97	4.54	64.8	111.99	112.77	149.12	28.86	18.03	8.85	295.11	27.25	18.03
PCDHA10	0.0	0.0	38.12	37.59	22.26	3.2	16.63	26.1	56.28	63.89	19.68	37.05	2.12	47.84	16.39	25.72
PECR	0.0	0.09	642.59	61.68	346.29	112.77	366.09	629.35	397.93	848.22	125.24	457.25	38.95	647.07	733.19	389.72
PLD3	0.0	0.75	23330.64	10883.59	10440.2	10296.45	11992.79	16045.82	21320.18	24832.5	18560.17	12415.75	3716.2	15075.35	13681.08	12764.83
PLEKHD1	0.0	0.12	9.56	16.63	5.06	3.69	8.78	9.13	13.83	22.92	5.45	2.46	2.23	29.27	5.23	3.03
POLH	0.0	0.25	144.01	39.79	108.14	72.52	194.36	195.72	190.34	291.04	73.03	163.28	80.57	189.02	209.84	131.51
POLR3H	0.0	0.0	1551.09	1127.35	1268.46	1127.35	1286.18	1304.15	1572.76	1709.26	738.29	1001.93	164.42	1350.18	1111.82	518.15
PSKH1	0.0	0.0	836.53	708.18	616.37	414.87	684.02	743.43	674.59	759.08	332.14	525.39	387.02	684.02	490.14	327.56
PSRC1	0.0	0.39	94.67	48.87	45.21	22.43	78.34	138.1	189.02	214.27	157.68	25.72	60.82	124.37	93.35	36.01
QSOX1	0.0	1.16	19214.73	5913.33	4903.87	4038.61	5329.3	15715.58	8840.04	21617.82	3847.29	8538.88	1529.73	12853.63	6471.02	5831.91
RAB3A	0.0	0.27	77.79	5.19	27.84	24.81	35.5	41.81	70.51	70.01	35.5	32.82	56.68	38.67	43.63	48.18
RACGAP1	0.0	0.44	358.54	32.82	167.9	88.88	454.09	713.11	693.58	1151.06	151.22	101.54	55.89	297.17	295.11	175.07
RBP7	0.0	0.33	679.29	256.78	507.46	14.14	175.07	376.41	620.67	638.15	249.73	59.55	68.07	423.61	155.5	76.71
RNLS	0.0	0.29	339.14	72.01	358.54	75.64	166.73	351.14	466.88	540.19	185.11	129.69	23.42	309.83	214.27	134.3
SFTPA2	22225.61	123.5	4495342.72	4051429.61	3134925.09	3995652.37	3940643.03	2126426.15	4851500.88	2729110.67	4079609.54	3313672.43	9673.69	2053992.24	2493947.08	2053992.24
SHMT1	0.0	0.0	796.86	368.65	836.53	303.44	974.5	791.35	1008.9	1059.11	842.36	529.06	103.69	688.78	595.34	587.13
SIRT5	0.0	0.0	318.57	49.91	289.02	108.9	279.14	309.83	325.29	336.79	191.67	198.47	127.0	295.11	255.0	98.04
SLC40A1	0.0	0.35	4836.35	941.27	2956.17	500.46	511.0	3982.99	3491.39	4388.98	764.36	1044.52	1407.55	4671.57	1963.57	1233.75
SLC45A2	0.0	0.08	1.23	1.14	1.03	0.07	0.77	5.45	7.17	6.41	0.0	0.0	0.75	2.71	0.38	0.08
SLC6A4	0.0	0.0	2255.7	921.88	884.29	82.29	884.29	1295.13	3103.19	2502.97	329.84	775.05	289.02	6121.9	830.75	384.34
SNRNP35	0.0	0.37	974.5	291.04	872.1	490.14	713.11	791.35	866.07	860.08	447.82	647.07	368.65	848.22	723.08	417.77
SORT1	0.0	0.46	3928.15	2090.03	2004.85	285.03	1388.16	1745.2	3372.43	3018.3	2209.26	703.28	738.29	2119.22	620.67	1044.52
SOX11	0.0	0.14	0.0	0.0	0.17	2.73	0.22	7.51	11.55	14.56	0.0	0.0	0.0	0.0	0.0	0.0
TCN2	0.0	0.42	3372.43	813.63	1806.78	406.31	1359.57	2758.13	4066.71	4388.98	3190.46	764.36	361.04	3212.66	1096.5	753.83
TMEM150B	0.0	0.15	438.59	30.12	366.09	66.65	211.31	567.1	872.1	1167.14	221.86	269.6	54.72	301.33	638.15	77.25
TMEM164	0.0	0.0	1639.59	1233.75	1096.5	842.36	1268.46	1066.48	1407.55	1359.57	954.43	941.27	301.33	1216.75	1001.93	775.05
TMEM37	0.0	0.33	1015.93	169.07	775.05	363.56	329.84	974.5	981.29	1008.9	217.27	389.72	120.94	830.75	698.41	105.89
ZDHHC12	0.0	0.0	1896.65	507.46	1508.65	708.18	1551.09	1662.49	1697.45	2075.59	698.41	1388.16	299.25	1651.0	1605.83	473.41
