	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.QV44.0326.SM.4R1KD	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.V1.A8WW.01A.11R.A37L.07	TCGA.YL.A9WH.01A.11R.A37L.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.VP.A872.01A.11R.A352.07	TCGA.HC.7232.01A.11R.2118.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.CH.5791.01A.11R.1580.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.D7.A6EZ.01A.11R.A31P.31
C11orf35	154.42	117.6	74.06	218.79	0.0	0.52	244.57	389.72	190.34	409.15	104.42	80.01	52.45	81.14	327.56
C17orf75	136.19	123.5	305.55	143.01	0.0	0.15	493.56	412.0	483.38	435.55	507.46	387.02	376.41	258.57	366.09
C19orf71	6.62	5.77	1.46	6.31	0.0	0.61	67.12	80.01	27.84	48.52	23.25	59.55	38.4	7.88	28.04
C1orf63	186.4	102.25	226.54	521.76	0.0	1.66	2090.03	2090.03	2609.3	2303.12	490.14	1250.98	860.08	303.44	1498.22
C20orf144	1.99	2.2	0.79	1.11	0.0	0.3	14.78	14.14	14.78	10.31	12.0	6.62	5.32	6.57	12.27
C22orf24	0.0	0.0	1.35	0.0	0.0	0.12	5.63	4.78	4.17	5.5	1.01	3.06	2.81	2.12	4.5
C8orf82	473.41	457.25	323.03	934.76	0.0	0.47	1551.09	1104.13	848.22	785.88	603.67	733.19	642.59	708.18	629.35
C9orf172	0.59	0.28	0.0	1.93	0.0	0.39	54.72	81.71	31.67	37.32	27.05	11.91	19.11	23.42	26.1
CAPN10	65.72	85.22	81.14	139.07	0.0	1.03	656.11	521.76	525.39	480.04	303.44	470.14	273.37	256.78	403.5
CARNS1	1.51	5.54	0.84	25.72	0.0	0.23	29.7	26.67	22.1	28.04	14.35	9.85	18.43	12.55	1.68
CATSPER2	16.51	16.27	2.51	16.51	0.0	0.64	159.9	177.53	144.01	107.38	38.67	99.43	57.49	17.77	64.8
CCDC84	100.83	105.89	135.24	90.14	0.0	1.14	490.14	813.63	371.22	718.08	108.9	269.6	224.97	93.35	341.51
CCT6B	96.01	34.02	159.9	71.0	0.0	0.0	228.13	126.12	198.47	193.01	136.19	87.03	47.84	78.89	52.45
CEMP1	17.51	30.12	45.21	141.02	0.0	0.13	239.52	571.05	115.16	234.57	111.99	165.57	68.55	171.45	41.52
CHTF18	39.79	20.56	15.0	61.25	0.0	0.99	493.56	902.89	301.33	497.0	126.12	204.07	177.53	145.02	444.72
CPSF4	180.02	127.0	246.28	172.65	0.0	0.96	1037.29	872.1	511.0	620.67	387.02	616.37	629.35	525.39	629.35
DAGLA	10.0	9.13	4.17	9.85	0.0	0.38	76.71	51.71	74.58	55.1	54.33	55.1	47.17	38.67	29.06
DMBX1	0.0	0.0	0.0	0.0	0.0	0.21	2.05	8.65	1.87	3.86	0.35	0.34	1.3	0.36	0.0
EME2	18.56	14.56	45.53	39.5	118.43	120.1	376.41	902.89	361.04	348.71	137.14	204.07	64.8	85.22	108.14
FAM111A	85.82	52.45	158.79	154.42	303.44	483.38	988.12	775.05	854.13	656.11	497.0	669.92	713.11	318.57	819.3
FGF12	9.06	6.36	12.74	4.17	0.0	0.34	173.85	138.1	100.13	127.89	72.01	78.89	2.78	29.48	28.45
FHOD1	99.43	52.08	61.25	113.56	0.0	1.22	934.76	1487.87	579.04	769.69	511.0	409.15	211.31	314.17	708.18
FSCN2	0.66	0.0	6.41	2.56	0.0	0.23	85.22	77.25	49.91	55.89	23.93	44.57	8.51	13.12	14.24
GRIN1	0.0	0.93	0.0	0.0	0.0	0.26	165.57	201.25	131.51	86.43	32.36	71.5	63.0	48.87	24.99
GRK6	151.22	220.32	100.13	164.42	0.0	0.51	674.59	688.78	571.05	591.22	514.56	507.46	438.59	438.59	587.13
HMHA1	176.29	115.97	175.07	234.57	0.0	0.96	723.08	723.08	376.41	543.96	256.78	518.15	277.2	273.37	353.59
HSF4	156.59	52.82	43.02	229.72	0.0	1.46	3257.52	3690.52	2351.53	3901.01	438.59	1295.13	381.68	237.86	316.37
HTR4	1.19	0.0	2.48	0.0	0.0	0.0	4.1	5.54	0.69	2.94	1.71	0.36	2.41	0.38	0.0
INPPL1	189.02	246.28	323.03	384.34	0.0	1.41	2047.0	2720.15	1991.0	1617.0	1467.37	1457.23	2004.85	1183.45	1909.85
KIAA1598	273.37	346.29	813.63	432.53	0.0	0.38	796.86	878.17	379.04	432.53	279.14	540.19	473.41	507.46	563.18
KIAA1984	1.36	11.38	7.51	29.48	0.0	0.53	551.56	1104.13	291.04	486.75	189.02	129.69	98.73	189.02	29.27
KIFC2	40.64	40.93	21.01	110.43	0.0	1.5	1662.49	2664.15	780.44	1295.13	279.14	262.2	289.02	114.36	454.09
KRTAP5-1	0.0	0.0	0.0	0.0	0.0	0.51	47.5	74.58	3.11	36.27	7.75	7.94	7.82	5.36	23.93
KRTAP5-2	0.0	0.0	2.94	0.72	0.0	0.04	11.64	20.41	0.0	12.27	8.51	1.23	2.56	3.56	5.59
LRRC14	77.25	91.41	101.54	136.19	0.0	0.72	669.92	947.83	669.92	567.1	384.34	503.95	438.59	409.15	470.14
MARS	1159.07	1059.11	1388.16	603.67	0.0	0.72	2682.69	2935.74	2485.67	2104.58	1781.89	2133.97	2163.77	1781.89	2104.58
METTL12	40.93	11.73	61.68	13.12	0.0	0.45	264.03	420.68	236.21	241.19	142.01	218.79	193.01	197.09	226.54
NPIPA1	173.85	224.97	198.47	400.71	0.0	1.33	1628.26	2520.38	1159.07	1508.65	866.07	1073.91	836.53	432.53	808.0
NPRL2	371.22	220.32	246.28	348.71	0.0	0.62	651.58	819.3	521.76	656.11	473.41	567.1	423.61	490.14	665.29
NRBP2	343.89	432.53	262.2	848.22	0.0	1.11	718.08	1104.13	928.3	674.59	346.29	473.41	297.17	208.38	470.14
OGT	264.03	190.34	229.72	371.22	0.0	1.22	1159.07	2682.69	1551.09	1111.82	802.41	1104.13	1277.29	406.31	1037.29
PARD6A	31.67	44.57	50.27	91.41	0.0	0.32	429.54	728.11	307.69	228.13	334.46	301.33	131.51	217.27	283.05
PCBP4	171.45	126.12	66.65	187.71	0.0	0.69	2018.8	1313.23	872.1	1572.76	728.11	802.41	660.68	665.29	928.3
PDDC1	237.86	224.97	223.41	414.87	703.28	104.42	1304.15	2090.03	1572.76	1001.93	1015.93	1417.35	896.64	591.22	1250.98
PGP	120.94	158.79	94.01	88.26	0.0	0.56	454.09	500.46	275.28	420.68	231.32	275.28	241.19	318.57	423.61
PIN4	660.68	420.68	607.87	860.08	0.0	0.24	961.07	1143.1	743.43	825.0	444.72	500.46	371.22	612.11	540.19
PLA2G2A	260332.24	41188.81	258533.99	506427.83	0.0	0.47	299043.36	311742.51	558035.51	558035.51	428815.23	513497.31	751804.53	565825.41	606436.73
PLEKHJ1	642.59	476.71	376.41	674.59	0.0	0.68	2367.9	3395.89	995.0	1909.85	1561.89	2061.24	1216.75	1467.37	1674.06
PLXNA3	31.22	28.65	7.75	89.51	0.0	1.01	1127.35	1369.04	1151.06	693.58	400.71	567.1	591.22	400.71	612.11
PMFBP1	9.48	2.89	12.45	6.84	0.0	0.48	33.3	76.17	15.91	12.0	6.26	21.32	12.64	4.86	28.86
PPP1R35	267.73	189.02	141.02	199.85	0.0	0.88	1447.15	1143.1	825.0	934.76	616.37	698.41	791.35	688.78	896.64
PXT1	0.0	0.0	0.0	0.0	0.0	0.1	2.36	2.1	1.77	1.38	2.18	1.06	0.37	0.73	1.31
RAC3	68.55	69.03	50.98	101.54	0.0	0.56	1745.2	1059.11	848.22	860.08	769.69	674.59	525.39	753.83	698.41
RAD9A	64.34	158.79	77.79	92.05	0.0	0.69	511.0	603.67	269.6	518.15	208.38	316.37	316.37	228.13	387.02
RGS11	17.38	6.16	1.14	21.78	0.0	0.83	1417.35	1628.26	941.27	1175.27	507.46	514.56	100.13	159.9	3.82
RHPN1	3.38	5.73	13.42	14.45	0.0	1.0	848.22	1639.59	480.04	511.0	231.32	332.14	249.73	376.41	283.05
RP11-156E8.1	0.62	1.5	3.29	1.71	0.0	0.27	20.41	30.34	21.78	25.35	13.83	5.15	10.71	5.41	9.93
RP11-5A19.5	17.38	4.5	1.27	27.05	0.0	1.19	293.07	414.87	267.73	384.34	59.13	91.41	40.07	25.17	48.18
RPA4	0.49	0.0	0.34	0.0	0.0	0.16	6.41	7.46	2.63	3.79	3.92	2.61	1.03	0.0	4.17
SHFM1	5183.54	7081.29	4769.75	5517.27	0.0	0.89	15607.02	8901.53	6699.25	9474.59	4769.75	3690.52	5403.7	5183.54	7857.29
SLC26A5	3.72	2.71	2.46	4.62	0.0	0.16	29.7	31.67	15.68	19.39	3.82	5.82	9.7	8.65	0.0
SLC26A6	29.7	35.25	40.07	94.01	591.22	241.19	974.5	1175.27	796.86	1073.91	229.72	500.46	579.04	444.72	1015.93
SLC9A5	1.79	0.69	0.09	2.07	0.0	0.75	38.95	73.54	19.82	36.01	18.43	9.27	4.46	3.06	13.12
SPATA2L	154.42	291.04	116.78	215.77	0.0	0.21	327.56	441.64	124.37	363.56	127.89	164.42	119.26	303.44	223.41
SRCIN1	107.38	63.0	30.56	102.25	0.0	0.31	273.37	301.33	199.85	140.04	85.82	94.01	58.71	74.06	115.97
SS18L2	466.88	647.07	551.56	476.71	0.0	0.66	1447.15	2956.17	1529.73	1066.48	981.29	1388.16	1225.22	1073.91	1023.0
STAC3	20.86	23.25	41.22	71.0	0.0	0.15	78.89	125.24	32.82	91.41	29.48	52.45	51.35	26.28	85.22
STK25	878.17	785.88	791.35	1143.1	0.0	0.96	3395.89	2720.15	3515.68	3124.78	2133.97	3124.78	2434.5	2287.2	2287.2
STX1A	7.51	4.9	16.88	21.78	0.0	0.79	214.27	226.54	149.12	208.38	89.51	109.66	100.83	63.45	79.45
SUV420H2	16.39	34.02	36.27	46.5	0.0	0.46	358.54	406.31	309.83	334.46	162.14	209.84	187.71	119.26	339.14
TBC1D24	118.43	97.36	141.02	162.14	83.45	73.03	171.45	226.54	94.01	215.77	113.56	100.13	150.17	121.79	170.25
TELO2	242.88	209.84	249.73	325.29	0.0	1.13	1407.55	2004.85	1397.83	1844.76	947.83	1135.2	587.13	591.22	525.39
TIGD3	0.72	2.53	0.25	1.93	0.0	0.08	26.86	48.18	6.06	17.25	18.29	14.14	13.72	10.71	18.03
TMEM259	1857.6	1685.71	1199.98	1794.29	0.0	1.07	3372.43	3443.31	3372.43	3419.52	2119.22	3515.68	2434.5	1883.54	2645.74
TRABD	336.79	314.17	299.25	303.44	0.0	0.95	1331.57	1407.55	1191.69	1159.07	624.99	1051.79	836.53	890.44	902.89
TSSK6	9.2	12.55	5.54	22.1	0.0	0.0	57.89	41.52	45.53	43.32	33.3	38.67	28.65	9.93	37.05
UAP1L1	12.18	6.52	23.76	58.3	0.0	0.56	785.88	808.0	423.61	616.37	305.55	361.04	567.1	253.23	312.0
WDR90	70.01	68.55	52.45	133.36	0.0	0.97	813.63	1407.55	723.08	1015.93	384.34	392.44	351.14	358.54	521.76
ZMIZ2	287.01	164.42	146.03	251.48	0.0	1.2	2032.85	2163.77	1551.09	1477.58	928.3	1295.13	1059.11	775.05	1583.71
