	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.E2.A108.01A.13R.A10J.07	GTEX.Q734.0626.SM.2I3EF	TCGA.60.2715.01A.01R.0851.07	GTEX.Y5LM.0626.SM.4V6G4	GTEX.12WSK.0926.SM.5CVNQ	GTEX.PWN1.2626.SM.2I3FH	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.ZV7C.0126.SM.57WDE	GTEX.PWCY.2326.SM.2I3EQ	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.T8EM.0226.SM.3DB7C
LILRB1	189.02	189.02	281.09	1008.9	332.14	18.03	5.63	37.05	64.34	3.41	28.24	17.77	8.13	3.63	8.65	13.83	14.67
MRGPRF	166.73	166.73	246.28	175.07	429.54	127.0	24.63	147.06	255.0	145.02	105.89	137.14	11.3	77.79	18.7	108.14	91.41
NCKAP1L	454.09	454.09	884.29	2119.22	511.0	72.01	13.03	191.67	248.0	41.22	102.97	128.79	5.63	5.73	11.38	15.91	32.59
PHF19	264.03	264.03	638.15	684.02	612.11	218.79	114.36	271.48	348.71	186.4	220.32	215.77	109.66	156.59	144.01	173.85	112.77
PLEK	616.37	616.37	1331.57	1757.34	728.11	98.73	17.25	217.27	633.73	57.08	92.05	197.09	8.19	23.76	20.71	13.72	53.57
PSMB10	2335.28	2335.28	2875.3	3018.3	2047.0	1001.93	476.71	878.17	6840.04	1745.2	1259.69	769.69	638.15	1605.83	583.07	1487.87	934.76
PSTPIP1	211.31	211.31	395.18	769.69	318.57	45.85	23.25	75.11	181.28	35.76	90.77	43.94	12.27	33.54	17.25	22.92	30.56
RARRES1	514.56	514.56	2287.2	1950.0	1745.2	143.01	29.48	211.31	500.46	162.14	82.87	129.69	20.86	13.93	33.78	27.25	90.14
REC8	169.07	169.07	198.47	532.74	529.06	53.57	119.26	147.06	336.79	120.94	164.42	118.43	63.0	190.34	110.43	178.77	139.07
SASH3	518.15	518.15	884.29	3928.15	698.41	71.0	15.11	251.48	579.04	36.01	185.11	120.94	11.3	29.91	17.0	21.16	30.56
SERPING1	14361.31	14361.31	20451.65	15934.98	13215.02	6792.79	3168.41	9088.59	13681.08	4123.49	5403.7	6745.86	1397.83	3081.75	1936.53	2537.92	4972.34
SLC45A3	40.36	40.36	173.85	242.88	183.82	24.81	8.71	36.79	67.12	16.15	38.4	22.75	13.42	19.11	9.78	27.64	21.63
SLC6A14	13.32	13.32	13.22	486.75	211.31	1.33	1.33	4.1	50.27	3.38	0.4	1.38	0.0	0.39	0.0	13.62	0.0
SNX20	224.97	224.97	435.55	1350.18	229.72	14.78	4.21	59.55	165.57	6.62	48.87	35.76	4.9	12.18	4.9	13.72	11.47
ST3GAL4	486.75	486.75	547.75	518.15	743.43	202.66	144.01	241.19	733.19	353.59	237.86	273.37	267.73	158.79	239.52	507.46	406.31
TMEM176A	1617.0	1617.0	3564.78	6652.97	4010.71	258.57	41.52	285.03	1044.52	316.37	595.34	277.2	13.62	185.11	52.82	167.9	325.29
TNFAIP8L2	236.21	236.21	444.72	1143.1	287.01	29.91	10.0	59.97	161.02	32.82	70.01	44.25	18.29	38.4	17.25	19.97	24.81
TNFSF14	37.05	37.05	117.6	303.44	103.69	9.56	5.28	16.39	48.18	3.72	27.44	12.09	0.78	2.66	10.55	1.48	3.96
TPO	31.22	31.22	42.71	5.45	6.16	751804.53	535303.41	585779.24	828417.36	716197.51	636586.81	443937.41	736332.6	1890058.21	1327240.99	875652.15	2111737.85
TTC16	9.41	9.41	12.36	49.91	21.32	2.53	5.68	8.13	14.56	1.83	4.21	4.06	3.59	2.34	3.82	6.11	4.9
VAMP5	1651.0	1651.0	2777.33	4639.29	3874.05	1594.73	1104.13	1167.14	4066.71	651.58	1044.52	1467.37	312.0	1639.59	703.28	1225.22	1388.16
WAS	457.25	457.25	819.3	2075.59	525.39	82.29	16.88	201.25	320.8	42.41	125.24	120.1	16.88	22.1	21.16	27.44	42.71
