	GTEX.RTLS.1326.SM.46MUN	GTEX.Y5LM.0426.SM.4VBRO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1399T.0826.SM.5IFES	GTEX.13FTZ.0526.SM.5IJCW	GTEX.S7SE.0926.SM.2XCD6	GTEX.111FC.1126.SM.5GZWU	GTEX.ZE7O.0826.SM.57WCP	GTEX.Q734.0626.SM.2I3EF	GTEX.WK11.0526.SM.3NB3O	TCGA.43.5670.11A.01R.2125.07	TCGA.51.4081.11A.01R.1758.07
EOMES	7.4	0.36	5.28	18.84	22.92	18.03	13.83	22.92	12.64	16.75	129.69	33.3	16.88	82.29	172.65	73.03	116.78	66.65	80.01	69.03	38.4	73.54
FASLG	1.58	0.61	5.28	12.45	15.34	4.35	18.03	26.86	12.93	8.0	25.72	5.96	9.48	33.54	77.25	86.43	134.3	54.72	172.65	131.51	30.78	46.18
FCRL3	7.4	0.77	1.97	12.0	5.73	8.85	5.82	23.42	3.89	6.21	46.84	6.16	8.58	56.28	77.25	212.78	57.08	58.3	26.67	112.77	26.86	24.11
GADL1	0.83	0.0	0.0	0.0	1.07	2.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.26	3.47	5.23	6.46	6.62	4.06	2.78	1.81
GAS6	1487.87	748.61	85.22	111.21	1208.34	1151.06	1407.55	373.81	409.15	221.86	543.96	928.3	205.5	1832.01	6745.86	9808.75	7130.55	17437.64	4328.55	15934.98	4450.27	4769.75
GBP3	76.17	94.01	358.54	124.37	397.93	412.0	125.24	9.63	84.63	107.38	406.31	638.15	603.67	336.79	1151.06	2855.44	967.76	1096.5	854.13	2075.59	679.29	665.29
GCSAM	1.83	6.89	4.43	0.88	19.25	27.05	14.45	1.81	8.71	5.82	24.46	12.36	3.2	22.59	44.89	107.38	34.02	38.4	77.25	25.17	62.56	53.95
GP9	1.01	0.0	0.69	1.83	0.0	0.0	1.28	0.0	1.27	2.07	3.03	1.22	2.71	3.38	19.39	4.74	11.55	49.56	26.1	14.24	16.88	26.28
GPR68	3.32	2.58	2.01	22.92	14.78	13.93	12.55	26.28	15.68	16.63	11.38	7.06	13.52	42.71	81.14	379.04	175.07	85.82	334.46	220.32	128.79	267.73
GZMM	26.1	20.26	28.04	117.6	85.22	69.52	50.27	47.84	46.5	96.68	356.05	84.04	53.19	253.23	1322.37	974.5	703.28	397.93	228.13	921.88	172.65	307.69
HMHA1	348.71	231.32	67.12	373.81	193.01	191.67	460.44	432.53	476.71	591.22	599.49	265.87	206.94	329.84	1175.27	2537.92	1519.15	1923.14	1936.53	2224.63	1044.52	1427.22
IFLTD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.19	61.68	121.79	173.85	34.26	3.23	154.42	8.06
IFNG	8.06	0.0	0.0	16.39	2.14	1.17	41.52	5.82	8.45	3.38	35.25	1.38	4.35	116.78	218.79	29.7	283.05	34.75	43.63	11.73	19.11	33.06
IKZF2	5.19	3.06	14.67	6.84	15.11	12.64	12.55	5.92	3.06	10.96	16.03	21.01	5.92	73.03	102.97	148.09	115.97	84.04	98.04	37.32	81.14	37.59
IL15	21.01	17.9	72.52	17.38	88.26	63.45	49.21	62.56	32.36	61.25	108.14	66.65	69.03	101.54	591.22	1225.22	220.32	500.46	139.07	723.08	181.28	132.44
IL21R	0.46	1.68	6.78	11.3	17.51	5.19	11.91	0.91	6.31	7.46	57.49	16.15	6.52	9.13	102.97	129.69	102.25	69.52	190.34	156.59	48.18	106.63
IRF9	1259.69	511.0	1233.75	713.11	2224.63	1936.53	909.17	1096.5	866.07	1733.13	1277.29	1104.13	1733.13	2591.27	3564.78	5441.3	2240.11	5006.93	4450.27	4639.29	3235.01	2434.5
KCNA3	3.17	0.0	6.11	10.47	7.94	5.63	11.04	0.36	5.92	3.72	12.83	5.45	2.61	33.3	435.55	514.56	232.94	136.19	819.3	277.2	88.88	171.45
KCNH1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.62	0.68	0.0	0.58	82.87	8.06	0.27	1.0	0.27	1.17	1.06	1.11
KLRB1	72.01	14.67	37.59	155.5	85.22	55.1	113.56	65.26	24.28	62.56	332.14	112.77	76.17	441.64	988.12	275.28	934.76	237.86	423.61	947.83	152.28	218.79
KLRC4-KLRK1	7.0	0.0	3.06	14.56	15.22	8.71	0.0	5.15	0.0	12.36	10.63	10.47	11.04	25.35	118.43	94.01	99.43	102.97	57.89	61.25	22.59	51.35
KRT72	0.4	0.0	0.0	1.2	0.0	1.06	1.69	2.66	0.0	0.32	0.13	0.16	0.0	1.23	11.3	3.14	7.75	8.45	1.45	11.64	3.79	1.45
LAT	99.43	24.28	22.59	111.21	80.57	137.14	217.27	141.02	77.25	147.06	273.37	108.9	64.34	167.9	642.59	1331.57	543.96	1457.23	1175.27	1199.98	334.46	693.58
LEF1	3.72	7.63	7.88	29.27	60.39	5.41	26.86	24.81	14.03	10.08	151.22	50.63	12.55	121.79	583.07	536.45	373.81	275.28	463.65	287.01	267.73	172.65
LPXN	236.21	83.45	130.6	204.07	197.09	158.79	249.73	234.57	199.85	214.27	381.68	193.01	246.28	379.04	1467.37	3235.01	813.63	651.58	3303.0	1508.65	928.3	1286.18
MAGEE2	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.52	0.0	0.55	0.0	0.0	16.27	18.03	5.02	10.24	37.59	10.31	2.32	3.11
MCOLN2	2.71	0.61	4.82	10.39	2.29	6.46	17.51	11.38	14.56	12.27	57.89	0.78	3.38	33.06	215.77	454.09	70.51	169.07	281.09	432.53	162.14	189.02
MORN5	4.5	0.0	0.0	0.0	2.29	0.0	0.0	0.0	0.0	0.0	0.0	2.29	0.0	0.0	60.39	1143.1	902.89	2609.3	543.96	236.21	1477.58	48.87
NCR3	17.13	10.08	10.47	28.65	40.64	39.79	30.12	27.25	7.28	24.11	48.52	43.63	20.41	61.68	343.89	163.28	444.72	104.42	129.69	267.73	38.12	71.0
NKG7	131.51	55.1	89.51	521.76	309.83	363.56	470.14	379.04	264.03	348.71	2047.0	536.45	251.48	1745.2	7180.15	3443.31	8305.36	2319.15	1991.0	6426.31	941.27	1477.58
P2RY10	9.13	0.0	27.84	5.96	9.7	3.29	8.85	15.45	2.86	13.22	148.09	11.38	13.93	28.45	371.22	624.99	199.85	103.69	297.17	285.03	57.08	126.12
PARP15	5.87	5.96	22.43	71.0	10.39	11.13	11.21	13.32	42.71	64.8	54.33	17.9	24.46	81.14	412.0	1233.75	150.17	251.48	121.79	339.14	115.97	217.27
PARP3	312.0	152.28	189.02	373.81	341.51	514.56	232.94	387.02	454.09	651.58	447.82	343.89	414.87	575.03	567.1	1183.45	514.56	1183.45	813.63	1233.75	567.1	567.1
PCDHA2	0.0	0.0	4.58	0.0	1.33	0.0	0.0	0.0	0.0	0.0	2.12	0.45	0.0	2.89	15.0	13.62	18.16	20.86	10.39	11.13	8.19	3.06
PCDHB4	5.87	1.64	8.51	0.16	5.36	3.29	1.99	1.85	0.12	1.51	5.82	7.57	5.73	6.26	102.97	94.67	39.79	108.9	29.91	102.97	54.33	43.63
PIFO	0.0	3.44	4.9	0.0	0.8	2.61	0.0	0.0	0.66	8.32	24.99	15.91	3.63	22.59	148.09	2739.08	2193.99	8421.31	1216.75	693.58	2133.97	239.52
PPP1R15A	571.05	251.48	277.2	412.0	334.46	287.01	595.34	363.56	3349.13	447.82	1225.22	260.38	384.34	2609.3	15607.02	1936.53	46019.85	5872.48	8538.88	14867.79	3325.99	5366.37
PTPRCAP	50.27	38.67	22.26	255.0	283.05	76.17	178.77	154.42	66.65	132.44	665.29	291.04	226.54	277.2	1733.13	2758.13	967.76	995.0	3874.05	1709.26	490.14	830.75
PYHIN1	13.22	1.27	13.32	32.82	43.94	23.08	30.34	33.78	10.55	40.36	140.04	28.04	13.93	106.63	392.44	441.64	262.2	325.29	255.0	356.05	79.45	153.34
RABGAP1L	201.25	148.09	239.52	169.07	202.66	229.72	164.42	108.14	215.77	185.11	373.81	283.05	202.66	332.14	1832.01	1819.35	1697.45	1909.85	1268.46	928.3	587.13	493.56
RASAL3	19.97	15.45	9.78	77.25	77.25	58.3	36.27	60.82	58.3	70.51	273.37	66.65	37.59	134.3	540.19	2032.85	429.54	708.18	884.29	1437.15	332.14	518.15
RHOH	19.82	12.09	15.8	20.11	26.1	108.9	105.15	40.36	15.8	100.83	497.0	98.04	65.72	73.03	2777.33	1037.29	279.14	149.12	1250.98	417.77	291.04	447.82
RLTPR	22.43	2.53	8.78	35.25	19.25	12.64	42.71	55.49	3.69	26.86	100.83	27.64	10.31	42.11	237.86	842.36	131.51	175.07	532.74	511.0	87.03	176.29
RP11-697E2.6	0.91	0.56	0.83	3.29	1.46	3.32	2.76	1.87	0.95	5.02	3.53	3.82	2.18	4.31	1.5	4.35	4.5	12.64	3.72	6.41	5.11	4.1
SAMD3	25.54	1.91	8.85	27.84	22.59	36.79	13.03	19.68	6.78	15.11	96.01	15.91	13.12	107.38	239.52	285.03	195.72	199.85	295.11	236.21	66.65	98.04
SEMA4D	103.69	14.89	20.11	53.57	113.56	53.95	27.64	22.75	41.81	105.89	341.51	105.89	34.51	191.67	1023.0	1617.0	698.41	483.38	1498.22	961.07	660.68	665.29
SERTAD3	371.22	251.48	193.01	144.01	285.03	332.14	177.53	293.07	603.67	221.86	109.66	128.79	164.42	256.78	6207.38	480.04	2758.13	1242.34	836.53	2555.58	713.11	872.1
SH2D1A	9.06	1.04	12.0	31.0	24.81	10.88	30.56	38.67	8.06	12.36	162.14	22.92	7.28	99.43	414.87	373.81	543.96	97.36	193.01	171.45	75.11	110.43
SMTNL1	2.58	0.0	2.73	2.41	3.5	8.0	2.89	2.68	0.4	1.97	1.27	1.43	3.72	3.53	10.16	19.11	3.47	9.63	3.38	12.64	5.5	20.11
TESPA1	2.63	3.14	1.2	28.04	24.99	6.06	11.91	7.69	8.06	8.0	47.84	11.3	9.78	62.12	674.59	603.67	420.68	647.07	201.25	500.46	88.26	141.02
TMC8	24.99	9.78	42.11	68.07	185.11	42.11	84.63	96.68	29.27	99.43	392.44	108.14	131.51	223.41	988.12	2319.15	642.59	848.22	954.43	1639.59	397.93	624.99
TRAF3IP3	49.91	20.86	81.71	164.42	158.79	120.1	98.73	162.14	139.07	112.77	287.01	82.29	85.82	256.78	536.45	2255.7	473.41	529.06	967.76	808.0	373.81	493.56
TRIM61	0.95	4.21	3.89	6.52	12.93	9.2	1.91	3.17	4.82	12.27	3.14	11.55	5.5	12.18	35.0	37.05	45.21	45.21	69.03	13.72	14.56	21.32
TWIST1	17.64	6.31	0.92	3.2	0.12	7.06	0.36	3.53	0.0	3.82	17.51	7.88	17.9	3.38	18.97	33.54	23.42	6.62	8.06	24.46	20.26	64.34
UBA7	463.65	368.65	563.18	934.76	679.29	769.69	921.88	665.29	599.49	1191.69	1268.46	981.29	1044.52	1322.37	4512.4	7589.61	3955.48	6121.9	2627.46	14663.09	1721.16	2417.67
VEPH1	1.93	6.52	9.93	23.42	11.55	1.0	30.78	3.47	0.0	24.46	7.0	5.28	100.13	100.13	255.0	587.13	693.58	2664.15	1268.46	638.15	470.14	327.56
XAF1	277.2	71.5	547.75	463.65	1059.11	1066.48	339.14	303.44	182.55	743.43	753.83	723.08	336.79	1417.35	3372.43	2255.7	2163.77	2485.67	2485.67	4543.8	1073.91	1350.18
ZAP70	31.0	4.54	15.68	102.25	50.63	35.5	100.83	73.03	26.86	115.97	429.54	42.41	42.41	244.57	890.44	1199.98	579.04	579.04	559.28	1037.29	289.02	480.04
ZNF831	1.25	0.21	0.45	1.51	2.36	3.53	2.51	2.32	0.32	3.63	21.78	3.86	1.14	10.16	60.82	85.22	12.64	15.8	45.21	44.89	35.76	27.64
