	TCGA.G2.A2EF.01A.12R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CV.7183.01A.11R.2016.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.QK.A64Z.01A.11R.A30B.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.D6.6823.01A.11R.1915.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CN.5359.01A.01R.1436.07	TCGA.CQ.A4CG.01A.11R.A266.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
CNFN	130.6	857631.47	400098.69	114103.8	115.97	95.34	20737.16	5076.84	54727.32	8840.04	162.14	0.0	0.31
CSTA	1286.18	1.6409999923E8	5.121275984E7	145432.49	2591.27	2956.17	40062.48	7485.11	72213.45	10883.59	4802.93	0.0	0.92
CSTB	2956.17	443937.41	169390.27	69753.56	1857.6	2835.7	20170.07	7180.15	24321.43	10154.69	2240.11	0.0	0.74
CTNNBIP1	780.44	11992.79	9945.68	7803.01	1819.35	2319.15	3955.48	2104.58	7803.01	3039.3	1508.65	0.0	0.12
CYB5A	693.58	3060.45	3794.3	314.17	201.25	620.67	2209.26	995.0	1572.76	981.29	587.13	0.0	0.62
CYP4F22	1.51	1457.23	974.5	981.29	0.88	2.07	733.19	101.54	1617.0	273.37	5.32	0.0	0.0
DEFB1	25.17	117311.73	125731.67	8363.13	68.07	190.34	11664.82	981.29	13872.08	5041.77	802.41	0.0	0.19
ELAC1	32.82	128.79	191.67	72.01	47.5	105.89	107.38	111.99	79.45	117.6	59.13	0.0	0.0
GALNT1	921.88	6935.54	2417.67	1844.76	665.29	796.86	1950.0	1119.56	1322.37	1936.53	656.11	0.0	0.56
GGT6	2.71	29943.43	18431.96	759.08	5.77	35.25	511.0	208.38	878.17	199.85	3.53	0.0	0.0
GPLD1	4.66	26.1	150.17	30.12	0.66	6.57	1.62	9.34	82.29	24.46	2.01	0.0	0.0
HSBP1L1	376.41	1001.93	974.5	559.28	223.41	285.03	896.64	267.73	403.5	120.94	83.45	0.0	0.69
INPP5J	21.32	119.26	57.08	77.25	5.68	29.27	53.57	49.56	108.9	25.54	13.72	0.0	0.23
KIAA1468	145.02	1268.46	1242.34	400.71	52.45	206.94	271.48	177.53	559.28	343.89	137.14	0.0	0.78
KLHDC8A	0.31	665.29	234.57	17.51	0.69	2.89	15.34	3.72	21.94	12.27	6.41	0.0	0.05
KRT23	102.97	96616.71	8305.36	2255.7	28.24	36.27	825.0	802.41	1167.14	1350.18	158.79	0.0	0.39
KRT6A	4512.4	2.01760973986E9	2.41604469791E9	762299.34	32994.92	239554.43	265802.39	111755.56	472513.8	92680.9	88291.3	0.0	1.17
LCN2	124.37	565825.41	1179708.33	9808.75	226.54	748.61	40621.74	9808.75	5672.41	37121.34	1015.93	0.0	0.43
LY6G6C	0.62	81809.59	59063.35	10659.59	12.74	8.0	2384.37	73.54	5954.47	490.14	16.39	0.0	0.66
LYNX1	9.41	4621724.04	1524599.69	38697.77	164.42	138.1	25887.07	2319.15	28923.41	1331.57	480.04	0.0	0.71
MBD2	796.86	7433.4	7911.95	3235.01	723.08	1651.0	4066.71	1427.22	2193.99	1909.85	1216.75	0.0	0.95
NDRG2	151.22	813.63	1832.01	2400.97	162.14	361.04	921.88	583.07	1437.15	1151.06	236.21	0.0	0.66
NKAIN1	8.85	693.58	309.83	33.54	4.46	0.95	58.3	18.43	38.4	24.63	3.0	0.0	0.2
NLRX1	128.79	1936.53	878.17	2193.99	105.15	363.56	733.19	358.54	1487.87	547.75	265.87	0.0	0.1
OVOL1	29.27	24832.5	7433.4	1487.87	80.01	64.8	642.59	376.41	1745.2	376.41	141.02	84.04	111.99
PARD6G	239.52	1896.65	2502.97	665.29	81.14	258.57	397.93	248.0	595.34	221.86	172.65	0.0	0.56
PCDH1	102.97	4358.66	1030.12	995.0	356.05	177.53	567.1	115.97	866.07	638.15	113.56	0.0	0.68
PHLDB3	150.17	3081.75	2271.4	842.36	139.07	283.05	1331.57	363.56	1378.57	447.82	162.14	0.0	0.46
PLBD1	708.18	12244.81	11827.67	1088.92	162.14	214.27	1199.98	860.08	2976.74	1167.14	221.86	559.28	155.5
PPFIBP2	94.67	2384.37	2400.97	1059.11	40.64	194.36	688.78	186.4	1508.65	429.54	170.25	0.0	0.62
PQLC1	723.08	1617.0	1088.92	1350.18	493.56	748.61	1183.45	884.29	1015.93	521.76	414.87	0.0	0.74
PRSS27	11.64	577714.63	226632.25	4152.18	7.28	16.51	1104.13	389.72	1806.78	285.03	8.78	0.0	0.49
RAB25	208.38	87681.42	70238.75	9606.86	43.63	1745.2	5183.54	2018.8	8479.89	2701.35	69.03	0.0	0.26
RASAL1	2.63	8134.41	4066.71	579.04	2.48	94.67	223.41	159.9	607.87	186.4	39.5	0.0	0.06
RBFA	275.28	379.04	1135.2	444.72	231.32	275.28	624.99	351.14	503.95	260.38	258.57	0.0	0.4
RDH12	0.59	4095.0	3103.19	1242.34	4.06	34.51	140.04	80.57	1745.2	111.99	10.47	0.0	0.0
RDH13	389.72	6037.61	1508.65	967.76	242.88	198.47	909.17	603.67	902.89	518.15	197.09	0.0	0.58
RHBG	0.34	169.07	429.54	20.56	0.0	2.43	33.06	9.27	59.55	3.38	2.05	0.0	0.21
RHCG	53.95	4.336416418E7	2.18328924E7	31650.8	52.08	813.63	16383.0	860.08	19082.0	3614.55	579.04	0.0	0.65
RNF208	45.53	2400.97	1369.04	334.46	20.26	29.06	612.11	175.07	334.46	96.68	8.85	0.0	0.51
RNF222	1.16	1051.79	414.87	246.28	0.05	0.35	100.83	14.14	204.07	35.76	1.33	0.0	0.14
RNF39	10.63	20310.37	9474.59	1313.23	66.18	48.87	599.49	90.77	607.87	158.79	25.72	0.0	0.32
RP11-41O4.1	11.73	15.22	34.02	13.93	3.99	5.73	14.45	3.59	4.28	5.54	0.0	0.0	0.0
RP11-723O4.6	1.16	29.48	8.13	37.05	0.0	1.25	47.17	6.01	14.89	10.55	0.92	0.0	0.05
RPL17	20451.65	49322.93	50359.33	40904.3	23169.48	20451.65	71714.63	22535.88	41475.31	30999.42	18304.63	0.0	1.81
SBSN	281.09	1.66613263E7	5057523.59	124000.67	221.86	182.55	43236.64	5831.91	62865.33	18819.27	384.34	0.0	0.96
SCNN1B	3.63	23986.58	18560.17	1378.57	1.35	14.35	429.54	57.08	473.41	417.77	16.39	0.0	0.43
SERPINB12	0.58	69271.73	301123.38	249.73	0.52	0.0	23.42	4.7	713.11	63.45	0.36	0.0	0.13
SERPINB8	218.79	3794.3	2255.7	1529.73	253.23	185.11	629.35	287.01	1662.49	500.46	115.97	249.73	113.56
SGPP2	10.39	1183.45	1359.57	490.14	32.82	281.09	295.11	158.79	830.75	616.37	147.06	0.0	0.0
SLURP1	0.0	66912.05	116501.39	24490.61	9.2	3.79	8963.45	1191.69	16843.62	1896.65	191.67	0.0	0.0
SMIM5	4.74	3349.13	4607.24	152.28	0.57	7.69	36.79	31.22	195.72	59.13	3.03	0.0	0.39
SPINK5	24.11	1997825.68	726195.27	9540.5	17.64	206.94	2133.97	314.17	9151.82	884.29	167.9	0.0	0.16
SULT2B1	36.27	103551.29	54349.29	9151.82	55.89	120.1	2855.44	769.69	7081.29	981.29	49.91	0.0	0.27
SYNGR1	10.63	1331.57	4298.64	348.71	34.02	175.07	444.72	105.89	669.92	295.11	223.41	0.0	0.67
TGM1	124.37	1255646.43	360589.03	18178.19	277.2	91.41	2555.58	2163.77	9740.98	2047.0	265.87	0.0	0.28
THEM5	12.0	1208.34	2367.9	1359.57	18.16	22.43	1066.48	124.37	1883.54	1051.79	64.8	0.0	0.22
TM7SF2	118.43	51417.5	7081.29	2178.83	52.45	82.29	547.75	454.09	1551.09	733.19	30.78	0.0	0.0
TNFRSF11A	5.5	191.67	307.69	31.67	6.84	9.41	17.51	31.0	39.22	35.76	7.34	0.0	0.21
TTC22	56.28	5041.77	4512.4	819.3	80.01	348.71	301.33	220.32	1183.45	536.45	397.93	143.01	587.13
TXNL4A	1781.89	3280.18	3190.46	1628.26	1183.45	890.44	2835.7	1225.22	2303.12	1015.93	780.44	0.0	0.62
UNC93A	0.0	46019.85	1697.45	392.44	0.55	7.75	341.51	19.82	181.28	167.9	3.2	0.0	0.0
VPS4B	500.46	4769.75	1781.89	1709.26	165.57	595.34	759.08	967.76	1143.1	934.76	503.95	0.0	0.21
WFDC12	0.0	10225.32	1059.11	6121.9	6.11	17.38	147.06	102.25	6561.36	454.09	4.17	0.0	0.0
XKRX	4.31	356.05	145.02	92.7	2.41	12.45	51.35	19.53	119.26	98.73	3.29	0.0	0.41
ZNF396	5.23	79.45	90.77	13.52	3.35	2.05	11.38	19.53	19.25	22.75	3.06	0.0	0.06
