	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZF2S.3026.SM.4WWCH	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.13PVR.0126.SM.5S2PY	GTEX.UPK5.1426.SM.4JBHH	GTEX.13NZ9.0926.SM.5KM12	GTEX.PVOW.1026.SM.2XCF9	GTEX.ZXG5.0826.SM.5GID6	GTEX.WZTO.0426.SM.3NM99	GTEX.RN64.1226.SM.2TC6E	GTEX.PLZ4.0726.SM.2TC6Q
RASGRP3	139.07	56.68	32.13	136.19	166.73	63.45	61.25	37.32	87.65	72.01	69.52	65.72	470.14	73.54	56.68	297.17	480.04	246.28	281.09	201.25	264.03
RASSF5	432.53	102.97	36.53	143.01	82.29	406.31	150.17	260.38	167.9	84.63	133.36	76.17	417.77	108.9	320.8	1216.75	2400.97	638.15	1457.23	713.11	587.13
RBFOX1	0.53	0.0	0.0	0.0	0.84	0.0	1.73	0.28	2.78	0.0	3.76	2.07	3.99	0.0	0.72	7.63	2.25	14.89	2.92	10.96	17.64
RNF217	133.36	36.53	36.53	63.0	49.56	143.01	45.21	99.43	55.89	100.13	84.63	109.66	325.29	118.43	60.39	215.77	114.36	251.48	483.38	152.28	348.71
RPS6KA5	49.21	5.63	10.96	18.56	32.13	32.13	26.28	28.65	12.93	11.3	22.59	30.56	152.28	15.11	37.59	63.0	265.87	277.2	159.9	163.28	50.27
RYR1	30.12	5.63	2.76	11.21	21.47	29.06	1.95	19.11	20.86	8.0	20.86	3.44	92.05	23.76	71.0	144.01	75.11	3349.13	49.91	111.99	84.04
SETBP1	61.68	15.8	19.82	32.36	85.22	24.63	27.44	44.25	45.85	37.85	41.81	46.84	98.04	32.13	28.45	220.32	145.02	283.05	193.01	239.52	503.95
SH2D1B	29.48	7.34	2.23	7.82	4.58	19.68	10.0	6.46	3.79	2.78	21.63	8.13	30.12	10.0	19.39	111.21	234.57	48.52	115.16	98.04	39.22
SIRT1	204.07	124.37	121.79	131.51	148.09	186.4	141.02	242.88	149.12	194.36	157.68	111.21	287.01	120.1	202.66	426.57	559.28	616.37	316.37	490.14	189.02
SLC2A3	791.35	176.29	82.29	128.79	114.36	157.68	132.44	264.03	112.77	132.44	65.26	183.82	2119.22	107.38	208.38	7485.11	7803.01	7130.55	5555.65	9808.75	11112.3
SRL	18.16	3.29	3.08	7.46	11.82	6.46	1.57	14.45	3.44	6.06	6.89	4.06	24.99	0.04	9.48	70.51	55.1	175.07	39.5	163.28	119.26
STAC2	1.46	0.55	0.58	0.93	2.2	0.0	0.0	0.0	3.76	0.0	3.14	0.33	5.02	0.0	1.3	1.45	4.54	11.47	58.71	31.9	76.71
TAGAP	178.77	20.86	4.17	38.67	21.01	46.84	12.45	48.18	13.93	10.55	31.45	14.03	100.13	21.63	25.72	583.07	743.43	307.69	457.25	842.36	177.53
TBX21	36.53	19.25	0.73	16.75	1.14	18.56	4.86	30.12	6.46	4.9	12.27	7.11	34.75	3.08	27.25	177.53	173.85	36.27	148.09	161.02	45.21
TMTC2	37.05	10.39	3.32	14.89	7.63	25.54	10.88	10.0	6.78	5.63	7.06	2.39	74.06	19.39	22.92	450.94	775.05	220.32	351.14	507.46	183.82
TNNC2	27.05	3.82	28.65	37.85	32.82	11.47	4.31	95.34	28.04	23.25	38.67	9.63	111.99	4.31	53.19	8134.41	169.07	46662.28	251.48	665.29	100.13
TRDN	1.99	0.09	1.97	0.88	3.76	0.92	0.24	2.66	1.0	2.71	2.05	0.0	4.94	1.23	2.01	73.03	3.11	674.59	3.96	36.01	4.86
TREML1	16.15	5.59	0.58	2.39	0.0	15.34	4.21	19.53	5.59	5.02	0.0	18.29	32.82	1.17	8.65	20.71	37.85	10.47	19.68	47.17	31.9
TRIM63	6.41	0.43	6.57	5.32	9.48	2.1	0.0	2.29	2.25	1.55	8.13	1.79	21.01	0.09	23.59	25.35	10.88	67.59	6.41	9.93	6.31
ZAP70	131.51	41.81	4.54	76.71	12.93	35.76	18.56	65.26	17.38	17.77	94.67	29.27	156.59	29.27	88.26	532.74	511.0	150.17	587.13	486.75	180.02
ZNF285	27.05	2.39	1.33	3.11	5.28	12.09	1.06	9.93	2.39	2.16	4.74	3.41	27.05	4.24	2.25	106.63	80.01	82.29	7.34	30.12	63.45
ZNF721	191.67	99.43	76.71	92.05	118.43	175.07	148.09	176.29	121.79	94.67	132.44	175.07	269.6	102.25	148.09	406.31	934.76	400.71	327.56	249.73	258.57
