	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.85.7710.11A.01R.2125.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.VQ.A8PQ.01A.11R.A414.31	GTEX.145ME.1026.SM.5O9B4	GTEX.WHPG.0426.SM.4M1XW	GTEX.POMQ.0826.SM.3P61H	GTEX.S7SF.0626.SM.4AD4V	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.FY.A2QD.01A.11R.A19O.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EL.A3ZK.11A.11R.A23N.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.EL.A3T0.11A.12R.A22L.07	TCGA.EM.A1CV.11A.11R.A13Y.07	GTEX.133LE.0326.SM.5P9G4	GTEX.RWS6.0626.SM.2XCAS	GTEX.13111.0226.SM.5EQ55	GTEX.Q734.0526.SM.2I3EH	GTEX.OXRK.0626.SM.2HMJ5	GTEX.W5WG.1426.SM.4KKZP	GTEX.Y8E4.0126.SM.4VBQ2	GTEX.V1D1.0926.SM.4JBHQ
IL10RA	1896.65	1242.34	915.51	890.44	173.85	1023.0	967.76	346.29	75.64	14.03	620.67	211.31	395.18	934.76	279.14	45.53	251.48	264.03	575.03	232.94	293.07	713.11	153.34	119.26
IL17REL	28.45	27.84	64.34	132.44	77.79	314.17	115.97	60.82	0.0	0.09	3.66	0.42	9.41	16.03	2.12	0.0	0.0	0.77	5.5	0.0	0.8	0.78	0.77	1.28
IL7R	3349.13	1936.53	872.1	4298.64	273.37	307.69	172.65	100.83	25.17	7.57	273.37	40.93	224.97	1331.57	376.41	26.1	279.14	232.94	599.49	152.28	264.03	830.75	145.02	198.47
IRF8	2303.12	2520.38	974.5	1697.45	258.57	651.58	647.07	145.02	63.89	12.93	356.05	48.52	314.17	723.08	281.09	20.11	150.17	96.68	414.87	138.1	137.14	595.34	186.4	122.64
ITGAL	2701.35	1950.0	1151.06	2417.67	307.69	733.19	1378.57	334.46	18.16	13.93	551.56	76.71	346.29	1001.93	173.85	32.36	145.02	189.02	457.25	138.1	164.42	339.14	229.72	128.79
KCNAB2	1242.34	1467.37	559.28	1233.75	206.94	312.0	329.84	314.17	59.97	51.71	514.56	113.56	400.71	785.88	224.97	84.63	229.72	223.41	316.37	127.89	204.07	435.55	120.94	163.28
KIF21B	246.28	223.41	187.71	376.41	55.49	93.35	71.5	34.02	3.79	1.22	56.28	9.27	50.27	152.28	40.36	5.73	25.54	23.93	71.5	13.93	17.0	75.11	12.74	16.88
KIRREL3	33.06	61.68	12.27	18.03	10.31	7.22	9.48	13.83	2.61	0.0	12.64	1.45	6.62	21.63	6.57	0.0	1.99	1.71	8.78	6.31	3.79	4.82	1.06	7.17
LSP1	8022.41	4543.8	3235.01	3639.7	1369.04	2400.97	5479.15	713.11	152.28	98.73	1806.78	503.95	1208.34	3419.52	1073.91	271.48	836.53	607.87	2061.24	748.61	830.75	1605.83	981.29	1417.35
LY86	1277.29	1733.13	476.71	435.55	59.97	381.68	412.0	161.02	31.67	6.46	242.88	175.07	165.57	423.61	91.41	4.74	73.54	73.03	170.25	89.51	71.5	271.48	182.55	77.79
MADCAM1	62.12	110.43	339.14	514.56	638.15	503.95	332.14	258.57	5.32	7.88	49.91	16.63	4.82	633.73	47.5	6.41	11.47	15.11	79.45	19.25	20.26	41.81	83.45	123.5
MARCH1	660.68	518.15	312.0	447.82	193.01	92.05	101.54	65.72	28.65	15.0	126.12	61.25	105.89	267.73	76.71	12.09	45.85	69.52	131.51	29.27	23.08	114.36	65.26	98.04
MSL3	1832.01	1427.22	1216.75	1437.15	620.67	536.45	563.18	444.72	293.07	368.65	703.28	271.48	575.03	1167.14	529.06	406.31	567.1	656.11	785.88	409.15	414.87	723.08	441.64	624.99
MUSK	6.26	39.79	72.52	87.03	18.84	13.32	13.32	67.59	0.93	0.0	7.4	0.84	5.87	20.56	4.03	0.96	4.9	1.62	8.13	2.23	0.45	4.9	4.06	3.44
NCF4	1561.89	1551.09	571.05	629.35	262.2	607.87	1437.15	343.89	48.87	25.35	638.15	163.28	277.2	718.08	236.21	25.54	153.34	163.28	256.78	154.42	146.03	373.81	102.25	172.65
NCR1	23.42	40.36	36.79	15.11	0.0	9.13	60.39	23.25	1.08	1.97	7.34	6.73	6.62	27.05	3.41	0.0	4.5	12.64	4.03	0.0	6.11	2.71	8.85	0.0
NLRP6	23.42	18.56	9.27	28.45	3.47	26.47	86.43	11.38	0.59	0.0	7.88	2.27	7.0	14.45	2.63	0.0	1.53	3.59	7.34	3.41	1.31	10.08	3.32	1.19
P2RX2	47.84	106.63	67.59	35.25	170.25	14.03	38.12	31.0	0.0	0.0	5.36	0.0	2.97	44.25	5.73	0.13	1.36	0.0	7.94	0.0	1.39	6.84	0.79	0.0
PIF1	86.43	85.22	137.14	71.0	113.56	115.97	173.85	129.69	3.99	1.36	53.95	6.89	31.22	76.17	19.68	5.02	41.22	9.06	19.82	44.89	17.77	24.11	8.25	21.01
PIK3R5	470.14	529.06	281.09	532.74	121.79	107.38	234.57	57.08	15.34	8.85	163.28	68.07	138.1	348.71	91.41	15.0	81.14	126.12	115.16	56.68	98.04	211.31	18.97	26.86
POU2F2	1008.9	703.28	503.95	836.53	164.42	117.6	376.41	185.11	12.18	2.84	186.4	27.64	74.58	273.37	77.25	7.69	52.08	55.1	115.16	41.22	22.75	131.51	45.85	65.72
PTPRC	6561.36	4210.15	2287.2	4066.71	400.71	1950.0	2451.44	289.02	53.57	19.11	860.08	144.01	563.18	2104.58	486.75	29.91	348.71	264.03	1096.5	195.72	223.41	583.07	299.25	132.44
RFX5	1757.34	1457.23	872.1	1322.37	616.37	1216.75	1277.29	1322.37	607.87	567.1	743.43	435.55	1001.93	1304.15	723.08	595.34	819.3	769.69	860.08	651.58	483.38	796.86	928.3	808.0
SASH3	3039.3	2573.36	866.07	1447.15	476.71	961.07	1674.06	202.66	21.32	10.79	624.99	145.02	353.59	1073.91	229.72	14.03	305.55	244.57	532.74	137.14	244.57	656.11	201.25	129.69
SGOL1	102.97	57.49	78.89	55.89	92.7	127.89	147.06	45.53	2.68	4.21	24.11	2.39	14.24	31.0	9.48	2.71	11.3	5.92	8.85	5.11	1.48	6.46	5.45	10.79
SIRPB2	183.82	336.79	74.58	96.68	36.79	61.68	98.73	71.0	8.85	5.96	113.56	47.84	100.83	187.71	65.26	3.82	54.33	55.49	48.52	6.31	34.75	57.49	11.13	20.56
SLAMF1	775.05	297.17	145.02	232.94	114.36	169.07	241.19	51.35	2.1	1.07	101.54	14.35	62.12	195.72	46.5	2.53	43.32	31.9	71.5	24.11	31.67	125.24	56.68	17.77
TACC3	1286.18	808.0	500.46	848.22	647.07	825.0	1127.35	432.53	63.0	117.6	381.68	100.13	234.57	470.14	166.73	84.63	283.05	147.06	197.09	152.28	248.0	283.05	78.34	135.24
VAV1	1286.18	890.44	356.05	780.44	190.34	373.81	647.07	125.24	13.32	8.45	307.69	85.22	166.73	470.14	114.36	8.19	95.34	63.0	182.55	91.41	115.16	283.05	58.71	65.72
VNN2	620.67	599.49	251.48	218.79	55.1	327.56	334.46	119.26	8.85	8.25	157.68	9.34	80.01	187.71	60.39	2.56	49.91	18.29	50.63	14.03	37.85	62.56	26.28	10.55
VNN3	10.96	72.01	32.36	8.19	10.63	65.26	72.52	43.32	1.55	0.0	8.32	0.0	4.43	11.82	3.72	0.0	3.26	1.03	7.06	5.45	2.01	0.48	3.03	1.35
