	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A9UU.01A.11R.A42T.07	TCGA.L5.A8NH.01A.11R.A37I.31	GTEX.UJMC.1026.SM.4IHKN	TCGA.CV.7242.01A.11R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
E2F2	379.04	299.25	189.02	1.2	69.03	0.0	0.2
EFNA4	1519.15	1135.2	483.38	50.63	591.22	0.0	0.55
ESRP1	8247.98	2255.7	60.82	4.13	934.76	0.0	0.0
FAM212A	1208.34	450.94	74.06	77.79	212.78	0.0	0.23
FAM83C	794671.01	1733.13	1.99	0.22	1030.12	0.0	0.0
FKBP4	3349.13	6840.04	1628.26	890.44	3103.19	0.0	0.27
FKBP6	4.82	45.21	1.1	1.38	10.79	0.0	0.0
GAMT	11992.79	1030.12	27.25	86.43	525.39	0.0	0.49
GAST	1745.2	1216.75	8.71	0.0	52.82	0.0	0.0
GIPC1	16960.78	7180.15	4038.61	2537.92	4181.07	3081.75	1322.37
GOT1	1001.93	1051.79	660.68	775.05	825.0	0.0	0.11
GPR114	60.39	59.97	43.02	2.94	49.56	0.0	0.13
HPSE	620.67	384.34	106.63	7.63	490.14	0.0	0.1
HTATIP2	1467.37	1467.37	1359.57	384.34	1923.14	0.0	0.61
IPPK	2591.27	1639.59	316.37	131.51	540.19	0.0	0.69
ITPRIP	3443.31	669.92	341.51	275.28	503.95	0.0	0.39
JMJD7	1427.22	1001.93	84.04	226.54	603.67	0.0	0.41
KCNJ1	1.95	4.24	1.25	0.59	0.79	0.0	0.26
KIRREL2	36.01	12.09	2.14	0.55	2.66	0.0	0.15
KRT16	2.5045913555E8	90773.53	312.0	3.99	33922.56	0.0	0.69
KRT6B	9.677103146E8	27363.16	14.24	4.39	16269.83	0.0	0.52
LANCL3	242.88	101.54	10.63	12.74	147.06	0.0	0.06
LNX2	802.41	318.57	172.65	95.34	217.27	0.0	0.0
LOH12CR1	384.34	423.61	122.64	162.14	246.28	0.0	0.39
MAMSTR	97.36	218.79	17.77	35.25	164.42	0.0	0.36
MAPK13	2777.33	1583.71	825.0	202.66	1639.59	0.0	0.2
MCEE	842.36	454.09	251.48	403.5	262.2	0.0	0.35
MGST2	13968.57	2855.44	2303.12	896.64	2682.69	0.0	0.52
MRPL39	638.15	872.1	332.14	507.46	361.04	0.0	0.41
MT1H	1806.78	314.17	72.52	12.83	33.78	0.0	0.13
NANS	2417.67	1508.65	1119.56	429.54	1977.24	0.0	0.49
NECAP2	1685.71	1561.89	884.29	525.39	1208.34	0.0	0.73
NSG1	15499.21	1540.37	115.97	10.47	395.18	0.0	0.25
NUDC	928.3	2701.35	1757.34	1857.6	2367.9	0.0	0.66
NUDT18	167.9	353.59	106.63	92.05	154.42	0.0	0.16
OAS2	16960.78	902.89	620.67	87.65	1104.13	0.0	0.33
ORAI1	414.87	890.44	329.84	229.72	486.75	0.0	0.39
PDCD4	9945.68	3742.05	1059.11	1561.89	4450.27	825.0	1794.29
PDLIM1	7032.37	7280.4	6250.56	3103.19	6699.25	0.0	0.39
PGLYRP3	1212874.47	518.15	11.04	0.91	277.2	0.0	0.0
PHF13	642.59	412.0	256.78	400.71	392.44	0.0	0.1
PI3	1656835.72	527933.71	682276.92	18.56	66449.85	0.0	0.8
PLA2G1B	118.43	3.86	3.29	91.41	3.41	0.0	0.0
PLEKHG6	2701.35	420.68	332.14	9.41	551.56	0.0	0.27
PLK5	11.04	8.65	4.06	5.96	4.35	0.0	0.13
PMVK	3395.89	3168.41	1023.0	693.58	1104.13	0.0	0.25
PRDM12	3.99	3.89	2.41	0.34	1.41	0.0	0.09
PRDX2	13215.02	10084.54	4937.99	3690.52	7642.41	0.0	1.07
PSMD9	1286.18	2240.11	981.29	988.12	1977.24	0.0	0.54
RAD51B	305.55	299.25	134.3	47.5	161.02	0.0	0.18
RAP1GAP	5831.91	217.27	64.8	38.12	121.79	0.0	0.0
RCAN1	327.56	2720.15	470.14	470.14	429.54	0.0	0.11
RNF224	63.89	19.97	4.98	12.18	22.75	0.0	0.27
RP4-758J18.2	295.11	417.77	305.55	291.04	403.5	0.0	0.14
S100A7	1.38765328462E9	61999.83	260.38	16.63	2434.5	0.0	0.54
SEC61B	4210.15	6887.62	3419.52	2645.74	6516.03	0.0	0.67
SERP1	3928.15	4704.07	1605.83	1733.13	3103.19	0.0	0.72
SESN2	764.36	323.03	273.37	205.5	146.03	0.0	0.24
SLC16A6	267.73	51.35	13.83	3.0	45.21	0.0	0.0
SLC1A4	555.41	718.08	187.71	191.67	493.56	0.0	0.41
SLC25A41	13.03	33.78	0.0	1.14	2.32	0.0	0.13
SLC31A2	796.86	769.69	120.94	117.6	417.77	0.0	0.13
SLC34A1	19.25	8.51	0.0	0.0	4.94	0.0	0.06
SPRR1B	1.90877512245E9	187950.38	271.48	17.64	51775.15	0.0	0.0
SPRR2D	6.572778255E7	35118.87	107.38	8.99	13399.51	0.0	0.0
SPTLC2	3018.3	915.51	343.89	163.28	775.05	0.0	0.49
SSTR5	209.84	144.01	3.86	1.01	82.29	0.0	0.1
STAR	98.04	150.17	7.28	2.03	106.63	0.0	0.42
TAF12	1073.91	728.11	603.67	406.31	603.67	0.0	0.34
TBC1D10A	3742.05	1242.34	423.61	679.29	1242.34	0.0	0.69
TCEA3	2935.74	1572.76	201.25	444.72	928.3	0.0	0.58
TMEM251	341.51	647.07	518.15	314.17	543.96	0.0	0.0
TMEM52	258.57	181.28	49.91	22.43	57.89	0.0	0.35
TMEM70	406.31	1331.57	299.25	941.27	555.41	0.0	0.4
TMEM74	33.54	43.02	7.69	16.27	4.1	0.0	0.13
TNFAIP1	1519.15	1340.84	947.83	476.71	1832.01	0.0	0.22
TRIM74	3.76	114.36	2.36	76.71	49.56	0.0	0.38
TRMT10A	124.37	92.7	81.71	37.59	98.73	0.0	0.0
TST	15180.22	1896.65	1519.15	599.49	2047.0	0.0	0.0
TTC39B	884.29	480.04	218.79	123.5	178.77	0.0	0.41
UBALD2	9088.59	2520.38	1769.57	981.29	2520.38	0.0	0.39
UNG	1697.45	1844.76	514.56	255.0	1378.57	0.0	0.46
VWA5B2	11.21	23.42	7.28	9.06	11.38	0.0	0.26
WDR66	46.18	1594.73	15.45	10.16	1340.84	0.0	0.11
WLS	2777.33	1467.37	540.19	3303.0	1340.84	0.0	0.82
XG	5672.41	981.29	3.44	17.13	412.0	0.0	0.26
XXbac-BPG32J3.20	94.01	7.17	0.0	0.0	0.0	0.0	0.0
hsa-mir-1199	400.71	195.72	66.65	85.22	140.04	0.0	0.39
