	TCGA.AY.5543.01A.01R.1653.07	TCGA.A6.5666.01A.01R.1653.07	TCGA.AA.A02Y.01A.43R.A32Y.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.ZS.A9CD.01A.11R.A37K.07	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.13SLX.1226.SM.5S2Q6	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13VXU.0926.SM.5IFFH	TCGA.05.5420.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.5429.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.DC.4749.01A.01R.1736.07	TCGA.VQ.A94T.01A.11R.A414.31	TCGA.B7.5818.01A.11R.1602.13
C8orf46	3.53	9.78	2.66	57.89	25.91	138.1	198.47	441.64	348.71	204.07	42.71	107.38	323.03	194.36	81.14	269.6	103.69	679.29	318.57	2.03	0.0	3.08	0.48	0.0	2.14	0.0
CASP16	0.0	0.39	1.1	20.11	72.01	78.34	111.99	105.15	166.73	66.18	65.72	26.47	94.67	58.3	158.79	42.11	58.71	285.03	65.26	4.94	0.0	0.0	0.08	26.67	0.0	1.73
CAT	1259.69	1844.76	866.07	3589.58	3928.15	27363.16	35609.13	32540.65	25354.3	19892.37	16960.78	20310.37	20030.74	33224.42	22535.88	12160.22	23009.42	20030.74	33922.56	1923.14	0.0	3190.46	0.21	1023.0	884.29	1111.82
CCL27	2.41	0.0	3.29	2.76	0.37	8.0	7.63	12.36	5.15	1.77	0.0	0.0	15.0	2.84	0.0	16.51	3.92	8.71	7.82	0.99	0.0	0.0	0.14	3.35	1.71	0.79
CCNG1	1551.09	2664.15	2485.67	2335.28	1487.87	2701.35	3303.0	3564.78	3212.66	2796.65	2032.85	2384.37	3257.52	3325.99	2664.15	1295.13	2835.7	4066.71	3564.78	1487.87	0.0	1936.53	0.68	1407.55	2119.22	1397.83
CHST13	0.0	7.82	1.38	555.41	603.67	1417.35	1709.26	1277.29	2468.49	954.43	2997.45	3395.89	2645.74	1923.14	2537.92	1037.29	1175.27	842.36	3103.19	16.27	0.0	6.73	0.0	6.46	78.34	15.22
COQ10A	116.78	110.43	89.51	220.32	540.19	1359.57	1757.34	1572.76	1378.57	470.14	713.11	836.53	902.89	1617.0	713.11	629.35	1066.48	1350.18	1127.35	167.9	0.0	95.34	0.33	98.04	72.52	129.69
DHRS1	420.68	384.34	480.04	1313.23	842.36	6983.79	10225.32	8191.0	8840.04	5672.41	5329.3	5041.77	6699.25	11584.24	7180.15	4239.45	6699.25	7485.11	10659.59	457.25	0.0	403.5	0.72	373.81	269.6	733.19
ENHO	4.13	3.63	3.41	483.38	769.69	928.3	2178.83	3103.19	1605.83	647.07	1519.15	669.92	540.19	3168.41	1685.71	366.09	1617.0	1119.56	4328.55	9.41	0.0	5.59	0.0	3.56	0.0	8.65
ETNK2	10.08	70.51	9.63	780.44	718.08	8022.41	11035.54	15824.9	9025.81	6164.49	5954.47	5517.27	19482.97	10959.3	8022.41	3874.05	2319.15	11267.44	11909.94	36.53	0.0	48.87	0.66	100.13	22.43	8.78
FAM124B	2.2	7.46	0.55	15.68	35.5	20.11	120.94	100.13	26.1	12.09	4.66	17.51	114.36	186.4	3.0	8.06	23.76	14.45	126.12	15.56	0.0	5.5	0.0	3.59	13.12	3.72
FAM213A	1781.89	974.5	981.29	3515.68	1883.54	5329.3	5366.37	5041.77	3639.7	7695.57	6164.49	7485.11	4481.23	3540.14	2555.58	2935.74	6250.56	5831.91	5913.33	1001.93	728.11	1378.57	1259.69	708.18	518.15	154.42
FBXO40	0.0	0.0	0.0	0.0	0.0	0.68	3.11	2.76	0.0	1.57	1.46	1.08	1.23	2.48	0.0	0.65	0.65	0.2	1.68	0.64	0.0	0.0	0.0	0.0	0.0	0.0
FN3K	567.1	454.09	629.35	1001.93	1857.6	2777.33	2758.13	3419.52	2255.7	2485.67	5041.77	4543.8	3190.46	2485.67	3349.13	2178.83	1651.0	1991.0	2664.15	231.32	0.0	129.69	0.41	353.59	791.35	780.44
FTCD	0.0	14.45	2.48	5112.16	11267.44	117311.73	150561.19	78476.96	353168.2	59063.35	47313.67	88291.3	211455.3	114103.8	30151.71	43840.21	117311.73	155870.75	269512.87	6.41	0.0	1.81	0.51	3.89	2.73	0.0
GCK	3.63	2.51	0.65	4.62	13.93	1883.54	6471.02	366.09	708.18	27.44	2875.3	40.36	2434.5	4607.24	500.46	115.16	105.15	414.87	2400.97	4.24	0.0	3.99	0.22	15.11	3.79	2.12
GNG3	6.67	0.0	0.0	7.82	2.86	6.57	10.47	11.21	3.56	6.06	15.34	15.0	15.68	22.59	4.06	9.48	10.63	5.23	15.11	0.0	0.0	0.0	0.0	8.19	4.9	0.0
GOLGA6C	0.0	0.0	0.0	0.0	1.14	10.96	16.63	10.08	9.06	0.0	0.0	15.22	14.89	0.0	4.28	7.46	3.47	30.78	2.34	0.0	0.0	0.0	0.0	0.0	0.36	0.33
GPR126	61.25	162.14	43.32	287.01	412.0	323.03	651.58	454.09	3235.01	579.04	384.34	607.87	1417.35	511.0	289.02	684.02	1331.57	4210.15	1233.75	82.29	0.0	256.78	0.45	59.55	246.28	35.25
GPR75	12.64	10.88	3.23	12.55	7.94	53.19	21.94	42.41	111.99	23.59	29.27	98.73	34.51	6.94	27.25	11.21	60.82	26.28	54.33	7.34	0.0	4.24	0.25	9.7	26.67	7.75
HAAO	67.59	66.65	607.87	4419.52	2758.13	25354.3	18052.61	33455.53	33922.56	15392.14	21320.18	24490.61	26248.46	19482.97	11345.82	15075.35	13215.02	21468.49	21617.82	217.27	0.0	59.13	0.35	320.8	37.85	85.82
HIGD1C	0.0	0.0	0.0	0.0	0.0	0.0	7.46	3.92	4.1	0.0	11.55	0.0	0.0	10.39	0.0	0.0	4.86	14.56	6.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HORMAD2	1.79	0.0	0.0	0.4	21.78	18.03	131.51	86.43	71.5	10.71	29.48	33.06	85.82	177.53	28.04	84.63	13.32	66.65	84.04	0.93	0.0	8.06	0.0	0.0	0.0	0.0
IDI2	0.0	0.0	0.0	11.47	17.77	37.05	37.32	29.06	8.51	9.56	71.5	45.21	33.06	21.32	0.0	29.7	0.84	22.1	42.41	8.45	0.0	0.33	0.0	0.0	0.0	0.0
KIAA1551	753.83	400.71	403.5	417.77	521.76	674.59	1628.26	1037.29	723.08	381.68	713.11	403.5	733.19	688.78	660.68	808.0	708.18	2417.67	1175.27	599.49	0.0	395.18	0.51	339.14	486.75	503.95
KLC4	595.34	616.37	511.0	1896.65	1151.06	3081.75	3103.19	3395.89	3982.99	2384.37	1733.13	2591.27	3690.52	4066.71	2303.12	2163.77	3190.46	4869.99	3639.7	713.11	0.0	1127.35	0.42	1096.5	126.12	432.53
LIME1	255.0	220.32	262.2	507.46	1127.35	8598.28	13306.94	17317.18	19618.49	9025.81	4671.57	10225.32	12853.63	12943.04	17558.94	6983.79	7433.4	9945.68	10440.2	866.07	0.0	532.74	0.68	660.68	113.56	392.44
LRRFIP2	775.05	334.46	575.03	713.11	842.36	642.59	961.07	921.88	1183.45	669.92	842.36	1242.34	854.13	808.0	759.08	764.36	1008.9	1242.34	1023.0	341.51	0.0	638.15	0.73	669.92	575.03	651.58
MAD1L1	307.69	187.71	480.04	607.87	403.5	1896.65	2935.74	1977.24	1322.37	1216.75	2701.35	2875.3	2367.9	2417.67	1313.23	1936.53	967.76	1175.27	1936.53	397.93	0.0	529.06	0.45	312.0	429.54	665.29
MAN1C1	47.5	13.52	38.67	89.51	100.13	186.4	738.29	1037.29	981.29	842.36	214.27	301.33	2319.15	1111.82	303.44	1051.79	400.71	3395.89	775.05	92.05	0.0	43.32	0.52	42.71	47.5	73.54
MME	37.32	9.93	6.62	2.23	6.41	2193.99	4066.71	2976.74	2956.17	915.51	1151.06	1268.46	7537.18	5711.87	88.26	866.07	698.41	1844.76	4239.45	39.79	0.0	65.72	0.27	50.98	25.54	15.11
MYL7	0.0	0.0	0.0	0.0	0.0	8.45	16.27	6.73	3.63	3.38	9.06	3.59	5.23	20.86	0.84	8.78	1.79	2.63	10.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NCAM2	2.89	3.66	0.0	2.92	7.22	107.38	473.41	131.51	373.81	47.5	66.18	69.03	59.55	361.04	1.91	75.11	156.59	136.19	387.02	28.45	0.0	32.59	0.41	5.77	1.38	3.35
OLFM2	36.01	36.01	12.74	2032.85	1417.35	1540.37	1991.0	417.77	351.14	728.11	7230.1	189.02	1388.16	3235.01	656.11	854.13	3146.52	7433.4	4388.98	373.81	0.0	185.11	0.3	30.34	42.71	21.16
PCOLCE2	1.0	20.71	2.81	147.06	281.09	679.29	1685.71	1950.0	2090.03	3690.52	1135.2	3235.01	1498.22	3928.15	28.86	1697.45	567.1	2119.22	2451.44	13.93	0.0	72.52	0.21	13.83	11.55	4.9
PDE4DIP	521.76	438.59	703.28	909.17	854.13	1427.22	2468.49	2193.99	2537.92	1051.79	780.44	1044.52	3794.3	2271.4	660.68	1674.06	921.88	2573.36	2915.45	1721.16	1572.76	684.02	60.82	642.59	633.73	638.15
PHYHD1	13.62	17.64	9.13	124.37	633.73	5517.27	6381.92	2627.46	5366.37	1674.06	2645.74	1733.13	8840.04	7695.57	1340.84	2468.49	1359.57	7331.05	3982.99	158.79	0.0	423.61	0.56	55.1	32.82	246.28
PLEKHG3	343.89	409.15	728.11	406.31	409.15	587.13	441.64	493.56	1159.07	366.09	507.46	878.17	486.75	417.77	447.82	182.55	733.19	638.15	612.11	98.73	0.0	356.05	0.85	224.97	423.61	435.55
PLGLB1	16.51	11.73	11.91	1233.75	2351.53	2609.3	7537.18	2976.74	6294.04	3794.3	1709.26	830.75	4388.98	2367.9	2855.44	4152.18	1388.16	29327.18	3060.45	764.36	0.0	14.45	0.46	16.03	20.71	20.56
PPIF	1313.23	1685.71	1977.24	1583.71	1991.0	3794.3	13399.51	3419.52	3982.99	3491.39	14971.21	3901.01	7280.4	10808.41	2855.44	3303.0	2502.97	3372.43	10084.54	1242.34	0.0	915.51	0.55	1709.26	1529.73	2148.82
PPL	217.27	111.21	39.22	69.52	60.39	176.29	218.79	466.88	1233.75	61.25	78.34	1167.14	1832.01	361.04	66.65	180.02	215.77	854.13	305.55	24.46	0.0	217.27	0.39	177.53	197.09	161.02
PPP1R3C	4.74	10.0	1.35	237.86	253.23	1991.0	5711.87	1369.04	1457.23	466.88	2555.58	460.44	2047.0	3589.58	934.76	802.41	438.59	2193.99	1721.16	60.82	0.0	87.03	0.22	26.1	29.91	9.63
PROK1	0.0	0.0	0.0	0.0	1.27	11.47	7.63	10.47	4.43	2.92	4.98	10.71	7.57	15.34	6.94	2.94	0.0	5.15	22.1	0.0	0.0	0.0	0.15	0.0	0.0	0.0
RASGRP2	40.93	30.78	30.56	59.97	181.28	81.14	202.66	748.61	703.28	110.43	642.59	612.11	87.03	454.09	144.01	199.85	163.28	244.57	195.72	154.42	0.0	53.57	0.93	55.1	45.85	79.45
RBP5	20.11	31.9	19.53	1709.26	2895.31	24490.61	23820.89	65535.0	20593.91	19618.49	12160.22	19892.37	22692.63	28328.16	10733.74	7485.11	15715.58	18950.18	29531.18	409.15	0.0	54.72	0.27	16.39	31.45	57.49
RNASE13	0.0	1.85	0.0	0.8	0.0	8.19	10.88	20.11	8.06	2.58	4.62	3.5	10.55	7.82	2.63	1.87	5.11	5.19	7.22	0.0	0.0	2.36	0.14	0.67	0.53	0.0
RND2	6.16	6.21	3.35	12.0	3.86	220.32	205.5	1322.37	2367.9	121.79	1073.91	1143.1	480.04	371.22	497.0	193.01	63.45	669.92	1250.98	76.71	0.0	9.78	0.38	18.97	8.32	9.2
RP11-146D12.2	0.78	3.82	1.66	0.0	0.0	11.21	4.74	10.16	1.89	4.58	1.2	4.54	1.97	3.89	1.5	9.13	28.86	38.95	14.45	1.73	0.0	3.89	0.31	1.46	0.4	9.06
RP11-178C3.1	0.0	0.0	0.0	0.0	0.0	17.38	7.57	4.43	15.45	0.0	0.0	0.0	23.76	15.8	0.0	26.86	0.0	17.0	8.51	0.0	0.0	0.0	0.05	0.0	3.14	0.37
RP11-650K20.3	1.85	0.0	8.65	4.58	8.78	23.59	44.57	32.82	10.79	8.19	7.82	18.29	27.25	35.25	18.7	3.08	27.25	11.21	27.84	4.17	0.0	0.0	0.0	2.89	0.0	0.0
RP4-583P15.14	92.7	64.34	35.5	1242.34	587.13	5711.87	12502.12	14361.31	9673.69	5872.48	2367.9	9025.81	8363.13	9945.68	4903.87	4671.57	5633.22	6337.83	7537.18	351.14	0.0	241.19	0.0	813.63	27.25	14.35
SEC14L2	29.06	447.82	521.76	825.0	1199.98	11112.3	17317.18	21026.65	23820.89	7382.04	6516.03	15934.98	15499.21	26248.46	19754.96	4239.45	7433.4	9740.98	13215.02	88.88	0.0	1073.91	0.42	275.28	13.72	251.48
SEC14L3	0.0	0.0	0.0	0.64	1.66	145.02	327.56	95.34	193.01	91.41	12.64	27.44	69.03	384.34	60.82	57.08	204.07	36.27	190.34	0.0	0.0	4.06	0.0	0.0	0.0	0.36
SHROOM2	29.48	20.11	20.71	30.56	38.67	53.19	92.7	25.54	262.2	49.21	142.01	109.66	76.71	122.64	72.01	18.84	73.03	132.44	71.0	6.11	0.0	24.99	0.42	31.0	19.82	10.63
SIGIRR	1216.75	860.08	1250.98	2417.67	4123.49	9279.58	18178.19	8363.13	11189.6	5366.37	5711.87	6983.79	7642.41	13968.57	3716.2	6337.83	5954.47	8247.98	12676.65	2119.22	0.0	1417.35	0.74	1388.16	1191.69	2133.97
SIRT1	143.01	156.59	156.59	98.73	99.43	229.72	165.57	189.02	441.64	246.28	303.44	368.65	170.25	232.94	182.55	149.12	253.23	255.0	356.05	177.53	0.0	112.77	0.17	187.71	139.07	136.19
SLC27A5	395.18	423.61	802.41	5076.84	9279.58	80683.28	91404.92	217400.14	172949.54	93325.55	79022.82	143430.26	100719.65	94628.34	51062.33	65082.31	46339.95	95949.32	95949.32	480.04	0.0	351.14	0.52	423.61	305.55	356.05
SLC6A12	0.79	6.46	8.45	127.0	361.04	2047.0	7280.4	8901.53	6337.83	1119.56	1639.59	3257.52	3280.18	6037.61	3614.55	941.27	1617.0	4736.79	8022.41	51.35	0.0	31.67	0.04	5.77	1.66	37.59
SLC6A13	1.3	2.71	0.0	14.67	185.11	1159.07	2119.22	878.17	1457.23	629.35	587.13	909.17	775.05	1437.15	166.73	454.09	674.59	1963.57	1119.56	3.63	0.0	0.87	0.0	0.0	0.82	3.82
SOX5	4.66	3.86	1.45	40.07	56.28	144.01	169.07	131.51	269.6	59.97	41.22	165.57	241.19	206.94	67.12	105.15	114.36	339.14	166.73	8.65	0.0	6.26	0.26	7.34	10.63	4.35
SULT1E1	2.03	0.82	0.6	7.34	8.38	1594.73	2047.0	1806.78	2537.92	928.3	1583.71	836.53	1896.65	2351.53	381.68	567.1	921.88	2255.7	2090.03	7.22	0.0	244.57	0.48	8.45	5.54	59.55
TMEM52	169.07	159.9	88.88	101.54	138.1	258.57	521.76	503.95	723.08	190.34	185.11	718.08	1008.9	703.28	293.07	307.69	161.02	486.75	591.22	69.03	0.0	38.67	0.35	138.1	162.14	35.76
TMPRSS6	0.78	10.96	2.76	3018.3	1781.89	9740.98	19754.96	11992.79	10883.59	8191.0	8963.45	9025.81	9606.86	20030.74	8658.09	2758.13	7130.55	3372.43	12943.04	1.66	0.0	4.98	0.16	4.78	1.83	1.99
TPPP2	4.06	10.16	1.07	5.5	13.83	1233.75	1477.58	2148.82	1519.15	271.48	234.57	447.82	866.07	1883.54	223.41	332.14	532.74	348.71	909.17	0.0	0.0	9.41	0.0	0.0	0.0	3.29
TRIM55	0.0	0.0	0.0	551.56	271.48	2956.17	2816.11	647.07	346.29	738.29	273.37	547.75	1417.35	2255.7	0.0	642.59	854.13	896.64	587.13	2.12	0.0	7.06	0.0	0.0	0.0	0.0
TSKU	384.34	199.85	356.05	3395.89	2855.44	11664.82	7589.61	16960.78	6935.54	9344.14	8778.97	1191.69	7433.4	17197.56	8840.04	3419.52	718.08	3212.66	6652.97	271.48	0.0	785.88	0.75	473.41	275.28	743.43
TTLL2	2.46	10.71	7.11	7.4	8.25	38.12	27.64	33.3	105.89	16.27	34.51	44.57	34.02	21.94	24.46	11.91	22.1	42.41	78.34	0.0	0.0	0.49	0.16	10.63	1.77	0.0
USP2	66.18	5.41	36.53	57.89	95.34	123.5	412.0	295.11	224.97	31.22	30.78	872.1	1225.22	764.36	262.2	232.94	109.66	555.41	460.44	12.18	18.43	14.89	120.1	57.89	8.92	4.28
WNK3	1.06	0.0	0.0	22.75	17.77	21.16	46.5	285.03	217.27	14.89	45.21	21.94	137.14	363.56	75.11	50.98	43.94	285.03	60.39	1.69	0.0	0.74	0.36	1.0	2.94	1.0
ZPBP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77	0.88	0.0	0.0	0.0	3.69	2.01	0.0	0.0	0.84	4.66	1.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZRANB1	194.36	142.01	132.44	151.22	264.03	511.0	363.56	371.22	435.55	297.17	406.31	463.65	262.2	470.14	363.56	209.84	376.41	301.33	454.09	129.69	0.0	80.57	0.28	143.01	194.36	151.22
