	TCGA.GD.A3OS.01A.12R.A220.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A88Z.01A.11R.A36D.31	GTEX.11DYG.1926.SM.5H12I	GTEX.11OF3.2326.SM.5GU73	GTEX.OXRL.0726.SM.3NM9A	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.56.5898.01A.11R.1635.07	TCGA.34.2608.01A.02R.0851.07	TCGA.39.5022.01A.21R.1820.07	TCGA.51.4080.01A.01R.1100.07	GTEX.ZQG8.2126.SM.4YCF1
FGFR3	106.63	179048.63	59474.18	1605.83	49.21	33.78	17.0	0.0	0.58	1051.79	616.37	172.65	1350.18	5329.3
FZD10	25.91	8658.09	4575.41	4152.18	4.78	2.34	5.45	0.0	0.39	85.22	169.07	325.29	1216.75	830.75
GJB5	29.7	391864.76	383800.28	3081.75	19.82	2.56	3.56	0.0	0.37	819.3	435.55	327.56	713.11	3443.31
GLTP	1008.9	55877.28	23656.34	29124.6	693.58	579.04	607.87	802.41	2758.13	1844.76	1857.6	1225.22	4481.23	28923.41
GM2A	674.59	28328.16	12764.83	3280.18	389.72	371.22	305.55	0.0	0.23	1733.13	1832.01	2193.99	2997.45	4123.49
GPX2	323.03	1997825.68	3245478.02	34635.37	348.71	19.39	8.58	0.0	0.77	15499.21	6121.9	7911.95	19214.73	95286.54
GRHL3	37.32	80683.28	31650.8	17437.64	13.52	5.11	3.11	0.0	0.38	802.41	242.88	176.29	239.52	7911.95
IL1RN	223.41	598087.73	142439.51	12329.98	100.83	16.03	15.91	0.0	0.07	1662.49	2163.77	441.64	1870.53	79022.82
IL36G	13.62	12329.98	59063.35	884.29	1.08	0.0	0.0	0.0	0.47	76.17	95.34	101.54	136.19	1350.18
IL36RN	7.46	17078.76	44452.21	1950.0	5.82	0.89	0.0	0.0	0.34	124.37	26.67	25.17	88.26	8658.09
JMJD7	177.53	1427.22	2004.85	1685.71	228.13	171.45	171.45	0.0	0.41	603.67	514.56	202.66	808.0	967.76
KLF5	429.54	30151.71	20170.07	5831.91	253.23	155.5	65.26	0.0	0.16	3168.41	1143.1	1225.22	3060.45	12076.21
KPRP	0.99	4972.34	299.25	102.25	6.31	0.95	0.59	0.0	0.0	40.36	13.93	8.71	57.08	2502.97
KRT6A	3419.52	2.01760973986E9	2.41604469791E9	311742.51	273.37	19.53	25.54	0.0	1.17	71219.26	40341.14	36610.26	39785.74	751804.53
LCE3D	33.3	2375828.71	402881.61	1832.01	0.0	0.0	0.0	0.0	0.0	150.17	113.56	66.65	309.83	43537.38
LCE3E	8.0	492579.5	26431.04	703.28	0.0	0.0	0.0	0.0	0.0	37.85	71.5	12.83	98.04	12676.65
LTB4R2	29.27	5183.54	5555.65	4543.8	12.18	12.64	5.96	0.0	0.61	743.43	75.11	42.11	157.68	624.99
MPZL2	295.11	14971.21	14065.74	10808.41	796.86	169.07	98.73	0.0	0.42	2835.7	4358.66	1143.1	3349.13	10959.3
NDRG4	796.86	4639.29	4575.41	1617.0	423.61	208.38	211.31	0.0	0.65	599.49	2090.03	273.37	1119.56	1208.34
NOP10	4903.87	9606.86	6207.38	7966.99	2645.74	2061.24	2701.35	4972.34	1044.52	5555.65	7230.1	4769.75	7695.57	12764.83
PERP	878.17	492579.5	469249.9	85876.94	1183.45	244.57	1378.57	2875.3	802.41	13872.08	8963.45	4210.15	16045.82	50011.46
PLD1	236.21	5255.91	3614.55	896.64	267.73	166.73	169.07	0.0	0.69	954.43	571.05	438.59	1896.65	1183.45
PRKX	147.06	1540.37	3742.05	1331.57	104.42	100.13	40.07	341.51	607.87	1066.48	647.07	543.96	2451.44	1001.93
PSMC6	1757.34	3146.52	1733.13	2133.97	1697.45	1208.34	1605.83	0.0	1.14	2133.97	2047.0	1819.35	3081.75	3257.52
RAB7A	5041.77	9215.48	5831.91	7911.95	3212.66	2367.9	3419.52	4802.93	1781.89	5751.61	7382.04	5041.77	8363.13	8778.97
RAPGEFL1	348.71	47974.16	52135.28	13586.57	185.11	204.07	98.04	0.0	1.28	1304.15	1023.0	269.6	3039.3	6935.54
RBBP8NL	2.36	2682.69	1096.5	49.21	3.89	0.0	1.08	0.0	0.0	63.0	28.24	40.93	97.36	141.02
ROBO2	2.94	1457.23	536.45	78.89	8.51	40.64	6.36	0.0	0.09	44.89	80.57	56.28	204.07	80.01
SBSN	211.31	1.66613263E7	5057523.59	17927.91	29.91	16.88	8.58	0.0	0.96	1674.06	1745.2	237.86	1745.2	772940.66
SERPINB13	60.39	5.413281112E7	6.572778255E7	40341.14	28.04	0.0	1.85	0.0	0.0	1216.75	323.03	406.31	1977.24	36357.37
SERPINB2	9.13	2691538.19	721179.07	5995.9	0.83	2.81	5.36	0.0	0.28	232.94	195.72	373.81	1572.76	38164.99
SERPINB5	128.79	1825675.85	1589343.01	27938.14	35.25	3.69	5.11	0.0	0.45	3540.14	1769.57	928.3	2739.08	18178.19
SGK1	432.53	3419.52	16157.44	5147.73	642.59	267.73	591.22	0.0	0.46	5479.15	1883.54	2018.8	5403.7	2855.44
SLC9A3R1	1857.6	61146.25	25708.25	10225.32	332.14	329.84	264.03	0.0	1.0	4607.24	5183.54	4575.41	14971.21	11112.3
SLC9A9	19.25	718.08	934.76	341.51	146.03	186.4	96.01	0.0	0.54	111.99	211.31	189.02	967.76	860.08
SPRR1A	518.15	2.4530476105E8	9.690044701E7	400098.69	63.0	20.56	19.25	0.0	0.0	15824.9	1059.11	2816.11	2434.5	1838374.44
SPRR2A	251.48	1.0677509839E8	2.356267404E7	248002.34	65.26	4.17	29.06	0.0	0.0	5872.48	1037.29	3515.68	5441.3	1273174.62
SPRR2B	20.86	217400.14	96616.71	5403.7	0.0	0.0	0.0	0.0	0.0	54.72	121.79	17.13	102.97	131982.68
SPRR2D	172.65	6.572778255E7	2.525384881E7	53973.86	44.25	0.0	19.97	0.0	0.0	3716.2	1674.06	1923.14	4239.45	355624.68
SPRR2E	173.85	3.522264608E7	1645391.11	132900.7	25.35	3.99	12.55	0.0	0.0	884.29	669.92	660.68	1225.22	649962.87
SPRR2G	47.84	37639.55	299.25	1674.06	10.31	3.63	0.0	0.0	0.0	130.6	100.83	50.27	563.18	14065.74
SUSD4	137.14	59474.18	50359.33	2061.24	154.42	35.5	64.8	0.0	0.38	1001.93	571.05	285.03	1096.5	2018.8
TALDO1	3235.01	33922.56	10296.45	32994.92	1909.85	1806.78	3955.48	0.0	1.01	9279.58	9606.86	8840.04	20593.91	19348.38
TGFA	130.6	6164.49	3515.68	267.73	17.38	6.21	6.16	0.0	0.4	470.14	341.51	158.79	599.49	1175.27
TMEM105	1.99	226.54	463.65	35.0	2.78	0.0	0.0	0.0	0.0	22.92	14.67	13.32	189.02	17.9
TMEM117	100.83	1051.79	1127.35	327.56	127.0	178.77	99.43	0.0	0.56	363.56	341.51	197.09	599.49	409.15
TMEM154	17.9	18560.17	2664.15	1572.76	13.42	4.35	6.89	76.17	66.65	113.56	109.66	82.29	198.47	1340.84
TMPRSS11A	4.82	6673442.71	2392353.91	98.04	14.35	1.33	0.28	0.0	0.0	137.14	23.08	28.86	209.84	37639.55
TMPRSS11D	57.08	2.802089981E7	6908781.2	2061.24	31.67	4.86	2.76	0.0	0.0	384.34	154.42	105.15	547.75	43537.38
TMPRSS11F	0.97	74760.09	10225.32	204.07	0.92	0.0	0.0	0.0	0.0	23.42	17.9	10.96	78.34	1605.83
TP63	45.21	3290783.22	3313672.43	6792.79	28.24	7.63	3.32	0.0	0.3	2090.03	1991.0	872.1	3325.99	3847.29
TUFT1	295.11	4512.4	3018.3	2520.38	205.5	167.9	264.03	339.14	136.19	1216.75	466.88	497.0	2119.22	878.17
ZNF706	3146.52	8305.36	9151.82	4298.64	2627.46	2255.7	2240.11	0.0	1.17	4903.87	3820.7	3928.15	5633.22	7803.01
