	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.AO.A0JC.01A.11R.A056.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.DM.A1D6.01A.21R.A155.07	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.CR.6482.01A.11R.1873.07	TCGA.38.7271.01A.11R.2039.07	TCGA.38.4625.01A.01R.1206.07	TCGA.44.6145.01A.11R.1755.07	TCGA.49.6743.01A.11R.1858.07	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.46.3767.01A.01R.0980.07	TCGA.85.7710.11A.01R.2125.07	GTEX.13QJC.0826.SM.5RQKC	TCGA.EO.A3AU.01A.21R.A19W.07
CD2	50.27	4736.79	476.71	6.67	21.32	1037.29	1183.45	0.0	669.92	236.21	1685.71	555.41	1044.52	3039.3	217.27
CD247	20.41	1628.26	314.17	3.92	18.43	463.65	665.29	0.0	305.55	172.65	1417.35	195.72	941.27	1437.15	97.36
CD27	24.28	3901.01	45.21	0.74	27.44	2209.26	2434.5	0.0	723.08	289.02	2720.15	620.67	1529.73	3124.78	118.43
CD37	41.22	20170.07	591.22	34.75	120.1	3665.02	9808.75	0.0	1617.0	651.58	13399.51	1697.45	8778.97	6840.04	368.65
CD3D	82.29	5995.9	314.17	5.11	17.64	1199.98	1844.76	0.0	921.88	269.6	3303.0	571.05	1561.89	2400.97	208.38
CD3E	71.5	8778.97	638.15	5.23	34.75	1733.13	3146.52	0.0	1143.1	320.8	4512.4	738.29	1923.14	7081.29	332.14
CD4	66.18	3190.46	733.19	22.43	106.63	2133.97	3018.3	0.0	1322.37	878.17	2090.03	1529.73	2835.7	819.3	279.14
CD48	35.25	9344.14	884.29	2.73	26.67	1977.24	4328.55	0.0	1044.52	420.68	5147.73	1437.15	4328.55	2400.97	229.72
CD5	5.68	1073.91	41.52	1.68	6.78	358.54	525.39	0.0	172.65	84.04	703.28	110.43	441.64	409.15	56.68
CD6	9.85	1143.1	117.6	10.79	33.54	409.15	674.59	89.51	279.14	121.79	1447.15	209.84	595.34	830.75	77.79
CD7	80.57	1457.23	21.78	3.92	35.76	808.0	2032.85	0.0	830.75	275.28	3190.46	244.57	1159.07	1268.46	224.97
CD79A	3.96	13123.73	4.1	0.03	29.7	5292.48	8078.22	0.0	2178.83	748.61	16960.78	1806.78	5831.91	11664.82	91.41
CD79B	25.72	8363.13	223.41	2.92	37.85	1216.75	1781.89	0.0	397.93	167.9	8247.98	454.09	3212.66	995.0	60.82
CDK5R1	9.63	134.3	16.27	22.43	54.33	94.01	186.4	0.0	90.77	46.84	381.68	64.34	112.77	133.36	80.57
CEACAM21	6.31	412.0	32.59	0.01	16.88	120.94	158.79	0.0	82.87	51.71	271.48	90.77	441.64	228.13	16.27
CFP	3.92	1135.2	47.17	7.28	13.03	366.09	346.29	0.0	77.25	35.25	1135.2	93.35	884.29	149.12	29.27
CLEC10A	9.63	1073.91	103.69	3.72	15.8	271.48	603.67	0.0	114.36	61.25	341.51	172.65	361.04	109.66	29.7
CLEC17A	0.0	457.25	8.13	0.0	2.92	96.68	115.97	0.0	42.71	12.18	529.06	35.5	327.56	48.18	0.55
CLEC4M	0.0	13.42	7.75	0.0	0.0	16.39	17.77	0.0	2.34	0.0	409.15	3.92	1628.26	11.82	0.0
CLEC9A	0.91	75.64	32.36	0.0	0.07	38.12	31.22	0.0	5.96	2.48	28.04	18.7	62.56	19.68	5.06
CNR2	0.0	229.72	0.69	0.0	0.0	28.24	105.89	0.0	13.32	4.58	215.77	10.79	136.19	60.39	0.82
COL19A1	0.0	58.71	0.57	0.0	0.0	10.39	32.13	0.0	2.92	1.73	73.54	1.6	68.55	0.68	0.34
COLQ	16.75	120.1	52.08	29.27	21.78	98.73	80.57	0.0	40.07	29.7	277.2	25.35	181.28	43.63	30.56
CORO1A	223.41	15499.21	366.09	88.88	195.72	4419.52	6935.54	1051.79	2047.0	1295.13	24321.43	1857.6	9088.59	5292.48	669.92
CTB-133G6.1	0.31	242.88	2.53	1.57	0.06	70.01	86.43	0.0	11.55	8.58	231.32	13.83	208.38	177.53	3.03
CXCR3	4.5	947.83	52.45	2.27	2.29	275.28	299.25	0.0	117.6	62.12	256.78	99.43	258.57	185.11	31.45
CXCR5	94.01	854.13	34.02	0.0	2.07	197.09	429.54	0.0	25.54	6.94	1519.15	66.18	713.11	102.97	5.11
DOCK2	17.77	1594.73	234.57	6.52	19.97	599.49	854.13	0.0	420.68	220.32	1819.35	379.04	1250.98	738.29	104.42
DOCK8	98.04	1639.59	299.25	75.11	41.22	743.43	743.43	0.0	334.46	176.29	1073.91	256.78	1295.13	872.1	156.59
EBI3	3.38	483.38	21.16	1.2	13.83	277.2	327.56	0.0	74.06	76.71	808.0	73.03	239.52	108.14	50.27
FAIM3	13.52	5672.41	77.79	7.46	21.63	1457.23	2875.3	0.0	529.06	204.07	3847.29	503.95	2720.15	2816.11	105.15
FAM129C	1.2	1529.73	0.87	0.01	1.46	71.5	110.43	0.0	37.59	7.46	2664.15	37.32	1096.5	334.46	5.32
FAM151A	0.91	111.99	0.0	0.0	0.62	24.81	22.1	0.0	4.13	0.65	68.55	3.63	90.77	8.58	0.65
FAM78A	13.52	579.04	33.3	6.16	33.78	248.0	279.14	0.0	115.97	73.54	703.28	129.69	507.46	332.14	36.53
FCAMR	0.0	642.59	0.0	4.24	0.0	29.7	42.71	0.0	12.09	1.01	497.0	13.52	208.38	11.13	1.03
FCER2	0.91	3190.46	7.28	0.0	0.41	291.04	403.5	0.0	71.0	11.04	3614.55	73.03	1417.35	205.5	2.73
FCRL1	0.31	2895.31	0.0	0.0	0.06	71.5	158.79	0.0	59.97	17.13	2240.11	30.12	1135.2	457.25	5.32
FCRL2	0.0	1008.9	1.51	0.0	0.39	76.71	236.21	0.0	108.14	37.05	1051.79	81.71	480.04	486.75	10.88
FCRL3	0.6	988.12	20.71	0.0	0.72	149.12	503.95	0.0	90.14	28.04	954.43	60.39	543.96	642.59	8.38
FCRL4	0.0	29.91	0.0	0.0	0.21	32.59	35.0	0.0	15.56	0.95	49.56	6.21	19.53	55.49	0.31
FCRLA	13.62	1709.26	1.68	0.0	1.93	368.65	909.17	0.0	167.9	34.75	1628.26	198.47	842.36	928.3	5.32
FERMT3	72.01	3190.46	127.89	35.76	105.89	1216.75	1561.89	583.07	753.83	473.41	5594.3	688.78	2609.3	1191.69	232.94
FUT7	1.2	100.83	0.0	0.0	0.68	78.34	92.7	0.0	18.03	3.53	173.85	22.75	91.41	20.26	7.0
FXYD7	2.43	134.3	13.03	0.0	5.15	45.85	85.22	0.0	26.67	12.0	185.11	19.39	71.0	53.57	4.58
GMFG	297.17	8022.41	1066.48	72.01	221.86	1583.71	2855.44	0.0	1529.73	718.08	6164.49	1628.26	5366.37	2075.59	371.22
GNGT2	13.83	332.14	35.5	3.11	28.24	218.79	253.23	0.0	144.01	50.98	412.0	145.02	381.68	54.72	33.06
GP1BA	0.0	551.56	3.89	4.43	16.51	153.34	242.88	0.0	23.76	9.78	587.13	11.47	486.75	34.51	4.62
GPR132	17.38	353.59	12.36	2.89	7.63	157.68	297.17	0.0	119.26	55.89	470.14	100.83	237.86	223.41	46.18
GPR18	5.06	647.07	65.26	0.41	1.68	123.5	112.77	0.0	27.64	9.2	559.28	42.71	450.94	73.03	9.27
GRAP	44.57	878.17	234.57	25.72	26.47	173.85	438.59	0.0	165.57	87.03	1340.84	170.25	674.59	181.28	56.68
GRAP2	7.82	486.75	68.07	0.64	10.24	142.01	150.17	0.0	118.43	59.55	447.82	118.43	260.38	229.72	33.54
GTSF1L	0.0	43.32	0.0	0.0	0.0	3.08	12.45	0.0	8.92	1.39	50.27	2.68	21.32	6.46	2.2
GZMM	10.79	1151.06	37.85	1.51	5.11	147.06	490.14	0.0	139.07	43.63	473.41	107.38	329.84	323.03	46.84
HCLS1	94.67	5711.87	395.18	41.22	148.09	2303.12	3491.39	0.0	1721.16	743.43	7642.41	1617.0	4210.15	3901.01	356.05
HCST	105.89	4736.79	371.22	24.81	48.52	1407.55	2148.82	0.0	1159.07	327.56	2796.65	830.75	1977.24	1781.89	305.55
HMHA1	100.13	3589.58	85.82	260.38	400.71	921.88	1757.34	0.0	961.07	543.96	5791.62	575.03	2240.11	2573.36	412.0
HSF5	0.3	21.63	1.66	0.0	0.41	4.17	4.74	0.0	0.96	1.17	20.71	1.35	12.0	3.53	0.64
ICAM3	409.15	2935.74	149.12	629.35	151.22	1331.57	1936.53	0.0	941.27	567.1	3257.52	764.36	1883.54	967.76	371.22
IGFLR1	226.54	1870.53	88.88	182.55	297.17	1104.13	1191.69	0.0	791.35	312.0	2701.35	665.29	1096.5	518.15	264.03
IKZF1	11.47	1883.54	195.72	1.87	17.0	551.56	836.53	0.0	277.2	118.43	1259.69	241.19	974.5	1199.98	48.18
IL10RA	15.8	1896.65	123.5	9.41	67.12	764.36	1111.82	0.0	483.38	346.29	1977.24	651.58	1242.34	1388.16	124.37
IL12RB1	6.62	450.94	49.21	1.64	8.65	199.85	223.41	0.0	110.43	56.28	547.75	57.49	318.57	135.24	40.36
IL16	22.92	4123.49	102.25	6.62	57.89	1191.69	1417.35	0.0	457.25	248.0	2816.11	532.74	2384.37	1030.12	89.51
IL18BP	114.36	995.0	403.5	46.18	255.0	947.83	1183.45	0.0	808.0	312.0	995.0	551.56	848.22	346.29	366.09
IL24	0.64	723.08	4.46	2.46	68.07	155.5	420.68	0.0	68.07	38.95	575.03	87.03	414.87	318.57	12.0
INPP5D	70.51	2739.08	483.38	476.71	99.43	1477.58	2018.8	0.0	785.88	303.44	4268.94	490.14	2915.45	1745.2	150.17
ITGAL	12.64	2701.35	460.44	3.96	11.3	713.11	1030.12	0.0	444.72	346.29	2739.08	295.11	1950.0	808.0	116.78
ITK	6.31	1159.07	96.68	3.29	6.46	176.29	470.14	48.18	217.27	68.55	660.68	123.5	381.68	819.3	75.11
KIAA0125	0.0	1001.93	0.0	0.0	1.5	224.97	329.84	0.0	178.77	69.03	1407.55	154.42	525.39	748.61	5.02
LCK	28.65	2816.11	460.44	66.18	19.11	693.58	1073.91	0.0	450.94	181.28	3443.31	368.65	1467.37	1519.15	172.65
LILRA4	1.5	500.46	2.71	0.0	0.39	108.9	201.25	0.0	28.86	12.09	314.17	55.89	409.15	35.76	6.01
LIMD2	381.68	8247.98	114.36	64.34	108.9	1769.57	2303.12	0.0	759.08	432.53	12853.63	947.83	3901.01	2148.82	384.34
LTA	0.32	400.71	15.91	0.0	3.76	127.89	131.51	0.0	35.25	10.96	476.71	41.81	277.2	31.0	10.08
LTB	46.18	10225.32	105.89	10.55	18.7	2319.15	4450.27	0.0	921.88	241.19	14867.79	616.37	5831.91	1551.09	147.06
LY9	4.17	1467.37	11.73	0.0	13.42	309.83	642.59	0.0	182.55	92.7	836.53	175.07	629.35	718.08	24.99
MAP4K1	23.42	2468.49	65.72	9.56	33.06	473.41	842.36	0.0	339.14	156.59	4388.98	339.14	1331.57	1794.29	96.68
MS4A1	0.92	17927.91	26.86	0.0	3.72	961.07	2255.7	0.0	497.0	140.04	16045.82	497.0	6652.97	8778.97	36.01
MYO1G	10.55	1167.14	49.91	6.11	25.54	336.79	669.92	0.0	329.84	149.12	1388.16	277.2	1151.06	368.65	76.71
NCF1	21.63	2163.77	15.8	4.98	66.65	450.94	1073.91	0.0	563.18	224.97	3614.55	236.21	1685.71	921.88	73.03
NCR3	1.79	470.14	14.24	0.0	0.37	83.45	447.82	0.0	82.87	16.51	521.76	52.82	426.57	52.82	8.0
NFATC1	43.94	860.08	500.46	33.06	127.0	718.08	529.06	0.0	217.27	117.6	1111.82	293.07	563.18	395.18	72.01
NRROS	15.91	291.04	173.85	8.13	21.01	173.85	211.31	0.0	86.43	89.51	341.51	119.26	376.41	82.29	36.27
P2RX5	1.83	2303.12	7.4	15.22	8.58	269.6	620.67	0.0	241.19	57.89	5479.15	96.68	1437.15	1950.0	65.72
P2RY10	3.56	1030.12	180.02	0.25	2.03	277.2	417.77	0.0	137.14	73.03	457.25	166.73	563.18	507.46	34.75
P2RY8	3.89	435.55	8.92	1.01	4.58	161.02	141.02	17.64	46.5	28.24	483.38	49.91	204.07	48.18	8.51
PAPLN	28.45	780.44	260.38	92.7	187.71	366.09	713.11	0.0	173.85	173.85	928.3	547.75	764.36	2148.82	91.41
PAX5	0.0	961.07	0.0	12.36	2.41	158.79	329.84	0.0	43.94	20.86	915.51	39.22	403.5	289.02	4.39
PLA2G2D	0.0	2720.15	18.97	0.0	0.32	379.04	529.06	0.0	186.4	50.98	1023.0	72.01	647.07	100.13	8.38
PLEKHO1	703.28	4010.71	1378.57	198.47	358.54	1498.22	1963.57	0.0	1159.07	532.74	4450.27	1259.69	2287.2	1794.29	961.07
POU2F2	18.29	1008.9	52.45	9.93	24.46	320.8	521.76	35.76	202.66	90.14	1447.15	144.01	703.28	231.32	16.51
PPP1R16B	6.89	599.49	191.67	1.99	11.82	346.29	429.54	0.0	132.44	81.71	836.53	187.71	669.92	197.09	31.9
PRKCB	107.38	1001.93	141.02	2.29	6.78	283.05	587.13	49.91	166.73	84.04	878.17	150.17	825.0	836.53	24.81
PSTPIP1	27.05	1331.57	133.36	16.63	49.91	260.38	511.0	0.0	395.18	153.34	1923.14	246.28	656.11	941.27	103.69
PTK2B	447.82	1857.6	158.79	186.4	146.03	921.88	1457.23	0.0	743.43	591.22	3564.78	612.11	2178.83	3190.46	265.87
PTPRC	77.25	6561.36	435.55	7.17	40.64	1745.2	2739.08	0.0	1104.13	616.37	3742.05	995.0	4210.15	2935.74	228.13
PTPRCAP	96.68	5329.3	11.38	20.11	108.14	1540.37	3349.13	0.0	878.17	258.57	8247.98	612.11	3124.78	1745.2	215.77
PVRIG	6.94	1008.9	107.38	8.78	25.35	176.29	563.18	0.0	111.21	36.01	825.0	75.64	406.31	256.78	40.93
RAC2	220.32	11112.3	343.89	150.17	229.72	3564.78	6164.49	0.0	1923.14	872.1	10733.74	1745.2	6699.25	3124.78	454.09
RASAL3	27.25	1519.15	197.09	5.15	37.85	356.05	669.92	0.0	303.44	135.24	2720.15	182.55	961.07	733.19	84.63
RBP5	37.05	1781.89	1259.69	39.79	50.27	808.0	1183.45	0.0	195.72	64.8	1447.15	283.05	1066.48	239.52	96.68
RCSD1	19.82	2004.85	651.58	8.13	31.67	595.34	1051.79	0.0	384.34	137.14	1651.0	229.72	1044.52	954.43	76.71
RNASE6	49.21	1977.24	256.78	28.04	63.89	1143.1	1268.46	0.0	669.92	379.04	896.64	633.73	1369.04	830.75	209.84
RP11-1070N10.3	0.0	44.25	29.27	0.0	2.76	24.11	76.17	0.0	24.63	15.34	100.83	21.94	40.07	36.01	0.0
SASH3	20.56	3039.3	143.01	7.0	49.91	1104.13	1313.23	0.0	511.0	237.86	3235.01	463.65	2573.36	1250.98	100.13
SCIMP	5.73	497.0	22.92	2.14	4.21	295.11	525.39	0.0	148.09	71.5	591.22	133.36	764.36	234.57	18.16
SCML4	1.81	409.15	27.25	0.0	1.95	63.45	180.02	0.0	66.18	19.97	283.05	51.35	193.01	348.71	9.7
SELL	31.9	8363.13	172.65	0.93	21.78	1378.57	3190.46	0.0	551.56	226.54	4358.66	607.87	4481.23	1709.26	116.78
SELPLG	28.04	2209.26	143.01	10.39	49.21	995.0	1183.45	0.0	591.22	303.44	1208.34	426.57	1950.0	629.35	159.9
SEPT1	0.0	1991.0	1.598261246E7	0.0	0.0	301.33	312.0	0.0	128.79	17.0	1023.0	67.59	555.41	2.669377385E7	55.1
SH2D1A	2.71	1119.56	108.9	0.0	5.02	151.22	264.03	0.0	100.13	42.41	420.68	102.97	256.78	273.37	39.5
SH2D3C	86.43	967.76	320.8	23.08	93.35	373.81	444.72	0.0	221.86	190.34	1051.79	260.38	1159.07	291.04	79.45
SIT1	14.35	1628.26	14.45	0.0	4.98	336.79	547.75	0.0	163.28	50.98	1447.15	147.06	698.41	660.68	55.89
SLAMF1	6.62	775.05	89.51	0.0	4.82	146.03	215.77	0.0	102.25	43.02	497.0	92.7	297.17	271.48	17.25
SLAMF6	4.21	1844.76	29.06	0.0	4.82	314.17	769.69	0.0	327.56	103.69	866.07	165.57	559.28	2720.15	40.64
SMAP2	373.81	3794.3	529.06	167.9	406.31	1233.75	5112.16	0.0	1870.53	713.11	4210.15	890.44	2664.15	3081.75	483.38
SNAI3	3.92	165.57	6.94	2.86	4.13	67.59	134.3	0.0	45.85	20.71	170.25	40.93	153.34	109.66	13.93
SP140	59.13	1447.15	35.5	3.72	21.78	325.29	748.61	0.0	674.59	85.22	1407.55	139.07	915.51	738.29	72.52
SPIB	2.41	2351.53	15.56	0.0	7.75	872.1	1001.93	0.0	176.29	37.05	3372.43	194.36	1498.22	239.52	12.55
SPOCK2	51.71	2701.35	56.68	551.56	35.0	921.88	1662.49	0.0	660.68	228.13	2335.28	400.71	2148.82	2351.53	277.2
SSTR3	0.0	48.52	0.62	0.0	0.0	11.64	8.92	0.0	3.5	1.64	58.71	1.51	29.06	34.75	1.83
STK10	138.1	1467.37	164.42	299.25	191.67	438.59	764.36	0.0	435.55	307.69	1870.53	366.09	1111.82	679.29	224.97
TAGAP	7.17	1104.13	52.45	3.44	9.78	299.25	540.19	0.0	172.65	92.7	825.0	163.28	612.11	303.44	50.63
TBC1D10C	29.27	3190.46	163.28	6.41	35.76	438.59	728.11	0.0	346.29	108.14	3928.15	198.47	1561.89	1427.22	141.02
TBX21	2.71	135.24	4.43	0.27	1.04	44.57	72.52	0.0	53.57	13.83	126.12	22.26	109.66	140.04	13.62
TESPA1	7.51	1151.06	50.27	0.96	3.59	229.72	234.57	0.0	90.77	44.25	620.67	82.87	420.68	307.69	26.1
TIGIT	19.97	1819.35	32.13	0.47	2.53	303.44	447.82	0.0	173.85	88.88	796.86	145.02	325.29	1208.34	108.14
TLR10	1.2	713.11	5.23	0.0	2.89	143.01	234.57	0.0	50.27	24.28	612.11	115.97	775.05	195.72	5.77
TLR9	2.41	28.45	2.94	1.36	6.16	38.12	57.89	0.0	17.13	4.98	80.57	11.38	63.0	40.64	6.11
TMC8	34.75	2758.13	297.17	18.56	39.79	412.0	848.22	0.0	397.93	656.11	5329.3	318.57	1806.78	1794.29	100.13
TNFAIP8L2	23.93	1015.93	37.05	4.66	28.45	373.81	277.2	0.0	148.09	61.68	660.68	199.85	703.28	103.69	53.57
TNFRSF13B	0.6	547.75	0.0	0.0	0.3	228.13	708.18	0.0	87.03	12.74	629.35	94.67	493.56	457.25	12.27
TNFRSF13C	8.32	642.59	0.0	2.46	16.27	122.64	371.22	0.0	45.21	26.28	1769.57	85.82	633.73	236.21	15.0
TRAF3IP3	36.79	5292.48	281.09	38.95	93.35	698.41	1015.93	0.0	444.72	239.52	4010.71	536.45	2255.7	2627.46	143.01
TRAT1	1.2	808.0	75.64	0.0	0.26	124.37	234.57	0.0	67.12	24.46	256.78	72.52	178.77	171.45	21.32
TXNIP	6121.9	29736.59	10014.87	5255.91	6079.61	6121.9	26431.04	0.0	12853.63	5711.87	21172.91	8078.22	24490.61	21320.18	2682.69
UBASH3A	3.59	409.15	13.93	0.2	2.14	87.03	104.42	0.0	43.02	28.45	323.03	55.89	190.34	341.51	11.38
VPREB3	3.89	3742.05	0.0	0.25	22.26	529.06	1870.53	0.0	176.29	113.56	6121.9	409.15	2075.59	497.0	37.85
WAS	29.48	2384.37	48.52	8.45	60.39	808.0	1286.18	0.0	532.74	241.19	2855.44	379.04	1561.89	1359.57	148.09
ZAP70	15.68	2104.58	123.5	1.23	13.22	242.88	435.55	0.0	267.73	134.3	3419.52	158.79	872.1	1313.23	77.25
ZNF831	0.6	163.28	37.32	0.0	0.39	39.5	50.63	0.0	21.32	8.58	111.21	15.11	57.08	176.29	4.7
