	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.VR.AA4G.01A.11R.A37I.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	TCGA.JY.A6FE.01A.11R.A336.31	TCGA.IG.A3YA.01A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11DXZ.1226.SM.5H11L	GTEX.11ONC.1526.SM.5GU6S	GTEX.P4QT.0626.SM.3NMCP	GTEX.131YS.1426.SM.5IJF7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.1399S.1626.SM.5P9GI	GTEX.S95S.0826.SM.4B64N
MAL	2408994.05	938500.81	62.12	83.45	7.0	7.0	21.63	368.65	124863.17	211455.3	195931.88	73221.53	231394.29	0.0	0.56	978355.0	1524599.69	249727.34	668235.84	2156109.97	1139523.1	2171106.91	1167.14	1096.5	1487.87	5913.33	30999.42
MFSD4	17.25	102.97	4.06	0.65	0.6	0.6	0.58	3.14	11.82	155.5	52.45	133.36	89.51	0.0	0.44	2.29	4.78	3.5	31.0	5.28	36.79	0.92	5831.91	5995.9	14163.58	1769.57	1359.57
MYH13	4.06	7.94	0.0	0.0	0.0	0.0	0.0	0.0	2.29	5.28	3.79	13.22	5.87	0.0	0.0	10.24	9.85	2.51	1.87	8.92	5.28	4.17	24.11	12.27	17.38	11.04	10.24
NKX2-3	2.56	2.34	1.19	0.0	0.57	0.57	0.78	0.28	1.93	34.51	15.0	145.02	5.68	0.0	0.06	1.91	3.17	11.04	24.63	8.38	11.3	9.41	107.38	164.42	251.48	92.05	34.02
NWD1	10.96	20.41	0.42	0.0	0.0	0.0	0.0	0.0	2.14	7.63	7.57	26.47	1.39	0.0	0.0	0.68	1.04	2.73	10.16	0.97	5.92	0.95	21.01	15.34	18.7	11.82	31.0
PTPRN2	29.7	67.12	4.06	2.12	1.14	1.14	2.66	4.28	8.13	41.81	35.0	995.0	50.27	0.0	0.21	22.43	6.36	13.32	18.97	7.82	16.39	7.51	1697.45	1030.12	819.3	417.77	476.71
SLC9A2	2.68	5.45	0.04	0.12	0.0	0.0	0.0	0.31	0.48	5.23	62.12	748.61	16.88	0.0	0.08	14.56	0.87	0.26	17.38	0.19	8.45	0.0	1225.22	660.68	575.03	234.57	248.0
SLC9A4	25.35	63.45	0.0	0.0	0.0	0.0	0.0	0.0	2.51	81.71	460.44	414.87	283.05	0.0	0.0	275.28	109.66	4.46	50.63	397.93	36.53	248.0	4123.49	2004.85	1950.0	679.29	547.75
SMIM22	4298.64	1175.27	13.12	1.5	0.4	0.4	0.0	2.56	11.73	92.7	389.72	5954.47	503.95	0.0	0.42	112.77	0.0	17.13	260.38	16.39	232.94	10.47	24153.43	30785.28	60304.42	6079.61	5255.91
ST6GALNAC1	1651.0	1397.83	18.7	0.43	1.46	1.46	1.28	103.69	194.36	1191.69	2004.85	2032.85	860.08	0.0	0.24	346.29	223.41	186.4	575.03	244.57	748.61	226.54	2434.5	2287.2	2609.3	3303.0	2915.45
SYTL5	49.91	38.12	6.62	0.0	0.0	0.0	0.0	0.0	12.18	79.45	88.26	155.5	42.41	0.0	0.01	26.86	5.32	30.34	48.87	13.32	28.24	15.11	299.25	172.65	140.04	180.02	277.2
TMEM125	4038.61	1295.13	0.68	0.68	0.0	0.0	0.0	3.92	32.59	420.68	258.57	723.08	490.14	0.0	0.54	71.5	80.57	129.69	295.11	96.01	208.38	64.8	1857.6	1745.2	2255.7	595.34	599.49
TMEM238	684.02	595.34	23.59	14.78	6.11	6.11	8.92	25.54	190.34	314.17	255.0	287.01	279.14	0.0	0.01	26.67	78.34	41.22	116.78	51.35	140.04	63.0	674.59	1617.0	1819.35	854.13	457.25
TOX3	35.0	543.96	0.0	0.0	0.0	0.0	0.0	0.0	0.44	22.1	26.28	373.81	65.72	0.0	0.09	3.92	0.22	1.87	8.19	0.06	5.28	0.57	947.83	684.02	688.78	291.04	363.56
VILL	35.0	212.78	27.64	14.24	22.43	22.43	26.47	29.27	115.16	1023.0	748.61	2367.9	753.83	0.0	0.44	58.71	70.51	46.18	94.67	70.01	98.73	68.07	5366.37	4836.35	4152.18	2287.2	2855.44
VSIG2	90.77	1059.11	0.48	0.0	0.0	0.0	0.0	0.78	87.03	2935.74	5441.3	10959.3	4419.52	0.0	0.31	23.08	7.51	23.93	159.9	31.22	279.14	78.89	27174.14	41188.81	35363.15	10733.74	13123.73
